Record Id,Note Owner ID,Note Title,Note Content,Parent ID,Created by ID,Modified by ID,Created Time,Modified Time
zcrm_1920545000000157003,zcrm_1920545000000127001,,Was supposed to meet today. But is busy with some work. Said will meet on thursday.,zcrm_1920545000000148001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-05-30 22:39:35,2016-05-30 22:39:35
zcrm_1920545000000157007,zcrm_1920545000000127001,,Is out of town. Will call me on wednesday. Her wife is also a instructor will introduce me to her wife.,zcrm_1920545000000138001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-05-30 22:40:37,2016-05-30 22:40:37
zcrm_1920545000000158003,zcrm_1920545000000097003,,"Sam with this cold call, you have made meeting appointment. In this case you should add Event in open activities to let everyone know.",zcrm_1920545000000156009,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-05-31 08:11:09,2016-05-31 08:11:09
zcrm_1920545000000164003,zcrm_1920545000000097003,,"Sam, could you please let us know following progress?",zcrm_1920545000000146001,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:00:24,2016-06-02 18:00:24
zcrm_1920545000000164007,zcrm_1920545000000097003,,It has been passed 1 week this lead needs to be checked again,zcrm_1920545000000146005,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:01:03,2016-06-02 18:01:03
zcrm_1920545000000164011,zcrm_1920545000000097003,,"Thank you for noticing, with meeting event you should make ""New event"".",zcrm_1920545000000148001,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:02:03,2016-06-02 18:02:03
zcrm_1920545000000164015,zcrm_1920545000000097003,,"If you have sent quotation, you have to convert it to ""Deal""",zcrm_1920545000000148005,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:02:39,2016-06-02 18:02:39
zcrm_1920545000000164019,zcrm_1920545000000097003,,"This customer might need contact again, Thank you,",zcrm_1920545000000156001,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:03:22,2016-06-02 18:03:22
zcrm_1920545000000164023,zcrm_1920545000000097003,,"Sam, if you have made any event please make it in CRM",zcrm_1920545000000156005,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:17:35,2016-06-02 18:17:35
zcrm_1920545000000164027,zcrm_1920545000000097003,,Any further call is made please put information in New call,zcrm_1920545000000162001,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:18:16,2016-06-02 18:18:16
zcrm_1920545000000164031,zcrm_1920545000000097003,,"Have to make event when appointment is made, thank you.",zcrm_1920545000000162005,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:18:47,2016-06-02 18:18:47
zcrm_1920545000000164035,zcrm_1920545000000097003,,This case also need to make new event.,zcrm_1920545000000162009,zcrm_1920545000000097003,zcrm_1920545000000097003,2016-06-02 18:19:10,2016-06-02 18:19:10
zcrm_1920545000000166003,zcrm_1920545000000127001,,I didnt get what you said sir. Could you please explain me what is need to be done?,zcrm_1920545000000148001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-03 00:39:49,2016-06-03 00:39:49
zcrm_1920545000000166007,zcrm_1920545000000127001,,Have meet him. Will again have to meet him as he wants his head trainer to understand. He seems pretty convinced.,zcrm_1920545000000148001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-03 00:41:32,2016-06-03 00:41:32
zcrm_1920545000000178003,zcrm_1920545000000127001,,have been following through. She is busy so she has asked for a few days.,zcrm_1920545000000146005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-11 16:37:59,2016-06-11 16:37:59
zcrm_1920545000000183003,zcrm_1920545000000117001,,"Due to delay in interiors of the Gym, customer has informed to contact on 22nd June now.",zcrm_1920545000000154061,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-06-12 23:34:11,2016-06-12 23:34:11
zcrm_1920545000000190007,zcrm_1920545000000127001,,Meeting still pending as of today. Will call again tomorrow.,zcrm_1920545000000177009,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:40:45,2016-06-14 22:40:45
zcrm_1920545000000190011,zcrm_1920545000000127001,,Sir i havent pitched him the price so I didnt convert it to Deal.,zcrm_1920545000000162009,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:43:01,2016-06-14 22:43:01
zcrm_1920545000000190015,zcrm_1920545000000127001,,Cannot afford our product at this moment. Will call back whenever he has the capital.,zcrm_1920545000000162005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:44:18,2016-06-14 22:44:18
zcrm_1920545000000190019,zcrm_1920545000000127001,,Not picking up my calls since last week. Will keep on trying throughout this week.,zcrm_1920545000000162001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:44:54,2016-06-14 22:44:54
zcrm_1920545000000190023,zcrm_1920545000000127001,,Meeting her this friday 17 th July.,zcrm_1920545000000156009,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:45:38,2016-06-14 22:45:38
zcrm_1920545000000190027,zcrm_1920545000000127001,,Manager hasn't got back to us  till now. Trying to get to the owner.,zcrm_1920545000000156005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:46:45,2016-06-14 22:46:45
zcrm_1920545000000190031,zcrm_1920545000000127001,,Called his office today. Still not back from his tour.,zcrm_1920545000000156001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:47:28,2016-06-14 22:47:28
zcrm_1920545000000190035,zcrm_1920545000000127001,,I dont think he is going to take the product. As he doesnt respond to my calls.,zcrm_1920545000000148005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:48:54,2016-06-14 22:48:54
zcrm_1920545000000190039,zcrm_1920545000000127001,,Still no update. Not taking my calls. I am calling him every day.,zcrm_1920545000000148001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:49:45,2016-06-14 22:49:45
zcrm_1920545000000190043,zcrm_1920545000000127001,,She is pretty busy. Not taking my calls. So I will make a walkin directly to the gym tomorrow,zcrm_1920545000000146001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:50:51,2016-06-14 22:50:51
zcrm_1920545000000190047,zcrm_1920545000000127001,,Meeting him on friday,zcrm_1920545000000217003,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:51:36,2016-06-14 22:51:36
zcrm_1920545000000190051,zcrm_1920545000000127001,,Still no update. Called him today. He said he has my number will surely get back to me in a few days.,zcrm_1920545000000145001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:52:18,2016-06-14 22:52:18
zcrm_1920545000000190055,zcrm_1920545000000127001,,Still no update. He is a celebrity so he doesnt take much calls. Waiting to speak to him. Have dropped him quite a few messages.,zcrm_1920545000000138001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-06-14 22:53:14,2016-06-14 22:53:14
zcrm_1920545000000210003,zcrm_1920545000000117001,,"Had a telephonic discussion with the customer, however he mentioned that he has got some financial constrains and will get back to us when he has organised sufficient funds.",zcrm_1920545000000203037,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-06-28 19:09:43,2016-06-28 19:09:43
zcrm_1920545000000210007,zcrm_1920545000000117001,,Had a word with Mr. Harish Kumar today & he has mentioned that he will have an internal discussion with their Corporate team in Mumbai & will get back to us.,zcrm_1920545000000208009,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-06-28 19:17:52,2016-06-28 19:17:52
zcrm_1920545000000212003,zcrm_1920545000000117001,,"Received the Purchase Order for the customer. Will receive the advance payment tomorrow & delivery to be done by 7th July, 2016.",zcrm_1920545000000181033,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-07-01 04:04:12,2016-07-01 04:04:12
zcrm_1920545000000216003,zcrm_1920545000000117001,,Have finalised the order for InBody 270 from Golds Gym Bhuwaneshwar franchise & have received 50% advance payment. Delivery & installation will be planned as per customers instructions.,zcrm_1920545000000203113,zcrm_1920545000000117001,zcrm_1920545000000117001,2016-07-02 19:11:56,2016-07-02 19:11:56
zcrm_1920545000000216007,zcrm_1920545000000127001,,No updates as of yet. Have called many times.,zcrm_1920545000000138001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:27:57,2016-07-05 19:27:57
zcrm_1920545000000216011,zcrm_1920545000000127001,,Had called him today. Asked me to come for a meeting on 11th July,zcrm_1920545000000145001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:28:56,2016-07-05 19:28:56
zcrm_1920545000000216015,zcrm_1920545000000127001,,Had gone for a meeting. Needs some time as he is sort of funds.,zcrm_1920545000000217003,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:29:54,2016-07-05 19:29:54
zcrm_1920545000000216019,zcrm_1920545000000127001,,Owner is travelling out of India. Will be back after 20th July. Will contact her as soon as she is here.,zcrm_1920545000000146001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:32:13,2016-07-05 19:32:13
zcrm_1920545000000216023,zcrm_1920545000000127001,,Not taking my calls. Have dropped her a message yet to respond.,zcrm_1920545000000146005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:33:10,2016-07-05 19:33:10
zcrm_1920545000000216027,zcrm_1920545000000127001,,Had a meeting with him last week. He had an Inbody 220 before. It has been damaged and is beyond repair. Has concerns with the price. He has already brought a cheaper device at 40000 INR from another brand,zcrm_1920545000000148001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:35:01,2016-07-05 19:35:01
zcrm_1920545000000216031,zcrm_1920545000000127001,,Have sent him quotation. Yet to respond,zcrm_1920545000000148005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:36:16,2016-07-05 19:36:16
zcrm_1920545000000216035,zcrm_1920545000000127001,,Had met him. Already using a Body composition analyser from another brand,zcrm_1920545000000156001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:37:07,2016-07-05 19:37:07
zcrm_1920545000000216039,zcrm_1920545000000127001,,Called him yesterday. Has asked for sometime as the owner is busy with events. Will revert back as soon as it is over.,zcrm_1920545000000156005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:38:02,2016-07-05 19:38:02
zcrm_1920545000000216043,zcrm_1920545000000127001,,Had a meeting scheduled with her. She keeps cancelling them. Finally has given a date as 11 th July,zcrm_1920545000000156009,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:39:23,2016-07-05 19:39:23
zcrm_1920545000000216047,zcrm_1920545000000127001,,Had a meeting with them. Not interested since the price is too much.,zcrm_1920545000000162001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:39:56,2016-07-05 19:39:56
zcrm_1920545000000216051,zcrm_1920545000000127001,,Still following up...no updates as of now.,zcrm_1920545000000162009,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:42:29,2016-07-05 19:42:29
zcrm_1920545000000216055,zcrm_1920545000000127001,,Had a meeting with him. He has shut down all the branches.. Now he just has a few students who come at his place. He has no finance to purchase the product,zcrm_1920545000000162013,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:43:38,2016-07-05 19:43:38
zcrm_1920545000000216059,zcrm_1920545000000127001,,Asked me to cal next week. As he is travelling.,zcrm_1920545000000165001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:44:21,2016-07-05 19:44:21
zcrm_1920545000000216063,zcrm_1920545000000127001,,Still no updates. Have been calling him for quite sometime now.,zcrm_1920545000000167001,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:44:49,2016-07-05 19:44:49
zcrm_1920545000000216067,zcrm_1920545000000127001,,Had a meeting with him.He is the manager. Owner stays in USA. Visits once a year. He doesnt have the capital. Asked me to wait till December. When the owner comes. He shall take a decision,zcrm_1920545000000167005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:46:01,2016-07-05 19:46:01
zcrm_1920545000000216071,zcrm_1920545000000127001,,Had a meeting with him. Already has an Inbody device,zcrm_1920545000000177005,zcrm_1920545000000127001,zcrm_1920545000000127001,2016-07-05 19:46:37,2016-07-05 19:46:37
