Record Id,Shared To Id,Permission Type,Sharing Source,Shared By Id,Shared Time,Shared From Id,Share Related Records
zcrm_1920545000009185058,zcrm_1920545000001666003,,0,zcrm_1920545000003466001,2018-07-17 13:51:54,zcrm_1920545000009185038,0
zcrm_1920545000016574103,zcrm_1920545000001666003,,0,zcrm_1920545000016756022,2020-03-27 21:16:11,zcrm_1920545000016574103,0
zcrm_1920545000016925115,zcrm_1920545000001666003,,0,zcrm_1920545000016756022,2020-03-27 20:47:09,zcrm_1920545000016925115,0
zcrm_1920545000013895031,zcrm_1920545000001666011,,0,zcrm_1920545000008345001,2020-04-22 17:51:40,zcrm_1920545000013895025,0
zcrm_1920545000016618018,zcrm_1920545000001666011,,0,zcrm_1920545000008345001,2019-03-26 12:46:14,zcrm_1920545000016618001,0
zcrm_1920545000023717013,zcrm_1920545000001666011,,0,zcrm_1920545000008345001,2020-04-22 17:51:40,zcrm_1920545000013895025,0
zcrm_1920545000026194013,zcrm_1920545000001666011,,0,zcrm_1920545000016756022,2020-03-12 18:28:16,zcrm_1920545000026194013,0
zcrm_1920545000027793022,zcrm_1920545000001666011,,0,zcrm_1920545000001284001,2020-11-21 03:26:01,zcrm_1920545000031042014,0
zcrm_1920545000008614022,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:28,zcrm_1920545000008614022,0
zcrm_1920545000014435189,zcrm_1920545000002567031,,0,zcrm_1920545000012068004,2019-11-08 20:40:05,zcrm_1920545000014435183,0
zcrm_1920545000014712011,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-12-16 18:51:08,zcrm_1920545000014712011,0
zcrm_1920545000038731022,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2021-07-19 20:49:21,zcrm_1920545000038731016,0
zcrm_1920545000005461471,zcrm_1920545000006024039,102,100,zcrm_1920545000001670001,2018-03-08 21:03:12,zcrm_1920545000005461471,0
zcrm_1920545000003520015,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000007265011,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-04-03 23:10:00,zcrm_1920545000007265011,0
zcrm_1920545000007686096,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-04-03 23:10:51,zcrm_1920545000007686096,0
zcrm_1920545000008325015,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:39,zcrm_1920545000008325015,0
zcrm_1920545000010805001,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:21,zcrm_1920545000010805001,0
zcrm_1920545000012241022,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:06,zcrm_1920545000012241022,0
zcrm_1920545000012632028,zcrm_1920545000011572075,,0,zcrm_1920545000008345001,2019-06-28 15:07:34,zcrm_1920545000012632028,0
zcrm_1920545000012978001,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:21:27,zcrm_1920545000012978001,0
zcrm_1920545000012991024,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:20:48,zcrm_1920545000012991024,0
zcrm_1920545000013936027,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:20:22,zcrm_1920545000013936027,0
zcrm_1920545000019555005,zcrm_1920545000011572075,,0,zcrm_1920545000016756022,2021-02-11 15:21:40,zcrm_1920545000019555005,0
zcrm_1920545000020731019,zcrm_1920545000011572075,,0,zcrm_1920545000016756022,2020-03-27 21:48:57,zcrm_1920545000020731019,0
zcrm_1920545000038770025,zcrm_1920545000011572075,,0,zcrm_1920545000008345001,2021-06-25 20:34:22,zcrm_1920545000038770025,0
zcrm_1920545000018589023,zcrm_1920545000022219003,,0,zcrm_1920545000001530001,2020-04-08 18:04:08,zcrm_1920545000024297028,0
zcrm_1920545000026440196,zcrm_1920545000022219003,,0,zcrm_1920545000016756022,2020-03-19 17:08:01,zcrm_1920545000026440196,0
zcrm_1920545000029889112,zcrm_1920545000022219003,,0,zcrm_1920545000016756022,2020-12-16 18:49:59,zcrm_1920545000029889112,0
zcrm_1920545000036282066,zcrm_1920545000022219003,,0,zcrm_1920545000016756022,2021-04-06 01:42:49,zcrm_1920545000036282066,0
