Tag Id,Module Id,Tag Name,Created by ID,Modified by ID,Created Time,Modified Time,Tag Module Ref Id,Status
zcrm_1920545000005143001,zcrm_1920545000000002175,TEST,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-02-26 09:03:11,2018-02-26 09:03:11,1,true
zcrm_1920545000005198001,zcrm_1920545000000002177,TEST,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-02-27 22:30:20,2018-02-27 22:30:20,1,true
zcrm_1920545000005198005,zcrm_1920545000000002179,TEST,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-02-27 22:30:20,2018-02-27 22:30:20,1,true
zcrm_1920545000005198009,zcrm_1920545000000002181,TEST,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-02-27 22:30:20,2018-02-27 22:30:20,1,true
zcrm_1920545000012183001,zcrm_1920545000000002175,Challenge,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-10-12 06:48:58,2018-10-12 06:48:58,2,true
zcrm_1920545000027455094,zcrm_1920545000000002175,follow up,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-05-19 01:08:07,2020-05-19 01:08:07,3,true
zcrm_1920545000027455104,zcrm_1920545000000002175,10D NC Hot Lead,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-05-19 02:20:50,2020-05-19 02:20:50,4,true
zcrm_1920545000028787018,zcrm_1920545000000002181,Dial,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-08-07 05:35:49,2020-08-07 05:35:49,2,true
zcrm_1920545000029969030,zcrm_1920545000000002175,Dealer,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-12 22:37:41,2020-10-12 22:37:41,5,true
zcrm_1920545000029969045,zcrm_1920545000000002177,Dealer,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-12 22:42:33,2020-10-12 22:42:33,2,true
zcrm_1920545000029969049,zcrm_1920545000000002179,Dealer,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-12 22:42:33,2020-10-12 22:42:33,2,true
zcrm_1920545000029969053,zcrm_1920545000000002181,Dealer,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-12 22:42:33,2020-10-12 22:42:33,3,true
zcrm_1920545000030342001,zcrm_1920545000000002181,IMP CLNT,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-29 03:27:47,2020-10-29 03:27:47,4,true
zcrm_1920545000030342179,zcrm_1920545000000002179,IMP CLNT,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-29 10:22:52,2020-10-29 10:22:52,3,true
zcrm_1920545000030342186,zcrm_1920545000000002177,IMP CLNT,zcrm_1920545000016756022,zcrm_1920545000016756022,2020-10-29 10:25:09,2020-10-29 10:25:09,3,true
zcrm_1920545000032739006,zcrm_1920545000032679061,Aaruni,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-01-06 01:49:57,2021-01-06 01:49:57,1,true
zcrm_1920545000036055140,zcrm_1920545000000002175,Channel Partner,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-01 01:24:25,2021-04-01 01:24:25,6,true
zcrm_1920545000036055157,zcrm_1920545000000002175,Sporting Ethos,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-01 01:25:36,2021-04-01 01:25:36,7,true
zcrm_1920545000037758043,zcrm_1920545000000002181,Mahesh_Karn,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-05-22 01:24:08,2021-05-22 01:24:08,5,true
zcrm_1920545000037758050,zcrm_1920545000000002177,Shubham/Karn,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-05-22 01:25:13,2021-05-22 01:25:13,4,true
zcrm_1920545000038825101,zcrm_1920545000000002181,Nihal/Taukheer,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-06-23 18:27:32,2021-06-23 18:27:32,6,true
zcrm_1920545000038994001,zcrm_1920545000000002181,Anees/Mahesh,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-06-28 14:02:36,2021-06-28 14:02:36,7,true
zcrm_1920545000038994002,zcrm_1920545000000002181,Commission_Anees only,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-06-28 14:02:36,2021-06-28 14:02:36,8,true
