Company_Name,Category,Address,Url,Latitude,Longitude,Territory
S.R. Drugs House,Medical clinic,"Lekhi Village, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/S.R.+Drugs+House/data=!4m5!3m4!1s0x3743ff2ae452cf11:0xb3919f5e23617431!8m2!3d27.1249797!4d93.7252563?authuser=0&hl=en&rclk=1,27.1249797,93.7252563,Arunachal Pradesh
Niba Hospital,Hospital,"Naharlagun Pappunalla, Itanagar, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Niba+Hospital/data=!4m5!3m4!1s0x374400c9d84a2901:0xe6c4d2fec82e72da!8m2!3d27.0974077!4d93.67714?authuser=0&hl=en&rclk=1,27.0974077,93.67714,Arunachal Pradesh
Medical Health Centre,Hospital,"MV79+Q8M, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Medical+Health+Centre/data=!4m5!3m4!1s0x373efa59c089aee7:0xbf9e6503afc4847c!8m2!3d27.6644704!4d95.8683065?authuser=0&hl=en&rclk=1,27.6644704,95.8683065,Arunachal Pradesh
Heema Hospital,Hospital,"NH415, Cona County, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Heema+Hospital/data=!4m5!3m4!1s0x3744072190a3f1d9:0x17fa1315030b82ee!8m2!3d27.1008661!4d93.6281061?authuser=0&hl=en&rclk=1,27.1008661,93.6281061,Arunachal Pradesh
Primary Health Centre Kharsang,Hospital,"Miao Road, Miao, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/Primary+Health+Centre+Kharsang/data=!4m5!3m4!1s0x373eebb84e5007a9:0x3f1230e9c258f1f7!8m2!3d27.4219851!4d96.0218073?authuser=0&hl=en&rclk=1,27.4219851,96.0218073,Arunachal Pradesh
Manmow Sub-Centre,Hospital,"National Highway 52, 6th Mile Camp, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Manmow+Sub-Centre/data=!4m5!3m4!1s0x373efa75a6747b1f:0x5b49d0b9d15df0dd!8m2!3d27.6791826!4d95.8968285?authuser=0&hl=en&rclk=1,27.6791826,95.8968285,Arunachal Pradesh
Samaritan Hormin Hospital,Hospital,"A Sector, Papum Pare, NH-52A, Itanagar Rd, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Samaritan+Hormin+Hospital/data=!4m5!3m4!1s0x3744008eb6cd3455:0x59e709aa13d1ac21!8m2!3d27.1085492!4d93.6974067?authuser=0&hl=en&rclk=1,27.1085492,93.6974067,Arunachal Pradesh
Physiotherapy & Rehabilitation Clinic,Hospital,"PWM6+V47, Lathao, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Physiotherapy+%26+Rehabilitation+Clinic/data=!4m5!3m4!1s0x373ef7f914979691:0xc590ed814ed06232!8m2!3d27.7346556!4d95.9102962?authuser=0&hl=en&rclk=1,27.7346556,95.9102962,Arunachal Pradesh
"Gyati Takka General Hospital, Ziro",Government hospital,"Hospital Road, Cona County, Ziro, Arunachal Pradesh 791120","https://www.google.co.kr/maps/place/Gyati+Takka+General+Hospital,+Ziro/data=!4m5!3m4!1s0x374160d47dc4c7ff:0xf080831d047caddf!8m2!3d27.5390107!4d93.8219742?authuser=0&hl=en&rclk=1",27.5390107,93.8219742,Arunachal Pradesh
Samaritan Hormin Hospital,Hospital,"NH415, A - Sector, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Samaritan+Hormin+Hospital/data=!4m5!3m4!1s0x37440112e9f11ae1:0xa8566f270d71412b!8m2!3d27.0263692!4d93.6239946?authuser=0&hl=en&rclk=1,27.0263692,93.6239946,Arunachal Pradesh
Zonal General hospital Tezu,Hospital,"W5H5+64Q, Tezu, Arunachal Pradesh 792001, India",https://www.google.co.kr/maps/place/Zonal+General+hospital+Tezu/data=!4m5!3m4!1s0x373e65d354b9f6df:0x9073a1b5328bb947!8m2!3d27.9280885!4d96.1578466?authuser=0&hl=en&rclk=1,27.9280885,96.1578466,Arunachal Pradesh
APNC,Medical clinic,"Nursing Council, C- Sector, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/APNC/data=!4m5!3m4!1s0x3744009485555555:0xa3cc2fcfbf01de45!8m2!3d27.1040339!4d93.6870462?authuser=0&hl=en&rclk=1,27.1040339,93.6870462,Arunachal Pradesh
Tomo Riba Institute Of Health And Medical Sciences,Hospital,"National Highway 52A, Old Assembly Complex, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Tomo+Riba+Institute+Of+Health+And+Medical+Sciences/data=!4m5!3m4!1s0x37440092bd9b4271:0xff711dc44d5e5ef9!8m2!3d27.1038855!4d93.6910961?authuser=0&hl=en&rclk=1,27.1038855,93.6910961,Arunachal Pradesh
Ratan Clinic,Hospital,"R6W9+9VG, Ruksin, Arunachal Pradesh 787060, India",https://www.google.co.kr/maps/place/Ratan+Clinic/data=!4m5!3m4!1s0x373f82b6eedd6419:0x2e7b0e6a951a678e!8m2!3d27.8459469!4d95.2196877?authuser=0&hl=en&rclk=1,27.8459469,95.2196877,Arunachal Pradesh
Kruna Trust,Hospital,"792001, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/Kruna+Trust/data=!4m5!3m4!1s0x373e644902d44a91:0xce180aa23552c650!8m2!3d27.9185759!4d96.1772115?authuser=0&hl=en&rclk=1,27.9185759,96.1772115,Arunachal Pradesh
Pulmocare Clinic,Hospital,"E Sector, Papum Pare, NH-52A, Itanagar Road, Naharlagun, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Pulmocare+Clinic/data=!4m5!3m4!1s0x37440092e9bbd2bd:0x4bffb8cff59af2dc!8m2!3d27.103312!4d93.691059?authuser=0&hl=en&rclk=1,27.103312,93.691059,Arunachal Pradesh
Ista Pulu Health Center,Hospital,"Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Ista+Pulu+Health+Center/data=!4m5!3m4!1s0x373e491979f8f823:0x5b0cb74d14e21d86!8m2!3d28.1362489!4d95.8398081?authuser=0&hl=en&rclk=1,28.1362489,95.8398081,Arunachal Pradesh
Dr Lal PathLabs,Diagnostic center,"NATIONAL HIGHWAY 52 A, MAIN ROAD, opp. TOMO RIBA GENERAL HOSPITAL, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Dr+Lal+PathLabs/data=!4m5!3m4!1s0x37440092c828395d:0x92d6fdaf0ca1e624!8m2!3d27.102304!4d93.691481?authuser=0&hl=en&rclk=1,27.102304,93.691481,Arunachal Pradesh
Primary Health Center Koronu,Hospital,"3W7G+6P3, Dibang Valley, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Primary+Health+Center+Koronu/data=!4m5!3m4!1s0x373e45c45b7ed2d1:0x8d4c6858b2aca0ae!8m2!3d28.0630191!4d95.9267924?authuser=0&hl=en&rclk=1,28.0630191,95.9267924,Arunachal Pradesh
NERIST Health Unit,Hospital,"Doimukh Road, Cona County, Nirjuli, Arunachal Pradesh 791109",https://www.google.co.kr/maps/place/NERIST+Health+Unit/data=!4m5!3m4!1s0x3743fffbd8230ef7:0x53314464629955a2!8m2!3d27.1300068!4d93.7365586?authuser=0&hl=en&rclk=1,27.1300068,93.7365586,Arunachal Pradesh
"Govt Civil Hospital, Chongkham",Hospital,"R25R+Q34, Arunachal Pradesh 792102, India","https://www.google.co.kr/maps/place/Govt+Civil+Hospital,+Chongkham/data=!4m5!3m4!1s0x373e5f91408cef51:0x4bafe9d2744044a8!8m2!3d27.8093839!4d96.0402037?authuser=0&hl=en&rclk=1",27.8093839,96.0402037,Arunachal Pradesh
Ramakrishna Mission Hospital,Hospital,"P.O. R.K. Mission, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Ramakrishna+Mission+Hospital/data=!4m5!3m4!1s0x374407b22d0f830f:0xc1127903b8c7048a!8m2!3d27.0856246!4d93.6090296?authuser=0&hl=en&rclk=1,27.0856246,93.6090296,Arunachal Pradesh
Emmanuel BTM Hospital,Hospital,"National Highway 52A Pappu Nallah, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Emmanuel+BTM+Hospital/data=!4m5!3m4!1s0x374400c3f0230039:0xcaeee58f8ce7ca0d!8m2!3d27.0952157!4d93.6780951?authuser=0&hl=en&rclk=1,27.0952157,93.6780951,Arunachal Pradesh
Asali Sub Centre,Hospital,"Vill - Asali, Dist, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Asali+Sub+Centre/data=!4m5!3m4!1s0x373e4982feb235fb:0x1ff2ec14bf12d508!8m2!3d28.131878!4d95.8224337?authuser=0&hl=en&rclk=1,28.131878,95.8224337,Arunachal Pradesh
"District Hospital, Longding",Hospital,"Khonsa - Longding Rd, Longding H.Q., Arunachal Pradesh 792131, India","https://www.google.co.kr/maps/place/District+Hospital,+Longding/data=!4m5!3m4!1s0x3738b7f486e40275:0xd2b4a369acc0c565!8m2!3d26.8886516!4d95.3754487?authuser=0&hl=en&rclk=1",26.8886516,95.3754487,Arunachal Pradesh
Mahadevpur Government Hospital,Hospital,"JRP6+X3R, Mahadevpur, Arunachal Pradesh 792105, India",https://www.google.co.kr/maps/place/Mahadevpur+Government+Hospital/data=!4m5!3m4!1s0x373efca196849349:0xdf2c6839f0bafb3d!8m2!3d27.6374849!4d95.8101348?authuser=0&hl=en&rclk=1,27.6374849,95.8101348,Arunachal Pradesh
PHC BORDURIA,Hospital,"2FGC+XJG, Borduria, Arunachal Pradesh 792130, India",https://www.google.co.kr/maps/place/PHC+BORDURIA/data=!4m5!3m4!1s0x3738cbd269bcb577:0x9c1ac3b53a10e5d!8m2!3d27.0274409!4d95.4715817?authuser=0&hl=en&rclk=1,27.0274409,95.4715817,Arunachal Pradesh
District Hospital,Hospital,"Town Rd, Changlang, Arunachal Pradesh 792120, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x373ed5fa1814e77f:0x41b561a74e2b12b!8m2!3d27.1392588!4d95.7387578?authuser=0&hl=en&rclk=1,27.1392588,95.7387578,Arunachal Pradesh
"District Hospital, Bomdila",Hospital,"7C8C+632, Cona, Bomdila, Arunachal Pradesh 790001","https://www.google.co.kr/maps/place/District+Hospital,+Bomdila/data=!4m5!3m4!1s0x375cac61e8b18c43:0x392c3f438f1fe201!8m2!3d27.2655236!4d92.4201492?authuser=0&hl=en&rclk=1",27.2655236,92.4201492,Arunachal Pradesh
Uma Ayurvedic and Acupressure Clinic,Hospital,"0 point itanagar NH-52A, Main Road, opposite hotel movie, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Uma+Ayurvedic+and+Acupressure+Clinic/data=!4m5!3m4!1s0x3744070d287d0d57:0xf060a993714e2d6a!8m2!3d27.1084834!4d93.6987608?authuser=0&hl=en&rclk=1,27.1084834,93.6987608,Arunachal Pradesh
District Hospital Yingkiong,Hospital,"J2RG+M49, Mêdog County, Yingkiong, Arunachal Pradesh 791002",https://www.google.co.kr/maps/place/District+Hospital+Yingkiong/data=!4m5!3m4!1s0x376aab0ee325b7e5:0xe67fea1f27ae04b8!8m2!3d28.6416618!4d95.0253493?authuser=0&hl=en&rclk=1,28.6416618,95.0253493,Arunachal Pradesh
DAMBUK PHC,Hospital,"7J87+VGM, Mêdog County, Dambuk, Arunachal Pradesh 792110",https://www.google.co.kr/maps/place/DAMBUK+PHC/data=!4m5!3m4!1s0x373fc92fe4384059:0x2910999660165927!8m2!3d28.2672179!4d95.6138098?authuser=0&hl=en&rclk=1,28.2672179,95.6138098,Arunachal Pradesh
Dr Lal PathLabs,Diagnostic center,"opp. BSNL Office, Bank Tiniali, Cona County, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Dr+Lal+PathLabs/data=!4m5!3m4!1s0x374407b44275e53d:0x307af87d7f98ff6c!8m2!3d27.084368!4d93.605316?authuser=0&hl=en&rclk=1,27.084368,93.605316,Arunachal Pradesh
District Hospital,Hospital,"4RRR+H77, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x373e49bb5f7d95b9:0xc3f4cfb22e041454!8m2!3d28.1414026!4d95.8406634?authuser=0&hl=en&rclk=1,28.1414026,95.8406634,Arunachal Pradesh
TB Hospital,Hospital,"NH 52, Medog, Pasighat, Arunachal Pradesh 791102",https://www.google.co.kr/maps/place/TB+Hospital/data=!4m5!3m4!1s0x373f96c55f174d85:0xac7f7b04bf5aceae!8m2!3d28.0691403!4d95.3208268?authuser=0&hl=en&rclk=1,28.0691403,95.3208268,Arunachal Pradesh
sub Center Sitpani Miri,Hospital,"JQ9J+6RV, Dakhin Bishrampur, Assam 792105, India",https://www.google.co.kr/maps/place/sub+Center+Sitpani+Miri/data=!4m5!3m4!1s0x373efcd2a4c6f135:0xf063e3c1bf6f399!8m2!3d27.6181136!4d95.7820537?authuser=0&hl=en&rclk=1,27.6181136,95.7820537,Arunachal Pradesh
District TB Centre,Hospital,"District TB Centre,, Roing, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/District+TB+Centre/data=!4m5!3m4!1s0x373e49bcabc066d7:0x2f3e4e41e49fc38d!8m2!3d28.1404453!4d95.8404203?authuser=0&hl=en&rclk=1,28.1404453,95.8404203,Arunachal Pradesh
District Hospital,Hospital,"Swami Camp, Dist, Anjaw, Hayuliang, Arunachal Pradesh",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x373ddd105fafe159:0x3c0675da2bf53639!8m2!3d28.082338!4d96.5085299?authuser=0&hl=en&rclk=1,28.082338,96.5085299,Arunachal Pradesh
Jonekareng Primary Health Centre,Hospital,"Q5J8+6PP, Dhemaji, Assam 787060, India",https://www.google.co.kr/maps/place/Jonekareng+Primary+Health+Centre/data=!4m5!3m4!1s0x373f791e3487413d:0x735f0513f0275ebd!8m2!3d27.7805925!4d95.1668265?authuser=0&hl=en&rclk=1,27.7805925,95.1668265,Arunachal Pradesh
"KBM Hospital, Injan",Hospital,"C2GX+PMM, Arunachal Pradesh 792122, India","https://www.google.co.kr/maps/place/KBM+Hospital,+Injan/data=!4m5!3m4!1s0x373eeaa253ad9527:0x8e9ecf0a08eade1d!8m2!3d27.426847!4d96.0491873?authuser=0&hl=en&rclk=1",27.426847,96.0491873,Arunachal Pradesh
"General Hospital, Aalo",Hospital,"5QCX+HGQ, Mêdog County, Aalo, Arunachal Pradesh 791001","https://www.google.co.kr/maps/place/General+Hospital,+Aalo/data=!4m5!3m4!1s0x37406b77a1ed98dd:0xf8d895c40de9170a!8m2!3d28.1714525!4d94.7988689?authuser=0&hl=en&rclk=1",28.1714525,94.7988689,Arunachal Pradesh
Civil Hospital,Hospital,"4RRR+J6X, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x373e49bc9ff5fc75:0x601715843bee35ce!8m2!3d28.1416175!4d95.8406201?authuser=0&hl=en&rclk=1,28.1416175,95.8406201,Arunachal Pradesh
District Hospital Tawang,Government hospital,"HVQ7+HXC, Cona, Tawang, Arunachal Pradesh 790104",https://www.google.co.kr/maps/place/District+Hospital+Tawang/data=!4m5!3m4!1s0x375cf5a94148124f:0x73a24884d6c28400!8m2!3d27.5889424!4d91.864897?authuser=0&hl=en&rclk=1,27.5889424,91.864897,Arunachal Pradesh
"Primary Health Center Riga, Siang District Arunachal Pradesh, India",Medical Center,"Primary Health Center, Mêdog County, Riga, Arunachal Pradesh 791102","https://www.google.co.kr/maps/place/Primary+Health+Center+Riga,+Siang+District+Arunachal+Pradesh,+India/data=!4m5!3m4!1s0x3740079a7279cdbf:0xa57c1ac281ab1e54!8m2!3d28.4116679!4d95.047276?authuser=0&hl=en&rclk=1",28.4116679,95.047276,Arunachal Pradesh
