Company_Name,Category,Address,Url,latitude,longtitude
Dr. Preeti Sharma (Pulmonologist) - Grecian Hospital,Pulmonologist,"OPD 135, Block B, First Floor Ext: 276, Sector 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",https://www.google.co.kr/maps/place/Dr.+Preeti+Sharma+(Pulmonologist)+-+Grecian+Hospital/data=!4m5!3m4!1s0x390fef29a0a2327d:0x8c5a9fc6b81876b4!8m2!3d30.692499!4d76.7206652?authuser=0&hl=en&rclk=1,30.692499,76.7206652
Apollo Clinic- Best Orthopaedic and Joint Replacement in Chandigarh,Hospital,"SCO 10-11 NEAR GOPAL SWEETS, Madhya Marg, Sector 8C, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Apollo+Clinic-+Best+Orthopaedic+and+Joint+Replacement+in+Chandigarh/data=!4m5!3m4!1s0x390fed0d63fa7fff:0x4a2871d698c798f6!8m2!3d30.7403361!4d76.7923828?authuser=0&hl=en&rclk=1,30.7403361,76.7923828
A Clinic,Medical clinic,"Near, Government Hospital, SCO 71, Level 1, Sector 30-C, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/A+Clinic/data=!4m5!3m4!1s0x390fec346b2afa77:0xc9faed4627548cac!8m2!3d30.7127075!4d76.7522199?authuser=0&hl=en&rclk=1,30.7127075,76.7522199
Health Clinic,Medical clinic,"Village Dadu Majra Mly Maloya, Manimajra, Manimajra, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x390f9331ad749419:0x7ded89c5169f7a57!8m2!3d30.7119422!4d76.8345485?authuser=0&hl=en&rclk=1,30.7119422,76.8345485
Chandigarh Clinic,Medical clinic,"759/2, 759/2, Thakur Dwara Rd, Mohalla Jattan Wala, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/Chandigarh+Clinic/data=!4m5!3m4!1s0x390f932e2f7d4423:0xbf3188832f2d1b!8m2!3d30.714564!4d76.8339058?authuser=0&hl=en&rclk=1,30.714564,76.8339058
Healthcare clinic,Medical clinic,"#HM 26, Phase 2, Opp. Gian jyoti school, Sahibzada Ajit Singh Nagar, Chandigarh 160055, India",https://www.google.co.kr/maps/place/Healthcare+clinic/data=!4m5!3m4!1s0x390fee7a0ec27613:0xea96de5984584243!8m2!3d30.7251798!4d76.7269202?authuser=0&hl=en&rclk=1,30.7251798,76.7269202
Panacea Clinic,Medical clinic,"1160, Sector 33C, Sector 33, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Panacea+Clinic/data=!4m5!3m4!1s0x390fedec958b8a81:0xdad179c959e8b5fc!8m2!3d30.711078!4d76.769981?authuser=0&hl=en&rclk=1,30.711078,76.769981
Aarogya Clinic,Medical clinic,"1280, Sector 29 B, Sector 30, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/Aarogya+Clinic/data=!4m5!3m4!1s0x390fedf524443645:0xf7d4eb017dbdb3c1!8m2!3d30.7158545!4d76.7920393?authuser=0&hl=en&rclk=1,30.7158545,76.7920393
The Sleep Clinic,Medical clinic,"SCO 122-123, Ground Floor, Sector 8 C, Madhya Marg, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/The+Sleep+Clinic/data=!4m5!3m4!1s0x390fed79a655d1e3:0xc423c0e3e8fc47!8m2!3d30.737197!4d76.7949487?authuser=0&hl=en&rclk=1,30.737197,76.7949487
Sai Clinic,Medical clinic,"SCO 214 GROUND FLOOR ,, SECTOR 40-D, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Sai+Clinic/data=!4m5!3m4!1s0x390feda6178c691f:0x1c65e732d5988047!8m2!3d30.736324!4d76.735095?authuser=0&hl=en&rclk=1,30.736324,76.735095
Diet Clinic,Medical clinic,"1336, Sector 18-C, Sector 18, Chandigarh, 160018, India",https://www.google.co.kr/maps/place/Diet+Clinic/data=!4m5!3m4!1s0x390fed0606074679:0x4f12e4d9e7b6caa5!8m2!3d30.7309487!4d76.7852303?authuser=0&hl=en&rclk=1,30.7309487,76.7852303
Divya Clinic & Clinical Laboratory - Vaccination Centre In Chandigarh,Medical clinic,"SCF 45-46 Circular Road, Burail, Sector 45, Chandigarh, 160045, India",https://www.google.co.kr/maps/place/Divya+Clinic+%26+Clinical+Laboratory+-+Vaccination+Centre+In+Chandigarh/data=!4m5!3m4!1s0x390f9331ad749419:0xda93de97f4891b40!8m2!3d30.7061849!4d76.7574383?authuser=0&hl=en&rclk=1,30.7061849,76.7574383
Get Well Clinic,Medical clinic,"Shop No. 9, 1st Floor, Sector 20D, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Get+Well+Clinic/data=!4m5!3m4!1s0x390fedaa87715809:0x4e184a47d10dcc40!8m2!3d30.7224847!4d76.7793019?authuser=0&hl=en&rclk=1,30.7224847,76.7793019
