Company_Name,Category,Address,Url,latitude,longtitude
Dr Chetana Naik Ear Nose Throat & Vertigo Clinic,Medical clinic,"F58,First floor, Vikrant building (lll), above SBI bank, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Dr+Chetana+Naik+Ear+Nose+Throat+%26+Vertigo+Clinic/data=!4m5!3m4!1s0x3bbfb3013cbd7031:0x16ba2834cd585ab5!8m2!3d15.2703247!4d73.9637848?authuser=0&hl=en&rclk=1,15.2703247,73.9637848
Manipal Hospitals Goa,Private hospital,"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Manipal+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfc0cb6f59b763:0x5fef15ef316a7759!8m2!3d15.4600059!4d73.813462?authuser=0&hl=en&rclk=1,15.4600059,73.813462
Polyclinic,Medical clinic,"Azad Maidan, Rua Do Ormuz, Opposite Bank Of India, Panaji, Panaji, Goa, 403001, India",https://www.google.co.kr/maps/place/Polyclinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0xec878a6ff8e88d1e!8m2!3d15.4955876!4d73.8251581?authuser=0&hl=en&rclk=1,15.4955876,73.8251581
Navchaitanya madkaikar clinic old goa,Medical clinic,"H.NO 290/1 ASHIYANA, behind BOM JESUS CHURCH, ELLLA, Goa Velha, Goa 403402, India",https://www.google.co.kr/maps/place/Navchaitanya+madkaikar+clinic+old+goa/data=!4m5!3m4!1s0x3bbfbf75c7044ec3:0x627e3cb07d3dc7d2!8m2!3d15.4995664!4d73.9124987?authuser=0&hl=en&rclk=1,15.4995664,73.9124987
Gracias Clinic,Medical clinic,"Anandi Building, Chaudi, Canacona, Goa 403702, India",https://www.google.co.kr/maps/place/Gracias+Clinic/data=!4m5!3m4!1s0x3bbe5abc7e99416d:0x5b1612794ea1d190!8m2!3d15.0070604!4d74.0479772?authuser=0&hl=en&rclk=1,15.0070604,74.0479772
Dr Subhash Shikre Clinic,Free clinic,"Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Dr+Subhash+Shikre+Clinic/data=!4m5!3m4!1s0x3bbfc1d7454f916d:0xbb4098997e8a6459!8m2!3d15.4905463!4d73.8325372?authuser=0&hl=en&rclk=1,15.4905463,73.8325372
Panjim Multispeciality Clinic,Gynecologist,"S-3, 2nd Floor, Above Crossword Book Store, Landscape Excelsior Building Opposite Kala Academy Exit Gate, No. 1, Dayanand Bandodkar Marg, Campal, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Panjim+Multispeciality+Clinic/data=!4m5!3m4!1s0x3bbfc16ea36eb807:0x9492799fa9a52e8a!8m2!3d15.4926341!4d73.817775?authuser=0&hl=en&rclk=1,15.4926341,73.817775
Klink Jana,Medical clinic,"102, Pasheco Complex, Margao, Margao, next to Popular High School, Goa, 403601, India",https://www.google.co.kr/maps/place/Klink+Jana/data=!4m5!3m4!1s0x3bbfb3e9c143a8a7:0x4367135a4f52f4bb!8m2!3d15.2743352!4d73.956091?authuser=0&hl=en&rclk=1,15.2743352,73.956091
AUMEO CLINIC,Medical clinic,"Shop no 03, Bhanav Apartments, Dr P Shivgaonkar Rd, Near Mahalaxmi Temple, Altinho, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/AUMEO+CLINIC/data=!4m5!3m4!1s0x3bbfc08ebe4f22fd:0x2b0f663dfe8327a4!8m2!3d15.4967145!4d73.8259853?authuser=0&hl=en&rclk=1,15.4967145,73.8259853
Victor Hospital,General hospital,"Old Station Rd, near Carmelite Monastery, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Victor+Hospital/data=!4m5!3m4!1s0x3bbfb3c6c5c4520d:0xa4045e195fdd67b3!8m2!3d15.2689598!4d73.9663188?authuser=0&hl=en&rclk=1,15.2689598,73.9663188
