Company_Name,Category,Address,Url,latitude,longtitude
Apollo Clinic,Medical clinic,"Mann Complex, Anand Mahal Rd, Opposite Shree Ram Petrol Pump, Girinagar Society, Muktanand Nagar, Adajan, Surat, Gujarat 395009, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3be04dd34e1206c7:0xef71ae6d6aa24966!8m2!3d21.1959394!4d72.797561?authuser=0&hl=en&rclk=1,21.1959394,72.797561
"Pain Care Clinic - Back Pain, Neck Pain, Sciatica, Arthritis Treatment in Ahmedabad",Hospital,"Six roads, 6th Floor, Addor Ambition , Beside Vimal house, Saviour Hospital to Navrang School, near Lakhudi Circle, Ahmedabad, Gujarat 380014, India","https://www.google.co.kr/maps/place/Pain+Care+Clinic+-+Back+Pain,+Neck+Pain,+Sciatica,+Arthritis+Treatment+in+Ahmedabad/data=!4m5!3m4!1s0x395e84f70e819961:0x124c80425f6b9c7d!8m2!3d23.0463437!4d72.5583304?authuser=0&hl=en&rclk=1",23.0463437,72.5583304
Dr Deepak Chhatbar,Hospital,"First floor, Shyam Shikhar Complex, Cross Road, India Colony, Lal Bahadur Shastri Rd, Opp. Dinesh Chamber, Bapunagar, Ahmedabad, Gujarat 380024, India",https://www.google.co.kr/maps/place/Dr+Deepak+Chhatbar/data=!4m5!3m4!1s0x395e869121e83e4b:0x4aeaf8c8751f72cc!8m2!3d23.038952!4d72.630145?authuser=0&hl=en&rclk=1,23.038952,72.630145
"Shalby Hospital, Surat",Hospital,"Nr. Navyug College, Rander Rd, Adajan, Surat, Gujarat 395009, India","https://www.google.co.kr/maps/place/Shalby+Hospital,+Surat/data=!4m5!3m4!1s0x3be04c2bd38b220d:0xfd16cdc3f794f73b!8m2!3d21.2023112!4d72.8009972?authuser=0&hl=en&rclk=1",21.2023112,72.8009972
Zydus Hospitals,Hospital,"Zydus Hospitals Road, Nr. Sola Bridge, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380054, India",https://www.google.co.kr/maps/place/Zydus+Hospitals/data=!4m5!3m4!1s0x395e9b5e464673c1:0x4aa886904308b889!8m2!3d23.0585079!4d72.517465?authuser=0&hl=en&rclk=1,23.0585079,72.517465
Parsani clinic Danta Gujarat india,Medical clinic,"Danta, Gujarat 385120, India",https://www.google.co.kr/maps/place/Parsani+clinic+Danta+Gujarat+india/data=!4m5!3m4!1s0x395d1c29ffb42505:0x9bc0482898f45414!8m2!3d24.193029!4d72.7658676?authuser=0&hl=en&rclk=1,24.193029,72.7658676
Gujarat Kidney And Superspeciality Hospital Vadodara,Hospital,"New India Mill Compound Nr Jetalpur Bridge, Jetalpur Rd, Vadodara, Gujarat 390020, India",https://www.google.co.kr/maps/place/Gujarat+Kidney+And+Superspeciality+Hospital+Vadodara/data=!4m5!3m4!1s0x395fc8a5599b023d:0xea25bf1ff850e17a!8m2!3d22.3073146!4d73.1760006?authuser=0&hl=en&rclk=1,22.3073146,73.1760006
Wellspring IVF & Women's Hospital,Hospital,"440, 4th Floor, Titanium City Center Mall, 100 Ft, 100 Feet Anand Nagar Rd, near Sachin Tower, Anand Nagar, Satellite, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/Wellspring+IVF+%26+Women's+Hospital/data=!4m5!3m4!1s0x395e84d50de8e19f:0x1e71b5ce1cc897dc!8m2!3d23.0126838!4d72.5227348?authuser=0&hl=en&rclk=1,23.0126838,72.5227348
Dr.Roopal Jani's TrichoTreat-Homeopathic Hair Care Clinic,Medical clinic,"ANUGRAH, 1st Floor, 41-SHANTINIKETAN SOCIETY NR KOTECHA CHOWK, University Road, opp. BANK OF INDIA, Rajkot, Gujarat 360007, India",https://www.google.co.kr/maps/place/Dr.Roopal+Jani's+TrichoTreat-Homeopathic+Hair+Care+Clinic/data=!4m5!3m4!1s0x3959cb3e93cb7b2f:0x9f14fdf512dd1e78!8m2!3d22.2902571!4d70.7772574?authuser=0&hl=en&rclk=1,22.2902571,70.7772574
Apollo Clinic,Medical clinic,"GF-II, Baleshwar Square, Opp Isckon Temple, Near casela towers Off S G Highway, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x395e9b39a9daf811:0xc336bd9eed99a5df!8m2!3d23.0289014!4d72.5088134?authuser=0&hl=en&rclk=1,23.0289014,72.5088134
Talha Clinic,Medical clinic,"XGV9+JH8, Quresh Nagar Society, Juhapura, Ahmedabad, Gujarat 380051, India",https://www.google.co.kr/maps/place/Talha+Clinic/data=!4m5!3m4!1s0x395e9bdc2254cca5:0x86c8d70923f94866!8m2!3d22.9940496!4d72.5189673?authuser=0&hl=en&rclk=1,22.9940496,72.5189673
Akanksha Hospital - Best IVF Hospital |Best Infertility Hospital |Best Surrogacy Hospital | Awarded Best IVF and Surrogacy Hospital In India| Best IVF Centre India,Fertility clinic,"Lambhvel Road, Opp.Guruvilla Bungalows, Lambhvel, Anand, Gujarat 387310, India",https://www.google.co.kr/maps/place/Akanksha+Hospital+-+Best+IVF+Hospital+%7CBest+Infertility+Hospital+%7CBest+Surrogacy+Hospital+%7C+Awarded+Best+IVF+and+Surrogacy+Hospital+In+India%7C+Best+IVF+Centre+India/data=!4m5!3m4!1s0x395e4f2da6ff2101:0xb715ed3901342b57!8m2!3d22.5828266!4d72.9425773?authuser=0&hl=en&rclk=1,22.5828266,72.9425773
Clinic,Medical clinic,"GJ SH 5, Khandivav, Gujarat 389390, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39606fe7619362d3:0x56a60fa3c00ef1ef!8m2!3d22.2956532!4d73.7247902?authuser=0&hl=en&rclk=1,22.2956532,73.7247902
"Navkar Surgical Hospital - Best Laparoscopy Hernia Hospital, Gastro, General Surgery, Fistula Center, Advance Laparoscopy, Gastro Intestinal",Hospital,"3/A, near State Bank of India, Vikramnagar Society, Usmanpura, Ahmedabad, Gujarat 380013, India","https://www.google.co.kr/maps/place/Navkar+Surgical+Hospital+-+Best+Laparoscopy+Hernia+Hospital,+Gastro,+General+Surgery,+Fistula+Center,+Advance+Laparoscopy,+Gastro+Intestinal/data=!4m5!3m4!1s0x395e8463d32f5a07:0x99ceea6a79fd329e!8m2!3d23.0488235!4d72.5666032?authuser=0&hl=en&rclk=1",23.0488235,72.5666032
Sunflower Hospital,Hospital,"132 Feet Ring Rd, near Manav Mandir, Memnagar, Ahmedabad, Gujarat 380052, India",https://www.google.co.kr/maps/place/Sunflower+Hospital/data=!4m5!3m4!1s0x395e84bce6598cbf:0x5c40d9222a5f38f4!8m2!3d23.0459091!4d72.5413197?authuser=0&hl=en&rclk=1,23.0459091,72.5413197
shivam clinic,Medical clinic,"4-nijanand shopping complex, opp. mama saheb temple, bapasitaram chowk, raiya road, Rajkot, Gujarat 360005, India",https://www.google.co.kr/maps/place/shivam+clinic/data=!4m5!3m4!1s0x3959c97f0b6f7e39:0x5e78fc8601e71579!8m2!3d22.299015!4d70.74451?authuser=0&hl=en&rclk=1,22.299015,70.74451
