Company_Name,Category,Address,Url,Latitude,Longitude,State
Clinic,Medical clinic,"Unnamed Road, Dhin, Haryana 133202, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390e54a7c50f9927:0xcb60a074d8769d42!8m2!3d30.242675!4d77.1045181?authuser=0&hl=en&rclk=1,30.242675,77.1045181,Haryana
Clinic,Medical clinic,"Tikona Park, Hazi Sarai, Hansi, Haryana 125033, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x391239560e65a8af:0x59137ad88a8dc6d7!8m2!3d29.1009238!4d75.9582551?authuser=0&hl=en&rclk=1,29.1009238,75.9582551,Haryana
Clinic,Medical clinic,"76PM+GXX, Rajpura, Haryana 126102, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39121af1eb673b77:0x75024684223b9727!8m2!3d29.2863543!4d76.2349814?authuser=0&hl=en&rclk=1,29.2863543,76.2349814,Haryana
Life Care Hospital,Hospital,"Near, Gufa Mandir Rd, Model Town, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Life+Care+Hospital/data=!4m5!3m4!1s0x390d851c30af7427:0xbf007a3151601c22!8m2!3d28.8919974!4d76.6076998?authuser=0&hl=en&rclk=1,28.8919974,76.6076998,Haryana
Manvi Clinic,Medical clinic,"987P+5HX, Sector 8, Faridabad, Haryana 121006, India",https://www.google.co.kr/maps/place/Manvi+Clinic/data=!4m5!3m4!1s0x390cdc8f80dedd59:0xaba5f1c85e0c0fdd!8m2!3d28.3629971!4d77.3364772?authuser=0&hl=en&rclk=1,28.3629971,77.3364772,Haryana
"SEHAT CLINIC, MADLAUDA",Medical clinic,"SH 14, Madlauda, Haryana 132113, India","https://www.google.co.kr/maps/place/SEHAT+CLINIC,+MADLAUDA/data=!4m5!3m4!1s0x390de7b0280071cf:0xcc6ee6a91ba2dcc9!8m2!3d29.3932884!4d76.8066711?authuser=0&hl=en&rclk=1",29.3932884,76.8066711,Haryana
W Pratiksha Hospital: Multispeciality Clinic,Medical clinic,"4307, DLF Phase IV, Sector 28, Gurugram, Haryana 122022, India",https://www.google.co.kr/maps/place/W+Pratiksha+Hospital:+Multispeciality+Clinic/data=!4m5!3m4!1s0x390d18e6933f9ec1:0xf103a917e7a0afbf!8m2!3d28.466451!4d77.082204?authuser=0&hl=en&rclk=1,28.466451,77.082204,Haryana
Express clinic Gurugram,Medical clinic,"SCO – 58, Ground Floor, Huda Shopping Centre, Sector 56, Gurugram, Haryana 122002, India",https://www.google.co.kr/maps/place/Express+clinic+Gurugram/data=!4m5!3m4!1s0x390d1f2a83be8623:0xb36b8b56f0f76866!8m2!3d28.4284543!4d77.0988258?authuser=0&hl=en&rclk=1,28.4284543,77.0988258,Haryana
Clinic,Medical clinic,"Sunarian, Haryana 124001, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x390d843e657ab8b7:0x3f3f044cf613f451!8m2!3d28.8594127!4d76.5670242?authuser=0&hl=en&rclk=1,28.8594127,76.5670242,Haryana
Dhir Clinic,Medical clinic,"House no, 179, Sector 4, Panchkula, Haryana 134112, India",https://www.google.co.kr/maps/place/Dhir+Clinic/data=!4m5!3m4!1s0x390f937b3021a457:0xf6b3695ee8aecb16!8m2!3d30.689828!4d76.864302?authuser=0&hl=en&rclk=1,30.689828,76.864302,Haryana
