Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Shri Kamakshi Clinic,Medical clinic,"1847, Bapat Galli, Raviwar Peth, Belagavi, Karnataka 590002, India",https://www.google.co.kr/maps/place/Shri+Kamakshi+Clinic/data=!4m5!3m4!1s0x3bbf66bb2a7fdf09:0x58f0996beede1e6e!8m2!3d15.8599556!4d74.5114467?authuser=0&hl=en&rclk=1,15.8599556,74.5114467,Karnataka
Clinic,Hospital,"Unnamed Road, Tippusultan Nagar, Machhe, Belagavi, Karnataka 590014, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3bbf65212b67b835:0x968ea786d0381320!8m2!3d15.7954006!4d74.4760731?authuser=0&hl=en&rclk=1,15.7954006,74.4760731,Karnataka
Kamakshi Clinic,Medical clinic,"2487, Meerapur Galli, Ward Number 25, Shastri Nagar, Shahapur, Belagavi, Karnataka 590003, India",https://www.google.co.kr/maps/place/Kamakshi+Clinic/data=!4m5!3m4!1s0x3bbf66973c000001:0x91463c6ab91253ef!8m2!3d15.8480935!4d74.5150843?authuser=0&hl=en&rclk=1,15.8480935,74.5150843,Karnataka
Karnatak Health Institute,Medical clinic,"Tal: Gokak, Dist:Belgaum, Karnataka, India 591306, India",https://www.google.co.kr/maps/place/Karnatak+Health+Institute/data=!4m5!3m4!1s0x3bc0ba6c924099b3:0x138611ba20e2ee0!8m2!3d16.233532!4d74.764157?authuser=0&hl=en&rclk=1,16.233532,74.764157,Karnataka
KLES Dr Prabhakar Kore Hospital & MRC,General hospital,"NH Service Road, Basava Circle, Chikodi, Nehru Nagar, Belagavi, Karnataka 590010, India",https://www.google.co.kr/maps/place/KLES+Dr+Prabhakar+Kore+Hospital+%26+MRC/data=!4m5!3m4!1s0x3bbf669850726b3b:0x87cfe20bdbd0abaa!8m2!3d15.8881346!4d74.5196845?authuser=0&hl=en&rclk=1,15.8881346,74.5196845,Karnataka
Dr Bali Hospital,Hospital,"RV93+97C, Bailhongal, Karnataka 591102, India",https://www.google.co.kr/maps/place/Dr+Bali+Hospital/data=!4m5!3m4!1s0x3bbf51e7d6d1bf35:0x462c6b917d7a6503!8m2!3d15.8184416!4d74.8531285?authuser=0&hl=en&rclk=1,15.8184416,74.8531285,Karnataka
Rainbow Hospital,Hospital,"57, Somwar Peth, Tilakwadi, Belagavi, Karnataka 590006, India",https://www.google.co.kr/maps/place/Rainbow+Hospital/data=!4m5!3m4!1s0x3bbf6683ebab75a5:0xdf6fb79b2cdfea82!8m2!3d15.8348275!4d74.504053?authuser=0&hl=en&rclk=1,15.8348275,74.504053,Karnataka
Leelavathi Hospital,Hospital,"RGM7+2FQ, Adarsh nagar, Hindwadi, Belagavi, Karnataka 590006, India",https://www.google.co.kr/maps/place/Leelavathi+Hospital/data=!4m5!3m4!1s0x3bbf6688e69ca31d:0xf11c957b5d1ec0df!8m2!3d15.8325955!4d74.5137194?authuser=0&hl=en&rclk=1,15.8325955,74.5137194,Karnataka
hospitals,Hospital,"Dharwad - Goa Rd, Lotus Layuout, Kusum Nagar, Narayanpura, Dharwad, Karnataka 580008, India",https://www.google.co.kr/maps/place/hospitals/data=!4m5!3m4!1s0x3bb8cd4520afbfa5:0x94f105734e3c5ac0!8m2!3d15.4634597!4d74.9822055?authuser=0&hl=en&rclk=1,15.4634597,74.9822055,Karnataka
Kasbekar Metgud Clinic Multispeciality Hospital,Hospital,"Shivaji Nagar, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/Kasbekar+Metgud+Clinic+Multispeciality+Hospital/data=!4m5!3m4!1s0x3bbf66b7e2fbb2cd:0xbb1bd7839cb65a47!8m2!3d15.8645297!4d74.5226927?authuser=0&hl=en&rclk=1,15.8645297,74.5226927,Karnataka
Sanjeevani Hospital,Hospital,"Cts#3359/Sa/1a, 1st Floor, College Road, College Road, Belagavi, Karnataka 590001, India",https://www.google.co.kr/maps/place/Sanjeevani+Hospital/data=!4m5!3m4!1s0x3bbf669f5095362f:0x65cd59f734b6fcf1!8m2!3d15.8630949!4d74.5077155?authuser=0&hl=en&rclk=1,15.8630949,74.5077155,Karnataka
Sunshine Hospital,Hospital,"Ayodhya Nagar, Sadashiv Nagar, Belagavi, Karnataka 590019, India",https://www.google.co.kr/maps/place/Sunshine+Hospital/data=!4m5!3m4!1s0x3bbf614630c2dc01:0x29b3de73478ee3ce!8m2!3d15.8751573!4d74.5145281?authuser=0&hl=en&rclk=1,15.8751573,74.5145281,Karnataka
Shri Sai Hospital,General hospital,"40/2 Laxminagar Main Road, Old Belgaum, Belagavi, Karnataka 590005, India",https://www.google.co.kr/maps/place/Shri+Sai+Hospital/data=!4m5!3m4!1s0x3bbf66f4434a122f:0xca9b64a594a9be28!8m2!3d15.8346308!4d74.5255915?authuser=0&hl=en&rclk=1,15.8346308,74.5255915,Karnataka
BHS Lakeview Hospital,Private hospital,"R.S No. 73/7, C.T.S No. 11888, Gokak Road, opp. Fort Lake, Gandhi Nagar, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/BHS+Lakeview+Hospital/data=!4m5!3m4!1s0x3bbf66c625965b83:0x21ab45db75b588ce!8m2!3d15.8634235!4d74.5265588?authuser=0&hl=en&rclk=1,15.8634235,74.5265588,Karnataka
City Clinic,General hospital,"Dajiban Peth Road, NearJanta Bazar, Madhavpura, New Hubli, Hubli, Karnataka 580020, India",https://www.google.co.kr/maps/place/City+Clinic/data=!4m5!3m4!1s0x3bb8d742f5b260d9:0x3cdea8b5a6c945f9!8m2!3d15.3493944!4d75.1401141?authuser=0&hl=en&rclk=1,15.3493944,75.1401141,Karnataka
Ashok Hospital,Hospital,"Near New Corporation Office, Plot No 4817/18, Subhash Nagar, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/Ashok+Hospital/data=!4m5!3m4!1s0x3bbf66b49e7dcefb:0x8604182267405a3!8m2!3d15.872774!4d74.5173132?authuser=0&hl=en&rclk=1,15.872774,74.5173132,Karnataka
Ankur Hospital,Hospital,"Opposite Mahantesh Ground 17, Mruthynhaya Nagar, Angol, Angol, Belagavi, Karnataka 590006, India",https://www.google.co.kr/maps/place/Ankur+Hospital/data=!4m5!3m4!1s0x3bbf669f5095362f:0xae90673b1962092d!8m2!3d15.8284393!4d74.5021605?authuser=0&hl=en&rclk=1,15.8284393,74.5021605,Karnataka
Clinic,Doctor,"Navanagar, Hubli, Karnataka 580025, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3bb8d16b1209d005:0x3b232c1fb8fccaec!8m2!3d15.3933789!4d75.0822173?authuser=0&hl=en&rclk=1,15.3933789,75.0822173,Karnataka
Shri Daneshwari Surgical And General Hospital,Hospital,"Saraf Galli, Shahapur, Belagavi, Karnataka 590003, India",https://www.google.co.kr/maps/place/Shri+Daneshwari+Surgical+And+General+Hospital/data=!4m5!3m4!1s0x3bbf6691be50b895:0xa4208444810468fa!8m2!3d15.8418237!4d74.5154106?authuser=0&hl=en&rclk=1,15.8418237,74.5154106,Karnataka
Clinic,Private hospital,"84FG+62F, Nekar Nagar, Chanbasweshwar Nagar, Hubli, Karnataka 580024, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3bb8d7a74dcf293f:0x3e3adcd5658ee494!8m2!3d15.3230531!4d75.1250508?authuser=0&hl=en&rclk=1,15.3230531,75.1250508,Karnataka
Shri Daneshwari Maternity & General Hospital,Hospital,"#1195, Saraf Galli, Shahapur, Belagavi, Karnataka 590001, India",https://www.google.co.kr/maps/place/Shri+Daneshwari+Maternity+%26+General+Hospital/data=!4m5!3m4!1s0x3bbf6692423955c3:0x4874ffae5723cb15!8m2!3d15.8417334!4d74.517913?authuser=0&hl=en&rclk=1,15.8417334,74.517913,Karnataka
Hospital,Medical clinic,"Vidyanagar Rd, Sirsi, Karnataka 581401, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x3bbeaf7b82d90975:0xc13dbad0ad98f300!8m2!3d14.6306985!4d74.8390767?authuser=0&hl=en&rclk=1,14.6306985,74.8390767,Karnataka
Dr Subhash Shikre Clinic,Free clinic,"Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Dr+Subhash+Shikre+Clinic/data=!4m5!3m4!1s0x3bbfc1d7454f916d:0xbb4098997e8a6459!8m2!3d15.4905463!4d73.8325372?authuser=0&hl=en&rclk=1,15.4905463,73.8325372,Karnataka
ESI Hospital,Hospital,"Belagavi, Ashok Nagar, Shivaji Nagar, Belagavi, Karnataka 590016, India",https://www.google.co.kr/maps/place/ESI+Hospital/data=!4m5!3m4!1s0x3bbf66cba697b4c7:0x1c7ce1dd9cacf186!8m2!3d15.872101!4d74.5268217?authuser=0&hl=en&rclk=1,15.872101,74.5268217,Karnataka
Krsnaa Diagnostics (District Hospital KARWAR ),Medical diagnostic imaging center,"MG Rd, Naval Base Karwar, Kodibag, Karwar, Karnataka 581301, India",https://www.google.co.kr/maps/place/Krsnaa+Diagnostics+(District+Hospital+KARWAR+)/data=!4m5!3m4!1s0x3bbe60cc03c33ce7:0xf6ebfc4a2258ec3d!8m2!3d14.8172348!4d74.1296079?authuser=0&hl=en&rclk=1,14.8172348,74.1296079,Karnataka
USW Hospital,Hospital,"SH 53, Ugar Khurd, Ugar, Karnataka 591316, India",https://www.google.co.kr/maps/place/USW+Hospital/data=!4m5!3m4!1s0x3bc0d718505fd8a9:0x5cba794803e89cd1!8m2!3d16.6544469!4d74.8180099?authuser=0&hl=en&rclk=1,16.6544469,74.8180099,Karnataka
SDM Hospital,Hospital,"Vidyagiri, Dharwad, Karnataka 580004, India",https://www.google.co.kr/maps/place/SDM+Hospital/data=!4m5!3m4!1s0x3bb8d2630babffb3:0x94cf3d05e4c9007b!8m2!3d15.4182042!4d75.0483185?authuser=0&hl=en&rclk=1,15.4182042,75.0483185,Karnataka
Hospital,Hospital,"Gokak Falls Rd, opp. LIC Office, Gokak, Karnataka 591307, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x3bc0aff3f260dee7:0xf672989e740b52ce!8m2!3d16.1620353!4d74.8118523?authuser=0&hl=en&rclk=1,16.1620353,74.8118523,Karnataka
Hospital,Hospital,"FQQ9+W64, Raibag, Karnataka 591317, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x3bc0c5778e1d702f:0x3ca59b7ca12f1207!8m2!3d16.4897593!4d74.7680894?authuser=0&hl=en&rclk=1,16.4897593,74.7680894,Karnataka
Manipal Hospitals Goa,Private hospital,"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Manipal+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfc0cb6f59b763:0x5fef15ef316a7759!8m2!3d15.4600059!4d73.813462?authuser=0&hl=en&rclk=1,15.4600059,73.813462,Karnataka
"Narayana Multispeciality Clinic, Shimoga",Medical clinic,"GCS Building, Kuvempu Road, near Vasan Eye Care, Shivamogga, Karnataka 577201, India","https://www.google.co.kr/maps/place/Narayana+Multispeciality+Clinic,+Shimoga/data=!4m5!3m4!1s0x3bbba8d425273e09:0xa07ac365242768dc!8m2!3d13.9381817!4d75.5702222?authuser=0&hl=en&rclk=1",13.9381817,75.5702222,Karnataka
Hospital,Government hospital,"Government Hospital. post:Suranagi. Taluk:, Shirahatti, Karnataka, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x3bb90e6be2f53aff:0xc6af101ae0f96a37!8m2!3d15.0510678!4d75.5566671?authuser=0&hl=en&rclk=1,15.0510678,75.5566671,Karnataka
"SeCURE Hospital, Hubballi",Hospital,"Gokul Rd, beside new bus stand, Dollars colony, Chaitanya Nagar, Rajendra Nagar, Hubli, Karnataka 580030, India","https://www.google.co.kr/maps/place/SeCURE+Hospital,+Hubballi/data=!4m5!3m4!1s0x3bb8d7314dae0de1:0x977379937338e52f!8m2!3d15.3489091!4d75.1150237?authuser=0&hl=en&rclk=1",15.3489091,75.1150237,Karnataka
