Company_Name,Category,Address,Url,latitude,longtitude
om clinic,Medical clinic,"MH MSH 2, Amalner, Maharashtra 413207, India",https://www.google.co.kr/maps/place/om+clinic/data=!4m5!3m4!1s0x3bc4b57a40c533e9:0x5b12eea30f7f291d!8m2!3d18.9382052!4d75.3313261?authuser=0&hl=en&rclk=1,18.9382052,75.3313261
Hospitals,Medical clinic,"FQHW+22J, Vitthal Nagar, Warje, Pune, Maharashtra 411058, India",https://www.google.co.kr/maps/place/Hospitals/data=!4m5!3m4!1s0x3bc2957ff79e0bdd:0xb9a08c7f56e4e269!8m2!3d18.477593!4d73.795031?authuser=0&hl=en&rclk=1,18.477593,73.795031
Express Clinics Nashik,Diagnostic center,"Shop No. 8, Punyasmruti Apartment, B Rd, opposite to Body Master Gym, Behind Water Tank, Nashik, Maharashtra 422007, India",https://www.google.co.kr/maps/place/Express+Clinics+Nashik/data=!4m5!3m4!1s0x3bddebb8157269d7:0x12aad4f10d06a6c7!8m2!3d20.0001685!4d73.7526442?authuser=0&hl=en&rclk=1,20.0001685,73.7526442
Express Clinics Moshi Pune,Diagnostic center,"Venus Hospital, 129/3, Sector 13, Jadhavwadi Chowk Besides Jaquar Flyover, Spine Rd, Chikhali, Pune, Maharashtra 411062, India",https://www.google.co.kr/maps/place/Express+Clinics+Moshi+Pune/data=!4m5!3m4!1s0x3bc2b92a89eed78d:0xa42ca43d43bfb431!8m2!3d18.6622644!4d73.8237661?authuser=0&hl=en&rclk=1,18.6622644,73.8237661
Bombay Hospital & Medical Research Centre,Hospital,"12, Vitthaldas Thackersey Marg, Near to Liberty Cinema, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020, India",https://www.google.co.kr/maps/place/Bombay+Hospital+%26+Medical+Research+Centre/data=!4m5!3m4!1s0x3be7d1e00d250293:0xfebacae0844e5091!8m2!3d18.941034!4d72.8274361?authuser=0&hl=en&rclk=1,18.941034,72.8274361
New You Clinic,Medical clinic,"3,Service Industry, behind Yogesh kirana, Town Centre, N 1, Cidco, Aurangabad, Maharashtra 431006, India",https://www.google.co.kr/maps/place/New+You+Clinic/data=!4m5!3m4!1s0x3bdba2ec28e963ff:0xc6b9b0b5d873f0f9!8m2!3d19.8779444!4d75.3702098?authuser=0&hl=en&rclk=1,19.8779444,75.3702098
Vitalife Clinic,Medical clinic,"111, 1st Floor, Mont Vert Arcade, Pashan-Sus Road,, Pashan-Sus Road, near Balaji Mandir, Pune, Maharashtra 411021, India",https://www.google.co.kr/maps/place/Vitalife+Clinic/data=!4m5!3m4!1s0x3bc2bee168d91447:0x20d639ac25be8e96!8m2!3d18.542527!4d73.7907?authuser=0&hl=en&rclk=1,18.542527,73.7907
Apollo Clinic,Medical clinic,"#102, B Wing, 1st Floor, Kul Scapes, Magarpatta Road, Opp. Reliance Smart, Kharadi, Pune, Maharashtra 411014, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3bc2c3d88f575fdb:0x78e159a0643c0b33!8m2!3d18.551615!4d73.9367343?authuser=0&hl=en&rclk=1,18.551615,73.9367343
Inamdar Multispeciality Hospital Pune,Cardiologist,"Inamdar Hospital building, s No. 15, Vitthal Rao Shivarkar Rd, Fatima Nagar, Wanowrie, Pune, Maharashtra 411040, India",https://www.google.co.kr/maps/place/Inamdar+Multispeciality+Hospital+Pune/data=!4m5!3m4!1s0x3bc2c1cf5d78ff29:0x6e14191df5a0bb13!8m2!3d18.5031702!4d73.8999937?authuser=0&hl=en&rclk=1,18.5031702,73.8999937
Ashwini Clinic,Diagnostic center,"Shanker Ghanekar Marg, Appasaheb Marathe Marg, S, New Prabhadevi Rd, Mumbai, Maharashtra 400025, India",https://www.google.co.kr/maps/place/Ashwini+Clinic/data=!4m5!3m4!1s0x3be7cec0505fb0e7:0xb950c3521b2d6f66!8m2!3d19.0139263!4d72.8302306?authuser=0&hl=en&rclk=1,19.0139263,72.8302306
सुशीला नेत्रालय आणि दातांचा दवाखाना,Hospital,"Sweet Shop, Plot No 08 Front Side Of Bikaner, Dr Bhapkar Marg, Bansilal Nagar, Aurangabad, Maharashtra 431005, India",https://www.google.co.kr/maps/place/%E0%A4%B8%E0%A5%81%E0%A4%B6%E0%A5%80%E0%A4%B2%E0%A4%BE+%E0%A4%A8%E0%A5%87%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B2%E0%A4%AF+%E0%A4%86%E0%A4%A3%E0%A4%BF+%E0%A4%A6%E0%A4%BE%E0%A4%A4%E0%A4%BE%E0%A4%82%E0%A4%9A%E0%A4%BE+%E0%A4%A6%E0%A4%B5%E0%A4%BE%E0%A4%96%E0%A4%BE%E0%A4%A8%E0%A4%BE/data=!4m5!3m4!1s0x3bdb985dc2582745:0x54123ec536200d63!8m2!3d19.8649636!4d75.3162954?authuser=0&hl=en&rclk=1,19.8649636,75.3162954
Apollo Clinic,Medical clinic,"Plot no B-1, Amba Vatika Co-op Housing society, near Café Coffee Day, Khondawa Khurd, Pune, Maharashtra 411048, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3bc2ea7b98e7238b:0xbe158e80eaaa93bf!8m2!3d18.4794221!4d73.8963326?authuser=0&hl=en&rclk=1,18.4794221,73.8963326
