Company_Name,Category,Address,Url,Latitude,Longitude,State
Homoeo Care Clinic,Medical clinic,"sbi atm building, Diphupar gate, 4th Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/Homoeo+Care+Clinic/data=!4m5!3m4!1s0x374609c9ad55599d:0x88746bf11e24a23!8m2!3d25.868966!4d93.765934?authuser=0&hl=en&rclk=1,25.868966,93.765934,Nagaland
HOLISTIC HEALTH CARE CLINIC,Medical clinic,"SUB JAIL TINALI, Nagaland 797112, India",https://www.google.co.kr/maps/place/HOLISTIC+HEALTH+CARE+CLINIC/data=!4m5!3m4!1s0x3745e14f55ce7ddb:0x800c2258d580f21!8m2!3d25.9027364!4d93.6978742?authuser=0&hl=en&rclk=1,25.9027364,93.6978742,Nagaland
DR Belhos Clinic,Medical clinic,"Walford Rd, Walford Colony, Dimapur, Nagaland 797117, India",https://www.google.co.kr/maps/place/DR+Belhos+Clinic/data=!4m5!3m4!1s0x3745e1fb3433c867:0xe7f67b0ad4ef8fad!8m2!3d25.9101394!4d93.7368385?authuser=0&hl=en&rclk=1,25.9101394,93.7368385,Nagaland
Dietho Clinic,Medical clinic,"M494+84W, Midland Colony, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Dietho+Clinic/data=!4m5!3m4!1s0x374621a42780f2df:0x3eaca60233624f9d!8m2!3d25.6683684!4d94.1053254?authuser=0&hl=en&rclk=1,25.6683684,94.1053254,Nagaland
Good Health Diagnostic & Clinic,Diagnostic center,"Fire Brigade Road, Near East police station, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Good+Health+Diagnostic+%26+Clinic/data=!4m5!3m4!1s0x3745e1923ad13f97:0x5325548f74c78f3e!8m2!3d25.9078296!4d93.7310547?authuser=0&hl=en&rclk=1,25.9078296,93.7310547,Nagaland
Nagaland Ortho Centre,Orthopedic clinic,"Opp. East Police Station, Ward No. 8, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Nagaland+Ortho+Centre/data=!4m5!3m4!1s0x3745e1f0fba52bb9:0x99f60b25f8803ec9!8m2!3d25.9069387!4d93.7313111?authuser=0&hl=en&rclk=1,25.9069387,93.7313111,Nagaland
Diabetes Care Clinic,Diabetes center,"Burma Camp Junction, Power House Colony, Dimapur, Nagaland 797117, India",https://www.google.co.kr/maps/place/Diabetes+Care+Clinic/data=!4m5!3m4!1s0x3745e1efb77e7c8b:0xc20e6d078d0260b6!8m2!3d25.9124841!4d93.7314409?authuser=0&hl=en&rclk=1,25.9124841,93.7314409,Nagaland
GI Clinic,Medical clinic,"8GC6+Q7X, Mokokchung, Nagaland 798601, India",https://www.google.co.kr/maps/place/GI+Clinic/data=!4m5!3m4!1s0x3747a9d82ae11337:0x938119ddb6307322!8m2!3d26.3219862!4d94.5107289?authuser=0&hl=en&rclk=1,26.3219862,94.5107289,Nagaland
Naga Hospital Authority,Hospital,"Hospital Colony, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Naga+Hospital+Authority/data=!4m5!3m4!1s0x374621bbebfce4a9:0x68207a764a05e8ed!8m2!3d25.6693845!4d94.0959027?authuser=0&hl=en&rclk=1,25.6693845,94.0959027,Nagaland
Rapha Clinic,Medical clinic,"Unnamed Road, Samaguri, Kuhuboto, Dimapur, Nagaland 797116, India",https://www.google.co.kr/maps/place/Rapha+Clinic/data=!4m5!3m4!1s0x37460b67cb5d7765:0x5167a0660ec42b04!8m2!3d25.9196413!4d93.7843968?authuser=0&hl=en&rclk=1,25.9196413,93.7843968,Nagaland
