Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Punjab Clinic,Medical clinic,"Gurdwara Rd, near Shiv Shakti Mandir, Janta Nagar, Ludhiana, Punjab 141003, India",https://www.google.co.kr/maps/place/Punjab+Clinic/data=!4m5!3m4!1s0x391a82f049a6d025:0x13e03d3dc0ac3863!8m2!3d30.878479!4d75.863395?authuser=0&hl=en&rclk=1,30.878479,75.863395,Punjab
Health Care Clinic,Medical clinic,"428, Benjamin Rd, Near CMC Chowk, Naulakha Garden Colony, Ludhiana, Punjab 141008, India",https://www.google.co.kr/maps/place/Health+Care+Clinic/data=!4m5!3m4!1s0x391a830d728ff973:0xc1f7ee9981714239!8m2!3d30.9124385!4d75.8637006?authuser=0&hl=en&rclk=1,30.9124385,75.8637006,Punjab
Punjab Clinic,Medical clinic,"Majat To Dharakh Rd, Majat, Punjab 140307, India",https://www.google.co.kr/maps/place/Punjab+Clinic/data=!4m5!3m4!1s0x390fe5e73e4287eb:0x9d90f404d2dd84a0!8m2!3d30.6752201!4d76.5885788?authuser=0&hl=en&rclk=1,30.6752201,76.5885788,Punjab
Punjab Rheumatology And Immunology Clinic,Medical clinic,"96 B, Ferozepur Rd, Rajguru Nagar, Ludhiana, Punjab 141012, India",https://www.google.co.kr/maps/place/Punjab+Rheumatology+And+Immunology+Clinic/data=!4m5!3m4!1s0x391a817519f7d2ed:0x5bc25e3a6594b3e8!8m2!3d30.8855628!4d75.785473?authuser=0&hl=en&rclk=1,30.8855628,75.785473,Punjab
Clinic,Medical clinic,"Unnamed Road, Dhamana, Punjab 140119, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39054d874f614a69:0x32c93ed34886933d!8m2!3d31.0980437!4d76.5090573?authuser=0&hl=en&rclk=1,31.0980437,76.5090573,Punjab
Dr Morya's Health Clinic,Medical clinic,"WW2G+74J, Pratap Colony, Guru Teg Bahadur Nagar, Ludhiana, Punjab 141015, India",https://www.google.co.kr/maps/place/Dr+Morya's+Health+Clinic/data=!4m5!3m4!1s0x391a9d5735c0ac89:0x5612854d6d60f55a!8m2!3d30.9007115!4d75.9252524?authuser=0&hl=en&rclk=1,30.9007115,75.9252524,Punjab
Rana Hospital,Hospital,"Rana Hospital Square, 688-F, F-Block SBS Nagar, F Block, Shaheed Bhagat Singh Nagar, Ludhiana, Punjab 141013, India",https://www.google.co.kr/maps/place/Rana+Hospital/data=!4m5!3m4!1s0x391a8228ab852adb:0x3c1ce1d64b995874!8m2!3d30.875497!4d75.812655?authuser=0&hl=en&rclk=1,30.875497,75.812655,Punjab
Global Rheumatology & Women Health Clinic,Women's health clinic,"Hoshiarpur Rd, Kot Kishan Chand Chowk, Laxmi Pura, Jalandhar, Punjab 144004, India",https://www.google.co.kr/maps/place/Global+Rheumatology+%26+Women+Health+Clinic/data=!4m5!3m4!1s0x391a5a65b3e88fb3:0x3d0f62289322db3d!8m2!3d31.3391765!4d75.5832865?authuser=0&hl=en&rclk=1,31.3391765,75.5832865,Punjab
Health care clinic,Medical clinic,"Unnamed Road, Kitna, Punjab 144531, India",https://www.google.co.kr/maps/place/Health+care+clinic/data=!4m5!3m4!1s0x391aebb04cfd61c9:0x1ac2a59390d9e307!8m2!3d31.25166!4d76.0748006?authuser=0&hl=en&rclk=1,31.25166,76.0748006,Punjab
Ludhiana Laparoscopic and Surgical clinic,Hospital,"508-L, Model Town Rd, near Post Office, Pritm Nagar, Model Town, Ludhiana, Punjab 141002, India",https://www.google.co.kr/maps/place/Ludhiana+Laparoscopic+and+Surgical+clinic/data=!4m5!3m4!1s0x391a8252c38b8df5:0x3da1b67be1da6f35!8m2!3d30.8889229!4d75.843724?authuser=0&hl=en&rclk=1,30.8889229,75.843724,Punjab
Ivy Superspeciality Hospital,Hospital,"Hoshiarpur - Chandigarh Rd, Ram Colony, Hoshiarpur, Punjab 146001, India",https://www.google.co.kr/maps/place/Ivy+Superspeciality+Hospital/data=!4m5!3m4!1s0x391ae37414533595:0x21023fd2ee09bcd3!8m2!3d31.4994122!4d75.9495049?authuser=0&hl=en&rclk=1,31.4994122,75.9495049,Punjab
Paramjit Clinic,Medical clinic,"circular road, Lohian Khas, Punjab 144629, India",https://www.google.co.kr/maps/place/Paramjit+Clinic/data=!4m5!3m4!1s0x391a3d4dacb03ad7:0xe2a9cf09d7cc6f12!8m2!3d31.1627825!4d75.2077646?authuser=0&hl=en&rclk=1,31.1627825,75.2077646,Punjab
Capitol Hospital - Best Multi Super Speciality Hospital in Jalandhar,Private hospital,"NH-44, Jalandhar - Pathankot Road Near Reru, Chowk, Jalandhar, Punjab 144012, India",https://www.google.co.kr/maps/place/Capitol+Hospital+-+Best+Multi+Super+Speciality+Hospital+in+Jalandhar/data=!4m5!3m4!1s0x391a50986fc696f5:0xcff7858ec75e5967!8m2!3d31.364616!4d75.5966529?authuser=0&hl=en&rclk=1,31.364616,75.5966529,Punjab
PUNJAB CLINIC,Doctor,"Tajpur bet opp Gurdwara, Punjab 141013, India",https://www.google.co.kr/maps/place/PUNJAB+CLINIC/data=!4m5!3m4!1s0x391a9d8e36fb63cb:0xb983d3e5164de667!8m2!3d30.924025!4d75.9469035?authuser=0&hl=en&rclk=1,30.924025,75.9469035,Punjab
Nawal Medical Clinic,Medical clinic,"7M66+754, Kukar Pind, Punjab 144024, India",https://www.google.co.kr/maps/place/Nawal+Medical+Clinic/data=!4m5!3m4!1s0x391a5eda3ddfbc05:0x5d310613b4637346!8m2!3d31.2606413!4d75.6604546?authuser=0&hl=en&rclk=1,31.2606413,75.6604546,Punjab
