Company_Name,Category,Address,Url,Latitude,Longitude,State
Neelkanth Fertility And Women Care Hospital,Hospital,"10-11, Swami Nagar, Doctor's Lane Near RSEB Office, Bhuwana, Udaipur, Rajasthan 313001, India",https://www.google.co.kr/maps/place/Neelkanth+Fertility+And+Women+Care+Hospital/data=!4m5!3m4!1s0x3967e5a55b07c99f:0x93a6a85c96f86952!8m2!3d24.6139794!4d73.7073783?authuser=0&hl=en&rclk=1,24.6139794,73.7073783,Rajasthan
Janta Clinics,Medical clinic,"Goverdhan Nagar, Tonk Road, Jaipur, Rajasthan 302018, India",https://www.google.co.kr/maps/place/Janta+Clinics/data=!4m5!3m4!1s0x396dc98523e36887:0xf9bda3c584aafbad!8m2!3d26.79168!4d75.81739?authuser=0&hl=en&rclk=1,26.79168,75.81739,Rajasthan
Neo Clinic - NICU & PICU | Child hospital in Jaipur,Hospital,"3&4, Pandit TN Mishra Marg, Everest Vihar, Padmavti Colony, Nirman Nagar, Ranisati Nagar, Jaipur, Rajasthan 302019, India",https://www.google.co.kr/maps/place/Neo+Clinic+-+NICU+%26+PICU+%7C+Child+hospital+in+Jaipur/data=!4m5!3m4!1s0x396db45bc4a47bb3:0x92c2e9b94a92c00c!8m2!3d26.8828434!4d75.7553268?authuser=0&hl=en&rclk=1,26.8828434,75.7553268,Rajasthan
Rekha Clinic,Medical clinic,"36, Hari Ram Market, Sector 2A, U.I.T., Bhiwadi, Rajasthan 301019, India",https://www.google.co.kr/maps/place/Rekha+Clinic/data=!4m5!3m4!1s0x390d3727eaa75f1b:0xb0cc5159cbc8d40a!8m2!3d28.2014537!4d76.8342298?authuser=0&hl=en&rclk=1,28.2014537,76.8342298,Rajasthan
Rungta Hospital Jaipur (NABH Certified) 24x7 Emergency & Trauma Services,General hospital,"Calgiri Marg, near Police Station, Jhalana Gram, Malviya Nagar, Jaipur, Rajasthan 302017, India",https://www.google.co.kr/maps/place/Rungta+Hospital+Jaipur+(NABH+Certified)+24x7+Emergency+%26+Trauma+Services/data=!4m5!3m4!1s0x396db67400000001:0x7b8ae3e01435dd92!8m2!3d26.8576515!4d75.8153001?authuser=0&hl=en&rclk=1,26.8576515,75.8153001,Rajasthan
Apex Hospitals,General hospital,"SP-4 & 6, Central Road, Malviya Nagar Industrial Area, Malviya Nagar, Jaipur, Rajasthan 302017, India",https://www.google.co.kr/maps/place/Apex+Hospitals/data=!4m5!3m4!1s0x396db66b6d706811:0xcd772b82cdece6c4!8m2!3d26.8547999!4d75.8250586?authuser=0&hl=en&rclk=1,26.8547999,75.8250586,Rajasthan
Bajaj Clinic,Medical clinic,"jhawar road,naya bass, Sujangarh, Rajasthan, India",https://www.google.co.kr/maps/place/Bajaj+Clinic/data=!4m5!3m4!1s0x396b33d87890adf7:0x6edf71985f1b6a8a!8m2!3d27.6933703!4d74.4667348?authuser=0&hl=en&rclk=1,27.6933703,74.4667348,Rajasthan
Clinic,Medical clinic,"Q68F+V5C, Ajmer, Rajasthan 305407, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x396edbc243a9afa5:0x2ee65de64c0db3e4!8m2!3d25.7671821!4d75.2228965?authuser=0&hl=en&rclk=1,25.7671821,75.2228965,Rajasthan
Clinic,Medical clinic,"J3GG+FHP, Untalad, Rajasthan 331517, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x396ad100ce9b1673:0xf6977a99d695230a!8m2!3d27.6262222!4d74.0764567?authuser=0&hl=en&rclk=1,27.6262222,74.0764567,Rajasthan
Rajasthan Hospital,General hospital,"Udyog Nagar Rd, Shri Niwas Nagar, Vishwakarma Industrial Area, Murlipura, Jaipur, Rajasthan 302013, India",https://www.google.co.kr/maps/place/Rajasthan+Hospital/data=!4m5!3m4!1s0x396db25d45f9ff89:0x3424c95182206bdf!8m2!3d26.9843422!4d75.7712369?authuser=0&hl=en&rclk=1,26.9843422,75.7712369,Rajasthan
