Company_Name,Category,Address,Url,Latitude,Longitude,State
Sikkim Pathelogy Clinic,Physical therapy clinic,"8JJ6+5W3, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Sikkim+Pathelogy+Clinic/data=!4m5!3m4!1s0x39e6a52baa9d8091:0x34b2bb22ddb7fb46!8m2!3d27.330375!4d88.6123072?authuser=0&hl=en&rclk=1,27.330375,88.6123072,Sikkim
"Dr. Kesari ENT Clinic, 5th Mile,Tadong",Doctor,"Alok Medical Store, 5th Mile, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India","https://www.google.co.kr/maps/place/Dr.+Kesari+ENT+Clinic,+5th+Mile,Tadong/data=!4m5!3m4!1s0x39e6a578e8dd9ddd:0xc11b0b9114c49af6!8m2!3d27.3153042!4d88.5965255?authuser=0&hl=en&rclk=1",27.3153042,88.5965255,Sikkim
Sikkim X-ray Clinic,Hospital,"near union bank of india, branch, Jorethang, Sikkim 737121, India",https://www.google.co.kr/maps/place/Sikkim+X-ray+Clinic/data=!4m5!3m4!1s0x39e429b165eb80ed:0xf9585e3b2334a62d!8m2!3d27.1317196!4d88.2796278?authuser=0&hl=en&rclk=1,27.1317196,88.2796278,Sikkim
Dhakals Clinic,Medical clinic,"737102,, Upper Tadong, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Dhakals+Clinic/data=!4m5!3m4!1s0x39e6a504e94783c1:0x21b5d572cd0c74bf!8m2!3d27.3176495!4d88.6015857?authuser=0&hl=en&rclk=1,27.3176495,88.6015857,Sikkim
Ruchi Diagnostic Clinic,Diagnostic center,"N. H. Way, behind Telephone Exchange, Arithang, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Ruchi+Diagnostic+Clinic/data=!4m5!3m4!1s0x39e6a5154521e763:0xa3d81adbc28cb35c!8m2!3d27.3304792!4d88.6137388?authuser=0&hl=en&rclk=1,27.3304792,88.6137388,Sikkim
Om Himalayan (Dr Sumit Periwal Pediatrician Child Care Clinic and Vaccination Centre),Pediatrician,"Alok Medical Store , Opp CRH Hospital Opp Manipal (CRH, 5th Mile, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Om+Himalayan+(Dr+Sumit+Periwal+Pediatrician+Child+Care+Clinic+and+Vaccination+Centre)/data=!4m5!3m4!1s0x39e6a571f22387e7:0xf113f53bf810fd32!8m2!3d27.3158852!4d88.5962803?authuser=0&hl=en&rclk=1,27.3158852,88.5962803,Sikkim
STNM Hospital Sikkim,Hospital,"Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/STNM+Hospital+Sikkim/data=!4m5!3m4!1s0x39e6a51553d85b6f:0x73a1e0e26e04768c!8m2!3d27.3465331!4d88.6033718?authuser=0&hl=en&rclk=1,27.3465331,88.6033718,Sikkim
Care Diagnostics and Clinics,Diagnostic center,"Care Diagnostics, National Highway, opp. Hungry Jack Hotel, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Care+Diagnostics+and+Clinics/data=!4m5!3m4!1s0x39e6a5f11ef13bcd:0xcb8145e884e80d82!8m2!3d27.3292199!4d88.6118497?authuser=0&hl=en&rclk=1,27.3292199,88.6118497,Sikkim
Rangpo Hospital Complex Sikkim,Doctor,"NH10, Upper Bazaar, Rangpo, Sikkim 737132, India",https://www.google.co.kr/maps/place/Rangpo+Hospital+Complex+Sikkim/data=!4m5!3m4!1s0x39e6a1e56293b0ff:0x4d934589f04ffc3a!8m2!3d27.1754043!4d88.5298879?authuser=0&hl=en&rclk=1,27.1754043,88.5298879,Sikkim
Care And Cure Polyclinic And Diagnostics,Medical clinic,"8H7V+48R, Tadong, Gangtok, Sikkim 737102, India",https://www.google.co.kr/maps/place/Care+And+Cure+Polyclinic+And+Diagnostics/data=!4m5!3m4!1s0x39e6a4fe7afe0c55:0xdb211e139d6dd7d1!8m2!3d27.3128674!4d88.5932737?authuser=0&hl=en&rclk=1,27.3128674,88.5932737,Sikkim
