Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Dr. Bhatts Clinic,Medical clinic,"Bara Bazar Rd, Mallital, Nainital, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Dr.+Bhatts+Clinic/data=!4m5!3m4!1s0x39a0a1eb4e6d5fa1:0xf525d91cbeaa64a7!8m2!3d29.3923466!4d79.452716?authuser=0&hl=en&rclk=1,29.3923466,79.452716,Uttarakhand
Om Physiotherapy Clinic,Medical clinic,"Tallital, Nainital, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Om+Physiotherapy+Clinic/data=!4m5!3m4!1s0x39a0a1fa35cb9dab:0x193a4b0ecba37dfe!8m2!3d29.3795525!4d79.4635212?authuser=0&hl=en&rclk=1,29.3795525,79.4635212,Uttarakhand
Hospital,Government hospital,"Unnamed Road, Ghuggu Kham, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x39a0a183a029cc9f:0xc253b39d85506d28!8m2!3d29.4416814!4d79.4126558?authuser=0&hl=en&rclk=1,29.4416814,79.4126558,Uttarakhand
Med. Superintendent house - Ramsay Hospital,Doctor,"Ramsay Hospital Rd, Tallital, Nainital, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Med.+Superintendent+house+-+Ramsay+Hospital/data=!4m5!3m4!1s0x39a0a1f75b46c6cd:0xf8862bd2cc504086!8m2!3d29.382965!4d79.4657458?authuser=0&hl=en&rclk=1,29.382965,79.4657458,Uttarakhand
LIFE CARE CLINIC,Hospital,"main chauraha bhowali, opposite bank of, Uttarakhand, India",https://www.google.co.kr/maps/place/LIFE+CARE+CLINIC/data=!4m5!3m4!1s0x39a0a3eb67fcf759:0xf2f70cc1384655e3!8m2!3d29.3822764!4d79.5195938?authuser=0&hl=en&rclk=1,29.3822764,79.5195938,Uttarakhand
shri life care clinic,Hospital,"NH109, Bhowali, Bhawanipur, Uttarakhand 263132, India",https://www.google.co.kr/maps/place/shri+life+care+clinic/data=!4m5!3m4!1s0x39a0a3dd8f97abbf:0xa69b385cfafea588!8m2!3d29.3860277!4d79.5138905?authuser=0&hl=en&rclk=1,29.3860277,79.5138905,Uttarakhand
State Allopathic Dispensary,Government hospital,"CCR6+MVF, Ghuggu Kham, Uttarakhand 263001, India",https://www.google.co.kr/maps/place/State+Allopathic+Dispensary/data=!4m5!3m4!1s0x39a0a167ea420605:0xf24d606779c40c7c!8m2!3d29.4416803!4d79.412166?authuser=0&hl=en&rclk=1,29.4416803,79.412166,Uttarakhand
Bhaskar Clinic,Doctor,"9FH7+JGF, Tallital, Nainital, Uttarakhand 263002, India",https://www.google.co.kr/maps/place/Bhaskar+Clinic/data=!4m5!3m4!1s0x39a0a1fbcc662939:0x1c9698fccd62967b!8m2!3d29.3790551!4d79.463786?authuser=0&hl=en&rclk=1,29.3790551,79.463786,Uttarakhand
"Sai clinic, Unchapul, Haldwani",Medical clinic,"Unnamed Road, Lohariyasal Malla, Unchapul, Haldwani, Uttarakhand 263126, India","https://www.google.co.kr/maps/place/Sai+clinic,+Unchapul,+Haldwani/data=!4m5!3m4!1s0x39a09bc2c3cf4e33:0x56d47e9bbd79a056!8m2!3d29.2283157!4d79.4946805?authuser=0&hl=en&rclk=1",29.2283157,79.4946805,Uttarakhand
Malik Clinic,Medical clinic,"6FW3+HX9, Gujraura, Uttarakhand 263139, India",https://www.google.co.kr/maps/place/Malik+Clinic/data=!4m5!3m4!1s0x39a09c6f1f912c1f:0x2f62d18626d615e9!8m2!3d29.2464201!4d79.4549831?authuser=0&hl=en&rclk=1,29.2464201,79.4549831,Uttarakhand
