Company_Name,Category,Address,Url,Latitude,Longitude,State
FIT INDIA GYM,Gym,"Bhaskar Nagar, Gopinath Nagar, Binowa Nagar, Kala Pahar, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/FIT+INDIA+GYM/data=!4m5!3m4!1s0x375a5bc40c669d69:0xe60a8603fb4f178c!8m2!3d26.1493082!4d91.7407453?authuser=0&hl=en&rclk=1,26.1493082,91.7407453,Assam
Fitness Hub Gym in Ulubari Guwahati,Gym,"Shimla Plaza, Ulubari Flyover 1st Floor, GS Rd, Ulubari, Guwahati, Assam 781008, India",https://www.google.co.kr/maps/place/Fitness+Hub+Gym+in+Ulubari+Guwahati/data=!4m5!3m4!1s0x375a5981062b6311:0x30a53d9bdd0dfdfb!8m2!3d26.1756862!4d91.7569058?authuser=0&hl=en&rclk=1,26.1756862,91.7569058,Assam
Gym Point - Guwahati,Gym,"2nd floor, Baliram sarala Niwas, Gotanagar, Guwahati, Assam 781033, India",https://www.google.co.kr/maps/place/Gym+Point+-+Guwahati/data=!4m5!3m4!1s0x375a5b4d0998bf7b:0x5b502d7b65c2f5c7!8m2!3d26.1399609!4d91.6783806?authuser=0&hl=en&rclk=1,26.1399609,91.6783806,Assam
Fitness World (Ladies Only),Gym,"near Bharath Seva Ashram, Kala Pahad, Bishnu Rava Path, Fatasil Ambari, Guwahati, Assam 781018, India",https://www.google.co.kr/maps/place/Fitness+World+(Ladies+Only)/data=!4m5!3m4!1s0x375a5bc0ca770fe3:0xa9f0bc1915416279!8m2!3d26.1548403!4d91.7356437?authuser=0&hl=en&rclk=1,26.1548403,91.7356437,Assam
P Academy Gym & Fitness Center,Fitness center,"West Jalukbari, Lankeswar,, opp. Indian Red Cross Society, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/P+Academy+Gym+%26+Fitness+Center/data=!4m5!3m4!1s0x375a448dce3fa0d9:0xb3f6895110d45eee!8m2!3d26.1451497!4d91.6448858?authuser=0&hl=en&rclk=1,26.1451497,91.6448858,Assam
Studio Fitness,Gym,"5Q3M+VFJ, Manik Nagar, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Studio+Fitness/data=!4m5!3m4!1s0x375a591a03188141:0x3e42f42bbc9affc8!8m2!3d26.1547142!4d91.7836291?authuser=0&hl=en&rclk=1,26.1547142,91.7836291,Assam
stayfit fitness studio,Fitness center,"Das complex, Lokhra Rd, Lal Ganesh, Guwahati, Assam 781034, India",https://www.google.co.kr/maps/place/stayfit+fitness+studio/data=!4m5!3m4!1s0x375a5d7423f7e929:0x5d91682ba27f539b!8m2!3d26.1412941!4d91.7419971?authuser=0&hl=en&rclk=1,26.1412941,91.7419971,Assam
9M GYM,Gym,"Solapara Road Opp Hotel Siroy Lily, Piyali Phukan Rd, near Bank Of India, Complex, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/9M+GYM/data=!4m5!3m4!1s0x375a5bd675682ae9:0x6055b87a122475c1!8m2!3d26.1784346!4d91.7533332?authuser=0&hl=en&rclk=1,26.1784346,91.7533332,Assam
Gold's Gym Ulubari,Gym,"ASCU Tower, 4th Floor, Dr B Borooah Rd, opp. B.Baruah College, Ulubari, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Gold's+Gym+Ulubari/data=!4m5!3m4!1s0x375a598130e6062d:0x7877fdb637e3cf74!8m2!3d26.1781328!4d91.7566856?authuser=0&hl=en&rclk=1,26.1781328,91.7566856,Assam
Venus Fitness Planet Guwahati,Gym,"Jatia, Kahilipara Main Rd, Kahilipara, Guwahati, Assam 781019, India",https://www.google.co.kr/maps/place/Venus+Fitness+Planet+Guwahati/data=!4m5!3m4!1s0x375a593c1f9caead:0x7eedec0f6311c782!8m2!3d26.1441101!4d91.7826163?authuser=0&hl=en&rclk=1,26.1441101,91.7826163,Assam
