Company_Name,Category,Address,Url,Latitude,Longitude,State
Himachal Pradesh Village First Gym,Gym,"CJX6+CMP, Poshana, Himachal Pradesh 172001, India",https://www.google.co.kr/maps/place/Himachal+Pradesh+Village+First+Gym/data=!4m5!3m4!1s0x3905c1db92194835:0xab5547e047126ded!8m2!3d31.4485751!4d77.6116908?authuser=0&hl=en&rclk=1,31.4485751,77.6116908,Goa
Rudra's Gym | Best Unisex (ladies & Gents) Gym in kangra |,Fitness center,"Jaswal Complex, 4th Floor, opposite Rajput Sabha, Kangra, Himachal Pradesh 176001, India",https://www.google.co.kr/maps/place/Rudra's+Gym+%7C+Best+Unisex+(ladies+%26+Gents)+Gym+in+kangra+%7C/data=!4m5!3m4!1s0x391b4f80ff724b73:0xbe77b5e23e9b39e8!8m2!3d32.1044617!4d76.273651?authuser=0&hl=en&rclk=1,32.1044617,76.273651,Goa
Shiva Fitness Gym,Gym,"NH103, Ghumarwin, Himachal Pradesh 174034, India",https://www.google.co.kr/maps/place/Shiva+Fitness+Gym/data=!4m5!3m4!1s0x39053b1b0902bd6f:0x4abbbdf3b6cd8012!8m2!3d31.4327172!4d76.7135161?authuser=0&hl=en&rclk=1,31.4327172,76.7135161,Goa
P2i Gym Fitness,Gym,"NIT, Anu, Hamirpur, Himachal Pradesh 177005, India",https://www.google.co.kr/maps/place/P2i+Gym+Fitness/data=!4m5!3m4!1s0x3904d4410e34ad17:0xfdb3bff6bb190a0f!8m2!3d31.7008861!4d76.5217751?authuser=0&hl=en&rclk=1,31.7008861,76.5217751,Goa
City Fitness Gym,Gym,"Gandhi Chowk Street, Chakarwarti, Ghumarwin, Himachal Pradesh 174021, India",https://www.google.co.kr/maps/place/City+Fitness+Gym/data=!4m5!3m4!1s0x39053b72c1dd7307:0x9babece1bb554847!8m2!3d31.4420077!4d76.7109326?authuser=0&hl=en&rclk=1,31.4420077,76.7109326,Goa
Gym in Shimla,Fitness center,"Gymnazio health club, Ajay brar Nanta Niwas, near Andhra bank, Sector 1, New Shimla, Shimla, Himachal Pradesh 171009, India",https://www.google.co.kr/maps/place/Gym+in+Shimla/data=!4m5!3m4!1s0x3905794070767e41:0x987c754746964c55!8m2!3d31.0845796!4d77.1699412?authuser=0&hl=en&rclk=1,31.0845796,77.1699412,Goa
Ignite (The Fitness Era),Gym,"Mohal Rd, Mohal, Himachal Pradesh 175126, India",https://www.google.co.kr/maps/place/Ignite+(The+Fitness+Era)/data=!4m5!3m4!1s0x3904f722a25618b3:0x5a06471342ab2ec8!8m2!3d31.914842!4d77.1271?authuser=0&hl=en&rclk=1,31.914842,77.1271,Goa
Iron Fist Gym,Gym,"2nd Floor ,Near Cinema Chowk, Sen Shopping Complex , Bhojpur, Sundar Nagar, Himachal Pradesh 175002, India",https://www.google.co.kr/maps/place/Iron+Fist+Gym/data=!4m5!3m4!1s0x390519bb53a1386b:0x60c9198f4407ad81!8m2!3d31.529765!4d76.888974?authuser=0&hl=en&rclk=1,31.529765,76.888974,Goa
Raaj Fitness Center(Gym),Gym,"tihra, mod, near bus stand, Sarkaghat, Himachal Pradesh 175024, India",https://www.google.co.kr/maps/place/Raaj+Fitness+Center(Gym)/data=!4m5!3m4!1s0x3904df2cbf98342f:0x98c62a3c9b3f6c0a!8m2!3d31.6989558!4d76.7324084?authuser=0&hl=en&rclk=1,31.6989558,76.7324084,Goa
Gym,Gym,"HV49+2J9, Mairajitpur, Himachal Pradesh 175036, India",https://www.google.co.kr/maps/place/Gym/data=!4m5!3m4!1s0x3905195b60bbaa39:0x7c1d6f2ad022c4f1!8m2!3d31.5550386!4d76.8691046?authuser=0&hl=en&rclk=1,31.5550386,76.8691046,Goa
Vibes Gym,Fitness center,"Opp. Central Bank Of India, Bhojpur, Sunder Nagar, Mandi, Himachal Pradesh 175002, India",https://www.google.co.kr/maps/place/Vibes+Gym/data=!4m5!3m4!1s0x3904e23c9f120ed3:0x3f37ca9fd94aeeed!8m2!3d31.708009!4d76.931285?authuser=0&hl=en&rclk=1,31.708009,76.931285,Goa
Bajrangi Fitness Hub,Gym,"1 floor, above HP Cooperative Bank, Kumarsain, Himachal Pradesh 172029, India",https://www.google.co.kr/maps/place/Bajrangi+Fitness+Hub/data=!4m5!3m4!1s0x390596f2a27f7b1b:0xca5e16e10128b5d8!8m2!3d31.3173413!4d77.4458476?authuser=0&hl=en&rclk=1,31.3173413,77.4458476,Goa
The infinity gym,Gym,"ward no. 2 main bazar, near sabji Mandi top floor deep and company complex, Himachal Pradesh 177001, India",https://www.google.co.kr/maps/place/The+infinity+gym/data=!4m5!3m4!1s0x3904d512537a41ef:0x9ab86ec8b0f743e2!8m2!3d31.6862736!4d76.5227007?authuser=0&hl=en&rclk=1,31.6862736,76.5227007,Goa
