Company_Name,Category,Address,Url,Latitude,Longitude,State
The Power Fitness Gym💪🏋,Gym,"Sector B, 229, II Floor, Om Sai Multipurpose Complex, behind Union Bank of India, Ward no.-11, Indra, Mandideep, Bhopal, Madhya Pradesh 462046, India",https://www.google.co.kr/maps/place/The+Power+Fitness+Gym%F0%9F%92%AA%F0%9F%8F%8B/data=!4m5!3m4!1s0x397c47cab3d420cf:0xea7bd6aa6c588e94!8m2!3d23.0969469!4d77.5164216?authuser=0&hl=en&rclk=1,23.0969469,77.5164216,Madhya Pradesh
Shivhare gym,Gym,"3C5Q+WG2, Nowgong, Madhya Pradesh 471201, India",https://www.google.co.kr/maps/place/Shivhare+gym/data=!4m5!3m4!1s0x3982a65ad1fbc5e3:0x4ec82fdd2a26f633!8m2!3d25.0597567!4d79.4387725?authuser=0&hl=en&rclk=1,25.0597567,79.4387725,Madhya Pradesh
Yoga and Fitness Classes,Fitness center,"Singhpur Rd, ganesh ganj, Shahdol, Madhya Pradesh 484001, India",https://www.google.co.kr/maps/place/Yoga+and+Fitness+Classes/data=!4m5!3m4!1s0x3986fb5f321294db:0x4aaf728230403995!8m2!3d23.2943266!4d81.365205?authuser=0&hl=en&rclk=1,23.2943266,81.365205,Madhya Pradesh
Pumping Iron Gym,Gym,"Near State Bank Of India, Chetakpuri, Vijaynagar, Gwalior, Madhya Pradesh 474009, India",https://www.google.co.kr/maps/place/Pumping+Iron+Gym/data=!4m5!3m4!1s0x3976c43cc70aca37:0x143fd4c26bd6adfa!8m2!3d26.1997429!4d78.1750589?authuser=0&hl=en&rclk=1,26.1997429,78.1750589,Madhya Pradesh
"""T3"" - Time To Train Fitness Gym",Gym,"Kulshreshtha Market, 1st floor, Sachin Tendulkar Rd, Above Tandoori Chai, Gwalior, Madhya Pradesh 474011, India",https://www.google.co.kr/maps/place/%22T3%22+-+Time+To+Train+Fitness+Gym/data=!4m5!3m4!1s0x3976c5e2d558a1ed:0xbb9128880708c629!8m2!3d26.205554!4d78.1958677?authuser=0&hl=en&rclk=1,26.205554,78.1958677,Madhya Pradesh
Dangal Gym - Family Fitness | Aerobic | Cardio | Gym,Gym,"2 B, near bank of india, Awadhpuri, Bhopal, Madhya Pradesh 462022, India",https://www.google.co.kr/maps/place/Dangal+Gym+-+Family+Fitness+%7C+Aerobic+%7C+Cardio+%7C+Gym/data=!4m5!3m4!1s0x397c419145788ce9:0x45f1f6b503db134b!8m2!3d23.2216057!4d77.488607?authuser=0&hl=en&rclk=1,23.2216057,77.488607,Madhya Pradesh
Mudliar's Fitness Plaza,Gym,"Narmada Rd, beside Central Bank of India, MCI Colony, Gorakhpur, Jabalpur, Madhya Pradesh 482001, India",https://www.google.co.kr/maps/place/Mudliar's+Fitness+Plaza/data=!4m5!3m4!1s0x3981ade4abe227ef:0x37b3ba22095af4c5!8m2!3d23.1477109!4d79.93136?authuser=0&hl=en&rclk=1,23.1477109,79.93136,Madhya Pradesh
SHAPE UP GYM,Gym,"Ward No. 13, Narsinghpur Rd, near KUNAL MOTORS, Nai Abadi, Chhindwara, Madhya Pradesh 480001, India",https://www.google.co.kr/maps/place/SHAPE+UP+GYM/data=!4m5!3m4!1s0x3bd567a194caaef3:0x440ab18c847870fd!8m2!3d22.0650138!4d78.9541474?authuser=0&hl=en&rclk=1,22.0650138,78.9541474,Madhya Pradesh
Fit24 fitness anuppur,Gym,"Fit24 fitness, Chetna Nagar, Anuppur, Madhya Pradesh 484224, India",https://www.google.co.kr/maps/place/Fit24+fitness+anuppur/data=!4m5!3m4!1s0x3987b357588db6cd:0x7d728f7259debf40!8m2!3d23.1136554!4d81.697629?authuser=0&hl=en&rclk=1,23.1136554,81.697629,Madhya Pradesh
MFC Gym,Gymnasium Cz,"Bittan Market, 10, E-5/10, Link Rd Number 3, Opposite Habibganj Police Station, E-5, Char Imli, Bhopal, Madhya Pradesh 462016, India",https://www.google.co.kr/maps/place/MFC+Gym/data=!4m5!3m4!1s0x397c42565418914f:0xd6d748bbd818ac87!8m2!3d23.2169204!4d77.4271499?authuser=0&hl=en&rclk=1,23.2169204,77.4271499,Madhya Pradesh
