Company_Name,Category,Address,Url,Latitude,Longitude,State
Nitrro Bespoke Fitness,Gym,"Skybay Hubtown, Skybay Hubtown, Breach Candy, Mumbai, Maharashtra 400026, India",https://www.google.co.kr/maps/place/Nitrro+Bespoke+Fitness/data=!4m5!3m4!1s0x3be7ce782670d0db:0x973a8e97fb07b569!8m2!3d18.9751027!4d72.8062174?authuser=0&hl=en&rclk=1,18.9751027,72.8062174,Maharashtra
3 Fitness India Gym,Gym,"L.B.S Marg, Opp. Pankeshah Dargah, next to Shalimar Hotel, Ghatkopar West, Mumbai, Maharashtra 400086, India",https://www.google.co.kr/maps/place/3+Fitness+India+Gym/data=!4m5!3m4!1s0x3be7c7675d5c71f3:0x29fc9b923de59278!8m2!3d19.0961396!4d72.9151486?authuser=0&hl=en&rclk=1,19.0961396,72.9151486,Maharashtra
Fitness Holic,Gym,"4, Swami Vivekananda Rd, Malad, Reserve Bank of India Staff Quarters, Raheja Twp, Jogeshwari West, Mumbai, Maharashtra 400102, India",https://www.google.co.kr/maps/place/Fitness+Holic/data=!4m5!3m4!1s0x3be7b62bc3c8fa7d:0x6d9d841a9eed6e9e!8m2!3d19.174844!4d72.848494?authuser=0&hl=en&rclk=1,19.174844,72.848494,Maharashtra
Fitness India Gym,Gym,"near Zenda Chowk, Dr.Ambedkar Nagar, Dharampeth, Nagpur, Maharashtra 440010, India",https://www.google.co.kr/maps/place/Fitness+India+Gym/data=!4m5!3m4!1s0x3bd4c17bee6b6617:0x1002689433e8cb8a!8m2!3d21.1413257!4d79.0626775?authuser=0&hl=en&rclk=1,21.1413257,79.0626775,Maharashtra
H FITNESS,Fitness center,"Floor 1,Bapu Bangla, above State Bank of India, Indira Nagar, Nashik, Maharashtra 422009, India",https://www.google.co.kr/maps/place/H+FITNESS/data=!4m5!3m4!1s0x3bddeb3d4085aff9:0x98860bc49803c59d!8m2!3d19.9735609!4d73.785847?authuser=0&hl=en&rclk=1,19.9735609,73.785847,Maharashtra
Global fitness & Gym,Gym,"Kedia Complex, Kirti Nagar, Akola, Maharashtra 444001, India",https://www.google.co.kr/maps/place/Global+fitness+%26+Gym/data=!4m5!3m4!1s0x3bd72fce0a734be7:0x79150713f9fe2367!8m2!3d20.6939864!4d77.0148334?authuser=0&hl=en&rclk=1,20.6939864,77.0148334,Maharashtra
Fitness India,Gym,"Siddi Vinayak Apartment, Plot No.1, Gajanan Mandir Rd, Khare Town, Dharampeth, Nagpur, Maharashtra 440010, India",https://www.google.co.kr/maps/place/Fitness+India/data=!4m5!3m4!1s0x3bd4c060453d531f:0x50cbe69fc6176d34!8m2!3d21.1413449!4d79.0624485?authuser=0&hl=en&rclk=1,21.1413449,79.0624485,Maharashtra
The Gym,Fitness center,"Ganga Home, Row House No.1/2, next to Bank of India, Viman Nagar, Pune, Maharashtra 411014, India",https://www.google.co.kr/maps/place/The+Gym/data=!4m5!3m4!1s0x3bc2c146c481ff81:0xc26293e10b8b3673!8m2!3d18.5646915!4d73.9164632?authuser=0&hl=en&rclk=1,18.5646915,73.9164632,Maharashtra
"PEPT Fitness Bootcamp, India",Fitness center,"A wing, First Floor Aditya Business Center ( Next to Jyoti Restaurant, N Main Rd, Kondhwa, Pune, Maharashtra 411048, India","https://www.google.co.kr/maps/place/PEPT+Fitness+Bootcamp,+India/data=!4m5!3m4!1s0x3bc2eb511244ed1b:0x5ae75f1a6a231311!8m2!3d18.4785044!4d73.8903496?authuser=0&hl=en&rclk=1",18.4785044,73.8903496,Maharashtra
MultiFit Baner,Gym,"Pride Gateway, 1st Floor, Sr. No. 112, Baner Rd, opp. Syngenta India Ltd, Pune, Maharashtra 411045, India",https://www.google.co.kr/maps/place/MultiFit+Baner/data=!4m5!3m4!1s0x3bc2beb56d52eae1:0xb8d2951049fa92c5!8m2!3d18.5658019!4d73.7712535?authuser=0&hl=en&rclk=1,18.5658019,73.7712535,Maharashtra
