Company_Name,Category,Address,Url,Latitude,Longitude,State
Gold's Gym Shillong,Gym,"Hopkinson Road Ashiana ‘E’ Azam Block 3, Lower, Lachumiere, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/Gold's+Gym+Shillong/data=!4m5!3m4!1s0x37507e97058431ef:0xca5d90baf28d8feb!8m2!3d25.5700878!4d91.8875164?authuser=0&hl=en&rclk=1,25.5700878,91.8875164,Meghalaya
Synergy Fitness Gym,Gym,"Laitumkhrah, Laitumkhrah Main Rd, Shillong, Meghalaya 793003, India",https://www.google.co.kr/maps/place/Synergy+Fitness+Gym/data=!4m5!3m4!1s0x37507ea5503770ff:0xefc6fd6c8eaa61cd!8m2!3d25.5671426!4d91.8997781?authuser=0&hl=en&rclk=1,25.5671426,91.8997781,Meghalaya
Iron House Gym and Fitness Centre,Gym,"Rynjah, Shillong, Meghalaya 793006, India",https://www.google.co.kr/maps/place/Iron+House+Gym+and+Fitness+Centre/data=!4m5!3m4!1s0x3750794dcfc544ad:0xbfa6bb1d62bbeaf7!8m2!3d25.5699133!4d91.9139224?authuser=0&hl=en&rclk=1,25.5699133,91.9139224,Meghalaya
MuscleXcess and Fitness Gym,Fitness center,"Jail Road, Police Bazar, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/MuscleXcess+and+Fitness+Gym/data=!4m5!3m4!1s0x37507e933e669d83:0xe7e2ff3ac67a5e3f!8m2!3d25.5791969!4d91.8840155?authuser=0&hl=en&rclk=1,25.5791969,91.8840155,Meghalaya
Mo's Gym & fitness centre,Gym,"Rngi, Rynjah, Shillong, Meghalaya 793006, India",https://www.google.co.kr/maps/place/Mo's+Gym+%26+fitness+centre/data=!4m5!3m4!1s0x375079afd03e72e9:0x9dbd1c285116924a!8m2!3d25.5676526!4d91.913842?authuser=0&hl=en&rclk=1,25.5676526,91.913842,Meghalaya
Strength Camp Fitness Gym,Gym,"Georgina Plaza, 3rd Floor, Laitumkhrah Main Rd, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003, India",https://www.google.co.kr/maps/place/Strength+Camp+Fitness+Gym/data=!4m5!3m4!1s0x37507ebba7919211:0x342ab0167655ccb6!8m2!3d25.5706644!4d91.8970693?authuser=0&hl=en&rclk=1,25.5706644,91.8970693,Meghalaya
Dedication Gym,Gym,"HVMX+6XV, 3 Mile, Upper Shillong, Golf Links, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/Dedication+Gym/data=!4m5!3m4!1s0x37507f2a167ea071:0x6f6f80ab8b6d4e50!8m2!3d25.5831011!4d91.8999188?authuser=0&hl=en&rclk=1,25.583101100000004,91.8999188,Meghalaya
Dedication Gym,Fitness center,"HWH3+3RF, Demseiñ-Ïong, Shillong, Meghalaya 793011, India",https://www.google.co.kr/maps/place/Dedication+Gym/data=!4m5!3m4!1s0x37507f87b1267fdb:0x5229cbba5002f88f!8m2!3d25.5776818!4d91.9045461?authuser=0&hl=en&rclk=1,25.5776818,91.9045461,Meghalaya
Body Zoo Gym(branch),Gym,"Nongshiliang Nongthymmai, Nongrimbah, East Khasi Hills, Shillong, Meghalaya 793014, India",https://www.google.co.kr/maps/place/Body+Zoo+Gym(branch)/data=!4m5!3m4!1s0x37507ead761d951b:0x1499061ebe6fd626!8m2!3d25.5665377!4d91.9074857?authuser=0&hl=en&rclk=1,25.5665377,91.9074857,Meghalaya
Flex Appeal Gym And Aerobics Studio,Gym,"Lachumiere, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/Flex+Appeal+Gym+And+Aerobics+Studio/data=!4m5!3m4!1s0x37507e9a1dceb4b5:0x4075bfee24559d8f!8m2!3d25.566829!4d91.885376?authuser=0&hl=en&rclk=1,25.566829,91.885376,Meghalaya
