Company_Name,Category,Address,Url,latitude,longtitude
MSR Fitness Centre,Gym,"Upper Republic, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/MSR+Fitness+Centre/data=!4m5!3m4!1s0x374d94c74bc9edaf:0x202b320c309a8f09!8m2!3d23.7215319!4d92.7191548?authuser=0&hl=en&rclk=1,23.7215319,92.7191548
Mizoram WeighLifting Academy,Gym,"Ramhlun Sport Complex Rd, Ramhlun Venglai, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Mizoram+WeighLifting+Academy/data=!4m5!3m4!1s0x374deb323f109793:0xddcd37316547a27!8m2!3d23.743949!4d92.7267671?authuser=0&hl=en&rclk=1,23.743949,92.7267671
Electric Veng Gym Club,Gym,"B15-1, Church St, Electric Veng, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/Electric+Veng+Gym+Club/data=!4m5!3m4!1s0x374d94ca76dc538f:0x97e5fd44ab009ee1!8m2!3d23.7351072!4d92.7184718?authuser=0&hl=en&rclk=1,23.7351072,92.7184718
BHHO The Fitness Club,Gym,"PPR9+FJ9, Chanmari, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/BHHO+The+Fitness+Club/data=!4m5!3m4!1s0x374deb356909e21b:0xf21df0ec10d15f7b!8m2!3d23.7411604!4d92.7191045?authuser=0&hl=en&rclk=1,23.7411604,92.7191045
Slick Fitness Gym,Gym,"Bungkawn Damveng Rd, Khatla, Bungkawn Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Slick+Fitness+Gym/data=!4m5!3m4!1s0x374d94bc5fd5d797:0x782a4666537493d!8m2!3d23.7203004!4d92.7109472?authuser=0&hl=en&rclk=1,23.7203004,92.7109472
Ramhlun Gymn,Gym,"Ramhlun Sport Complex Rd, Ramhlun Vengthar, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Ramhlun+Gymn/data=!4m5!3m4!1s0x374deb323b04f41f:0xa96bb0d7e681a72b!8m2!3d23.7444102!4d92.7265348?authuser=0&hl=en&rclk=1,23.7444102,92.7265348
Gym,Gym,"Lunglei, Venglai, Mizoram, India",https://www.google.co.kr/maps/place/Gym/data=!4m5!3m4!1s0x374d41c708c4018d:0x25a03a37318b19a3!8m2!3d22.8908273!4d92.7435267?authuser=0&hl=en&rclk=1,22.8908273,92.7435267
BHHO Fitness centre,Gym,"Chanmari, Aizawl, Mizoram 796007, India",https://www.google.co.kr/maps/place/BHHO+Fitness+centre/data=!4m5!3m4!1s0x374deb3568f5e585:0x1db727ed1952b3ba!8m2!3d23.741166!4d92.7189891?authuser=0&hl=en&rclk=1,23.741166,92.7189891
Undivided fitness centre,Gym,"North, Zemabawk, Aizawl, Mizoram 796017, India",https://www.google.co.kr/maps/place/Undivided+fitness+centre/data=!4m5!3m4!1s0x374debbb69414edb:0xa64fac02abcdfada!8m2!3d23.7405712!4d92.7484784?authuser=0&hl=en&rclk=1,23.7405712,92.7484784
Slick Gym SBFG,Gym,"PPC7+7X8, Khatla, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Slick+Gym+SBFG/data=!4m5!3m4!1s0x374d94bec46e8fe1:0x450afc3a0b2a8451!8m2!3d23.72067!4d92.7149541?authuser=0&hl=en&rclk=1,23.72067,92.7149541
