Company_Name,Category,Address,Url,Latitude,Longitude,Territory
The Fitness House,Gym,"Adjacent to City Ford, 3rd Mile, Dimapur, Nagaland 797115, India",https://www.google.co.kr/maps/place/The+Fitness+House/data=!4m5!3m4!1s0x37460903b3e2865f:0x31365b99df465339!8m2!3d25.8858969!4d93.7598572?authuser=0&hl=en&rclk=1,25.8858969,93.7598572,Nagaland
Orentsani Aesthetic Fitness,Gym,"H/N 55 1st Floor, opposite Stepping Stones School, Duncan Basti, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Orentsani+Aesthetic+Fitness/data=!4m5!3m4!1s0x3745e178a1404b77:0x2d23f97e03eaeef6!8m2!3d25.9101566!4d93.7020878?authuser=0&hl=en&rclk=1,25.9101566,93.7020878,Nagaland
Gologhat Road Saloon,Gym,"opposite Hotel Galaxy, Golaghat Rd, near Blue Hill station, Dimapur, Nagaland, India",https://www.google.co.kr/maps/place/Gologhat+Road+Saloon/data=!4m5!3m4!1s0x3745e19f36a52c9f:0x409a487d7d811d1e!8m2!3d25.9110957!4d93.727259?authuser=0&hl=en&rclk=1,25.9110957,93.727259,Nagaland
City Fitness Gym,Fitness center,"2nd floor, Amway office, Khermahal, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/City+Fitness+Gym/data=!4m5!3m4!1s0x3745e11bf9d075ab:0x5046501df3a955d9!8m2!3d25.9141225!4d93.7242496?authuser=0&hl=en&rclk=1,25.9141225,93.7242496,Nagaland
Hardcore Fitness Gym,Gym,"Duncan Bosti, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/Hardcore+Fitness+Gym/data=!4m5!3m4!1s0x3745e18359e40275:0x12430a082a484a9c!8m2!3d25.9106656!4d93.707759?authuser=0&hl=en&rclk=1,25.9106656,93.707759,Nagaland
Flex Appeal Gym,Gym,"near Belho Gas Agency, Mohankhola, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/Flex+Appeal+Gym/data=!4m5!3m4!1s0x374621b2bb6a4d69:0x19cc2b642fa96ef!8m2!3d25.6538814!4d94.0994883?authuser=0&hl=en&rclk=1,25.6538814,94.0994883,Nagaland
The Power House Gym,Gym,"SH 36, Signal Bosti, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/The+Power+House+Gym/data=!4m5!3m4!1s0x3745e2225c4a0fe9:0x643040de3f173175!8m2!3d25.8925071!4d93.7210433?authuser=0&hl=en&rclk=1,25.8925071,93.7210433,Nagaland
CITY MULTI GYM,Gym,"Zhimomi Apartments, Kalibari Rd, near DMC office, West Yard Colony, Marwari Patti, Dimapur, Nagaland 797112, India",https://www.google.co.kr/maps/place/CITY+MULTI+GYM/data=!4m5!3m4!1s0x3745e12f6663adf5:0x99bf1bfec750eb7!8m2!3d25.9043424!4d93.7260956?authuser=0&hl=en&rclk=1,25.9043424,93.7260956,Nagaland
Ciekhan Fitness,Gym,"Kezieke, Kohima, Nagaland 797001, India",https://www.google.co.kr/maps/place/Ciekhan+Fitness/data=!4m5!3m4!1s0x3746213bfc931363:0x8c3ca3388ef7787f!8m2!3d25.6770476!4d94.109343?authuser=0&hl=en&rclk=1,25.6770476,94.109343,Nagaland
Borlengri Fitness Centre,Fitness center,"MB Rd, Borolengri, Dimapur, Nagaland 782480, India",https://www.google.co.kr/maps/place/Borlengri+Fitness+Centre/data=!4m5!3m4!1s0x3745e1c92ce49f13:0x4c1a24669c790450!8m2!3d25.9201717!4d93.7072591?authuser=0&hl=en&rclk=1,25.9201717,93.7072591,Nagaland
Smart Life Gym,Gym,"AH2, Oriental Colony, Dimapur, Nagaland 797113, India",https://www.google.co.kr/maps/place/Smart+Life+Gym/data=!4m5!3m4!1s0x3745e178a92df9fb:0x831c75bfe346cc32!8m2!3d25.9061426!4d93.7026005?authuser=0&hl=en&rclk=1,25.9061426,93.7026005,Nagaland
Chisel bodywork gym,Gym,"V.K. Complex basement, Jail Colony, Kohima, Nagaland 797005, India",https://www.google.co.kr/maps/place/Chisel+bodywork+gym/data=!4m5!3m4!1s0x3746219930e15f27:0x91c61888262fbfe7!8m2!3d25.6570614!4d94.0958155?authuser=0&hl=en&rclk=1,25.6570614,94.0958155,Nagaland
