Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Indian Gym,Gym,"NO:2, Old Madras St, opp. SBI BANK, Kottakuppam, Puducherry, 605104, India",https://www.google.co.kr/maps/place/Indian+Gym/data=!4m5!3m4!1s0x3a5363e0ecad28d7:0xebccdb38ccceeaeb!8m2!3d11.9574973!4d79.8340104?authuser=0&hl=en&rclk=1,11.9574973,79.8340104,Puducherry
FITNESS CENTRE / GYM IN PONDICHERRY - Aroma Health & Fitness Centre in Pondicherry,Fitness center,"No.67, 2nd Floor, Jawaharlal Nehru Street, Mission St, opp. to Bata Showroom and, Corner, Puducherry, 605001, India",https://www.google.co.kr/maps/place/FITNESS+CENTRE+%2F+GYM+IN+PONDICHERRY+-+Aroma+Health+%26+Fitness+Centre+in+Pondicherry/data=!4m5!3m4!1s0x3a5363d5a1a5bac9:0x48da4d3442cf3eb7!8m2!3d11.9357176!4d79.8314104?authuser=0&hl=en&rclk=1,11.9357176,79.8314104,Puducherry
VAIRAM FITNESS PUDUCHERRY,Gym,"11 Vignesh Complex Salai, Third Cross St, Puducherry, 605001, India",https://www.google.co.kr/maps/place/VAIRAM+FITNESS+PUDUCHERRY/data=!4m5!3m4!1s0x3a53617f306635a7:0x8873bc56e362f94e!8m2!3d11.940582!4d79.8262?authuser=0&hl=en&rclk=1,11.940582,79.8262,Puducherry
FITNESS 1 Unisex fitness studio,Gym,"Chennai - Nagapattinam Hwy, Thattanchavady, Puducherry, 605006, India",https://www.google.co.kr/maps/place/FITNESS+1+Unisex+fitness+studio/data=!4m5!3m4!1s0x3a53610d5f987a25:0xf27188a0ca5a2993!8m2!3d11.9429589!4d79.8060001?authuser=0&hl=en&rclk=1,11.9429589,79.8060001,Puducherry
Pro fitness,Gym,"No. 43, Yanam Vengadasalam Pillai St, Chinnakadai, MG Road Area, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Pro+fitness/data=!4m5!3m4!1s0x3a53612af0bef241:0xd7ca32253fb438db!8m2!3d11.9284929!4d79.8281072?authuser=0&hl=en&rclk=1,11.9284929,79.8281072,Puducherry
Le Début - Fitness Studio,Physical fitness program,"36, Des Bassyins De Richemont St, White Town, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Le+D%C3%A9but+-+Fitness+Studio/data=!4m5!3m4!1s0x3a5363d3f8e75ca3:0xb8198cbf28770063!8m2!3d11.9383486!4d79.8338618?authuser=0&hl=en&rclk=1,11.9383486,79.8338618,Puducherry
Dynamic Gym,Gym,"234, 100 Feet Rd, opp.to Indian Oil Petrol Bunk, Ozhandai Keerapalaiyam, Marapalam Junction, Puducherry, 605004, India",https://www.google.co.kr/maps/place/Dynamic+Gym/data=!4m5!3m4!1s0x3a53619b3ba7876d:0xb99acff8f5decd0b!8m2!3d11.9146187!4d79.8104534?authuser=0&hl=en&rclk=1,11.9146187,79.8104534,Puducherry
Dj Fitness,Gym,"236, Dr Ambedkar Rd, Mudaliarpet, Puducherry, 605004, India",https://www.google.co.kr/maps/place/Dj+Fitness/data=!4m5!3m4!1s0x3a536185f611e335:0x545eec519ccfb58c!8m2!3d11.9210415!4d79.816284?authuser=0&hl=en&rclk=1,11.9210415,79.816284,Puducherry
Arrow Fitness Studio - Unisex,Gym,"No. 148, Thiruvalluvar Salai, Pillaithotam, Pudupalaiyam, Puducherry, 605013, India",https://www.google.co.kr/maps/place/Arrow+Fitness+Studio+-+Unisex/data=!4m5!3m4!1s0x3a53617718184207:0x32ab8a3038cd8f53!8m2!3d11.9359747!4d79.8154871?authuser=0&hl=en&rclk=1,11.9359747,79.8154871,Puducherry
Extreme Fitness Gym,Gym,"XR3C+JF3, Pethuchettypet, Lawspet, Puducherry, 605012, India",https://www.google.co.kr/maps/place/Extreme+Fitness+Gym/data=!4m5!3m4!1s0x3a5361679d4f4ca7:0x432f7c826a60d941!8m2!3d11.9540218!4d79.821173?authuser=0&hl=en&rclk=1,11.9540218,79.821173,Puducherry
Life Fitness Gym,Gym,"Thilaspet, Marie Oulgaret, Puducherry, 605009, India",https://www.google.co.kr/maps/place/Life+Fitness+Gym/data=!4m5!3m4!1s0x3a53610fc5eeaf1b:0x2689695d9afa1ad9!8m2!3d11.9417653!4d79.7980906?authuser=0&hl=en&rclk=1,11.9417653,79.7980906,Puducherry
Aurofit fitness studio,Gym,"18 ajeez nagar, Reddiarpalayam, Puducherry, 605005, India",https://www.google.co.kr/maps/place/Aurofit+fitness+studio/data=!4m5!3m4!1s0x3a53614dde452bc3:0x943f5d71cbfdeeb4!8m2!3d11.9323661!4d79.8008302?authuser=0&hl=en&rclk=1,11.9323661,79.8008302,Puducherry
