Company_Name,Category,Address,Url,Latitude,Longitude,State
RAJASTHAN GYM INDUSTRIES,Gym,"G-1, 124, RIICO I.I.D.Center, Kaladwas, Rajasthan 313003, India",https://www.google.co.kr/maps/place/RAJASTHAN+GYM+INDUSTRIES/data=!4m5!3m4!1s0x3967e9b80964f231:0xe164aa7e0e062c9c!8m2!3d24.5601856!4d73.7580823?authuser=0&hl=en&rclk=1,24.5601856,73.7580823,Rajasthan
Fitness Plus,Physical fitness program,"Online India ONLINE INDIA, Sector1, Gandhi Nagar, Chittorgarh, Rajasthan 312001, India",https://www.google.co.kr/maps/place/Fitness+Plus/data=!4m5!3m4!1s0x3968a172fa3705f5:0x5a05af3cf3f64add!8m2!3d24.8847402!4d74.6336397?authuser=0&hl=en&rclk=1,24.8847402,74.6336397,Rajasthan
Fit India Gym,Gym,"near Bright land school, Bajrang Nagar, Kota, Rajasthan 324001, India",https://www.google.co.kr/maps/place/Fit+India+Gym/data=!4m5!3m4!1s0x396f9bca715783ab:0xdd77177f051d71e2!8m2!3d25.1805298!4d75.8629042?authuser=0&hl=en&rclk=1,25.1805298,75.8629042,Rajasthan
ClutchFit- The House of Fitness,Fitness center,"D-82, JS plaza 3rd, Shyam Nagar, Jaipur, Rajasthan 302019, India",https://www.google.co.kr/maps/place/ClutchFit-+The+House+of+Fitness/data=!4m5!3m4!1s0x396db5a6b7c67703:0x9a7b25657a4191ff!8m2!3d26.8942354!4d75.7696582?authuser=0&hl=en&rclk=1,26.8942354,75.7696582,Rajasthan
Suncity Gym & Fitness,Gym,"7X88+J5C, Chopasni Housing Board, Jodhpur, Rajasthan 342003, India",https://www.google.co.kr/maps/place/Suncity+Gym+%26+Fitness/data=!4m5!3m4!1s0x39418fb32fc1728b:0xea938a8c51a18773!8m2!3d26.2665712!4d72.9654015?authuser=0&hl=en&rclk=1,26.2665712,72.9654015,Rajasthan
Mr. India Fat to Fit Gym - Fitness zone,Gym,"2nd floor, Aone palace, near menaria guest house, Sector 5, Hiran Magri, Udaipur, Rajasthan 313002, India",https://www.google.co.kr/maps/place/Mr.+India+Fat+to+Fit+Gym+-+Fitness+zone/data=!4m5!3m4!1s0x3967ef2059a9a29f:0x8b4611390f08fb3b!8m2!3d24.5620628!4d73.7227774?authuser=0&hl=en&rclk=1,24.5620628,73.7227774,Rajasthan
Hawk Fitness Jodhpur,Gym,"Plot No. 91, near Bodhi International School, Tirupati Vihar, Shikargarh Enclave, Shikargad, Jodhpur, Rajasthan 342001, India",https://www.google.co.kr/maps/place/Hawk+Fitness+Jodhpur/data=!4m5!3m4!1s0x39418d3da204b4c3:0xd76c0e70173bb005!8m2!3d26.2752572!4d73.0736762?authuser=0&hl=en&rclk=1,26.2752572,73.0736762,Rajasthan
fitness,Fitness center,"21 ratanjeet complex, Rajasthan 313001, India",https://www.google.co.kr/maps/place/fitness/data=!4m5!3m4!1s0x3967e588db315b5b:0x1d0f8e18672acdf6!8m2!3d24.598284!4d73.7242486?authuser=0&hl=en&rclk=1,24.598284,73.7242486,Rajasthan
KC Complete Fitness,Gym,"S3, basement adarsh niketan hostel, RIICO colony, sitapura (india gate, Rajasthan 302022, India",https://www.google.co.kr/maps/place/KC+Complete+Fitness/data=!4m5!3m4!1s0x396dc900a05fa42f:0x58dd4be00bdeec1a!8m2!3d26.7865536!4d75.8225976?authuser=0&hl=en&rclk=1,26.7865536,75.8225976,Rajasthan
Sharma Fitness Point,Gym,"Sadri Haweli Vishwakarma Temple, near Naiyo Ki Talai, Rajasthan 313001, India",https://www.google.co.kr/maps/place/Sharma+Fitness+Point/data=!4m5!3m4!1s0x3967e576cc6d4939:0x57bfbc946804158f!8m2!3d24.5774797!4d73.689244?authuser=0&hl=en&rclk=1,24.5774797,73.689244,Rajasthan
