Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Fitness ONE Gym Peelamedu,Gym,"Sri Towers 23 Bharathi St, Sowripalayam - Masakalipalayam Rd, above indian bank, Peelamedu, Coimbatore, Tamil Nadu 641004, India",https://www.google.co.kr/maps/place/Fitness+ONE+Gym+Peelamedu/data=!4m5!3m4!1s0x3ba85785b7e5b533:0x2c513f10fbcab5d8!8m2!3d11.0245528!4d77.0174589?authuser=0&hl=en&rclk=1,11.0245528,77.0174589,Tamil Nadu
Fitness One Kilpauk,Fitness center,"25, Ramanathan St, Alagappa Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",https://www.google.co.kr/maps/place/Fitness+One+Kilpauk/data=!4m5!3m4!1s0x3a52667fb0e4502b:0x41e7563f75cce9fe!8m2!3d13.0776776!4d80.2338762?authuser=0&hl=en&rclk=1,13.0776776,80.2338762,Tamil Nadu
Aashiq Fitness center Gym In Ayanavaram,Gym,"8/15, 2nd floor ,Market Street Ayanavaram Chennai, Chennnai, Tamil Nadu 600022, India",https://www.google.co.kr/maps/place/Aashiq+Fitness+center+Gym+In+Ayanavaram/data=!4m5!3m4!1s0x3a526521294d57b7:0xd84981daa8a5abe9!8m2!3d13.098829!4d80.2305618?authuser=0&hl=en&rclk=1,13.098829,80.2305618,Tamil Nadu
Bodyzeal Fitworks - Crossfit Gym in Coimbatore | Zumba Fitness | Aerobics classes,Fitness center,"Nava India, No 556/1, Hem Garden Road, Behind Pricol Apartment, Peelamedu, Tamil Nadu 641004, India",https://www.google.co.kr/maps/place/Bodyzeal+Fitworks+-+Crossfit+Gym+in+Coimbatore+%7C+Zumba+Fitness+%7C+Aerobics+classes/data=!4m5!3m4!1s0x3ba85968bbb77fdb:0xdf5779d7a79fd22a!8m2!3d11.0188181!4d76.9892193?authuser=0&hl=en&rclk=1,11.0188181,76.9892193,Tamil Nadu
FitnessOne Salem,Gym,"103/1E,Sriram Nagar, Sarada College Rd, Alagapuram Periyaputhur, Salem, Tamil Nadu 636016, India",https://www.google.co.kr/maps/place/FitnessOne+Salem/data=!4m5!3m4!1s0x3babf05caf830209:0x209d6a70139ffe2f!8m2!3d11.6769098!4d78.1381677?authuser=0&hl=en&rclk=1,11.6769098,78.1381677,Tamil Nadu
EXCELFITNESSANDSPORTS(DINDIGUL),Fitness center,"No 10/73, Trichy Road, Near Kattu Aspathiri, Dindigul, Tamil Nadu 624001, India",https://www.google.co.kr/maps/place/EXCELFITNESSANDSPORTS(DINDIGUL)/data=!4m5!3m4!1s0x3b00aa57a54881e3:0xa0025cc189e39ed9!8m2!3d10.35672!4d77.976051?authuser=0&hl=en&rclk=1,10.35672,77.976051,Tamil Nadu
PowerMax Fitness,Gym,"NO:1705 A, 1st Floor ,Trichy Road Olympus,Near Max Showroom, Ramanathapuram, opp. All India Radio, Olymbus, Ramasamy Nagar, Coimbatore, Tamil Nadu 641045, India",https://www.google.co.kr/maps/place/PowerMax+Fitness/data=!4m5!3m4!1s0x3ba859c15078ef6b:0xb2a01faa1d1239bb!8m2!3d11.0253901!4d77.1246499?authuser=0&hl=en&rclk=1,11.0253901,77.1246499,Tamil Nadu
Gold’s Gym,Gym,"No 7, 1st Ave, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600020, India",https://www.google.co.kr/maps/place/Gold%E2%80%99s+Gym/data=!4m5!3m4!1s0x3a525d5f8e070ce1:0x2aa2debd49b14088!8m2!3d13.0009711!4d80.2595057?authuser=0&hl=en&rclk=1,13.0009711,80.2595057,Tamil Nadu
Avengers Fitness Studio,Gymnasium Cz,"Annasagram Rd, Indhira Nagar, Dharmapuri, Tamil Nadu 636701, India",https://www.google.co.kr/maps/place/Avengers+Fitness+Studio/data=!4m5!3m4!1s0x3bac16e0e9a675cd:0x764b7599f84c3bb5!8m2!3d12.11635!4d78.1578571?authuser=0&hl=en&rclk=1,12.11635,78.1578571,Tamil Nadu
Muscle warrior fitness,Gym,"suguna store, 158.A1 2nd floor, Anna Nagar, Madurai, Tamil Nadu 625020, India",https://www.google.co.kr/maps/place/Muscle+warrior+fitness/data=!4m5!3m4!1s0x3b00c50e4375160b:0x3f48ab88e03035d7!8m2!3d9.9214267!4d78.1481951?authuser=0&hl=en&rclk=1,9.9214267,78.1481951,Tamil Nadu
