Company_Name,Category,Address,Url,latitude,longtitude
Fitness First Mall of India,Gym,"Plot No M, DLF Mall of India, 03, Sector 18, Noida, Uttar Pradesh 201301, India",https://www.google.co.kr/maps/place/Fitness+First+Mall+of+India/data=!4m5!3m4!1s0x390ce448811f4f45:0x41f569f37841521d!8m2!3d28.5668972!4d77.3213901?authuser=0&hl=en&rclk=1,28.5668972,77.3213901
Mission Fit India Gym,Gym,"Avas Vikas Rd, Avas Vikas Colony, PoliceLine, Saharanpur, Uttar Pradesh 247001, India",https://www.google.co.kr/maps/place/Mission+Fit+India+Gym/data=!4m5!3m4!1s0x390eeb678b47647f:0xad5f956f83a2dc5c!8m2!3d29.9427937!4d77.5455487?authuser=0&hl=en&rclk=1,29.9427937,77.5455487
Afton Fitness Lucknow,Gym,"Afton Fitness, Faizabad Rd, near indian overseas bank chinhat branch, Lucknow, Uttar Pradesh 226028, India",https://www.google.co.kr/maps/place/Afton+Fitness+Lucknow/data=!4m5!3m4!1s0x399be3c70ded1171:0xeda94d7087319b7a!8m2!3d26.8797976!4d81.0368174?authuser=0&hl=en&rclk=1,26.8797976,81.0368174
Fit India Gym,Gym,"1st Floor Siddhivinayak Hospital, Allhadadpur Chowk, Uttar Pradesh 273001, India",https://www.google.co.kr/maps/place/Fit+India+Gym/data=!4m5!3m4!1s0x399145d1b0753c11:0x2963eee4405a87a7!8m2!3d26.7426573!4d83.3658655?authuser=0&hl=en&rclk=1,26.7426573,83.3658655
Talwalkars Mahmoorganj,Gym,"Krishna Complex, D-63/8, Mahmoorganj Rd, Above State Bank of India Shivaji Nagar Branch, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",https://www.google.co.kr/maps/place/Talwalkars+Mahmoorganj/data=!4m5!3m4!1s0x398e32098eeffd81:0xd0cb83f1a2de1247!8m2!3d25.304335!4d82.9775108?authuser=0&hl=en&rclk=1,25.304335,82.9775108
oxygen gym,Gym,"scooter india churaha, Bijnor Rd, Sarojini Nagar, Lucknow, Uttar Pradesh 226008, India",https://www.google.co.kr/maps/place/oxygen+gym/data=!4m5!3m4!1s0x399bf95f789e9ed9:0x2c11172e97f8c403!8m2!3d26.7367541!4d80.8608238?authuser=0&hl=en&rclk=1,26.7367541,80.8608238
Indian Health Gym,Gym,"Prachi Beauty Parlour, Naubasta, Triveni Nagar, Nowbasta, Triveni Nagar, Lucknow, Uttar Pradesh 226020, India",https://www.google.co.kr/maps/place/Indian+Health+Gym/data=!4m5!3m4!1s0x3999564efd94c27d:0x2d3d47b379e99354!8m2!3d26.9136735!4d80.9346748?authuser=0&hl=en&rclk=1,26.9136735,80.9346748
U.P. Body Building & Fitness Association,Association or organization,"A-133,Padav Nagar, Meerut Cantt., Uttar Pradesh 250001, India",https://www.google.co.kr/maps/place/U.P.+Body+Building+%26+Fitness+Association/data=!4m5!3m4!1s0x398e2e72bb942f71:0x7445be2985a72b4b!8m2!3d25.3320518!4d83.0030032?authuser=0&hl=en&rclk=1,25.3320518,83.0030032
Akash Fitness Gym,Gym,"New Colony, City Station Rd, Naiganj, Jaunpur, Uttar Pradesh 222002, India",https://www.google.co.kr/maps/place/Akash+Fitness+Gym/data=!4m5!3m4!1s0x39903ba886b0cc83:0xacb0cfe03dd60e5b!8m2!3d25.7345269!4d82.6668607?authuser=0&hl=en&rclk=1,25.7345269,82.6668607
FITNESS FACTORY,Gym,"Ballia, Uttar Pradesh 277001, India",https://www.google.co.kr/maps/place/FITNESS+FACTORY/data=!4m5!3m4!1s0x3992650466d3f4e5:0xee81eb9e15cbed69!8m2!3d25.7605142!4d84.1415248?authuser=0&hl=en&rclk=1,25.7605142,84.1415248
Fit India Body And Health Care Center,Physical fitness program,"2nd Floor, Napier Plaza, Near Doodh Mandi, Hardoi Road, Napier Plaza Colony, Chowk, Lucknow, Uttar Pradesh 226003, India",https://www.google.co.kr/maps/place/Fit+India+Body+And+Health+Care+Center/data=!4m5!3m4!1s0x399bfe0770481987:0x5bc93909cec7c002!8m2!3d26.871518!4d80.897825?authuser=0&hl=en&rclk=1,26.871518,80.897825
"GOLD FITNESS GYM NAGINA, UP, INDIA",Gym,"Nagina Dhampur Rd, Nagina, Uttar Pradesh 246762, India","https://www.google.co.kr/maps/place/GOLD+FITNESS+GYM+NAGINA,+UP,+INDIA/data=!4m5!3m4!1s0x390bc5a53aaa7557:0x43f3635551027df6!8m2!3d29.4389595!4d78.4345593?authuser=0&hl=en&rclk=1",29.4389595,78.4345593
Fit India gym,Gym,"6M44+738, Domariyaganj, Uttar Pradesh 272189, India",https://www.google.co.kr/maps/place/Fit+India+gym/data=!4m5!3m4!1s0x39973bb4ca8cabbf:0x76fab7d911f112fe!8m2!3d27.2056742!4d82.6552007?authuser=0&hl=en&rclk=1,27.2056742,82.6552007
Core Fitness Gym,Gym,"sangam tower, Rohta Rd, near state bank of india, Meerut, Uttar Pradesh 250001, India",https://www.google.co.kr/maps/place/Core+Fitness+Gym/data=!4m5!3m4!1s0x390c6678a8231171:0x50d47c1becbfaf4f!8m2!3d28.9917025!4d77.6533695?authuser=0&hl=en&rclk=1,28.9917025,77.6533695
OPTIMAL GYM AND FITNESS,Gym,"Floor 2, HIGHLAND PLAZA, 1/11, Kursi Rd, opposite Bazar India, Vikas Nagar, Lucknow, Uttar Pradesh 226022, India",https://www.google.co.kr/maps/place/OPTIMAL+GYM+AND+FITNESS/data=!4m5!3m4!1s0x3999574db9a0cb47:0xd717a3c3c3d1d275!8m2!3d26.901252!4d80.9555756?authuser=0&hl=en&rclk=1,26.901252,80.9555756
Fit India Nutrition Club,Gym,"Hardoi Road (LKO), Thakur Ganj, Petrol Pump, Thakurganj, SH 25, Chaupatiyan, Lucknow, Uttar Pradesh 226007, India",https://www.google.co.kr/maps/place/Fit+India+Nutrition+Club/data=!4m5!3m4!1s0x399bfe076f92c9dd:0x6a9c7f232e37626d!8m2!3d26.8717155!4d80.8978107?authuser=0&hl=en&rclk=1,26.8717155,80.8978107
Mission Fitness India,Gym,"05/191 Halim Compound 05/191 Halim Compound, Chandraka Devi Rd, Chaman Ganj, Colonelganj, Kanpur, Uttar Pradesh 208001, India",https://www.google.co.kr/maps/place/Mission+Fitness+India/data=!4m5!3m4!1s0x399c476353a04345:0x63345c13780ef203!8m2!3d26.4630432!4d80.3326321?authuser=0&hl=en&rclk=1,26.4630432,80.3326321
"Power Gym Men, Raebareli , Uttar Pradesh, India",Gym,"Habibulla Nagar, Pragati Puram, Raebareli, Uttar Pradesh 229316, India","https://www.google.co.kr/maps/place/Power+Gym+Men,+Raebareli+,+Uttar+Pradesh,+India/data=!4m5!3m4!1s0x399ba3fe735f24c1:0xef17ece15043c1c9!8m2!3d26.2462383!4d81.244106?authuser=0&hl=en&rclk=1",26.2462383,81.244106
FUTURE FITNESS HATHRAS U.P.,Gym,"Agra - Hathras Rd, opp. to bhurjian dharmshala, Vijayanagar Colony, Hathras, Uttar Pradesh 204101, India",https://www.google.co.kr/maps/place/FUTURE+FITNESS+HATHRAS+U.P./data=!4m5!3m4!1s0x39748567365323b5:0xd43c6e32e1be7f45!8m2!3d27.5678142!4d78.0537763?authuser=0&hl=en&rclk=1,27.5678142,78.0537763
Anytime Fitness,Gym,"Jaipuria Plaza, D-Block, Sector 26, Noida, Uttar Pradesh 201301, India",https://www.google.co.kr/maps/place/Anytime+Fitness/data=!4m5!3m4!1s0x390ce5b285c09f3b:0x8380a55d196a4784!8m2!3d28.5763171!4d77.3350727?authuser=0&hl=en&rclk=1,28.5763171,77.3350727
"FITNESS ON FIRE GYM ,AMROHA",Gym,"Station Rd, Jai Om Nagar, Amroha, Uttar Pradesh 244221, India","https://www.google.co.kr/maps/place/FITNESS+ON+FIRE+GYM+,AMROHA/data=!4m5!3m4!1s0x390b09dbe6b9e34d:0x4881c37636123414!8m2!3d28.8992685!4d78.4722466?authuser=0&hl=en&rclk=1",28.8992685,78.4722466
Force Fitness Gym,Gym,"Faizabad - Allahabad Rd, Bela Pratapgarh, Uttar Pradesh 230001, India",https://www.google.co.kr/maps/place/Force+Fitness+Gym/data=!4m5!3m4!1s0x399a91c55cca1d1d:0xa74c23322969fb46!8m2!3d25.9239727!4d82.0039601?authuser=0&hl=en&rclk=1,25.9239727,82.0039601
M.S Fitness Academy,Gym,"Sadabad Rd, Mursan, Uttar Pradesh 204213, India",https://www.google.co.kr/maps/place/M.S+Fitness+Academy/data=!4m5!3m4!1s0x39748347c6398527:0xe9253cd3e1323c10!8m2!3d27.5733797!4d77.9415621?authuser=0&hl=en&rclk=1,27.5733797,77.9415621
Power Gym,Gym,"QQX2+CHG, Jaipurwa, Basti, Uttar Pradesh 272002, India",https://www.google.co.kr/maps/place/Power+Gym/data=!4m5!3m4!1s0x3990daa0b7117015:0xe92f58ade05b0f14!8m2!3d26.7985599!4d82.7514685?authuser=0&hl=en&rclk=1,26.7985599,82.7514685
Optimal Gym,Gym,"1/11 Second Floor, Highland Plaza, near Gulachin Mandir, Sector 1, Vikas Nagar, Lucknow, Uttar Pradesh 226022, India",https://www.google.co.kr/maps/place/Optimal+Gym/data=!4m5!3m4!1s0x39995741275adff9:0x5fafc68b3c7d62af!8m2!3d26.9012352!4d80.9554678?authuser=0&hl=en&rclk=1,26.9012352,80.9554678
Gimi's Gym,Gym,"Capper Rd, Lalbagh, Lucknow, Uttar Pradesh 226001, India",https://www.google.co.kr/maps/place/Gimi's+Gym/data=!4m5!3m4!1s0x399bfda630d589ad:0xbfbbd415f7c7a00e!8m2!3d26.8483799!4d80.9396079?authuser=0&hl=en&rclk=1,26.8483799,80.9396079
Sweat and Blood Gym,Gym,"A-725 Ground Floor, near Convention center, Indira Nagar, Lucknow, Uttar Pradesh 226016, India",https://www.google.co.kr/maps/place/Sweat+and+Blood+Gym/data=!4m5!3m4!1s0x399bfddce44130b3:0xeec7ad08057289d7!8m2!3d26.8745901!4d80.9741542?authuser=0&hl=en&rclk=1,26.8745901,80.9741542
Iron Paradise Gym,Gym,"Infront of Islamia College, Lalbagh, Lucknow, Uttar Pradesh 226001, India",https://www.google.co.kr/maps/place/Iron+Paradise+Gym/data=!4m5!3m4!1s0x399bfd7398d6ede5:0xc237207f5677d935!8m2!3d26.8511071!4d80.9487354?authuser=0&hl=en&rclk=1,26.8511071,80.9487354
