Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Evergreen Fitness India- Fitness Class |Gym center in South Kolkata,Gym,"Raksha Kali Mandir, 82/C, Karunamoyee Ghat Road(Tollygunge Land Mark, Kolkata, West Bengal 700082, India",https://www.google.co.kr/maps/place/Evergreen+Fitness+India-+Fitness+Class+%7CGym+center+in+South+Kolkata/data=!4m5!3m4!1s0x3a0271939a9022d9:0xcc7b2fd4e0b3f7ec!8m2!3d22.4849269!4d88.336153?authuser=0&hl=en&rclk=1,22.4849269,88.336153,West Bengal
Gym centre,Fitness center,"NH 116B, Panskura, West Bengal 721152, India",https://www.google.co.kr/maps/place/Gym+centre/data=!4m5!3m4!1s0x3a02bb59e9759859:0x12a2341959339d40!8m2!3d22.3873429!4d87.7430683?authuser=0&hl=en&rclk=1,22.3873429,87.7430683,West Bengal
Fitness First,Gym,"90a, Beltala Rd, Bakul Bagan, Bhowanipore, Kolkata, West Bengal 700025, India",https://www.google.co.kr/maps/place/Fitness+First/data=!4m5!3m4!1s0x3a027730e1d7a281:0x71bb8aa252f26ab8!8m2!3d22.5250217!4d88.3496161?authuser=0&hl=en&rclk=1,22.5250217,88.3496161,West Bengal
Pokémon gym,Gym,"8, Karl Marx Sarani, Orpan Gang Market, Khidirpur, Kolkata, West Bengal 700023, India",https://www.google.co.kr/maps/place/Pok%C3%A9mon+gym/data=!4m5!3m4!1s0x3a0277cf07a59659:0xc26847da0a01e471!8m2!3d22.5413876!4d88.3263774?authuser=0&hl=en&rclk=1,22.5413876,88.3263774,West Bengal
Fitness first,Yoga studio,"47, Shakespeare Sarani Rd, Mullick Bazar, Elgin, Kolkata, West Bengal 700071, India",https://www.google.co.kr/maps/place/Fitness+first/data=!4m5!3m4!1s0x3a0277174ff15bcf:0x7a2bbdd3f17d1b6f!8m2!3d22.5442538!4d88.3598272?authuser=0&hl=en&rclk=1,22.5442538,88.3598272,West Bengal
DANSCRIPTION FITNESS,Fitness center,"KUTUBPUR, Babupara, Malda, West Bengal 732101, India",https://www.google.co.kr/maps/place/DANSCRIPTION+FITNESS/data=!4m5!3m4!1s0x39fafd047312aca3:0x5b405db0e4fc2b57!8m2!3d25.0070817!4d88.1491474?authuser=0&hl=en&rclk=1,25.0070817,88.1491474,West Bengal
Fitway the way of fitness,Gym,"2nd Floor of United Bank of India, Hatiara Rd, Jyangra, Kalitala, Kolkata, West Bengal 700159, India",https://www.google.co.kr/maps/place/Fitway+the+way+of+fitness/data=!4m5!3m4!1s0x3a0275875c452eb9:0xdffc9fe26e52ace1!8m2!3d22.6129255!4d88.4380692?authuser=0&hl=en&rclk=1,22.6129255,88.4380692,West Bengal
Fitness first,Fitness center,"Shamapally more, Jayasree park, behala, kolkata -700034, Kolkata, West Bengal 700034, India",https://www.google.co.kr/maps/place/Fitness+first/data=!4m5!3m4!1s0x3a02709ff5fff59b:0x31819b01c4733267!8m2!3d22.492011!4d88.324846?authuser=0&hl=en&rclk=1,22.492011,88.324846,West Bengal
Fitness first,Fitness center,"Shakherbazaar, behala, kolkata 8, Kolkata, West Bengal 700008, India",https://www.google.co.kr/maps/place/Fitness+first/data=!4m5!3m4!1s0x3a027a6fafffff91:0x5a4ce144c9937f34!8m2!3d22.4822655!4d88.3123162?authuser=0&hl=en&rclk=1,22.4822655,88.3123162,West Bengal
Fit india gym,Fitness center,"Santoshpur Station Connector, Santoshpur Co-operative Society, Akra, Makalhati Mauza, Kolkata, West Bengal 700066, India",https://www.google.co.kr/maps/place/Fit+india+gym/data=!4m5!3m4!1s0x3a02796fd7e4190d:0xa81ef7748b7a394a!8m2!3d22.524588!4d88.2720271?authuser=0&hl=en&rclk=1,22.524588,88.2720271,West Bengal
Anytime fitness,Gym,"prangan 2nd floor, DD 7, Sector 1, Bidhannagar, Kolkata, West Bengal 700064, India",https://www.google.co.kr/maps/place/Anytime+fitness/data=!4m5!3m4!1s0x3a0275b0afb70ca3:0x50f89efba0e97a02!8m2!3d22.5892553!4d88.4110932?authuser=0&hl=en&rclk=1,22.5892553,88.4110932,West Bengal
Fitness First,Fitness center,"No 18, Diamond Harbour Road, Near Axis Bank, Kolkata, West Bengal 700008, India",https://www.google.co.kr/maps/place/Fitness+First/data=!4m5!3m4!1s0x3a027a8c48b0012d:0x4388418111d8efd1!8m2!3d22.459761!4d88.30787?authuser=0&hl=en&rclk=1,22.459761,88.30787,West Bengal
WTF,Gym,"2, Gauri Shankar Lane, Kolkata, West Bengal 700006, India",https://www.google.co.kr/maps/place/WTF/data=!4m5!3m4!1s0x3a027634c1f18d35:0xd41084712f91dd23!8m2!3d22.5919072!4d88.3639229?authuser=0&hl=en&rclk=1,22.5919072,88.3639229,West Bengal
MAX BURN FITNESS,Gym,"State bank road, Dalkhola, West Bengal 854317, India",https://www.google.co.kr/maps/place/MAX+BURN+FITNESS/data=!4m5!3m4!1s0x39e5477e8a1b71cb:0xe1ebac363d0a35d9!8m2!3d25.8765201!4d87.8438218?authuser=0&hl=en&rclk=1,25.8765201,87.8438218,West Bengal
The Calcutta Fitness Studio Behala,Gym,"1, Motilal Gupta Rd, Sakher Bazar, Behala, Kolkata, West Bengal 700008, India",https://www.google.co.kr/maps/place/The+Calcutta+Fitness+Studio+Behala/data=!4m5!3m4!1s0x3a027b9486b862dd:0x36e400e4b97f0aa9!8m2!3d22.4820358!4d88.3168039?authuser=0&hl=en&rclk=1,22.4820358,88.3168039,West Bengal
Core Fitness gym,Gym,"3+4, Ground Floor, Kashinath Chatterjee Ln, Naora, Shibpur, Howrah, West Bengal 711102, India",https://www.google.co.kr/maps/place/Core+Fitness+gym/data=!4m5!3m4!1s0x3a02782c2af5bc53:0xb33db7c00ea011c2!8m2!3d22.5693634!4d88.3168032?authuser=0&hl=en&rclk=1,22.5693634,88.3168032,West Bengal
Rahul's Fitness Point Unisex Gym,Fitness center,"112, N.S.Bose Road , Kalitala , Rajpur, near Old State Bank of India Building, Kolkata, West Bengal 700149, India",https://www.google.co.kr/maps/place/Rahul's+Fitness+Point+Unisex+Gym/data=!4m5!3m4!1s0x3a02718ddf580eb7:0x8884e1425fe66a84!8m2!3d22.4868168!4d88.3515783?authuser=0&hl=en&rclk=1,22.4868168,88.3515783,West Bengal
G-One Fitness,Gym,"200, Panchanantala Rd, Kadam Tala, Howrah, West Bengal 711101, India",https://www.google.co.kr/maps/place/G-One+Fitness/data=!4m5!3m4!1s0x3a0277d573a3d365:0x949181b0b4a2c0d0!8m2!3d22.5856813!4d88.3276236?authuser=0&hl=en&rclk=1,22.5856813,88.3276236,West Bengal
Pabna Colony Multi Gym,Gym,"Pabna Colony Rd, Chakdaha, West Bengal 741222, India",https://www.google.co.kr/maps/place/Pabna+Colony+Multi+Gym/data=!4m5!3m4!1s0x39f8c161da535b7f:0x9acde9d00f166a7a!8m2!3d23.0893864!4d88.5340869?authuser=0&hl=en&rclk=1,23.0893864,88.5340869,West Bengal
