Company_Name,Category,Address,Url,Latitude,Longitude,State
Ramakrishna Mission Hospital,Hospital,"P.O. R.K. Mission, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/Ramakrishna+Mission+Hospital/data=!4m5!3m4!1s0x374407b22d0f830f:0xc1127903b8c7048a!8m2!3d27.0856246!4d93.6090296?authuser=0&hl=en&rclk=1,27.0856246,93.6090296,Arunachal Pradesh
"Primary Health Centre, Nampong, Arunachal Pradesh India",Hospital,"74R7+V4W, Nampong, Arunachal Pradesh 792123, India","https://www.google.co.kr/maps/place/Primary+Health+Centre,+Nampong,+Arunachal+Pradesh+India/data=!4m5!3m4!1s0x373eb91dd2853317:0xf907beefb3be904e!8m2!3d27.2922281!4d96.1128192?authuser=0&hl=en&rclk=1",27.2922281,96.1128192,Arunachal Pradesh
"Gyati Takka General Hospital, Ziro",Government hospital,"Hospital Road, Cona County, Ziro, Arunachal Pradesh 791120","https://www.google.co.kr/maps/place/Gyati+Takka+General+Hospital,+Ziro/data=!4m5!3m4!1s0x374160d47dc4c7ff:0xf080831d047caddf!8m2!3d27.5390107!4d93.8219742?authuser=0&hl=en&rclk=1",27.5390107,93.8219742,Arunachal Pradesh
Medical Health Centre,Hospital,"MV79+Q8M, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Medical+Health+Centre/data=!4m5!3m4!1s0x373efa59c089aee7:0xbf9e6503afc4847c!8m2!3d27.6644704!4d95.8683065?authuser=0&hl=en&rclk=1,27.6644704,95.8683065,Arunachal Pradesh
Manmow Sub-Centre,Hospital,"National Highway 52, 6th Mile Camp, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Manmow+Sub-Centre/data=!4m5!3m4!1s0x373efa75a6747b1f:0x5b49d0b9d15df0dd!8m2!3d27.6791826!4d95.8968285?authuser=0&hl=en&rclk=1,27.6791826,95.8968285,Arunachal Pradesh
Tomo Riba Institute Of Health And Medical Sciences,Hospital,"National Highway 52A, Old Assembly Complex, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Tomo+Riba+Institute+Of+Health+And+Medical+Sciences/data=!4m5!3m4!1s0x37440092bd9b4271:0xff711dc44d5e5ef9!8m2!3d27.1038855!4d93.6910961?authuser=0&hl=en&rclk=1,27.1038855,93.6910961,Arunachal Pradesh
Asali Sub Centre,Hospital,"Vill - Asali, Dist, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Asali+Sub+Centre/data=!4m5!3m4!1s0x373e4982feb235fb:0x1ff2ec14bf12d508!8m2!3d28.131878!4d95.8224337?authuser=0&hl=en&rclk=1,28.131878,95.8224337,Arunachal Pradesh
Hospital,Government hospital,"Jairampur, Arunachal Pradesh 792121, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x373ec1175093654b:0xdc8bb4f6626f82a1!8m2!3d27.3550706!4d96.0145557?authuser=0&hl=en&rclk=1,27.3550706,96.0145557,Arunachal Pradesh
Kruna Trust,Hospital,"792001, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/Kruna+Trust/data=!4m5!3m4!1s0x373e644902d44a91:0xce180aa23552c650!8m2!3d27.9185759!4d96.1772115?authuser=0&hl=en&rclk=1,27.9185759,96.1772115,Arunachal Pradesh
Niba Hospital,Hospital,"Naharlagun Pappunalla, Itanagar, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Niba+Hospital/data=!4m5!3m4!1s0x374400c9d84a2901:0xe6c4d2fec82e72da!8m2!3d27.0974077!4d93.67714?authuser=0&hl=en&rclk=1,27.0974077,93.67714,Arunachal Pradesh
Heema Hospital,Hospital,"NH415, Cona County, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Heema+Hospital/data=!4m5!3m4!1s0x3744072190a3f1d9:0x17fa1315030b82ee!8m2!3d27.1008661!4d93.6281061?authuser=0&hl=en&rclk=1,27.1008661,93.6281061,Arunachal Pradesh
District Hospital,Hospital,"Town Rd, Changlang, Arunachal Pradesh 792120, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x373ed5fa1814e77f:0x41b561a74e2b12b!8m2!3d27.1392588!4d95.7387578?authuser=0&hl=en&rclk=1,27.1392588,95.7387578,Arunachal Pradesh
Vivekanand Hospital,Hospital,"792001, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/Vivekanand+Hospital/data=!4m5!3m4!1s0x373e6449032f10c3:0x786f74a8bec08cac!8m2!3d27.9186188!4d96.1771927?authuser=0&hl=en&rclk=1,27.9186188,96.1771927,Arunachal Pradesh
"Govt Civil Hospital, Chongkham",Hospital,"R25R+Q34, Arunachal Pradesh 792102, India","https://www.google.co.kr/maps/place/Govt+Civil+Hospital,+Chongkham/data=!4m5!3m4!1s0x373e5f91408cef51:0x4bafe9d2744044a8!8m2!3d27.8093839!4d96.0402037?authuser=0&hl=en&rclk=1",27.8093839,96.0402037,Arunachal Pradesh
"District Hospital, Longding",Hospital,"Khonsa - Longding Rd, Longding H.Q., Arunachal Pradesh 792131, India","https://www.google.co.kr/maps/place/District+Hospital,+Longding/data=!4m5!3m4!1s0x3738b7f486e40275:0xd2b4a369acc0c565!8m2!3d26.8886516!4d95.3754487?authuser=0&hl=en&rclk=1",26.8886516,95.3754487,Arunachal Pradesh
Primary Health Centre Kharsang,Hospital,"Miao Road, Miao, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/Primary+Health+Centre+Kharsang/data=!4m5!3m4!1s0x373eebb84e5007a9:0x3f1230e9c258f1f7!8m2!3d27.4219851!4d96.0218073?authuser=0&hl=en&rclk=1,27.4219851,96.0218073,Arunachal Pradesh
Primary Health Center Koronu,Hospital,"3W7G+6P3, Dibang Valley, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Primary+Health+Center+Koronu/data=!4m5!3m4!1s0x373e45c45b7ed2d1:0x8d4c6858b2aca0ae!8m2!3d28.0630191!4d95.9267924?authuser=0&hl=en&rclk=1,28.0630191,95.9267924,Arunachal Pradesh
Civil Hospital,Hospital,"4RRR+J6X, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x373e49bc9ff5fc75:0x601715843bee35ce!8m2!3d28.1416175!4d95.8406201?authuser=0&hl=en&rclk=1,28.1416175,95.8406201,Arunachal Pradesh
