Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Santokh Klinics,Hospital,"SCO 77, Sector 38C, Market, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Santokh+Klinics/data=!4m5!3m4!1s0x390fed004765f131:0x9b7116c65148d505!8m2!3d30.742974!4d76.7448525?authuser=0&hl=en&rclk=1,30.742974,76.7448525,Chandigarh
Healing Hospital- Best Super Speciality Hospital in Chandigarh,Hospital,"SCO 16-17-18-19-20, Sub. City Center, Sector 34A, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Healing+Hospital-+Best+Super+Speciality+Hospital+in+Chandigarh/data=!4m5!3m4!1s0x390fedae06440b71:0x96f0b99e412a2f99!8m2!3d30.7245935!4d76.7688916?authuser=0&hl=en&rclk=1,30.7245935,76.7688916,Chandigarh
Landmark Hospital,General hospital,"Site No I-II, opp. Terrace Garden, Sector 33C, Sector 33, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Landmark+Hospital/data=!4m5!3m4!1s0x390fec518e2ffd49:0x74c6668fb5df82a1!8m2!3d30.7122958!4d76.7701929?authuser=0&hl=en&rclk=1,30.7122958,76.7701929,Chandigarh
Mukat Hospital & Heart Institute,General hospital,"47, S.C.O, 49, Dakshin Marg, Sector 34A, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Mukat+Hospital+%26+Heart+Institute/data=!4m5!3m4!1s0x390fedb315555551:0x31a8410f96dd6b9!8m2!3d30.7229206!4d76.7705566?authuser=0&hl=en&rclk=1,30.7229206,76.7705566,Chandigarh
"Santokh Hospital - Multi-speciality Hospital Orthopaedic, Gyne, Paediatrics, Dialysis, ICU, Surgery Chandigarh",General hospital,"# 846, Sector 38A, Sector 38, Chandigarh, 160014, India","https://www.google.co.kr/maps/place/Santokh+Hospital+-+Multi-speciality+Hospital+Orthopaedic,+Gyne,+Paediatrics,+Dialysis,+ICU,+Surgery+Chandigarh/data=!4m5!3m4!1s0x390fedee591d7d53:0xcbb4e5fc949ed282!8m2!3d30.7478786!4d76.7489313?authuser=0&hl=en&rclk=1",30.7478786,76.7489313,Chandigarh
DHARAM HOSPITAL,Private hospital,"#2040 sector 15 c, Chandigarh 160015, India",https://www.google.co.kr/maps/place/DHARAM+HOSPITAL/data=!4m5!3m4!1s0x390fed9b3fffffff:0xe0e216643c1ac722!8m2!3d30.7492297!4d76.7740115?authuser=0&hl=en&rclk=1,30.7492297,76.7740115,Chandigarh
"Max Super Specialty Hospital, Mohali",Hospital,"Chandigarh Rd, near Civil Hospital, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India","https://www.google.co.kr/maps/place/Max+Super+Specialty+Hospital,+Mohali/data=!4m5!3m4!1s0x390fee144e36fcd5:0xa254c2b1f858248a!8m2!3d30.74008!4d76.7142961?authuser=0&hl=en&rclk=1",30.74008,76.7142961,Chandigarh
Indus Super Speciality Hospital,General hospital,"opp. Old DC Office, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar, Chandigarh 160055, India",https://www.google.co.kr/maps/place/Indus+Super+Speciality+Hospital/data=!4m5!3m4!1s0x390feda785d2ec5f:0x6301495b4669e0ed!8m2!3d30.7292742!4d76.7219871?authuser=0&hl=en&rclk=1,30.7292742,76.7219871,Chandigarh
Government Hospital,General hospital,"Palika Bazar, 19D, Sector 19, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/Government+Hospital/data=!4m5!3m4!1s0x390fed1b15555555:0x243613cf8e302f7e!8m2!3d30.728176!4d76.7927981?authuser=0&hl=en&rclk=1,30.728176,76.7927981,Chandigarh
"Dr Atul Malhotra - Orthopedic Doctor in Chandigarh, Punjab, India- Knee Replacement Surgeon In Punjab| Best Trauma Hospital In Chandigarh| Best Knee and Hip Hospital In Chandigarh",Hospital,"2125, Sarovar Path, Sector 21C, Sector 21, Chandigarh, 160022, India","https://www.google.co.kr/maps/place/Dr+Atul+Malhotra+-+Orthopedic+Doctor+in+Chandigarh,+Punjab,+India-+Knee+Replacement+Surgeon+In+Punjab%7C+Best+Trauma+Hospital+In+Chandigarh%7C+Best+Knee+and+Hip+Hospital+In+Chandigarh/data=!4m5!3m4!1s0x390fedabefdf9d6f:0xcc14f30f0bdbba7d!8m2!3d30.724101!4d76.774772?authuser=0&hl=en&rclk=1",30.724101,76.774772,Chandigarh
