Company_Name,Category,Address,Url,Latitude,Longitude,Territory
All India Institute of Medical Sciences,Government hospital,"Tehsil Badli, Badsa, Haryana 124105, India",https://www.google.co.kr/maps/place/All+India+Institute+of+Medical+Sciences/data=!4m5!3m4!1s0x390d137f56b3d8bd:0x2f6a61b5a8365b4b!8m2!3d28.4987734!4d76.8720675?authuser=0&hl=en&rclk=1,28.4987734,76.8720675,Haryana
Civil Hospital,Government hospital,"Jharsa Rd, near Bus Stand Road, Fountain Chowk, Police Lines, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x390d1836977d8f39:0x7df5f0f63f0b4074!8m2!3d28.4612172!4d77.0338363?authuser=0&hl=en&rclk=1,28.4612172,77.0338363,Haryana
Chhabra Hospital Panipat,General hospital,"1, Narain Singh Park, Near Ramlal Chowk, Assanth Road, Panipat, Haryana 132103, India",https://www.google.co.kr/maps/place/Chhabra+Hospital+Panipat/data=!4m5!3m4!1s0x390ddbb4253d035f:0x2318470719668b76!8m2!3d29.3950658!4d76.9591301?authuser=0&hl=en&rclk=1,29.3950658,76.9591301,Haryana
Central Medical Centre,Private hospital,"Near, Delhi Road, Dabra Chowk Rd, Bank Colony, Hisar, Haryana 125001, India",https://www.google.co.kr/maps/place/Central+Medical+Centre/data=!4m5!3m4!1s0x3912333c2a80de4d:0x266e02249150373e!8m2!3d29.1408879!4d75.7341024?authuser=0&hl=en&rclk=1,29.1408879,75.7341024,Haryana
FIMS Hospital,General hospital,"Sonipat Bahalgarh Road, Haryana 131001, India",https://www.google.co.kr/maps/place/FIMS+Hospital/data=!4m5!3m4!1s0x390dae10afe758b9:0xba086fb3c026624e!8m2!3d28.9726023!4d77.0687223?authuser=0&hl=en&rclk=1,28.9726023,77.0687223,Haryana
Aryan Hospital,General hospital,"78, Old Railway Rd, Rattan Garden, Shivpuri Extension, Sector 7, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Aryan+Hospital/data=!4m5!3m4!1s0x390d19d2ed327641:0xe82baf86ae51842c!8m2!3d28.4695251!4d77.0195729?authuser=0&hl=en&rclk=1,28.4695251,77.0195729,Haryana
Ghai Hospital,General hospital,"29, 9-10 Dividing Road, J Block, Sector 9, Faridabad, Haryana 121006, India",https://www.google.co.kr/maps/place/Ghai+Hospital/data=!4m5!3m4!1s0x390cdc602c216763:0xeca3fb0cda0ee0b8!8m2!3d28.3769304!4d77.3294418?authuser=0&hl=en&rclk=1,28.3769304,77.3294418,Haryana
Mann MultiSpecialty Hospital,General hospital,"near Radio Station, Company Bagh, Rohtak, Haryana 124001, India",https://www.google.co.kr/maps/place/Mann+MultiSpecialty+Hospital/data=!4m5!3m4!1s0x390d85a6a10580ab:0xdc448fce36eebd10!8m2!3d28.8982732!4d76.5895775?authuser=0&hl=en&rclk=1,28.8982732,76.5895775,Haryana
Prabhakar Hospital,General hospital,"1, Assandh Rd, near Fly over, Diwan Nagar, Hari Bagh Colony, Panipat, Haryana 132103, India",https://www.google.co.kr/maps/place/Prabhakar+Hospital/data=!4m5!3m4!1s0x390ddbb936ef6ce5:0xbbcd309a42c49cd!8m2!3d29.3945632!4d76.9597958?authuser=0&hl=en&rclk=1,29.3945632,76.9597958,Haryana
Sapra Multispeciality Hospital,Private hospital,"Rajgarh Road, Sector 15A, near Court Complex, Hisar, Haryana 125001, India",https://www.google.co.kr/maps/place/Sapra+Multispeciality+Hospital/data=!4m5!3m4!1s0x39123335286cfcb9:0x91e6951275b67a5f!8m2!3d29.1366352!4d75.7149121?authuser=0&hl=en&rclk=1,29.1366352,75.7149121,Haryana
Haryana Multispeciality Hospital,General hospital,"Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana 131001, India",https://www.google.co.kr/maps/place/Haryana+Multispeciality+Hospital/data=!4m5!3m4!1s0x390db06b2b500203:0xff55aacbc0d07d2!8m2!3d28.9914163!4d77.032713?authuser=0&hl=en&rclk=1,28.9914163,77.032713,Haryana
Maharaja Agrasen Civil Hospital,General hospital,"Sirsa Rd, Tayal Bagh Colony, Hisar, Haryana 125001, India",https://www.google.co.kr/maps/place/Maharaja+Agrasen+Civil+Hospital/data=!4m5!3m4!1s0x391232cdc92daff3:0x10940781b6bf6106!8m2!3d29.1697504!4d75.7185033?authuser=0&hl=en&rclk=1,29.1697504,75.7185033,Haryana
SHAH HOSPITAL - Best Hospital In Kaithal,General hospital,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana 136027, India",https://www.google.co.kr/maps/place/SHAH+HOSPITAL+-+Best+Hospital+In+Kaithal/data=!4m5!3m4!1s0x3911e08c60c75425:0x420aa9676cd24534!8m2!3d29.8005907!4d76.4028874?authuser=0&hl=en&rclk=1,29.8005907,76.4028874,Haryana
Gaba Hospital,General hospital,"Bye pass road, Yamuna Nagar, Haryana 135001, India",https://www.google.co.kr/maps/place/Gaba+Hospital/data=!4m5!3m4!1s0x390efbd712027f39:0xd3ae88d92fa32990!8m2!3d30.147047!4d77.2900618?authuser=0&hl=en&rclk=1,30.147047,77.2900618,Haryana
Saraswati Mission Hospital,General hospital,"Kaithal - Ambala Rd, Dist, Pehowa, Haryana 136128, India",https://www.google.co.kr/maps/place/Saraswati+Mission+Hospital/data=!4m5!3m4!1s0x390e25ae12c3d317:0x97f3d4713f9d5ac2!8m2!3d29.9883294!4d76.5883534?authuser=0&hl=en&rclk=1,29.9883294,76.5883534,Haryana
Ujala Cygnus: Maharaja Agarsain Hospital,General hospital,"Devi Mandir Area, Desraj Colony, Panipat, Haryana 132103, India",https://www.google.co.kr/maps/place/Ujala+Cygnus:+Maharaja+Agarsain+Hospital/data=!4m5!3m4!1s0x390dda4808341ba7:0xe97df987c674be7f!8m2!3d29.399597!4d76.9756962?authuser=0&hl=en&rclk=1,29.399597,76.9756962,Haryana
Sanjivani Hospital,Hospital,"Under Railway Bridge, Hissar Rd, Sirsa, Haryana 125055, India",https://www.google.co.kr/maps/place/Sanjivani+Hospital/data=!4m5!3m4!1s0x39114dcac7e0fbfb:0xb21c376803f763e1!8m2!3d29.5341281!4d75.0393355?authuser=0&hl=en&rclk=1,29.5341281,75.0393355,Haryana
Sukhda,General hospital,"4QHP+MMX, Satrod, Satrod Khurd, Hisar, Haryana 125006, India",https://www.google.co.kr/maps/place/Sukhda/data=!4m5!3m4!1s0x391233f27e61adb3:0x86cffb3f594d8555!8m2!3d29.1292279!4d75.7867377?authuser=0&hl=en&rclk=1,29.1292279,75.7867377,Haryana
Medanta Institute of Liver Transplantation and Regenerative Medicine,Hospital,"14th Floor, Sector 38, Rajiv Chowk, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Medanta+Institute+of+Liver+Transplantation+and+Regenerative+Medicine/data=!4m5!3m4!1s0x390d184004704edd:0x8fea7e9f6dfaed5b!8m2!3d28.4390985!4d77.0405702?authuser=0&hl=en&rclk=1,28.4390985,77.0405702,Haryana
IBS Ashwani Multi - Specialty Hospital,General hospital,"Plot No 8 D, 1, YMCA Rd, Pocket D, Sector 11, Faridabad, Haryana 121006, India",https://www.google.co.kr/maps/place/IBS+Ashwani+Multi+-+Specialty+Hospital/data=!4m5!3m4!1s0x390cdc7ad2e80e65:0x21039b4ca82993cd!8m2!3d28.369268!4d77.3232021?authuser=0&hl=en&rclk=1,28.369268,77.3232021,Haryana
सामान्य नागरिक हस्पताल,General hospital,"F49G+J2V, Uchana Khurd, Haryana 126115, India",https://www.google.co.kr/maps/place/%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%AF+%E0%A4%A8%E0%A4%BE%E0%A4%97%E0%A4%B0%E0%A4%BF%E0%A4%95+%E0%A4%B9%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%A4%E0%A4%BE%E0%A4%B2/data=!4m5!3m4!1s0x3911f503c688cca1:0xe408428a24cfa8c0!8m2!3d29.4691002!4d76.1250572?authuser=0&hl=en&rclk=1,29.4691002,76.1250572,Haryana
Pushpanjali Hospital,Private hospital,"Civil Line Road, near Rajiv Chowk, Gurugram, Haryana 122001, India",https://www.google.co.kr/maps/place/Pushpanjali+Hospital/data=!4m5!3m4!1s0x390d183f507981ef:0x912528ff9570b224!8m2!3d28.4500952!4d77.0328441?authuser=0&hl=en&rclk=1,28.4500952,77.0328441,Haryana
Royal Multispeciality Hospital,General hospital,"B-5, Central Green, NH-5, near golden Estate, Block J, New Industrial Township 1, New Industrial Town, Faridabad, Haryana 121001, India",https://www.google.co.kr/maps/place/Royal+Multispeciality+Hospital/data=!4m5!3m4!1s0x390cdc318aad8529:0xafe680fb2495ba1d!8m2!3d28.3847667!4d77.3037192?authuser=0&hl=en&rclk=1,28.3847667,77.3037192,Haryana
Memorial Hospital,Private hospital,"SH 11, near Mama Bhanja Chowk, Nandwani Nagar, Anand Nagar,, Sonipat, Haryana 131001, India",https://www.google.co.kr/maps/place/Memorial+Hospital/data=!4m5!3m4!1s0x390db06cd5bf63e7:0xc398b9295688de11!8m2!3d28.9944102!4d77.0247626?authuser=0&hl=en&rclk=1,28.9944102,77.0247626,Haryana
Paras Hospitals,Hospital,"1, Block, Phase 1, Indian Airlines Pilots Society, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002, India",https://www.google.co.kr/maps/place/Paras+Hospitals/data=!4m5!3m4!1s0x390d18e0987c8fd3:0x521754de967b147d!8m2!3d28.474985!4d77.075675?authuser=0&hl=en&rclk=1,28.474985,77.075675,Haryana
Govt. Hospital,Government hospital,"govt. hospital ,mohanaSonepat, Haryana, India",https://www.google.co.kr/maps/place/Govt.+Hospital/data=!4m5!3m4!1s0x390dbdd0fd936dc9:0x21a88230abb7359f!8m2!3d29.038769!4d76.8633848?authuser=0&hl=en&rclk=1,29.038769,76.8633848,Haryana
"Goswami Hospital – Best IVF & Test Tube Baby Center, Gyn Urologist, Physician, Laparoscopic Surgery",General hospital,"Bus Stand, Rishi Nagar Near, Hisar, Haryana 125011, India","https://www.google.co.kr/maps/place/Goswami+Hospital+%E2%80%93+Best+IVF+%26+Test+Tube+Baby+Center,+Gyn+Urologist,+Physician,+Laparoscopic+Surgery/data=!4m5!3m4!1s0x391232d39552546f:0x6f640d8b158e596b!8m2!3d29.163306!4d75.7182562?authuser=0&hl=en&rclk=1",29.163306,75.7182562,Haryana
