Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Delek Hospital,General hospital,"Gangchen Kyishong, Dharamshala, Himachal Pradesh 176215, India",https://www.google.co.kr/maps/place/Delek+Hospital/data=!4m5!3m4!1s0x391b51257f29833b:0x6ad98887d2cb3c67!8m2!3d32.2255812!4d76.3226598?authuser=0&hl=en&rclk=1,32.2255812,76.3226598,Himachal Pradesh
"Fortis Hospital, Kangra",General hospital,"Palampur - Dharamshala Road Adarsh nagar, Himachal Pradesh 176001, India","https://www.google.co.kr/maps/place/Fortis+Hospital,+Kangra/data=!4m5!3m4!1s0x391b4f8fedd5fae9:0xd3bd0e4f61d69294!8m2!3d32.1160198!4d76.282065?authuser=0&hl=en&rclk=1",32.1160198,76.282065,Himachal Pradesh
Zonal Hospital Dharamsala,Government hospital,"Dharamsala Rd, Chilgari, Dharamshala, Himachal Pradesh 176215, India",https://www.google.co.kr/maps/place/Zonal+Hospital+Dharamsala/data=!4m5!3m4!1s0x391b511e3f7e7011:0xf3e1635ecb118dfa!8m2!3d32.2131639!4d76.3193888?authuser=0&hl=en&rclk=1,32.2131639,76.3193888,Himachal Pradesh
Kullu Valley Hospital,General hospital,"Bhuntar - Ramshila Rd, Shastri Nagar, Kullu, Himachal Pradesh 175101, India",https://www.google.co.kr/maps/place/Kullu+Valley+Hospital/data=!4m5!3m4!1s0x3904f6c9c04ec941:0x74174721a0635706!8m2!3d31.9442852!4d77.1094751?authuser=0&hl=en&rclk=1,31.9442852,77.1094751,Himachal Pradesh
Tenzin Hospital,Hospital,"NH-22, Bypass Rd Panthaghati, Kasumpti, Shimla, Himachal Pradesh 171009, India",https://www.google.co.kr/maps/place/Tenzin+Hospital/data=!4m5!3m4!1s0x39057f4d97b6ee47:0x40b62f32d296c1db!8m2!3d31.0728844!4d77.1816294?authuser=0&hl=en&rclk=1,31.0728844,77.1816294,Himachal Pradesh
"Government Regional Hospital, Solan",Government hospital,"Rajgarh Rd, Kotla Nala, Solan, Himachal Pradesh 173212, India","https://www.google.co.kr/maps/place/Government+Regional+Hospital,+Solan/data=!4m5!3m4!1s0x390f86b5ff6ccaa1:0x378a48552a512934!8m2!3d30.9073856!4d77.1068325?authuser=0&hl=en&rclk=1",30.9073856,77.1068325,Himachal Pradesh
Sai Hospital & IVF Centre,Hospital,"Shimla Dharamshala Road, Dugha, Hamirpur, Himachal Pradesh 177001, India",https://www.google.co.kr/maps/place/Sai+Hospital+%26+IVF+Centre/data=!4m5!3m4!1s0x3904d5c53fa0f2df:0x3f97bd806c66a52!8m2!3d31.6708183!4d76.5360839?authuser=0&hl=en&rclk=1,31.6708183,76.5360839,Himachal Pradesh
Surya Hospital - Gynaecologist / Orthopedic Surgeon | Best Hospital in Nurpur,Private hospital,"Jassur Dhameta Road Raja Ka Talab, Nurpur, Himachal Pradesh 176051, India",https://www.google.co.kr/maps/place/Surya+Hospital+-+Gynaecologist+%2F+Orthopedic+Surgeon+%7C+Best+Hospital+in+Nurpur/data=!4m5!3m4!1s0x391b63465a697025:0x1d5caf93bf8761c9!8m2!3d32.2074155!4d75.9114531?authuser=0&hl=en&rclk=1,32.2074155,75.9114531,Himachal Pradesh
Vyas Hospital-a unit of Sonjay Hospitals Private Limited,General hospital,"Near Kothi Chowk Village Talwar, PO, Chandpur, Himachal Pradesh 174004, India",https://www.google.co.kr/maps/place/Vyas+Hospital-a+unit+of+Sonjay+Hospitals+Private+Limited/data=!4m5!3m4!1s0x39053ec5182ae6cf:0xe9794d8bb11a9e90!8m2!3d31.3596413!4d76.7473119?authuser=0&hl=en&rclk=1,31.3596413,76.7473119,Himachal Pradesh
Nanda Hospital,General hospital,"Una - Jahu - Ner Chowk Rd, Una, Himachal Pradesh 174303, India",https://www.google.co.kr/maps/place/Nanda+Hospital/data=!4m5!3m4!1s0x391ad07ff2f233d7:0x1e0ce132012ea8d1!8m2!3d31.474426!4d76.271698?authuser=0&hl=en&rclk=1,31.474426,76.271698,Himachal Pradesh
Neelkanth Hospital,Hospital,"93/1, Palace Colony Rd, Palace Colony, Mandi, Himachal Pradesh 175001, India",https://www.google.co.kr/maps/place/Neelkanth+Hospital/data=!4m5!3m4!1s0x3904e224a1ba80f5:0xe2d8f91d5d5084!8m2!3d31.7085643!4d76.9275537?authuser=0&hl=en&rclk=1,31.7085643,76.9275537,Himachal Pradesh
