Company_Name,Category,Address,Url,latitude,longtitude
Shri Maharaja Gulab Singh Hospital,General hospital,"PVM6+7QJ, Shalamar, Resham Ghar Colony, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Shri+Maharaja+Gulab+Singh+Hospital/data=!4m5!3m4!1s0x391e848e86e7c5b3:0x345b0b4d28b6bf81!8m2!3d32.7332051!4d74.8618775?authuser=0&hl=en&rclk=1,32.7332051,74.8618775
"Government Hospital Gandhi Nagar, Jammu",General hospital,"Gandhi Nagar, Jammu, Jammu and Kashmir 180004","https://www.google.co.kr/maps/place/Government+Hospital+Gandhi+Nagar,+Jammu/data=!4m5!3m4!1s0x391e84bb083b34c1:0xc002e9812efebfd3!8m2!3d32.705216!4d74.860034?authuser=0&hl=en&rclk=1",32.705216,74.860034
Shri Mata Vaishno Devi Narayana Superspeciality Hospital,General hospital,"Kakryal (Village & Post) Katra Tehsil Reasi District, Katra, Jammu and Kashmir 182320",https://www.google.co.kr/maps/place/Shri+Mata+Vaishno+Devi+Narayana+Superspeciality+Hospital/data=!4m5!3m4!1s0x391e78e060aa11f9:0x2ab1a509c1d5ee9f!8m2!3d32.9470427!4d74.9476056?authuser=0&hl=en&rclk=1,32.9470427,74.9476056
SDDM Hospital,General hospital,"Plot NS, Srinagar Kanyakumari Highway, Sector - 2 Channi Himmat, Jammu, Jammu and Kashmir 180015",https://www.google.co.kr/maps/place/SDDM+Hospital/data=!4m5!3m4!1s0x391e9cb5aaaaaaab:0x91d3522e82b6c433!8m2!3d32.69116!4d74.8961974?authuser=0&hl=en&rclk=1,32.69116,74.8961974
"ESIC Model Hospital, Bari Brahmana Jammu",General hospital,"Mini Stadium Road, Bari Brahmana, Jammu, Jammu and Kashmir 184102","https://www.google.co.kr/maps/place/ESIC+Model+Hospital,+Bari+Brahmana+Jammu/data=!4m5!3m4!1s0x391e9db3b47d3cdb:0x2f3725473ab41f76!8m2!3d32.640745!4d74.9249369?authuser=0&hl=en&rclk=1",32.640745,74.9249369
Bee Enn General Hospital,General hospital,"Talab Tillo Rd, Garden Avenue, Bhagwati Nagar, Jammu, Jammu and Kashmir 180002",https://www.google.co.kr/maps/place/Bee+Enn+General+Hospital/data=!4m5!3m4!1s0x391e84f7089392b7:0x859f864930923d4a!8m2!3d32.7300336!4d74.8409147?authuser=0&hl=en&rclk=1,32.7300336,74.8409147
Sher E Kashmir Institute of Medical Sciences Srinagar,University hospital,"SKIMS Main Rd, Soura, Srinagar, Jammu and Kashmir 190011",https://www.google.co.kr/maps/place/Sher+E+Kashmir+Institute+of+Medical+Sciences+Srinagar/data=!4m5!3m4!1s0x38e1900855555555:0xb81ae8b776707791!8m2!3d34.136145!4d74.8000465?authuser=0&hl=en&rclk=1,34.136145,74.8000465
S.M.H.S. Hospital,Hospital,"SMHS Rd, near Gold Market, Karan Nagar, Srinagar, Jammu and Kashmir 190010",https://www.google.co.kr/maps/place/S.M.H.S.+Hospital/data=!4m5!3m4!1s0x38e18558b22508dd:0x3f60891d2f07a97f!8m2!3d34.086208!4d74.7977382?authuser=0&hl=en&rclk=1,34.086208,74.7977382
Batra Hospital,General hospital,"Samba, Jammu, Jammu and Kashmir 180017",https://www.google.co.kr/maps/place/Batra+Hospital/data=!4m5!3m4!1s0x391e83affa2cf6b7:0x9b5698e45e8d4a90!8m2!3d32.7514694!4d74.9097213?authuser=0&hl=en&rclk=1,32.7514694,74.9097213
Jk Medicity Hospital Pvt Ltd,Hospital,"Nh-1, Narwal Bye Pass Road, Jammu, Jammu and Kashmir 180015",https://www.google.co.kr/maps/place/Jk+Medicity+Hospital+Pvt+Ltd/data=!4m5!3m4!1s0x38e3039845f6356d:0xcd780c7fb87f5fae!8m2!3d32.6991155!4d74.9001379?authuser=0&hl=en&rclk=1,32.6991155,74.9001379
