Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Shri Maharaja Gulab Singh Hospital,General hospital,"PVM6+7QJ, Shalamar, Resham Ghar Colony, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Shri+Maharaja+Gulab+Singh+Hospital/data=!4m5!3m4!1s0x391e848e86e7c5b3:0x345b0b4d28b6bf81!8m2!3d32.7332051!4d74.8618775?authuser=0&hl=en&rclk=1,32.7332051,74.8618775,Jammu and Kashmir
"Government Hospital Gandhi Nagar, Jammu",General hospital,"Gandhi Nagar, Jammu, Jammu and Kashmir 180004","https://www.google.co.kr/maps/place/Government+Hospital+Gandhi+Nagar,+Jammu/data=!4m5!3m4!1s0x391e84bb083b34c1:0xc002e9812efebfd3!8m2!3d32.705216!4d74.860034?authuser=0&hl=en&rclk=1",32.705216,74.860034,Jammu and Kashmir
Shri Mata Vaishno Devi Narayana Superspeciality Hospital,General hospital,"Kakryal (Village & Post) Katra Tehsil Reasi District, Katra, Jammu and Kashmir 182320",https://www.google.co.kr/maps/place/Shri+Mata+Vaishno+Devi+Narayana+Superspeciality+Hospital/data=!4m5!3m4!1s0x391e78e060aa11f9:0x2ab1a509c1d5ee9f!8m2!3d32.9470427!4d74.9476056?authuser=0&hl=en&rclk=1,32.9470427,74.9476056,Jammu and Kashmir
SDDM Hospital,General hospital,"Plot NS, Srinagar Kanyakumari Highway, Sector - 2 Channi Himmat, Jammu, Jammu and Kashmir 180015",https://www.google.co.kr/maps/place/SDDM+Hospital/data=!4m5!3m4!1s0x391e9cb5aaaaaaab:0x91d3522e82b6c433!8m2!3d32.69116!4d74.8961974?authuser=0&hl=en&rclk=1,32.69116,74.8961974,Jammu and Kashmir
Bee Enn General Hospital,General hospital,"Talab Tillo Rd, Garden Avenue, Bhagwati Nagar, Jammu, Jammu and Kashmir 180002",https://www.google.co.kr/maps/place/Bee+Enn+General+Hospital/data=!4m5!3m4!1s0x391e84f7089392b7:0x859f864930923d4a!8m2!3d32.7300336!4d74.8409147?authuser=0&hl=en&rclk=1,32.7300336,74.8409147,Jammu and Kashmir
S.M.H.S. Hospital,Hospital,"SMHS Rd, near Gold Market, Karan Nagar, Srinagar, Jammu and Kashmir 190010",https://www.google.co.kr/maps/place/S.M.H.S.+Hospital/data=!4m5!3m4!1s0x38e18558b22508dd:0x3f60891d2f07a97f!8m2!3d34.086208!4d74.7977382?authuser=0&hl=en&rclk=1,34.086208,74.7977382,Jammu and Kashmir
Batra Hospital,General hospital,"Samba, Jammu, Jammu and Kashmir 180017",https://www.google.co.kr/maps/place/Batra+Hospital/data=!4m5!3m4!1s0x391e83affa2cf6b7:0x9b5698e45e8d4a90!8m2!3d32.7514694!4d74.9097213?authuser=0&hl=en&rclk=1,32.7514694,74.9097213,Jammu and Kashmir
Jk Medicity Hospital Pvt Ltd,Hospital,"Nh-1, Narwal Bye Pass Road, Jammu, Jammu and Kashmir 180015",https://www.google.co.kr/maps/place/Jk+Medicity+Hospital+Pvt+Ltd/data=!4m5!3m4!1s0x38e3039845f6356d:0xcd780c7fb87f5fae!8m2!3d32.6991155!4d74.9001379?authuser=0&hl=en&rclk=1,32.6991155,74.9001379,Jammu and Kashmir
Amandeep Hospital Opd Clinic Jammu,Private hospital,"Greater Kailash, Jammu, Jammu and Kashmir 180011",https://www.google.co.kr/maps/place/Amandeep+Hospital+Opd+Clinic+Jammu/data=!4m5!3m4!1s0x391e9cbdc71deca1:0xf0551d0ce03c2afe!8m2!3d32.6744413!4d74.8905004?authuser=0&hl=en&rclk=1,32.6744413,74.8905004,Jammu and Kashmir
Florence Hospital,Private hospital,"Chanpora, Srinagar, Jammu and Kashmir 190005",https://www.google.co.kr/maps/place/Florence+Hospital/data=!4m5!3m4!1s0x38e18e4bf1899809:0x3debe878bb381ef1!8m2!3d34.0389437!4d74.8087769?authuser=0&hl=en&rclk=1,34.0389437,74.8087769,Jammu and Kashmir
IM Clinics,Private hospital,"Basant Nagar, Sabzi Mandi, Janipur, Jammu, Jammu and Kashmir 180005",https://www.google.co.kr/maps/place/IM+Clinics/data=!4m5!3m4!1s0x391e843adc580423:0x49975b9c40a5fd5a!8m2!3d32.7629106!4d74.844363?authuser=0&hl=en&rclk=1,32.7629106,74.844363,Jammu and Kashmir
Noora Hospital,Private hospital,"Umer Abad, Zainakote, Ummer Abad, Srinagar, Jammu and Kashmir 190012",https://www.google.co.kr/maps/place/Noora+Hospital/data=!4m5!3m4!1s0x38e185544da68b53:0xbe116c11c865347f!8m2!3d34.112191!4d74.7255271?authuser=0&hl=en&rclk=1,34.112191,74.7255271,Jammu and Kashmir
New City Hospital,Private hospital,"National Highway 1A, Tengpora Bye Pass, Srinagar, Jammu and Kashmir 190014",https://www.google.co.kr/maps/place/New+City+Hospital/data=!4m5!3m4!1s0x38e18fde300d183b:0x56caf19767f316b6!8m2!3d34.061228!4d74.7842949?authuser=0&hl=en&rclk=1,34.061228,74.7842949,Jammu and Kashmir
Sheikh Ul Alam Hospital,Private hospital,"Opp Petrol Pump Kani Kadal, Karan Nagar, Srinagar, Jammu and Kashmir 190010",https://www.google.co.kr/maps/place/Sheikh+Ul+Alam+Hospital/data=!4m5!3m4!1s0x38e18ff37d45387d:0x1c8b397e4fbfed82!8m2!3d34.0805501!4d74.8014611?authuser=0&hl=en&rclk=1,34.0805501,74.8014611,Jammu and Kashmir
Baba Nanak Medicity,Hospital,"MRCP+H2V, Gadigarh, Jammu, Jammu and Kashmir 180003",https://www.google.co.kr/maps/place/Baba+Nanak+Medicity/data=!4m5!3m4!1s0x391e9bbdc0e9de53:0x2ecec8be77d264f8!8m2!3d32.6714937!4d74.8350598?authuser=0&hl=en&rclk=1,32.6714937,74.8350598,Jammu and Kashmir
Govt. S.M.G.S. Hospital,Government hospital,"Shalamar, Resham Ghar Colony, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Govt.+S.M.G.S.+Hospital/data=!4m5!3m4!1s0x391e848871b88785:0x45760beabb3985fd!8m2!3d32.7328647!4d74.8613726?authuser=0&hl=en&rclk=1,32.7328647,74.8613726,Jammu and Kashmir
"NATIONAL HOSPITAL ,Karan Bagh ,Airport Road Jammu",Hospital,"Airport Road, Karan Bagh, Near St.Peter's School Jammu Jammu and Kashmir, 181101","https://www.google.co.kr/maps/place/NATIONAL+HOSPITAL+,Karan+Bagh+,Airport+Road+Jammu/data=!4m5!3m4!1s0x391e9b22a69929a1:0x9819ddb7d43ab5cc!8m2!3d32.666453!4d74.838023?authuser=0&hl=en&rclk=1",32.666453,74.838023,Jammu and Kashmir
S.H.S Memorial Hospital & Maternity Centre,Private hospital,"33, Rehari Chungi, Gurudwara Road Jammu Jammu and Kashmir, 180005",https://www.google.co.kr/maps/place/S.H.S+Memorial+Hospital+%26+Maternity+Centre/data=!4m5!3m4!1s0x391e8465b2c9b843:0xaf65c3b8817e0be7!8m2!3d32.7431623!4d74.8586568?authuser=0&hl=en&rclk=1,32.7431623,74.8586568,Jammu and Kashmir
Trust medicate soura srinager jammu and kashmir,Hospital,"Soura, Main Chowk, Srinagar, Jammu and Kashmir 190011",https://www.google.co.kr/maps/place/Trust+medicate+soura+srinager+jammu+and+kashmir/data=!4m5!3m4!1s0x38e184dd473da8cd:0xffd8dee5948b2fd9!8m2!3d34.1394258!4d74.8025823?authuser=0&hl=en&rclk=1,34.1394258,74.8025823,Jammu and Kashmir
MEDANTA Mediconsult Centre,Hospital,"87-A Gole Market, Gandhi Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/MEDANTA+Mediconsult+Centre/data=!4m5!3m4!1s0x391e84ba0de8505d:0xb80cbd861738ce17!8m2!3d32.7022672!4d74.8577124?authuser=0&hl=en&rclk=1,32.7022672,74.8577124,Jammu and Kashmir
Government District Hospital Anantnag,Hospital,"P5G3+265, Sheer Pora, Anantnag, Jammu and Kashmir 192101",https://www.google.co.kr/maps/place/Government+District+Hospital+Anantnag/data=!4m5!3m4!1s0x38e2058814d6fcdd:0x843ea5d69bdb4a8a!8m2!3d33.7250192!4d75.1531121?authuser=0&hl=en&rclk=1,33.7250192,75.1531121,Jammu and Kashmir
CNC HOSPITAL,Hospital,"78/8, New By-Pass Road, Near Railway Station, Thrikoota Nagar, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/CNC+HOSPITAL/data=!4m5!3m4!1s0x391e835727bdc9d5:0xfb05fff03eeb62c2!8m2!3d32.7016216!4d74.879101?authuser=0&hl=en&rclk=1,32.7016216,74.879101,Jammu and Kashmir
