Company_Name,Category,Address,Url,Latitude,Longitude,State
Hospital in Jabalpur MP India | Swastik Hospital,Hospital,"opp. Interstate Bus Terminal, near Deen Dayal Chowk, Jabalpur, Madhya Pradesh 482002, India",https://www.google.co.kr/maps/place/Hospital+in+Jabalpur+MP+India+%7C+Swastik+Hospital/data=!4m5!3m4!1s0x3981b1d15c274901:0xfa77fa03a829ec6e!8m2!3d23.194397!4d79.911592?authuser=0&hl=en&rclk=1,23.194397,79.911592,Madhya Pradesh
Citi Hospital,Hospital,"115, Link Road Number 2, Near State Bank, Zone II, M P Nagar, Bhopal, Madhya Pradesh 462011, India",https://www.google.co.kr/maps/place/Citi+Hospital/data=!4m5!3m4!1s0x397c425d224fffff:0xc0fc319acdd921f4!8m2!3d23.2304312!4d77.4361207?authuser=0&hl=en&rclk=1,23.2304312,77.4361207,Madhya Pradesh
National Hospital,Private hospital,"Habibganj Rd, Opp Cricket Club, E-3, Arera Colony, Bhopal, Madhya Pradesh 462016, India",https://www.google.co.kr/maps/place/National+Hospital/data=!4m5!3m4!1s0x397c424e2c2b747f:0x9e9a720a874fd95a!8m2!3d23.2169658!4d77.4361249?authuser=0&hl=en&rclk=1,23.2169658,77.4361249,Madhya Pradesh
"Shalby Hospital, Indore",Private hospital,"Part 5 & 6 R S bhandari Marg, Janjeerwala Square, Indore, Madhya Pradesh 452003, India","https://www.google.co.kr/maps/place/Shalby+Hospital,+Indore/data=!4m5!3m4!1s0x3962fd41a51a4d29:0xd3ab2459a9410cb!8m2!3d22.7292038!4d75.8791?authuser=0&hl=en&rclk=1",22.7292038,75.8791,Madhya Pradesh
Padhar Hospital,Private hospital,"Post - Padhar, Dist. Betul, Buzurg, Padhar, Madhya Pradesh 460005, India",https://www.google.co.kr/maps/place/Padhar+Hospital/data=!4m5!3m4!1s0x3bd606c680d18d15:0x29a575772f500c19!8m2!3d22.0550641!4d77.8649009?authuser=0&hl=en&rclk=1,22.0550641,77.8649009,Madhya Pradesh
Narmada Trauma Centre,Hospital,"E3/23, E-3, Arera Colony, Bhopal, Madhya Pradesh 462016, India",https://www.google.co.kr/maps/place/Narmada+Trauma+Centre/data=!4m5!3m4!1s0x397c424f03088965:0x787b88f1dfdf2e1b!8m2!3d23.2176951!4d77.439246?authuser=0&hl=en&rclk=1,23.2176951,77.439246,Madhya Pradesh
Apple Hospital,General hospital,"15/1, Bhawarkua Main Rd, Transport Nagar, Indore, Madhya Pradesh 452008, India",https://www.google.co.kr/maps/place/Apple+Hospital/data=!4m5!3m4!1s0x3962fce495ee903f:0xf0b46034bc2ce47c!8m2!3d22.6939541!4d75.8665271?authuser=0&hl=en&rclk=1,22.6939541,75.8665271,Madhya Pradesh
Medanta Super Specialty Hospital,Hospital,"Shanti Hospital, 5, Shagun Arcade, Opposite U- Turn, Vijay Nagar, Indore, Madhya Pradesh 452016, India",https://www.google.co.kr/maps/place/Medanta+Super+Specialty+Hospital/data=!4m5!3m4!1s0x3962fd5596143bb7:0xa0053666a6c0dd5f!8m2!3d22.748823!4d75.89595?authuser=0&hl=en&rclk=1,22.748823,75.89595,Madhya Pradesh
Civil Hospital Lakhnadon,General hospital,"NH 44, Pathariya, Madhya Pradesh 480886, India",https://www.google.co.kr/maps/place/Civil+Hospital+Lakhnadon/data=!4m5!3m4!1s0x398017c5c6622927:0x3517693a83470777!8m2!3d22.6055502!4d79.5865072?authuser=0&hl=en&rclk=1,22.6055502,79.5865072,Madhya Pradesh
Anant Multispecialty Hospital,General hospital,"Madan Mahal Railway Station Rd, Wright Town, Jabalpur, Madhya Pradesh 482002, India",https://www.google.co.kr/maps/place/Anant+Multispecialty+Hospital/data=!4m5!3m4!1s0x3981ae02d5920c73:0x8623eab44b5a82b8!8m2!3d23.1654784!4d79.9222821?authuser=0&hl=en&rclk=1,23.1654784,79.9222821,Madhya Pradesh
