Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Rajasthan Hospital,General hospital,"Udyog Nagar Rd, Shri Niwas Nagar, Vishwakarma Industrial Area, Murlipura, Jaipur, Rajasthan 302013, India",https://www.google.co.kr/maps/place/Rajasthan+Hospital/data=!4m5!3m4!1s0x396db25d45f9ff89:0x3424c95182206bdf!8m2!3d26.9843422!4d75.7712369?authuser=0&hl=en&rclk=1,26.9843422,75.7712369,Rajasthan
Apex Hospitals,General hospital,"SP-4 & 6, Central Road, Malviya Nagar Industrial Area, Malviya Nagar, Jaipur, Rajasthan 302017, India",https://www.google.co.kr/maps/place/Apex+Hospitals/data=!4m5!3m4!1s0x396db66b6d706811:0xcd772b82cdece6c4!8m2!3d26.8547999!4d75.8250586?authuser=0&hl=en&rclk=1,26.8547999,75.8250586,Rajasthan
Aravali Hospital,General hospital,"332, Ambamata Scheme - A Rd, Ambamata, Udaipur, Rajasthan 313004, India",https://www.google.co.kr/maps/place/Aravali+Hospital/data=!4m5!3m4!1s0x3967e5447320b717:0x69ef793d5cdf7111!8m2!3d24.5848277!4d73.6705646?authuser=0&hl=en&rclk=1,24.5848277,73.6705646,Rajasthan
Marudhar Hospital,General hospital,"A 93-99, Khatipura Rd, Singh Bhoomi, Khatipura, Jaipur, Rajasthan 302012, India",https://www.google.co.kr/maps/place/Marudhar+Hospital/data=!4m5!3m4!1s0x396db36fa38f9461:0x1fb07cc22445da6e!8m2!3d26.9269229!4d75.7463238?authuser=0&hl=en&rclk=1,26.9269229,75.7463238,Rajasthan
"Narayana Multispeciality Hospital, Jaipur",General hospital,"Kumbha Marg, Rana Sanga Marg, Sector 28, Sanganer, Pratap Nagar, Jaipur, Rajasthan 302033, India","https://www.google.co.kr/maps/place/Narayana+Multispeciality+Hospital,+Jaipur/data=!4m5!3m4!1s0x396dc999fe90f309:0x91760491563438ac!8m2!3d26.7949218!4d75.8247122?authuser=0&hl=en&rclk=1",26.7949218,75.8247122,Rajasthan
Medipulse Hospital,General hospital,"E4, MIA , Basni II Phase,Opposite, AIIMS Link Rd, Jodhpur, Rajasthan 342005, India",https://www.google.co.kr/maps/place/Medipulse+Hospital/data=!4m5!3m4!1s0x39418bf12cf13351:0x1e4b12fd63e3bacd!8m2!3d26.233819!4d73.008562?authuser=0&hl=en&rclk=1,26.233819,73.008562,Rajasthan
GBH American Hospital Udaipur,Private hospital,"101, Kothi Bagh Bhatt Ji Ki Bari Meera Girls College Road, Kothi Bagh, Udaipur, Rajasthan 313001, India",https://www.google.co.kr/maps/place/GBH+American+Hospital+Udaipur/data=!4m5!3m4!1s0x3967e574e91f2925:0xab096d9c0153b0cf!8m2!3d24.5935621!4d73.6964309?authuser=0&hl=en&rclk=1,24.5935621,73.6964309,Rajasthan
Global Heart & General Hospital,General hospital,"C1/27-29, Opposite Bharat Apartments, Gandhi Path, Vaishali Nagar, Jaipur, Rajasthan 302021, India",https://www.google.co.kr/maps/place/Global+Heart+%26+General+Hospital/data=!4m5!3m4!1s0x396db4a23c541363:0x231d7092f6f4951b!8m2!3d26.90566!4d75.738694?authuser=0&hl=en&rclk=1,26.90566,75.738694,Rajasthan
Santokba Durlabhji Memorial Hospital (SDMH),Private hospital,"Near, Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302015, India",https://www.google.co.kr/maps/place/Santokba+Durlabhji+Memorial+Hospital+(SDMH)/data=!4m5!3m4!1s0x396db69ecfd32ee7:0x3423f6c55d37fd06!8m2!3d26.8942695!4d75.8125914?authuser=0&hl=en&rclk=1,26.8942695,75.8125914,Rajasthan
Shubh Hospital,General hospital,"A-35, Ajmer Rd, Purani Chungi, Vidhyut Nagar, Jaipur, Rajasthan 302021, India",https://www.google.co.kr/maps/place/Shubh+Hospital/data=!4m5!3m4!1s0x396db48e83a8a4f9:0x6c4d0114ff4773f1!8m2!3d26.8971385!4d75.7523495?authuser=0&hl=en&rclk=1,26.8971385,75.7523495,Rajasthan
Surendera general hospital,General hospital,"H H Gardens, Power House Road, , Rajasthan, India,, Sri Ganganagar, Rajasthan 335001, India",https://www.google.co.kr/maps/place/Surendera+general+hospital/data=!4m5!3m4!1s0x39418c17a48a083d:0x50ecbf8de4bdf093!8m2!3d26.260163!4d73.0070178?authuser=0&hl=en&rclk=1,26.260163,73.0070178,Rajasthan
Apex Hospitals Mansarovar,General hospital,"Ward 27, 55, Rajat Path, Ward 27, Mansarovar Sector 5, Mansarovar, Jaipur, Rajasthan 302020, India",https://www.google.co.kr/maps/place/Apex+Hospitals+Mansarovar/data=!4m5!3m4!1s0x396db5a253fd9edb:0x76da252ec3e87e10!8m2!3d26.8657969!4d75.7627418?authuser=0&hl=en&rclk=1,26.8657969,75.7627418,Rajasthan
Jaipur Hospital,General hospital,"Tonk Rd, Near SMS Stadium, Jaipur Nagar Nigam, Lalkothi, Jaipur, Rajasthan 302015, India",https://www.google.co.kr/maps/place/Jaipur+Hospital/data=!4m5!3m4!1s0x396db420e65e5acb:0x2b5b8e5dec74b037!8m2!3d26.8923934!4d75.8046456?authuser=0&hl=en&rclk=1,26.8923934,75.8046456,Rajasthan
Geetanjali Hospital Udaipur,General hospital,"Hiranmagri Extension, Manwakhera NH-8 Bypass, Near Eklingpura Chouraha, Rajasthan 313001, India",https://www.google.co.kr/maps/place/Geetanjali+Hospital+Udaipur/data=!4m5!3m4!1s0x3967e57ee3ca168f:0xa8434ae1ded1926b!8m2!3d24.5533678!4d73.7319123?authuser=0&hl=en&rclk=1,24.5533678,73.7319123,Rajasthan
"Fortis Escorts Hospital, Jaipur",Hospital,"Jawahar Lal Nehru Marg, Sector 5, Malviya Nagar, Jaipur, Rajasthan 302017, India","https://www.google.co.kr/maps/place/Fortis+Escorts+Hospital,+Jaipur/data=!4m5!3m4!1s0x396db5e10592b4d5:0xa3d690090ae7b75d!8m2!3d26.8462877!4d75.8033762?authuser=0&hl=en&rclk=1",26.8462877,75.8033762,Rajasthan
Health Hospital,Private hospital,"60 Feet Rd, C-Block, Mahesh Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302015, India",https://www.google.co.kr/maps/place/Health+Hospital/data=!4m5!3m4!1s0x396db44915a98325:0x72bc5bc61a77ecb5!8m2!3d26.8784174!4d75.7793693?authuser=0&hl=en&rclk=1,26.8784174,75.7793693,Rajasthan
Soni Hospital,Hospital,"Kanota Bagh, 38, Jawahar Lal Nehru Marg, Rambagh, Jaipur, Rajasthan 302004, India",https://www.google.co.kr/maps/place/Soni+Hospital/data=!4m5!3m4!1s0x396db6988073f6b5:0xbbff153c76dd72a6!8m2!3d26.8956711!4d75.8148576?authuser=0&hl=en&rclk=1,26.8956711,75.8148576,Rajasthan
S M S Hospital Jaipur,Hospital,"XQMF+XGJ, Vishwakarma Industrial Area, Jaipur, Rajasthan 302032, India",https://www.google.co.kr/maps/place/S+M+S+Hospital+Jaipur/data=!4m5!3m4!1s0x396db36a7ba6d849:0xbfa9f1637abdd3ee!8m2!3d26.9849661!4d75.773777?authuser=0&hl=en&rclk=1,26.9849661,75.773777,Rajasthan
RAMAKRISHNA Multispeciality Hospital,Hospital,"257-A, Sheela Choudhary Rd, New Rajeev Gandhi Nagar, VIP Colony, Talwandi, Kota, Rajasthan 324005, India",https://www.google.co.kr/maps/place/RAMAKRISHNA+Multispeciality+Hospital/data=!4m5!3m4!1s0x396f84d84ed882af:0x83824da421fa31b5!8m2!3d25.1529078!4d75.8518964?authuser=0&hl=en&rclk=1,25.1529078,75.8518964,Rajasthan
SG Hospital Jaipur,Hospital,"K8, Tonk Rd, Income Tax Colony, Durgapura, Jaipur, Rajasthan 302018, India",https://www.google.co.kr/maps/place/SG+Hospital+Jaipur/data=!4m5!3m4!1s0x396dc845915bd3d9:0xbcc13628ceb5dec7!8m2!3d26.8519358!4d75.7948031?authuser=0&hl=en&rclk=1,26.8519358,75.7948031,Rajasthan
sdmh,Hospital,"Bhawani Singh, Circle, Marg, Rambagh, Jaipur, Rajasthan 302005, India",https://www.google.co.kr/maps/place/sdmh/data=!4m5!3m4!1s0x396db419a387c0a3:0x344aa586914aca7a!8m2!3d26.9003777!4d75.7976155?authuser=0&hl=en&rclk=1,26.9003777,75.7976155,Rajasthan
Saket Hospital,General hospital,"Sector 10, Meera Marg, Ward Number 43, Agarwal Farm, Mansarovar, Jaipur, Rajasthan 302020, India",https://www.google.co.kr/maps/place/Saket+Hospital/data=!4m5!3m4!1s0x396db5a19b43fe4b:0x65132521df20778c!8m2!3d26.8490822!4d75.765205?authuser=0&hl=en&rclk=1,26.8490822,75.765205,Rajasthan
SDMH Hospital,Hospital,"Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302007, India",https://www.google.co.kr/maps/place/SDMH+Hospital/data=!4m5!3m4!1s0x396db698d1075fa5:0xe2debe00666af291!8m2!3d26.8935728!4d75.8122663?authuser=0&hl=en&rclk=1,26.8935728,75.8122663,Rajasthan
SR Kalla Memorial,Private hospital,"78-79, Dhuleshwar Garden, Behind HSBC Bank, Panch Batti, C Scheme, Jaipur, Rajasthan 302001, India",https://www.google.co.kr/maps/place/SR+Kalla+Memorial/data=!4m5!3m4!1s0x396db6adbe0a7c29:0xda7b9963af490350!8m2!3d26.9130368!4d75.797124?authuser=0&hl=en&rclk=1,26.9130368,75.797124,Rajasthan
Station Dispensary Ajmer,Hospital,"Station Road, near Bank Of India, Ajmer, Rajasthan 305001, India",https://www.google.co.kr/maps/place/Station+Dispensary+Ajmer/data=!4m5!3m4!1s0x396be71e61076395:0xeeab8bc04429e916!8m2!3d26.4551781!4d74.6372995?authuser=0&hl=en&rclk=1,26.4551781,74.6372995,Rajasthan
Rukmani Birla Hospital CK Birla,General hospital,"Gopalpura Bypass Rd, Near Triveni Flyover, Shanthi Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302018, India",https://www.google.co.kr/maps/place/Rukmani+Birla+Hospital+CK+Birla/data=!4m5!3m4!1s0x396db5c832f28ec5:0x37e25df9b2082f6d!8m2!3d26.8627282!4d75.7847499?authuser=0&hl=en&rclk=1,26.8627282,75.7847499,Rajasthan
