Company_Name,Category,Address,Url,Latitude,Longitude,State
Indian Hospitals Corporation Limited,General hospital,"22, Greams Rd, Thousand Lights East, Thousand Lights, Chennai, Tamil Nadu 600006, India",https://www.google.co.kr/maps/place/Indian+Hospitals+Corporation+Limited/data=!4m5!3m4!1s0x3a5266442944ea53:0x83062871423229ed!8m2!3d13.0576824!4d80.2553425?authuser=0&hl=en&rclk=1,13.0576824,80.2553425,Tamil Nadu
"Fortis Malar Hospital, Adyar, Chennai",General hospital,"No. 52, 1st Main Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India","https://www.google.co.kr/maps/place/Fortis+Malar+Hospital,+Adyar,+Chennai/data=!4m5!3m4!1s0x3a5267ebca1ef1c9:0x65f09e8a6db91462!8m2!3d13.0091785!4d80.2588349?authuser=0&hl=en&rclk=1",13.0091785,80.2588349,Tamil Nadu
Apollo Speciality Hospitals,Hospital,"80 Feet Rd, KK Nagar, Tamil Nadu 625020, India",https://www.google.co.kr/maps/place/Apollo+Speciality+Hospitals/data=!4m5!3m4!1s0x3b00c5b1a66210eb:0x4702986a03fb4ab4!8m2!3d9.9278643!4d78.1494347?authuser=0&hl=en&rclk=1,9.9278643,78.1494347,Tamil Nadu
Apollo,General hospital,"CRPJ+R67, Melmaruvathur, Tamil Nadu 603319, India",https://www.google.co.kr/maps/place/Apollo/data=!4m5!3m4!1s0x3a531a026d50df39:0x3de045aae741b5cf!8m2!3d12.4370297!4d79.8305551?authuser=0&hl=en&rclk=1,12.4370297,79.8305551,Tamil Nadu
Hindu Mission Hospital,General hospital,"103, Grand Southern Trunk Rd, New Market, Tambaram West, Tambaram, Chennai, Tamil Nadu 600045, India",https://www.google.co.kr/maps/place/Hindu+Mission+Hospital/data=!4m5!3m4!1s0x3a525f6ea331a4c1:0xbc21098dedcb8e8d!8m2!3d12.9236633!4d80.1141179?authuser=0&hl=en&rclk=1,12.9236633,80.1141179,Tamil Nadu
PSG Hospitals,Private hospital,"Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004, India",https://www.google.co.kr/maps/place/PSG+Hospitals/data=!4m5!3m4!1s0x3ba859030ea11999:0xe4e7cf2ff5b622d9!8m2!3d11.0187626!4d77.006959?authuser=0&hl=en&rclk=1,11.0187626,77.006959,Tamil Nadu
Prime Indian Hospitals,General hospital,"1051, Poonamallee High Rd, Amaravathi Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India",https://www.google.co.kr/maps/place/Prime+Indian+Hospitals/data=!4m5!3m4!1s0x3a5266a0e0299d41:0x1e4c3c152a6ad1ba!8m2!3d13.076723!4d80.205766?authuser=0&hl=en&rclk=1,13.076723,80.205766,Tamil Nadu
Kauvery Hospital - Hosur,Private hospital,"35, Shanthi Nagar, Opp. CSI Church, Hosur, Tamil Nadu 635109, India",https://www.google.co.kr/maps/place/Kauvery+Hospital+-+Hosur/data=!4m5!3m4!1s0x3bae70b81748137f:0x433c25f9d8fba060!8m2!3d12.7284909!4d77.8244931?authuser=0&hl=en&rclk=1,12.7284909,77.8244931,Tamil Nadu
Child Jesus Hospital,Hospital,"Promenade Road, Opp TABS Complex, Melapudur, Cantonment, Tiruchirappalli, Tamil Nadu 620001, India",https://www.google.co.kr/maps/place/Child+Jesus+Hospital/data=!4m5!3m4!1s0x3baaf511ddfa74ff:0x12d96f16ef0e9078!8m2!3d10.805109!4d78.6865239?authuser=0&hl=en&rclk=1,10.805109,78.6865239,Tamil Nadu
Apollo Hospital,Private hospital,"Chennai Bypass Road Ariyamangalam Area, Old Palpannai, Tiruchirappalli, Tamil Nadu 620010, India",https://www.google.co.kr/maps/place/Apollo+Hospital/data=!4m5!3m4!1s0x3baaf506a2accc6b:0x2d7977fac779dfa6!8m2!3d10.8070322!4d78.7111298?authuser=0&hl=en&rclk=1,10.8070322,78.7111298,Tamil Nadu
apollo,General hospital,"2nd Ave, F Block, Anna Nagar West Extension, Chennai, Tamil Nadu 600101, India",https://www.google.co.kr/maps/place/apollo/data=!4m5!3m4!1s0x3a52640e959a565f:0xe08a6239b8dcf788!8m2!3d13.0951364!4d80.1945358?authuser=0&hl=en&rclk=1,13.0951364,80.1945358,Tamil Nadu
Guru Hospital,Hospital,"4 /120-F, Pandikovil Ring Road, Mattuthavani Airport High way, Tamil Nadu 625107, India",https://www.google.co.kr/maps/place/Guru+Hospital/data=!4m5!3m4!1s0x3b00c4311e5f7d6d:0x7bd9cedb67c0ed6e!8m2!3d9.94355!4d78.1647561?authuser=0&hl=en&rclk=1,9.94355,78.1647561,Tamil Nadu
"Government Hospital of Thoracic Medicine, Chennai",General hospital,"77, Chennai - Theni Highway Sanatorium, Kadaperi, Chennai, Tamil Nadu 600047, India","https://www.google.co.kr/maps/place/Government+Hospital+of+Thoracic+Medicine,+Chennai/data=!4m5!3m4!1s0x3a52666a3b499e4f:0xaf0eb30d15e7d37a!8m2!3d12.942847!4d80.1330657?authuser=0&hl=en&rclk=1",12.942847,80.1330657,Tamil Nadu
