Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
S.R. Drugs House,Medical clinic,"Lekhi Village, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/S.R.+Drugs+House/data=!4m5!3m4!1s0x3743ff2ae452cf11:0xb3919f5e23617431!8m2!3d27.1249797!4d93.7252563?authuser=0&hl=en&rclk=1,27.1249797,93.7252563,Arunachal Pradesh,East
Niba Hospital,Hospital,"Naharlagun Pappunalla, Itanagar, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Niba+Hospital/data=!4m5!3m4!1s0x374400c9d84a2901:0xe6c4d2fec82e72da!8m2!3d27.0974077!4d93.67714?authuser=0&hl=en&rclk=1,27.0974077,93.67714,Arunachal Pradesh,East
Medical Health Centre,Hospital,"MV79+Q8M, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Medical+Health+Centre/data=!4m5!3m4!1s0x373efa59c089aee7:0xbf9e6503afc4847c!8m2!3d27.6644704!4d95.8683065?authuser=0&hl=en&rclk=1,27.6644704,95.8683065,Arunachal Pradesh,East
Heema Hospital,Hospital,"NH415, Cona County, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Heema+Hospital/data=!4m5!3m4!1s0x3744072190a3f1d9:0x17fa1315030b82ee!8m2!3d27.1008661!4d93.6281061?authuser=0&hl=en&rclk=1,27.1008661,93.6281061,Arunachal Pradesh,East
Primary Health Centre Kharsang,Hospital,"Miao Road, Miao, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/Primary+Health+Centre+Kharsang/data=!4m5!3m4!1s0x373eebb84e5007a9:0x3f1230e9c258f1f7!8m2!3d27.4219851!4d96.0218073?authuser=0&hl=en&rclk=1,27.4219851,96.0218073,Arunachal Pradesh,East
Manmow Sub-Centre,Hospital,"National Highway 52, 6th Mile Camp, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Manmow+Sub-Centre/data=!4m5!3m4!1s0x373efa75a6747b1f:0x5b49d0b9d15df0dd!8m2!3d27.6791826!4d95.8968285?authuser=0&hl=en&rclk=1,27.6791826,95.8968285,Arunachal Pradesh,East
Samaritan Hormin Hospital,Hospital,"A Sector, Papum Pare, NH-52A, Itanagar Rd, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Samaritan+Hormin+Hospital/data=!4m5!3m4!1s0x3744008eb6cd3455:0x59e709aa13d1ac21!8m2!3d27.1085492!4d93.6974067?authuser=0&hl=en&rclk=1,27.1085492,93.6974067,Arunachal Pradesh,East
Physiotherapy & Rehabilitation Clinic,Hospital,"PWM6+V47, Lathao, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Physiotherapy+%26+Rehabilitation+Clinic/data=!4m5!3m4!1s0x373ef7f914979691:0xc590ed814ed06232!8m2!3d27.7346556!4d95.9102962?authuser=0&hl=en&rclk=1,27.7346556,95.9102962,Arunachal Pradesh,East
"Gyati Takka General Hospital, Ziro",Government hospital,"Hospital Road, Cona County, Ziro, Arunachal Pradesh 791120","https://www.google.co.kr/maps/place/Gyati+Takka+General+Hospital,+Ziro/data=!4m5!3m4!1s0x374160d47dc4c7ff:0xf080831d047caddf!8m2!3d27.5390107!4d93.8219742?authuser=0&hl=en&rclk=1",27.5390107,93.8219742,Arunachal Pradesh,East
Samaritan Hormin Hospital,Hospital,"NH415, A - Sector, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Samaritan+Hormin+Hospital/data=!4m5!3m4!1s0x37440112e9f11ae1:0xa8566f270d71412b!8m2!3d27.0263692!4d93.6239946?authuser=0&hl=en&rclk=1,27.0263692,93.6239946,Arunachal Pradesh,East
