Company_Name,Category,Address,Url,Latitude,Longitude,State
"Primary Health Centre, Nampong, Arunachal Pradesh India",Hospital,"74R7+V4W, Nampong, Arunachal Pradesh 792123, India","https://www.google.co.kr/maps/place/Primary+Health+Centre,+Nampong,+Arunachal+Pradesh+India/data=!4m5!3m4!1s0x373eb91dd2853317:0xf907beefb3be904e!8m2!3d27.2922281!4d96.1128192?authuser=0&hl=en&rclk=1",27.292228100000003,96.1128192,Arunachal Pradesh
"Gyati Takka General Hospital, Ziro",Government hospital,"Hospital Road, Cona County, Ziro, Arunachal Pradesh 791120","https://www.google.co.kr/maps/place/Gyati+Takka+General+Hospital,+Ziro/data=!4m5!3m4!1s0x374160d47dc4c7ff:0xf080831d047caddf!8m2!3d27.5390107!4d93.8219742?authuser=0&hl=en&rclk=1",27.539010700000002,93.82197420000001,Arunachal Pradesh
Medical Health Centre,Hospital,"MV79+Q8M, Namsai, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Medical+Health+Centre/data=!4m5!3m4!1s0x373efa59c089aee7:0xbf9e6503afc4847c!8m2!3d27.6644704!4d95.8683065?authuser=0&hl=en&rclk=1,27.664470399999995,95.86830649999999,Arunachal Pradesh
Manmow Sub-Centre,Hospital,"National Highway 52, 6th Mile Camp, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Manmow+Sub-Centre/data=!4m5!3m4!1s0x373efa75a6747b1f:0x5b49d0b9d15df0dd!8m2!3d27.6791826!4d95.8968285?authuser=0&hl=en&rclk=1,27.6791826,95.8968285,Arunachal Pradesh
Tomo Riba Institute Of Health And Medical Sciences,Hospital,"National Highway 52A, Old Assembly Complex, Naharlagun, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Tomo+Riba+Institute+Of+Health+And+Medical+Sciences/data=!4m5!3m4!1s0x37440092bd9b4271:0xff711dc44d5e5ef9!8m2!3d27.1038855!4d93.6910961?authuser=0&hl=en&rclk=1,27.103885499999997,93.6910961,Arunachal Pradesh
Asali Sub Centre,Hospital,"Vill - Asali, Dist, Roing, Arunachal Pradesh 792110, India",https://www.google.co.kr/maps/place/Asali+Sub+Centre/data=!4m5!3m4!1s0x373e4982feb235fb:0x1ff2ec14bf12d508!8m2!3d28.131878!4d95.8224337?authuser=0&hl=en&rclk=1,28.131878000000004,95.8224337,Arunachal Pradesh
Hospital,Government hospital,"Jairampur, Arunachal Pradesh 792121, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x373ec1175093654b:0xdc8bb4f6626f82a1!8m2!3d27.3550706!4d96.0145557?authuser=0&hl=en&rclk=1,27.3550706,96.0145557,Arunachal Pradesh
Kruna Trust,Hospital,"792001, Arunachal Pradesh, India",https://www.google.co.kr/maps/place/Kruna+Trust/data=!4m5!3m4!1s0x373e644902d44a91:0xce180aa23552c650!8m2!3d27.9185759!4d96.1772115?authuser=0&hl=en&rclk=1,27.918575899999997,96.1772115,Arunachal Pradesh
Niba Hospital,Hospital,"Naharlagun Pappunalla, Itanagar, Arunachal Pradesh 791110",https://www.google.co.kr/maps/place/Niba+Hospital/data=!4m5!3m4!1s0x374400c9d84a2901:0xe6c4d2fec82e72da!8m2!3d27.0974077!4d93.67714?authuser=0&hl=en&rclk=1,27.097407699999998,93.67714000000001,Arunachal Pradesh
Heema Hospital,Hospital,"NH415, Cona County, Itanagar, Arunachal Pradesh 791111",https://www.google.co.kr/maps/place/Heema+Hospital/data=!4m5!3m4!1s0x3744072190a3f1d9:0x17fa1315030b82ee!8m2!3d27.1008661!4d93.6281061?authuser=0&hl=en&rclk=1,27.1008661,93.6281061,Arunachal Pradesh
