Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Dr. Preeti Sharma (Pulmonologist) - Grecian Hospital,Pulmonologist,"OPD 135, Block B, First Floor Ext: 276, Sector 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",https://www.google.co.kr/maps/place/Dr.+Preeti+Sharma+(Pulmonologist)+-+Grecian+Hospital/data=!4m5!3m4!1s0x390fef29a0a2327d:0x8c5a9fc6b81876b4!8m2!3d30.692499!4d76.7206652?authuser=0&hl=en&rclk=1,30.692499,76.7206652,Chandigarh,North
Apollo Clinic- Best Orthopaedic and Joint Replacement in Chandigarh,Hospital,"SCO 10-11 NEAR GOPAL SWEETS, Madhya Marg, Sector 8C, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Apollo+Clinic-+Best+Orthopaedic+and+Joint+Replacement+in+Chandigarh/data=!4m5!3m4!1s0x390fed0d63fa7fff:0x4a2871d698c798f6!8m2!3d30.7403361!4d76.7923828?authuser=0&hl=en&rclk=1,30.7403361,76.7923828,Chandigarh,North
A Clinic,Medical clinic,"Near, Government Hospital, SCO 71, Level 1, Sector 30-C, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/A+Clinic/data=!4m5!3m4!1s0x390fec346b2afa77:0xc9faed4627548cac!8m2!3d30.7127075!4d76.7522199?authuser=0&hl=en&rclk=1,30.7127075,76.7522199,Chandigarh,North
Health Clinic,Medical clinic,"Village Dadu Majra Mly Maloya, Manimajra, Manimajra, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x390f9331ad749419:0x7ded89c5169f7a57!8m2!3d30.7119422!4d76.8345485?authuser=0&hl=en&rclk=1,30.7119422,76.8345485,Chandigarh,North
Chandigarh Clinic,Medical clinic,"759/2, 759/2, Thakur Dwara Rd, Mohalla Jattan Wala, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/Chandigarh+Clinic/data=!4m5!3m4!1s0x390f932e2f7d4423:0xbf3188832f2d1b!8m2!3d30.714564!4d76.8339058?authuser=0&hl=en&rclk=1,30.714564,76.8339058,Chandigarh,North
Healthcare clinic,Medical clinic,"#HM 26, Phase 2, Opp. Gian jyoti school, Sahibzada Ajit Singh Nagar, Chandigarh 160055, India",https://www.google.co.kr/maps/place/Healthcare+clinic/data=!4m5!3m4!1s0x390fee7a0ec27613:0xea96de5984584243!8m2!3d30.7251798!4d76.7269202?authuser=0&hl=en&rclk=1,30.7251798,76.7269202,Chandigarh,North
Panacea Clinic,Medical clinic,"1160, Sector 33C, Sector 33, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Panacea+Clinic/data=!4m5!3m4!1s0x390fedec958b8a81:0xdad179c959e8b5fc!8m2!3d30.711078!4d76.769981?authuser=0&hl=en&rclk=1,30.711078,76.769981,Chandigarh,North
Aarogya Clinic,Medical clinic,"1280, Sector 29 B, Sector 30, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/Aarogya+Clinic/data=!4m5!3m4!1s0x390fedf524443645:0xf7d4eb017dbdb3c1!8m2!3d30.7158545!4d76.7920393?authuser=0&hl=en&rclk=1,30.7158545,76.7920393,Chandigarh,North
The Sleep Clinic,Medical clinic,"SCO 122-123, Ground Floor, Sector 8 C, Madhya Marg, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/The+Sleep+Clinic/data=!4m5!3m4!1s0x390fed79a655d1e3:0xc423c0e3e8fc47!8m2!3d30.737197!4d76.7949487?authuser=0&hl=en&rclk=1,30.737197,76.7949487,Chandigarh,North
Sai Clinic,Medical clinic,"SCO 214 GROUND FLOOR ,, SECTOR 40-D, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Sai+Clinic/data=!4m5!3m4!1s0x390feda6178c691f:0x1c65e732d5988047!8m2!3d30.736324!4d76.735095?authuser=0&hl=en&rclk=1,30.736324,76.735095,Chandigarh,North
Diet Clinic,Medical clinic,"1336, Sector 18-C, Sector 18, Chandigarh, 160018, India",https://www.google.co.kr/maps/place/Diet+Clinic/data=!4m5!3m4!1s0x390fed0606074679:0x4f12e4d9e7b6caa5!8m2!3d30.7309487!4d76.7852303?authuser=0&hl=en&rclk=1,30.7309487,76.7852303,Chandigarh,North
Get Well Clinic,Medical clinic,"Shop No. 9, 1st Floor, Sector 20D, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Get+Well+Clinic/data=!4m5!3m4!1s0x390fedaa87715809:0x4e184a47d10dcc40!8m2!3d30.7224847!4d76.7793019?authuser=0&hl=en&rclk=1,30.7224847,76.7793019,Chandigarh,North
Sadhbhavna Clinic | Best Gynaecologist Clinic in Chandigarh,Obstetrician-gynecologist,"198, Sector 40A, Block A, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Sadhbhavna+Clinic+%7C+Best+Gynaecologist+Clinic+in+Chandigarh/data=!4m5!3m4!1s0x390fee0a8b0f590d:0xd142d1a07a1d8140!8m2!3d30.740299!4d76.732671?authuser=0&hl=en&rclk=1,30.740299,76.732671,Chandigarh,North
Tokhi`s Health Clinic & Elinical Lab (Dr),Medical clinic,"Shop 60, 29-c, Tribune Rd, 20C, Sector 33, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Tokhi%60s+Health+Clinic+%26+Elinical+Lab+(Dr)/data=!4m5!3m4!1s0x390feda6178c691f:0x4d2dcf0db363775f!8m2!3d30.7173693!4d76.7764937?authuser=0&hl=en&rclk=1,30.7173693,76.7764937,Chandigarh,North
Life Physiotherapy Clinic - Sports Injury clinic In Chandigarh,Physical therapist,"#3,Sector 19 A, Chandigarh 160019, India",https://www.google.co.kr/maps/place/Life+Physiotherapy+Clinic+-+Sports+Injury+clinic+In+Chandigarh/data=!4m5!3m4!1s0x390fed0534518553:0xfa8e0e8c8f6b7c40!8m2!3d30.730626!4d76.791139?authuser=0&hl=en&rclk=1,30.730626,76.791139,Chandigarh,North
Dr S K Khanna's Clinic,Medical clinic,"PQJF+R67, 22B, Sector 22, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Dr+S+K+Khanna's+Clinic/data=!4m5!3m4!1s0x390feda5c3ec0c23:0x57a71e83336655c8!8m2!3d30.7320254!4d76.7730362?authuser=0&hl=en&rclk=1,30.7320254,76.7730362,Chandigarh,North
Chhabra Clinic,Medical clinic,"Block B, CSIO Colony, 30C, Sector 30, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/Chhabra+Clinic/data=!4m5!3m4!1s0x390fecfb0da56dab:0xcf094f2e2a481d9b!8m2!3d30.713463!4d76.7890536?authuser=0&hl=en&rclk=1,30.713463,76.7890536,Chandigarh,North
Chikitsa A Complete Mother And Child Clinic - Best Gynaecologist & Child Specialist Doctor in Chandigarh | Best Pediatrician in Chandigarh,Obstetrician-gynecologist,"house no 1048 Sector 37 B, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Chikitsa+A+Complete+Mother+And+Child+Clinic+-+Best+Gynaecologist+%26+Child+Specialist+Doctor+in+Chandigarh+%7C+Best+Pediatrician+in+Chandigarh/data=!4m5!3m4!1s0x390fedc004daea37:0xb355c1ac10a48207!8m2!3d30.7393206!4d76.7559954?authuser=0&hl=en&rclk=1,30.7393206,76.7559954,Chandigarh,North
Dr. Chaudhry's Clinic,Medical clinic,"SCO 63, Sector 30-C, Sector 30, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/Dr.+Chaudhry's+Clinic/data=!4m5!3m4!1s0x390fecfc40000001:0xd6f063c7b1f86f9f!8m2!3d30.7162423!4d76.7924587?authuser=0&hl=en&rclk=1,30.7162423,76.7924587,Chandigarh,North
Central Clinic,Medical clinic,"SCF 89, Sector 47 D, Sector 47, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Central+Clinic/data=!4m5!3m4!1s0x390fec6795555555:0x994380b730e3ec6!8m2!3d30.6958783!4d76.7684242?authuser=0&hl=en&rclk=1,30.6958783,76.7684242,Chandigarh,North
Sachdeva Health Clinic,Medical clinic,"Booth No.62, Tribune Colony, Sector 29C, Sector 29, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/Sachdeva+Health+Clinic/data=!4m5!3m4!1s0x390fecefe362026f:0xb624eb96806fde7d!8m2!3d30.7089025!4d76.7917145?authuser=0&hl=en&rclk=1,30.7089025,76.7917145,Chandigarh,North
Reviva Fertility Clinic & IVF Centre In Chandigarh,Fertility clinic,"Ground, S.C.O 50-51, 9D, Madhya Marg, Chandigarh 160009, India",https://www.google.co.kr/maps/place/Reviva+Fertility+Clinic+%26+IVF+Centre+In+Chandigarh/data=!4m5!3m4!1s0x390fed7328621f05:0xdac68cff9124b14c!8m2!3d30.7445813!4d76.7886296?authuser=0&hl=en&rclk=1,30.7445813,76.7886296,Chandigarh,North
City Clinic,Medical clinic,"Shop No. 159-A, Street Number 11, Mariwala Town, Shanti Nagar, Sector 13, Chandigarh, 160101, India",https://www.google.co.kr/maps/place/City+Clinic/data=!4m5!3m4!1s0x390f932c0f81c9af:0x6a4a995bfb567a54!8m2!3d30.7188721!4d76.8309984?authuser=0&hl=en&rclk=1,30.7188721,76.8309984,Chandigarh,North
Perfecto Physios Physiotherapy clinic in chandigarh,Physical therapist,"Inside Landmark Hospital, Site No. 1&2, Sector 33-C, near Terrace Garden, Chandigarh 160020, India",https://www.google.co.kr/maps/place/Perfecto+Physios+Physiotherapy+clinic+in+chandigarh/data=!4m5!3m4!1s0x390fec51e12fc269:0x36fb2c207b4d462c!8m2!3d30.7122992!4d76.7703747?authuser=0&hl=en&rclk=1,30.7122992,76.7703747,Chandigarh,North
