Company_Name,Category,Address,Url,Latitude,Longitude,State
Santokh Klinics,Hospital,"SCO 77, Sector 38C, Market, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Santokh+Klinics/data=!4m5!3m4!1s0x390fed004765f131:0x9b7116c65148d505!8m2!3d30.742974!4d76.7448525?authuser=0&hl=en&rclk=1,30.742974,76.74485250000001,Chandigarh
Healing Hospital- Best Super Speciality Hospital in Chandigarh,Hospital,"SCO 16-17-18-19-20, Sub. City Center, Sector 34A, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Healing+Hospital-+Best+Super+Speciality+Hospital+in+Chandigarh/data=!4m5!3m4!1s0x390fedae06440b71:0x96f0b99e412a2f99!8m2!3d30.7245935!4d76.7688916?authuser=0&hl=en&rclk=1,30.7245935,76.7688916,Chandigarh
Landmark Hospital,General hospital,"Site No I-II, opp. Terrace Garden, Sector 33C, Sector 33, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Landmark+Hospital/data=!4m5!3m4!1s0x390fec518e2ffd49:0x74c6668fb5df82a1!8m2!3d30.7122958!4d76.7701929?authuser=0&hl=en&rclk=1,30.7122958,76.7701929,Chandigarh
Mukat Hospital & Heart Institute,General hospital,"47, S.C.O, 49, Dakshin Marg, Sector 34A, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Mukat+Hospital+%26+Heart+Institute/data=!4m5!3m4!1s0x390fedb315555551:0x31a8410f96dd6b9!8m2!3d30.7229206!4d76.7705566?authuser=0&hl=en&rclk=1,30.722920600000002,76.7705566,Chandigarh
"Santokh Hospital - Multi-speciality Hospital Orthopaedic, Gyne, Paediatrics, Dialysis, ICU, Surgery Chandigarh",General hospital,"# 846, Sector 38A, Sector 38, Chandigarh, 160014, India","https://www.google.co.kr/maps/place/Santokh+Hospital+-+Multi-speciality+Hospital+Orthopaedic,+Gyne,+Paediatrics,+Dialysis,+ICU,+Surgery+Chandigarh/data=!4m5!3m4!1s0x390fedee591d7d53:0xcbb4e5fc949ed282!8m2!3d30.7478786!4d76.7489313?authuser=0&hl=en&rclk=1",30.747878600000004,76.7489313,Chandigarh
DHARAM HOSPITAL,Private hospital,"#2040 sector 15 c, Chandigarh 160015, India",https://www.google.co.kr/maps/place/DHARAM+HOSPITAL/data=!4m5!3m4!1s0x390fed9b3fffffff:0xe0e216643c1ac722!8m2!3d30.7492297!4d76.7740115?authuser=0&hl=en&rclk=1,30.7492297,76.7740115,Chandigarh
"Max Super Specialty Hospital, Mohali",Hospital,"Chandigarh Rd, near Civil Hospital, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India","https://www.google.co.kr/maps/place/Max+Super+Specialty+Hospital,+Mohali/data=!4m5!3m4!1s0x390fee144e36fcd5:0xa254c2b1f858248a!8m2!3d30.74008!4d76.7142961?authuser=0&hl=en&rclk=1",30.74008,76.71429609999998,Chandigarh
Indus Super Speciality Hospital,General hospital,"opp. Old DC Office, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar, Chandigarh 160055, India",https://www.google.co.kr/maps/place/Indus+Super+Speciality+Hospital/data=!4m5!3m4!1s0x390feda785d2ec5f:0x6301495b4669e0ed!8m2!3d30.7292742!4d76.7219871?authuser=0&hl=en&rclk=1,30.729274199999995,76.72198709999999,Chandigarh
Government Hospital,General hospital,"Palika Bazar, 19D, Sector 19, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/Government+Hospital/data=!4m5!3m4!1s0x390fed1b15555555:0x243613cf8e302f7e!8m2!3d30.728176!4d76.7927981?authuser=0&hl=en&rclk=1,30.728176,76.79279809999998,Chandigarh
"Dr Atul Malhotra - Orthopedic Doctor in Chandigarh, Punjab, India- Knee Replacement Surgeon In Punjab| Best Trauma Hospital In Chandigarh| Best Knee and Hip Hospital In Chandigarh",Hospital,"2125, Sarovar Path, Sector 21C, Sector 21, Chandigarh, 160022, India","https://www.google.co.kr/maps/place/Dr+Atul+Malhotra+-+Orthopedic+Doctor+in+Chandigarh,+Punjab,+India-+Knee+Replacement+Surgeon+In+Punjab%7C+Best+Trauma+Hospital+In+Chandigarh%7C+Best+Knee+and+Hip+Hospital+In+Chandigarh/data=!4m5!3m4!1s0x390fedabefdf9d6f:0xcc14f30f0bdbba7d!8m2!3d30.724101!4d76.774772?authuser=0&hl=en&rclk=1",30.724101,76.774772,Chandigarh
"Chaitanya Hospital Best Gynecologist, Child Specialist, Delivery, NICU, PICU and Vaccination Centre in Chandigarh",Maternity hospital,"Hospital Site 1 And 2, 44C, Chandigarh, 160047, India","https://www.google.co.kr/maps/place/Chaitanya+Hospital+Best+Gynecologist,+Child+Specialist,+Delivery,+NICU,+PICU+and+Vaccination+Centre+in+Chandigarh/data=!4m5!3m4!1s0x390fec346aaaaaab:0x44ed6b196913f7fd!8m2!3d30.7106785!4d76.7542021?authuser=0&hl=en&rclk=1",30.710678499999997,76.7542021,Chandigarh
Indus Hospital,General hospital,"SCF 98-100, Near Chawla Chowk, Phase 3B-2, Sector 60, Sahibzada Ajit Singh Nagar, Punjab 160059, India",https://www.google.co.kr/maps/place/Indus+Hospital/data=!4m5!3m4!1s0x390fee8605689d5d:0xd59b4b3b1af58a09!8m2!3d30.7089058!4d76.7225259?authuser=0&hl=en&rclk=1,30.7089058,76.72252590000001,Chandigarh
Cloudnine Hospital - Chandigarh,Maternity hospital,"48, Phase-2, Industrial Area Phase I, Chandigarh, 160002, India",https://www.google.co.kr/maps/place/Cloudnine+Hospital+-+Chandigarh/data=!4m5!3m4!1s0x390fecf305a2d351:0x46dbd6e5ebd44ac4!8m2!3d30.700183!4d76.787673?authuser=0&hl=en&rclk=1,30.700183000000003,76.787673,Chandigarh
"Nehru Hospital, PGI",Government hospital,"PGIMER, Sector 12, Chandigarh, 160012, India","https://www.google.co.kr/maps/place/Nehru+Hospital,+PGI/data=!4m5!3m4!1s0x390f949dc0000001:0xa192aca15c2d8f4a!8m2!3d30.7609287!4d76.7759577?authuser=0&hl=en&rclk=1",30.7609287,76.7759577,Chandigarh
Guru Nanak Multispeciality C Hospital,General hospital,"Dr.P.N.Chhuttani Memorial IMA Complex, 35B, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Guru+Nanak+Multispeciality+C+Hospital/data=!4m5!3m4!1s0x390fedb6cd005d07:0xc5c1b85beb0c5301!8m2!3d30.7255701!4d76.7623332?authuser=0&hl=en&rclk=1,30.7255701,76.7623332,Chandigarh
Chd City Hospital,Hospital,"SCO 10, 11, Madhya Marg, Sector 8C, Sector 9, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Chd+City+Hospital/data=!4m5!3m4!1s0x390fed959ea1c2a9:0x9cfc8f9780f2ce27!8m2!3d30.7416715!4d76.7943035?authuser=0&hl=en&rclk=1,30.741671500000002,76.7943035,Chandigarh
Ayu Health Hospital,Hospital,"33A, Sector 33A, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Ayu+Health+Hospital/data=!4m5!3m4!1s0x390fedf9d0cd5a6b:0xcd260fe8ce7ca51e!8m2!3d30.7175525!4d76.769499?authuser=0&hl=en&rclk=1,30.717552500000004,76.769499,Chandigarh
Abhilasha Hospital,Maternity hospital,"201, 35A, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Abhilasha+Hospital/data=!4m5!3m4!1s0x390fedb6ffffffff:0x26bbc82c6527b890!8m2!3d30.7279225!4d76.7595401?authuser=0&hl=en&rclk=1,30.7279225,76.7595401,Chandigarh
"Shalby Hospital, Mohali",Hospital,"near PCA Stadium, Phase 9, Sector 63, Sahibzada Ajit Singh Nagar, Chandigarh 160062, India","https://www.google.co.kr/maps/place/Shalby+Hospital,+Mohali/data=!4m5!3m4!1s0x390feea000764e3f:0xd0f04b8e00abed86!8m2!3d30.6923537!4d76.7334135?authuser=0&hl=en&rclk=1",30.6923537,76.7334135,Chandigarh
Apollo Clinic- Best Orthopaedic and Joint Replacement in Chandigarh,Hospital,"SCO 10-11 NEAR GOPAL SWEETS, Madhya Marg, Sector 8C, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Apollo+Clinic-+Best+Orthopaedic+and+Joint+Replacement+in+Chandigarh/data=!4m5!3m4!1s0x390fed0d63fa7fff:0x4a2871d698c798f6!8m2!3d30.7403361!4d76.7923828?authuser=0&hl=en&rclk=1,30.740336100000004,76.7923828,Chandigarh
Kapoor's Kidney & Urostone Centre Pvt. Ltd.,Hospital,"Site No.2 , Near Gurudwara, Opp. 45-46 Traffic Lights, Sector 46D, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Kapoor's+Kidney+%26+Urostone+Centre+Pvt.+Ltd./data=!4m5!3m4!1s0x390feda6178c691f:0x2d09cdaacacf8056!8m2!3d30.7029445!4d76.7621179?authuser=0&hl=en&rclk=1,30.7029445,76.7621179,Chandigarh
Grecian Super Specialty Hospital,Hospital,"Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",https://www.google.co.kr/maps/place/Grecian+Super+Specialty+Hospital/data=!4m5!3m4!1s0x390fee61c0000001:0xd304c964b8144afd!8m2!3d30.6911695!4d76.7230479?authuser=0&hl=en&rclk=1,30.6911695,76.72304790000001,Chandigarh
Nins Brain & Spine Hospital,Hospital,"SCO 341-342, Sub. City Center, Sector 34A, Sector 34, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Nins+Brain+%26+Spine+Hospital/data=!4m5!3m4!1s0x390fedb315555555:0x1ad14a114d82dc18!8m2!3d30.7219461!4d76.7666137?authuser=0&hl=en&rclk=1,30.7219461,76.7666137,Chandigarh
Civil Hospital,Hospital,"Sector 22 Market Rd, Sector 22-D, Sector 22, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x390feda5b24cdb15:0xe2011cd5e481c9a0!8m2!3d30.7324245!4d76.7715829?authuser=0&hl=en&rclk=1,30.7324245,76.7715829,Chandigarh
Fortis Hospital Mohali,Hospital,"Sector 62, Sahibzada Ajit Singh Nagar, Punjab 160062, India",https://www.google.co.kr/maps/place/Fortis+Hospital+Mohali/data=!4m5!3m4!1s0x390fee9f04ed85e1:0x63296ed41f02307d!8m2!3d30.6952387!4d76.7314157?authuser=0&hl=en&rclk=1,30.695238699999997,76.7314157,Chandigarh
Government Multi Specialty Hospital,Government hospital,"Madhya Marg, Sector 16 A, Sector 16, Chandigarh, 160015, India",https://www.google.co.kr/maps/place/Government+Multi+Specialty+Hospital/data=!4m5!3m4!1s0x390fed9e6aaaaaab:0xb69ac75e920cdba5!8m2!3d30.7515025!4d76.780409?authuser=0&hl=en&rclk=1,30.7515025,76.78040899999999,Chandigarh
Civil Hospital Manimajra,Hospital,"PR7R+3XR, Sector 13, Chandigarh, Haryana 160101, India",https://www.google.co.kr/maps/place/Civil+Hospital+Manimajra/data=!4m5!3m4!1s0x390f933b70683ce9:0xe1cb4161a4fe0e32!8m2!3d30.7127379!4d76.8424016?authuser=0&hl=en&rclk=1,30.712737899999997,76.84240159999999,Chandigarh
German Hospital,Hospital,"Karoran Road Nayagaon, Chandigarh, 160103, India",https://www.google.co.kr/maps/place/German+Hospital/data=!4m5!3m4!1s0x390ff299bdd867b3:0xa01dabfb3adba421!8m2!3d30.7789672!4d76.8031235?authuser=0&hl=en&rclk=1,30.7789672,76.8031235,Chandigarh
General Hospital,Hospital,"Phase 2, Sector 54, Sahibzada Ajit Singh Nagar, Chandigarh 160059, India",https://www.google.co.kr/maps/place/General+Hospital/data=!4m5!3m4!1s0x390fee70883996d7:0xe500390052a24270!8m2!3d30.7262357!4d76.7250677?authuser=0&hl=en&rclk=1,30.7262357,76.7250677,Chandigarh
Tera Hi Tera Mission Hospital,Hospital,"Sco 138, opposite E Sampark Center, Sector 45C, Sector 45, Chandigarh, India",https://www.google.co.kr/maps/place/Tera+Hi+Tera+Mission+Hospital/data=!4m5!3m4!1s0x390fed36ce0f19ad:0xb0b7e9357ca275d9!8m2!3d30.7048686!4d76.7592749?authuser=0&hl=en&rclk=1,30.704868599999998,76.75927490000001,Chandigarh
Jindal IVF and Sant Memorial Nursing Home,Hospital,"#3050, behind Sri Guru Ravidass Bhawan, Sector 20D, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Jindal+IVF+and+Sant+Memorial+Nursing+Home/data=!4m5!3m4!1s0x390fed0040000001:0x944d4bb17429be75!8m2!3d30.7190721!4d76.7758507?authuser=0&hl=en&rclk=1,30.7190721,76.77585069999999,Chandigarh
P.G.I Hospital,Hospital,"Government High School Rd, Sector 35D, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/P.G.I+Hospital/data=!4m5!3m4!1s0x390fedc82fffffff:0x8fffa3a3543256b2!8m2!3d30.7667459!4d76.7773869?authuser=0&hl=en&rclk=1,30.766745899999997,76.77738690000001,Chandigarh
Fortis hospital,Hospital,"MQHQ+89Q, Chandigarh Airport Area, Chandigarh, 160003, India",https://www.google.co.kr/maps/place/Fortis+hospital/data=!4m5!3m4!1s0x390fede1040a7ca7:0x4865d99d3ac9840e!8m2!3d30.6783321!4d76.7884713?authuser=0&hl=en&rclk=1,30.6783321,76.7884713,Chandigarh
Cosmo Hospital,Hospital,"Cosmo Hospital, Sector 62, Sahibzada Ajit Singh Nagar, Punjab 160062, India",https://www.google.co.kr/maps/place/Cosmo+Hospital/data=!4m5!3m4!1s0x390fee9974b8ceb5:0xd51ba6b758b17a7d!8m2!3d30.6993482!4d76.727238?authuser=0&hl=en&rclk=1,30.699348200000003,76.727238,Chandigarh
"Ayu Health Super-Speciality Hospital, Sector 34, Chandigarh",Hospital,"S.C.O, 49, Dakshin Marg, Sector 34A, Chandigarh, 160022, India","https://www.google.co.kr/maps/place/Ayu+Health+Super-Speciality+Hospital,+Sector+34,+Chandigarh/data=!4m5!3m4!1s0x390fed9715799d6f:0x12346f92345efe40!8m2!3d30.7229206!4d76.7705566?authuser=0&hl=en&rclk=1",30.722920600000002,76.7705566,Chandigarh
"PGI Hospital, Chandigarh",Hospital,"PGIMER, Madhya Marg, Sector 12, Chandigarh, 160012, India","https://www.google.co.kr/maps/place/PGI+Hospital,+Chandigarh/data=!4m5!3m4!1s0x390feddd2636254b:0xc6016b971a74b592!8m2!3d30.7604584!4d76.775389?authuser=0&hl=en&rclk=1",30.760458399999997,76.775389,Chandigarh
Charitable hospital,Hospital,"Unnamed Road, 24B, Sector 24, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Charitable+hospital/data=!4m5!3m4!1s0x390fedc995ce3bd1:0x43f572f8537f6b42!8m2!3d30.7476311!4d76.7661675?authuser=0&hl=en&rclk=1,30.7476311,76.76616750000001,Chandigarh
Govt Hospital,Hospital,"govt hospital, Sector 16 A, Sector 16, Chandigarh, 160015, India",https://www.google.co.kr/maps/place/Govt+Hospital/data=!4m5!3m4!1s0x390fed76100fa67f:0xb8786f074c93626!8m2!3d30.7488367!4d76.7805736?authuser=0&hl=en&rclk=1,30.7488367,76.7805736,Chandigarh
Ortho OPD GOVT HOSPITAL Sec 16 Chandigarh,Hospital,"Sector 16 A, Sector 16, Chandigarh, 160015, India",https://www.google.co.kr/maps/place/Ortho+OPD+GOVT+HOSPITAL+Sec+16+Chandigarh/data=!4m5!3m4!1s0x390fed7632fd76fd:0xd49cd128bb32ca48!8m2!3d30.7507733!4d76.7807151?authuser=0&hl=en&rclk=1,30.750773300000002,76.7807151,Chandigarh
Hospital,Hospital,"Sector 9C, Sector 32D, Sector 46, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x390fedc511ea907b:0x128b2d5dd82f719b!8m2!3d30.7076048!4d76.7744792?authuser=0&hl=en&rclk=1,30.707604800000002,76.7744792,Chandigarh
Tera Hi Tera,Hospital,"158 Burail, Ekta Market, Burail Village, Sector 45, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Tera+Hi+Tera/data=!4m5!3m4!1s0x390fede3ce7b74e5:0x8c524e95cb84b5ab!8m2!3d30.7050248!4d76.7592618?authuser=0&hl=en&rclk=1,30.705024800000004,76.7592618,Chandigarh
PGI Chandigarh,Hospital,"New OPD PGI, Sector 12, Chandigarh, 160012, India",https://www.google.co.kr/maps/place/PGI+Chandigarh/data=!4m5!3m4!1s0x390ff38e8152b0cd:0xde151a432d7c2bec!8m2!3d30.766192!4d76.7783748?authuser=0&hl=en&rclk=1,30.766191999999997,76.77837480000001,Chandigarh
"Fortis Medcentre Hospital in Chandigarh, Punjab",Medical clinic,"SCO, 11D, Sector 11, Chandigarh, 160011, India","https://www.google.co.kr/maps/place/Fortis+Medcentre+Hospital+in+Chandigarh,+Punjab/data=!4m5!3m4!1s0x390fed793fffff97:0x26ac8f25971112f6!8m2!3d30.7606565!4d76.7820387?authuser=0&hl=en&rclk=1",30.7606565,76.7820387,Chandigarh
New Chandigarh Hospital,Hospital,"QPXW+H94, Mullanpur Garibdass, Punjab 140901, India",https://www.google.co.kr/maps/place/New+Chandigarh+Hospital/data=!4m5!3m4!1s0x390ff231c54812bd:0x7080dfbdf7a1d5f2!8m2!3d30.7988866!4d76.7459584?authuser=0&hl=en&rclk=1,30.798886600000003,76.7459584,Chandigarh
"Ayu Health Multi Specialty Hospital, Sector 8C, Chandigarh",Hospital,"SCO 10-11, Sector 8C, Sector 8, Chandigarh, 160009, India","https://www.google.co.kr/maps/place/Ayu+Health+Multi+Specialty+Hospital,+Sector+8C,+Chandigarh/data=!4m5!3m4!1s0x390fed7b3e83d78d:0x78ee6333631f0766!8m2!3d30.7403407!4d76.7924143?authuser=0&hl=en&rclk=1",30.7403407,76.79241429999999,Chandigarh
Mata Kulbir Kaur Ji Charitable Hospital,Government hospital,"Gurudwara Santsar Sahib, Paschim Marg, Sector 38 West, Sector 38, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Mata+Kulbir+Kaur+Ji+Charitable+Hospital/data=!4m5!3m4!1s0x390fede4716d2b69:0xb938dbdf1360196f!8m2!3d30.745727!4d76.7399096?authuser=0&hl=en&rclk=1,30.745727000000002,76.73990959999999,Chandigarh
Kaushal Hospital,Hospital,"SCO 49, Sector 42 C, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Kaushal+Hospital/data=!4m5!3m4!1s0x390fedd1de7e8007:0x21591b315bfbfa0d!8m2!3d30.722822!4d76.7448178?authuser=0&hl=en&rclk=1,30.722821999999997,76.74481779999999,Chandigarh
Hospital,Hospital,"22A, Sector 22, Chandigarh, 160062, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x390fee97717eccab:0x7d39d606bef34734!8m2!3d30.7345113!4d76.7724913?authuser=0&hl=en&rclk=1,30.7345113,76.7724913,Chandigarh
Hospital Sectar 16,Hospital,"Sector 18D, Sector 18, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Hospital+Sectar+16/data=!4m5!3m4!1s0x390feda785d2ec5f:0x89b99596ffcf6d99!8m2!3d30.7333148!4d76.7794179?authuser=0&hl=en&rclk=1,30.7333148,76.7794179,Chandigarh
Mayo Hospital,Hospital,"MQH4+HQ9, Jagatpura, Chandigarh, Punjab 140306, India",https://www.google.co.kr/maps/place/Mayo+Hospital/data=!4m5!3m4!1s0x390fec734c71d62b:0x3973575c8c131e7f!8m2!3d30.6789213!4d76.7569755?authuser=0&hl=en&rclk=1,30.6789213,76.7569755,Chandigarh
ESIC Model Hospital,Hospital,"Industrial Area, Phase-2, Ram Darbar, Chandigarh, 160002, India",https://www.google.co.kr/maps/place/ESIC+Model+Hospital/data=!4m5!3m4!1s0x390feb7d07c8944b:0xb363cbb60125275e!8m2!3d30.6967489!4d76.7880026?authuser=0&hl=en&rclk=1,30.6967489,76.7880026,Chandigarh
"E.S.I. Dispensary, Sector-23 C",Government hospital,"2296, Dakshin Marg, 23C, Sector 23, Chandigarh, 160023, India","https://www.google.co.kr/maps/place/E.S.I.+Dispensary,+Sector-23+C/data=!4m5!3m4!1s0x390fedbc1f3d6007:0x182c7429a0a31b1e!8m2!3d30.7362389!4d76.7627779?authuser=0&hl=en&rclk=1",30.736238899999996,76.7627779,Chandigarh
Civil Hospital and Dispensary,Hospital,"1642, Burail, Burail Village, Sector 45, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Civil+Hospital+and+Dispensary/data=!4m5!3m4!1s0x390fec4887bab8bf:0xa1e03cc9b0e88eeb!8m2!3d30.704252!4d76.7608845?authuser=0&hl=en&rclk=1,30.704252,76.7608845,Chandigarh
"ARV Orthopaedic Hospital (Best Trauma | Knee Replacement | Orthopedic | Doctor| Hospital In Chandigarh, Panchkula, Mohali, Punjab and Himachal)",Orthopedic surgeon,"2125, Sarovar Path, Sector 21C, Sector 21, Chandigarh, 160002, India","https://www.google.co.kr/maps/place/ARV+Orthopaedic+Hospital+(Best+Trauma+%7C+Knee+Replacement+%7C+Orthopedic+%7C+Doctor%7C+Hospital+In+Chandigarh,+Panchkula,+Mohali,+Punjab+and+Himachal)/data=!4m5!3m4!1s0x390fedaec786bc67:0x39efa012337a5ad9!8m2!3d30.724101!4d76.774772?authuser=0&hl=en&rclk=1",30.724101,76.774772,Chandigarh
Sangam Neuro Hospital,Hospital,"# 619, Sector 18-B, Chandigarh, 160018, India",https://www.google.co.kr/maps/place/Sangam+Neuro+Hospital/data=!4m5!3m4!1s0x390fed0560b66143:0x986241a5439f1ce6!8m2!3d30.7317226!4d76.7898141?authuser=0&hl=en&rclk=1,30.7317226,76.7898141,Chandigarh
"Block A, Nehru Hospital PGI",Hospital,"Nehru Hospital PGI, Madhya Marg, Sector 12, Chandigarh, 160012, India","https://www.google.co.kr/maps/place/Block+A,+Nehru+Hospital+PGI/data=!4m5!3m4!1s0x390fed80e18baf6d:0x8f57a2f13e9f034e!8m2!3d30.761799!4d76.7758368?authuser=0&hl=en&rclk=1",30.761799,76.77583680000001,Chandigarh
