Company_Name,Category,Address,Url,Latitude,Longitude,State
BABA FITNESS STUDIO & POWER YOGA,Fitness center,"Hospital Palem, Kalavagadda Colony, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/BABA+FITNESS+STUDIO+%26+POWER+YOGA/data=!4m5!3m4!1s0x3bb41cb1172f4bf1:0x850ca6955841d720!8m2!3d14.9091413!4d78.003444?authuser=0&hl=en&rclk=1,14.9091413,78.00344399999999,Andhra Pradesh
Soyas Nutrition Center,Gym,"41, 1st floor, Municipal Complex,, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Soyas+Nutrition+Center/data=!4m5!3m4!1s0x3bb41cae1a5d8f17:0x517c405d5eedb692!8m2!3d14.908978!4d78.0087447?authuser=0&hl=en&rclk=1,14.908978,78.00874470000001,Andhra Pradesh
SRI KRUSHNA OSHO YOGASRAMAM,Gym,"V2R7+F83, Krishna Puram, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/SRI+KRUSHNA+OSHO+YOGASRAMAM/data=!4m5!3m4!1s0x3bb403a040d47299:0xa903a45074442eb!8m2!3d14.8911419!4d78.0133041?authuser=0&hl=en&rclk=1,14.8911419,78.0133041,Andhra Pradesh
Tadipatri - 4km,Gym,"Putluru Road, Andhra Pradesh 515414, India",https://www.google.co.kr/maps/place/Tadipatri+-+4km/data=!4m5!3m4!1s0x3bb403356e1f6d35:0xf02da6f247489336!8m2!3d14.878328!4d77.9968733?authuser=0&hl=en&rclk=1,14.878328,77.9968733,Andhra Pradesh
Ramula Swami,Gym,"WV7R+8Q6, Somana palli, Andhra Pradesh 515445, India",https://www.google.co.kr/maps/place/Ramula+Swami/data=!4m5!3m4!1s0x3bb6a7565dd8211d:0x762006329bf0d7bf!8m2!3d14.9132973!4d77.891897?authuser=0&hl=en&rclk=1,14.9132973,77.891897,Andhra Pradesh
Golden Gym,Gym,"Subhash Rd, Near Bank of India, Old Town, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Golden+Gym/data=!4m5!3m4!1s0x3bb14adfab163e5f:0x442e3be94f6a3011!8m2!3d14.6770351!4d77.6050159?authuser=0&hl=en&rclk=1,14.6770351,77.60501590000001,Andhra Pradesh
SWEATOUT HEALTH & FITNESS,Gym,"Anantapur,, Srinagar Colony, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/SWEATOUT+HEALTH+%26+FITNESS/data=!4m5!3m4!1s0x3bb14aed3cb2bfbd:0x2e85882e9107f245!8m2!3d14.6640801!4d77.585991?authuser=0&hl=en&rclk=1,14.664080100000001,77.585991,Andhra Pradesh
Stones Fitness Studio,Gym,"15/777 4th Floor, above Hangouts Cafe, Kamalanagar, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Stones+Fitness+Studio/data=!4m5!3m4!1s0x3bb14adbde096173:0xff73c9b29d82ccb3!8m2!3d14.6814476!4d77.6016883?authuser=0&hl=en&rclk=1,14.6814476,77.60168829999999,Andhra Pradesh
Stayfit Health & Fitness World Pvt Ltd,Gym,"10-322-1, R.R Complex, Subash Rd, Adimurthy Nagar, Gulzarpet, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Stayfit+Health+%26+Fitness+World+Pvt+Ltd/data=!4m5!3m4!1s0x3bb14bfd5186ddc5:0x67801720d2cb1aec!8m2!3d14.6797005!4d77.5980016?authuser=0&hl=en&rclk=1,14.679700500000001,77.59800159999999,Andhra Pradesh
GOLDEN GYM,Gym,"Balaji Towers Bus Stop near Iron Bridge, Surya Nagar, Old Town, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/GOLDEN+GYM/data=!4m5!3m4!1s0x3bb14b1fddfe09bf:0x3c1a87c88d434ceb!8m2!3d14.677159!4d77.6048902?authuser=0&hl=en&rclk=1,14.677159,77.6048902,Andhra Pradesh
Smart Gym,Gym,"10, Subash Rd, Adimurthy Nagar, Gulzarpet, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Smart+Gym/data=!4m5!3m4!1s0x3bb14bcf480e067f:0x9234df82b9e6cefe!8m2!3d14.6811499!4d77.5954179?authuser=0&hl=en&rclk=1,14.681149900000001,77.5954179,Andhra Pradesh
GYM & YOGA,Gym,"Bhyravanagar St, Adarsh Nagar, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/GYM+%26+YOGA/data=!4m5!3m4!1s0x3bb14b371f0dba55:0xd2c05bbaac5fd3b3!8m2!3d14.6510225!4d77.6048057?authuser=0&hl=en&rclk=1,14.6510225,77.6048057,Andhra Pradesh
Arnold Gym For Ladies And Gents,Gym,"PHX4+433, Ward 20, Nadimpalli, Kadapa, Andhra Pradesh 516360, India",https://www.google.co.kr/maps/place/Arnold+Gym+For+Ladies+And+Gents/data=!4m5!3m4!1s0x3bb478a80c3e730b:0x8d640fc00bd76a1f!8m2!3d14.7477587!4d78.5551781?authuser=0&hl=en&rclk=1,14.7477587,78.55517809999999,Andhra Pradesh
Pradeep Taekwondo Class Coching,Gym,"tank, 3rd Cross Rd, Aravinda Nagar, Maruthi Nagar, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Pradeep+Taekwondo+Class+Coching/data=!4m5!3m4!1s0x3bb14aefefc6c49f:0x50b2ff4c072a1f8e!8m2!3d14.6680483!4d77.5929981?authuser=0&hl=en&rclk=1,14.6680483,77.59299809999999,Andhra Pradesh
STSN Gym,Gym,"45G3+R6R, STSN Govt. Degree College, Kadiri, Andhra Pradesh 515591, India",https://www.google.co.kr/maps/place/STSN+Gym/data=!4m5!3m4!1s0x3bb3ce544f11d489:0x71f64a7b4c9dc3f8!8m2!3d14.1271157!4d78.153002?authuser=0&hl=en&rclk=1,14.127115700000001,78.153002,Andhra Pradesh
Arnold Gym Point,Gym,"Zinna Rd, Nadimpalli, Proddatur, Andhra Pradesh 516360, India",https://www.google.co.kr/maps/place/Arnold+Gym+Point/data=!4m5!3m4!1s0x3bb478a83cb0eefd:0x519ce568e114dbb8!8m2!3d14.7456868!4d78.5569141?authuser=0&hl=en&rclk=1,14.745686800000001,78.5569141,Andhra Pradesh
Ranadheer's Fitness Centre,Gym,"MJV2+7CV, Yerranela Kottala, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Ranadheer's+Fitness+Centre/data=!4m5!3m4!1s0x3bb14bfe8e10efd3:0xcaa72a46242b2c21!8m2!3d14.6932311!4d77.6010599?authuser=0&hl=en&rclk=1,14.693231099999998,77.60105990000001,Andhra Pradesh
Ytr Fitness,Gym,"Pothulanagepalle, Andhra Pradesh 515651, India",https://www.google.co.kr/maps/place/Ytr+Fitness/data=!4m5!3m4!1s0x3bb142bb171c1b37:0xa1ef8d90be16ca7b!8m2!3d14.3509884!4d77.7300264?authuser=0&hl=en&rclk=1,14.350988399999999,77.73002640000001,Andhra Pradesh
ACME FITNESS,Gym,"Opposite to SAGAR RESTAURANT. DT., Gandhi Rd, Proddatur, Andhra Pradesh 516360, India",https://www.google.co.kr/maps/place/ACME+FITNESS/data=!4m5!3m4!1s0x3bb478a0e1981e85:0x6b93cd53e2cf97ff!8m2!3d14.7491056!4d78.5473755?authuser=0&hl=en&rclk=1,14.749105599999998,78.5473755,Andhra Pradesh
Fitkit,Fitness center,"Dn.:28/4/616 drivers colony, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Fitkit/data=!4m5!3m4!1s0x3bb14ae39bfffff1:0x68aed34fc0d717e6!8m2!3d14.6672156!4d77.6035202?authuser=0&hl=en&rclk=1,14.667215599999999,77.6035202,Andhra Pradesh
Beats fitness studio C camp,Fitness center,"Arora Nagar Rd, above axis bank, Sri Nagar Colony, Salam Nagar, B Camp, Kurnool, Andhra Pradesh 518001, India",https://www.google.co.kr/maps/place/Beats+fitness+studio+C+camp/data=!4m5!3m4!1s0x3bb5dd1f054463d5:0xb1995a80dc2595c4!8m2!3d15.8052426!4d78.0438728?authuser=0&hl=en&rclk=1,15.805242600000001,78.0438728,Andhra Pradesh
Virtu Fitness Studio,Gym,"MDR381, Yerramukkapalli, Kadapa, Andhra Pradesh 516003, India",https://www.google.co.kr/maps/place/Virtu+Fitness+Studio/data=!4m5!3m4!1s0x3bb3735ca0500357:0x55754b45ea021bee!8m2!3d14.4630247!4d78.8239503?authuser=0&hl=en&rclk=1,14.4630247,78.8239503,Andhra Pradesh
Fitness Lounge,Gym,"Abdullah Khan Estate Ln, Gandhi Nagar, Kurnool, Andhra Pradesh 518001, India",https://www.google.co.kr/maps/place/Fitness+Lounge/data=!4m5!3m4!1s0x3bb5e75d4c19569d:0xcf26c84b0cc66b29!8m2!3d15.8308715!4d78.0392897?authuser=0&hl=en&rclk=1,15.830871499999999,78.0392897,Andhra Pradesh
SMR Fitness Gym,Gym,"Kadapa - Pulivendula Rd, Vempalli, Andhra Pradesh 516329, India",https://www.google.co.kr/maps/place/SMR+Fitness+Gym/data=!4m5!3m4!1s0x3bb3bde2f5699121:0xb2d566652eed2fa1!8m2!3d14.364512!4d78.4533786?authuser=0&hl=en&rclk=1,14.364512,78.4533786,Andhra Pradesh
Orange Fitness Studio,Fitness center,"R2GM+FJ2, Bangar Pet, Kurnool, Andhra Pradesh 518004, India",https://www.google.co.kr/maps/place/Orange+Fitness+Studio/data=!4m5!3m4!1s0x3bb5e73d426a9b5b:0xf242b992d842d6c7!8m2!3d15.8261282!4d78.0340118?authuser=0&hl=en&rclk=1,15.826128200000001,78.0340118,Andhra Pradesh
Fitness Planet for ladies and gents,Gym,"Bangalore - Hyderabad Hwy, near M.R.O.Office, Abbas Nagar, Kallur, Kurnool, Andhra Pradesh 518002, India",https://www.google.co.kr/maps/place/Fitness+Planet+for+ladies+and+gents/data=!4m5!3m4!1s0x3bb5dde9bbc56d41:0xe84d176bb0af971a!8m2!3d15.8028655!4d78.035224?authuser=0&hl=en&rclk=1,15.8028655,78.035224,Andhra Pradesh
LADIES FITNESS GYM,Gym,"R25M+PG6, Krishna Reddy Nagar, Jaya Ram Nagar, Abbas Nagar, New Krishna Nagar, Kurnool, Andhra Pradesh 518002, India",https://www.google.co.kr/maps/place/LADIES+FITNESS+GYM/data=!4m5!3m4!1s0x3bb5dd17fb109a29:0x72d83d4b4d1a5977!8m2!3d15.8092967!4d78.03376?authuser=0&hl=en&rclk=1,15.8092967,78.03376,Andhra Pradesh
Vinod's Steel fitness gym,Gym,"D.no21/77-2, Dwaraka towers,2nd floor,Above kotak Mahindra bank, Andhra Pradesh 516001, India",https://www.google.co.kr/maps/place/Vinod's+Steel+fitness+gym/data=!4m5!3m4!1s0x3bb3730024813e39:0x541381ce70ddb517!8m2!3d14.4774231!4d78.8233312?authuser=0&hl=en&rclk=1,14.4774231,78.8233312,Andhra Pradesh
Beats Fitness Studio Kadapa,Gym,"2nd Floor, Railway Station Rd, above axis bank, Kadapa, Andhra Pradesh 516004, India",https://www.google.co.kr/maps/place/Beats+Fitness+Studio+Kadapa/data=!4m5!3m4!1s0x3bb37272d564c82b:0xa98423191c51ba05!8m2!3d14.4615696!4d78.8297434?authuser=0&hl=en&rclk=1,14.461569599999999,78.8297434,Andhra Pradesh
Beats Fitness Studio,Gym,"3rd Floor, TJ Shopping Mall, Kurnool, Andhra Pradesh 518001, India",https://www.google.co.kr/maps/place/Beats+Fitness+Studio/data=!4m5!3m4!1s0x3bb5e75da5ba9df5:0x86fab6b86bd4ba6e!8m2!3d15.8332999!4d78.040359?authuser=0&hl=en&rclk=1,15.833299900000002,78.040359,Andhra Pradesh
sham's fitness factory (gym),Gym,"L.P.CIRCLE Paradise function hall, Dharmavaram, Andhra Pradesh 515671, India",https://www.google.co.kr/maps/place/sham's+fitness+factory+(gym)/data=!4m5!3m4!1s0x3bb1437824c09ee1:0x85938634e10686f2!8m2!3d14.4130472!4d77.7137708?authuser=0&hl=en&rclk=1,14.413047199999998,77.71377079999999,Andhra Pradesh
Leo's Gym And Fitness,Gym,"RFHV+C6F, Mukkidipeta, Hindupuram, Andhra Pradesh 515201, India",https://www.google.co.kr/maps/place/Leo's+Gym+And+Fitness/data=!4m5!3m4!1s0x3bb1a3676fb829c5:0xd71ff2ce0a662e07!8m2!3d13.8285582!4d77.4930515?authuser=0&hl=en&rclk=1,13.8285582,77.4930515,Andhra Pradesh
Rainbow Fitness Gym,Gym,"shop no 11, balaji complex, Madras Rd, Ganagapeta, Kadapa, Andhra Pradesh 516001, India",https://www.google.co.kr/maps/place/Rainbow+Fitness+Gym/data=!4m5!3m4!1s0x3bb3721c73fb68cf:0xc77a9f5aaa2e10ad!8m2!3d14.4788275!4d78.8230195?authuser=0&hl=en&rclk=1,14.4788275,78.8230195,Andhra Pradesh
