Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
"Medicover Hospitals, Nellore, Andhra Pradesh | Best Hospital in Nellore",General hospital,"NH-5, Chinthareddypalem Cross road, Alahari Nagar, Chintareddy Palem, Nellore, Andhra Pradesh 524003, India","https://www.google.co.kr/maps/place/Medicover+Hospitals,+Nellore,+Andhra+Pradesh+%7C+Best+Hospital+in+Nellore/data=!4m5!3m4!1s0x3a4cf3504c5b2a3d:0xfc8337a31b24e2c!8m2!3d14.4366521!4d79.9992737?authuser=0&hl=en&rclk=1",14.4366521,79.9992737,Andhra Pradesh,South
Seven Hills Hospital,General hospital,"Rockdale Layout, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India",https://www.google.co.kr/maps/place/Seven+Hills+Hospital/data=!4m5!3m4!1s0x3a39691851b88ab7:0x122ec1f5747fbce8!8m2!3d17.7172617!4d83.3093477?authuser=0&hl=en&rclk=1,17.7172617,83.3093477,Andhra Pradesh,South
Time Hospital,Private hospital,"Bus Stop, 11/150 Vijayawada Road Opp Ashoknagar, Sanath Nagar, Vijayawada, Andhra Pradesh 520007, India",https://www.google.co.kr/maps/place/Time+Hospital/data=!4m5!3m4!1s0x3a35fb1e25db55c5:0xb669c5e4d093e7b3!8m2!3d16.4876592!4d80.6774803?authuser=0&hl=en&rclk=1,16.4876592,80.6774803,Andhra Pradesh,South
Queen's NRI Hospital,Hospital,"d.no, 50-53-14, Gurudwara Rd, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013, India",https://www.google.co.kr/maps/place/Queen's+NRI+Hospital/data=!4m5!3m4!1s0x3a3943311226a1ed:0x2f12873df4d18d45!8m2!3d17.7404065!4d83.3081929?authuser=0&hl=en&rclk=1,17.7404065,83.3081929,Andhra Pradesh,South
SevenHills Hospital,General hospital,"Door No. 11-4-4/A, Waltair Main Road Ram Nagar Rockdale Layout, Visakhapatnam, Andhra Pradesh 530002, India",https://www.google.co.kr/maps/place/SevenHills+Hospital/data=!4m5!3m4!1s0x3a394315d34e4a3d:0xa591b07d804626ac!8m2!3d17.7173026!4d83.3095681?authuser=0&hl=en&rclk=1,17.7173026,83.3095681,Andhra Pradesh,South
Andhra Hospitals,Private hospital,"ZP High School, Moulangar Masjid Rd Opp, Bhavanipuram, Gollapudi, Vijayawada, Andhra Pradesh 521225, India",https://www.google.co.kr/maps/place/Andhra+Hospitals/data=!4m5!3m4!1s0x3a35ee4a4ef7f55d:0x9f29a806f12d4795!8m2!3d16.536301!4d80.584723?authuser=0&hl=en&rclk=1,16.536301,80.584723,Andhra Pradesh,South
Sentini Hospital,General hospital,"54-15-5 B&C, Ring Rd, beside Vinayak Theatre, Vijayawada, Andhra Pradesh 520008, India",https://www.google.co.kr/maps/place/Sentini+Hospital/data=!4m5!3m4!1s0x3a35e52a9cc6edbf:0x6b1de8b11f398fa0!8m2!3d16.509834!4d80.6649419?authuser=0&hl=en&rclk=1,16.509834,80.6649419,Andhra Pradesh,South
Aayush Hospitals,Private hospital,"48-13-3 3A Ring Road Opp.Siddhartha Medical College, Sri Ramachandra Nagar, Vijayawada, Andhra Pradesh 520008, India",https://www.google.co.kr/maps/place/Aayush+Hospitals/data=!4m5!3m4!1s0x3a35e52a588982d3:0x347b24cb13754346!8m2!3d16.517483!4d80.675097?authuser=0&hl=en&rclk=1,16.517483,80.675097,Andhra Pradesh,South
KIMS ICON Hospitals,Private hospital,"Sheela Nagar, Visakhapatnam, Andhra Pradesh 530026, India",https://www.google.co.kr/maps/place/KIMS+ICON+Hospitals/data=!4m5!3m4!1s0x3a3968ed11aaded3:0x5fe95f2024c0e6fd!8m2!3d17.7144161!4d83.1957038?authuser=0&hl=en&rclk=1,17.7144161,83.1957038,Andhra Pradesh,South
Aswini Hospitals,Hospital,"Bus Stand, Besides Manipuram Fly Over, near R.T.C, Guntur, Andhra Pradesh 522001, India",https://www.google.co.kr/maps/place/Aswini+Hospitals/data=!4m5!3m4!1s0x3a4a0ab4581a6839:0x70fb7c80fff28382!8m2!3d16.2986615!4d80.4577625?authuser=0&hl=en&rclk=1,16.2986615,80.4577625,Andhra Pradesh,South
