Company_Name,Category,Address,Url,Latitude,Longitude,State
Dr Chetana Naik Ear Nose Throat & Vertigo Clinic,Medical clinic,"F58,First floor, Vikrant building (lll), above SBI bank, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Dr+Chetana+Naik+Ear+Nose+Throat+%26+Vertigo+Clinic/data=!4m5!3m4!1s0x3bbfb3013cbd7031:0x16ba2834cd585ab5!8m2!3d15.2703247!4d73.9637848?authuser=0&hl=en&rclk=1,15.2703247,73.9637848,Goa
Manipal Hospitals Goa,Private hospital,"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Manipal+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfc0cb6f59b763:0x5fef15ef316a7759!8m2!3d15.4600059!4d73.813462?authuser=0&hl=en&rclk=1,15.4600059,73.813462,Goa
Polyclinic,Medical clinic,"Azad Maidan, Rua Do Ormuz, Opposite Bank Of India, Panaji, Panaji, Goa, 403001, India",https://www.google.co.kr/maps/place/Polyclinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0xec878a6ff8e88d1e!8m2!3d15.4955876!4d73.8251581?authuser=0&hl=en&rclk=1,15.495587599999999,73.8251581,Goa
Navchaitanya madkaikar clinic old goa,Medical clinic,"H.NO 290/1 ASHIYANA, behind BOM JESUS CHURCH, ELLLA, Goa Velha, Goa 403402, India",https://www.google.co.kr/maps/place/Navchaitanya+madkaikar+clinic+old+goa/data=!4m5!3m4!1s0x3bbfbf75c7044ec3:0x627e3cb07d3dc7d2!8m2!3d15.4995664!4d73.9124987?authuser=0&hl=en&rclk=1,15.499566399999999,73.91249870000001,Goa
Gracias Clinic,Medical clinic,"Anandi Building, Chaudi, Canacona, Goa 403702, India",https://www.google.co.kr/maps/place/Gracias+Clinic/data=!4m5!3m4!1s0x3bbe5abc7e99416d:0x5b1612794ea1d190!8m2!3d15.0070604!4d74.0479772?authuser=0&hl=en&rclk=1,15.007060399999999,74.0479772,Goa
Dr Subhash Shikre Clinic,Free clinic,"Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Dr+Subhash+Shikre+Clinic/data=!4m5!3m4!1s0x3bbfc1d7454f916d:0xbb4098997e8a6459!8m2!3d15.4905463!4d73.8325372?authuser=0&hl=en&rclk=1,15.490546300000002,73.8325372,Goa
Klink Jana,Medical clinic,"102, Pasheco Complex, Margao, Margao, next to Popular High School, Goa, 403601, India",https://www.google.co.kr/maps/place/Klink+Jana/data=!4m5!3m4!1s0x3bbfb3e9c143a8a7:0x4367135a4f52f4bb!8m2!3d15.2743352!4d73.956091?authuser=0&hl=en&rclk=1,15.274335199999998,73.956091,Goa
AUMEO CLINIC,Medical clinic,"Shop no 03, Bhanav Apartments, Dr P Shivgaonkar Rd, Near Mahalaxmi Temple, Altinho, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/AUMEO+CLINIC/data=!4m5!3m4!1s0x3bbfc08ebe4f22fd:0x2b0f663dfe8327a4!8m2!3d15.4967145!4d73.8259853?authuser=0&hl=en&rclk=1,15.4967145,73.8259853,Goa
Victor Hospital,General hospital,"Old Station Rd, near Carmelite Monastery, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Victor+Hospital/data=!4m5!3m4!1s0x3bbfb3c6c5c4520d:0xa4045e195fdd67b3!8m2!3d15.2689598!4d73.9663188?authuser=0&hl=en&rclk=1,15.2689598,73.9663188,Goa
Modern Clinic,Medical clinic,"Near Aldona Taxi Stand, Mapusa, Mapusa, Goa, 403507, India",https://www.google.co.kr/maps/place/Modern+Clinic/data=!4m5!3m4!1s0x3bbfeae2fae1f7d9:0x6d4b0f540391957!8m2!3d15.5920368!4d73.808983?authuser=0&hl=en&rclk=1,15.592036800000002,73.808983,Goa
Pai Hospital,Women's health clinic,"Pai Hospital, Vaddem, Vasco da Gama, Goa 403802, India",https://www.google.co.kr/maps/place/Pai+Hospital/data=!4m5!3m4!1s0x3bbfc791fa1643e5:0xc6fbe85cb7ff3642!8m2!3d15.3974905!4d73.8294358?authuser=0&hl=en&rclk=1,15.3974905,73.8294358,Goa
Devki Clinic,Medical clinic,"InezChurch, Infront of Gomant Press, Meera Building, 1st Floor, St Inez Rd, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Devki+Clinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0x8957dc8e4021313b!8m2!3d15.4917226!4d73.8206727?authuser=0&hl=en&rclk=1,15.4917226,73.8206727,Goa
"Pain clinic Of India Pvt Ltd, Padma Clinic, Goa branch",Medical clinic,"Padma Spine and Pain Clinic, above Caro Comfort, Malbhat, Margao, Goa 403601, India","https://www.google.co.kr/maps/place/Pain+clinic+Of+India+Pvt+Ltd,+Padma+Clinic,+Goa+branch/data=!4m5!3m4!1s0x3bbfb3e825e83695:0x1a6a8fb3a80e2b05!8m2!3d15.270121!4d73.965409?authuser=0&hl=en&rclk=1",15.270121,73.965409,Goa
Bhobe Clinic,Medical clinic,"B-107, Saldanha Towers, Duler-Marna-Siolim Rd, Dangui Colony, Altinho, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Bhobe+Clinic/data=!4m5!3m4!1s0x3bbfeae1e8b5d1a3:0xc7934895bbe74cda!8m2!3d15.593838!4d73.813622?authuser=0&hl=en&rclk=1,15.593838,73.813622,Goa
Ponda Clinic,Medical clinic,"336, Dulapi, Corlim, Corlim, Goa, 403110, India",https://www.google.co.kr/maps/place/Ponda+Clinic/data=!4m5!3m4!1s0x3bbfbe8300000001:0xc46d07ae317a1fa3!8m2!3d15.5040835!4d73.9330429?authuser=0&hl=en&rclk=1,15.504083499999998,73.9330429,Goa
Health Care Clinic,Medical clinic,"F12, Rizimplaza, Near Fish Market, Morod, Mapusa, Goa, 403507, India",https://www.google.co.kr/maps/place/Health+Care+Clinic/data=!4m5!3m4!1s0x3bbfeae69e615e1d:0x95a1ce365b705a5f!8m2!3d15.587164!4d73.812665?authuser=0&hl=en&rclk=1,15.587164000000001,73.812665,Goa
Dr Milind Colvalcar's Mapusa Clinic Medical Centre,Hospital,"High School, near St. Brittos, Dangui Colony, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Dr+Milind+Colvalcar's+Mapusa+Clinic+Medical+Centre/data=!4m5!3m4!1s0x3bbfeae229d521cd:0x6d04665be1ab4fad!8m2!3d15.5920059!4d73.8121629?authuser=0&hl=en&rclk=1,15.5920059,73.8121629,Goa
Ayurclinic Goa,Ayurvedic clinic,"Baga Creek, Between ""Royal Goan Beach Club"" and ""Lila Café"", Arpora, Calangute,Goa, Goa 403521, India",https://www.google.co.kr/maps/place/Ayurclinic+Goa/data=!4m5!3m4!1s0x3bbfea21d62a4623:0x618e5741403001!8m2!3d15.5680602!4d73.7525427?authuser=0&hl=en&rclk=1,15.568060199999998,73.7525427,Goa
Goaclinic24x7,Medical clinic,"Mandrem Beach Rd, Junaswada, Pernem, Mandrem, Goa 403527, India",https://www.google.co.kr/maps/place/Goaclinic24x7/data=!4m5!3m4!1s0x3bbfeeefbf928b19:0x15d2f6a562aeb5a0!8m2!3d15.6651526!4d73.7140636?authuser=0&hl=en&rclk=1,15.665152599999999,73.71406359999997,Goa
Goa Pain Clinic,Pain control clinic,"PERPETUA B,NEAR DR.RITA'S CLINIC,NH17 ROAD PORVORIM, near ALCONHYUNDAI SHOWROOM, Goa 403501, India",https://www.google.co.kr/maps/place/Goa+Pain+Clinic/data=!4m5!3m4!1s0x3bbfc01f217ba1a9:0xe73bf1f0933dc2e!8m2!3d15.5447156!4d73.8206692?authuser=0&hl=en&rclk=1,15.544715599999998,73.8206692,Goa
Sapna Clinic,Medical clinic,"Sapana Clinic, House No.149, Alto - Dabolim, Bogmalo, Junction, Dabolim, Goa 403801, India",https://www.google.co.kr/maps/place/Sapna+Clinic/data=!4m5!3m4!1s0x3bbfb962ef835b15:0xf51cc5de6d66f33b!8m2!3d15.388422!4d73.8481902?authuser=0&hl=en&rclk=1,15.388422,73.8481902,Goa
Bone and Body Clinic Goa,Physical therapy clinic,"263, Ponsulem, Canacona, Goa 403702, India",https://www.google.co.kr/maps/place/Bone+and+Body+Clinic+Goa/data=!4m5!3m4!1s0x3bbe5ab8d7ce63a3:0x1dd16a11e1d7a768!8m2!3d15.0015205!4d74.0470603?authuser=0&hl=en&rclk=1,15.001520499999998,74.0470603,Goa
Aumeo Clinic,Medical clinic,"105-Durga Chambers, 1st Floor - Above World of Titan, 001, 18th June Rd, near Bombay Bazaar, Panaji, Goa PIN 403, India",https://www.google.co.kr/maps/place/Aumeo+Clinic/data=!4m5!3m4!1s0x3bbfc08c31dae485:0xe3a9f4c2c43356b!8m2!3d15.4964075!4d73.823489?authuser=0&hl=en&rclk=1,15.496407500000002,73.823489,Goa
Dr.Pradeep Health Clinic,Medical clinic,"HQXC+J2P, Bouta Waddo, Assagao, Goa 403507, India",https://www.google.co.kr/maps/place/Dr.Pradeep+Health+Clinic/data=!4m5!3m4!1s0x3bbfebc9c637d7a5:0xf01d94f4461986c!8m2!3d15.5990758!4d73.7700699?authuser=0&hl=en&rclk=1,15.5990758,73.7700699,Goa
Good Shepherd Healthcare,Medical clinic,"218, Gera Imperium Grand, patto, near Krishnadas Shama State Central Library, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Good+Shepherd+Healthcare/data=!4m5!3m4!1s0x3bbfc084e9148549:0x77e3d38e297dea!8m2!3d15.4950354!4d73.8337972?authuser=0&hl=en&rclk=1,15.495035399999999,73.8337972,Goa
Zuari Clinic,Medical clinic,"MPQ6+249, Arambol, Goa 403519, India",https://www.google.co.kr/maps/place/Zuari+Clinic/data=!4m5!3m4!1s0x3bbfefcf56d3f5c3:0x3d4a1be90ac7dde7!8m2!3d15.6875315!4d73.7103512?authuser=0&hl=en&rclk=1,15.6875315,73.7103512,Goa
Arya Clinic,Medical clinic,"Ag-5, Casa Immaculada, Opposite Chiky Chowky, Panaji, Panaji, Goa, 403001, India",https://www.google.co.kr/maps/place/Arya+Clinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0xcf2eee9259425131!8m2!3d15.4955876!4d73.8251581?authuser=0&hl=en&rclk=1,15.495587599999999,73.8251581,Goa
St Joseph's Clinic,Medical clinic,"Piedada Building, Sao Jose de Areal, Goa 403709, India",https://www.google.co.kr/maps/place/St+Joseph's+Clinic/data=!4m5!3m4!1s0x3bbfb2662eece553:0xb49467dc242a3c77!8m2!3d15.2565607!4d74.009917?authuser=0&hl=en&rclk=1,15.2565607,74.009917,Goa
