Company_Name,Category,Address,Url,Latitude,Longitude,State
Norberts Fitness Studio,Gym,"Sansha's Ground Floor, NH 66, opp. Motel Avni, Porvorim, Aradi Socorro, Goa 403521, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc0141e576f19:0x1d27cf8348593fbb!8m2!3d15.5428846!4d73.8215885?authuser=0&hl=en&rclk=1,15.5428846,73.8215885,Goa
Norberts Fitness Studio,Gym,"St Joaquim Road, near St.Joaquims Church, Borda, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfb3de87aadae9:0x592e4d46d2bdfd46!8m2!3d15.2827205!4d73.9670637?authuser=0&hl=en&rclk=1,15.2827205,73.9670637,Goa
Fitness Zone,Fitness center,"Shop No.A3 & A9, Lar Asiena, Kerant, Caranzalem, Goa 403002, India",https://www.google.co.kr/maps/place/Fitness+Zone/data=!4m5!3m4!1s0x3bbfc0c6b876202f:0x2708ace0e4e07dd8!8m2!3d15.4754488!4d73.8119181?authuser=0&hl=en&rclk=1,15.4754488,73.8119181,Goa
Fitness Bar,Gym,"2nd Floor, Esmeralda Casa Da Povo, 40300, St Inez Rd, Santa Inez, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Fitness+Bar/data=!4m5!3m4!1s0x3bbfc0ed0d868bc7:0x436e7ecd48abd626!8m2!3d15.4824351!4d73.8200217?authuser=0&hl=en&rclk=1,15.4824351,73.8200217,Goa
MUSCLE N BEACH GYM,Gym,"Baga Beach, next to Bacardi Shack, Baga, Goa 403516, India",https://www.google.co.kr/maps/place/MUSCLE+N+BEACH+GYM/data=!4m5!3m4!1s0x3bbfea1cb65c057f:0xf58b7058a0c02dd4!8m2!3d15.5579731!4d73.7515208?authuser=0&hl=en&rclk=1,15.5579731,73.7515208,Goa
Nobert's Fitness Studio - 24x7,Gym,"Panjim Convention Centre, near Hotel Four Pilars Mala, Neugi Nagar, Goa 403001, India",https://www.google.co.kr/maps/place/Nobert's+Fitness+Studio+-+24x7/data=!4m5!3m4!1s0x3bbfc1a8634ce769:0xee5bfd448548eb85!8m2!3d15.4876114!4d73.8322579?authuser=0&hl=en&rclk=1,15.4876114,73.8322579,Goa
Norbert's Fitness Studio,Gym,"Varca - Margao Rd, Benaulim, Goa 403716, India",https://www.google.co.kr/maps/place/Norbert's+Fitness+Studio/data=!4m5!3m4!1s0x3bbfb38c56b77545:0xbf2c64eca3c76f41!8m2!3d15.2647028!4d73.9505417?authuser=0&hl=en&rclk=1,15.2647028,73.9505417,Goa
Fat Vs Fitness,Gym,"road, Arambol Beach, Arambol, Goa 403519, India",https://www.google.co.kr/maps/place/Fat+Vs+Fitness/data=!4m5!3m4!1s0x3bbfee50412a84bd:0x723cdcdcd2aca6a1!8m2!3d15.6875567!4d73.7106489?authuser=0&hl=en&rclk=1,15.6875567,73.7106489,Goa
Norberts Fitness Studio,Gym,"Sapana Town, Bethoda, Road, Ponda, Goa 403401, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfbb50c7edb3a5:0x19c823800140d9bd!8m2!3d15.3986946!4d74.0213889?authuser=0&hl=en&rclk=1,15.3986946,74.0213889,Goa
"Norbert's Fitness Studio, Mapusa-Goa",Fitness center,"Fortune Square, Morod, Mapusa, Goa 403507, India","https://www.google.co.kr/maps/place/Norbert's+Fitness+Studio,+Mapusa-Goa/data=!4m5!3m4!1s0x3bbfeae5daef11a9:0x505d2ceda54ce08f!8m2!3d15.585136!4d73.811886?authuser=0&hl=en&rclk=1",15.585136,73.811886,Goa
Power Gym Goa,Fitness center,"near Ideal High School Junction, Caranzalem, Taleigao, Goa 403002, India",https://www.google.co.kr/maps/place/Power+Gym+Goa/data=!4m5!3m4!1s0x3bbfc0bf2c837c99:0xebef4c806f9fc464!8m2!3d15.475999!4d73.820932?authuser=0&hl=en&rclk=1,15.475999,73.820932,Goa
Norbert's Fitness Studio,Gym,"Omkar Building, Near KTC Bus Stand, Nagorcem, Canacona, Goa 403702, India",https://www.google.co.kr/maps/place/Norbert's+Fitness+Studio/data=!4m5!3m4!1s0x3bbe5b4abf0f7d1b:0x40d95fcdbd06e24e!8m2!3d15.0085605!4d74.0425798?authuser=0&hl=en&rclk=1,15.0085605,74.0425798,Goa
Norbert's Fitness Studio,Gym,"Ameya Building, Next to Allahabad Bank, Opp St. inez Church, St Inez Rd, Santa Inez, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Norbert's+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc092c2b0fb83:0xbe6c04107a0497c0!8m2!3d15.490933!4d73.8198718?authuser=0&hl=en&rclk=1,15.490933,73.8198718,Goa
Gym & Tonic,Gym,"2nd floor, Satt Adhar Basilio’s 7 Heights, Basilio’s Complex, St Inez Rd, Near Basilios Gym, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Gym+%26+Tonic/data=!4m5!3m4!1s0x3bbfc0ec8d9919bd:0x53f70d1962247853!8m2!3d15.4885427!4d73.8187168?authuser=0&hl=en&rclk=1,15.4885427,73.8187168,Goa
Beatdrop. Entertainment and fitness,Fitness center,"Shantiraj, G6 Vasant Nagar, Gogol, Margao, Goa 403602, India",https://www.google.co.kr/maps/place/Beatdrop.+Entertainment+and+fitness/data=!4m5!3m4!1s0x3bbfb3cfb130495d:0x4f82b6ff20ec7a4d!8m2!3d15.2855548!4d73.9928773?authuser=0&hl=en&rclk=1,15.2855548,73.9928773,Goa
Fitness Goa,Gym,"746/A, Morjim Resort North Goa, 739, Morjim, Goa 403512, India",https://www.google.co.kr/maps/place/Fitness+Goa/data=!4m5!3m4!1s0x3bbfeeca01d8a819:0xea1eac6608571fc5!8m2!3d15.639015!4d73.7239983?authuser=0&hl=en&rclk=1,15.639015,73.7239983,Goa
Carambolim Fitness Center,Gym,"FWPJ+MWH, Carambolim, Corlim, Goa 403110, India",https://www.google.co.kr/maps/place/Carambolim+Fitness+Center/data=!4m5!3m4!1s0x3bbfbea106112a59:0xb09fa22c89b525cb!8m2!3d15.486695!4d73.932366?authuser=0&hl=en&rclk=1,15.486695,73.932366,Goa
Impact Gym & Fitness || Aerobics | Zumba,Gym,"H.No-1526, near Vinita Garden Bar & Restaurant Calangute - Siolim Rd, Bhhtin Vaddo, Anjuna, Goa 403509, India",https://www.google.co.kr/maps/place/Impact+Gym+%26+Fitness+%7C%7C+Aerobics+%7C+Zumba/data=!4m5!3m4!1s0x3bbfeb37f6606c27:0x9b6c7b57b3b7b7b9!8m2!3d15.5941435!4d73.7596921?authuser=0&hl=en&rclk=1,15.5941435,73.7596921,Goa
Tripod Gym,Gym,"Vodlem Bhat, Ritu Apartments, Shop no. 1/2, Panaji, Goa 403002, India",https://www.google.co.kr/maps/place/Tripod+Gym/data=!4m5!3m4!1s0x3bbfc0bc285de6ad:0x34f59ce5685abd75!8m2!3d15.478298!4d73.8241828?authuser=0&hl=en&rclk=1,15.478298,73.8241828,Goa
The Gym-Fitness Forever,Gym,"Vidya nagar, Betim–Penha de Franca–Pomburpa–Quitla-Aldona Rd, behind vidya probhodini high school, Porvorim, Goa 403501, India",https://www.google.co.kr/maps/place/The+Gym-Fitness+Forever/data=!4m5!3m4!1s0x3bbfc072a465a77f:0x8251d49ea9883c6e!8m2!3d15.5267016!4d73.830657?authuser=0&hl=en&rclk=1,15.5267016,73.830657,Goa
Go Muscular Gym and Fitness Centre,Gym,"Bhaili Peth, Borden, Bicholim, Goa 403504, India",https://www.google.co.kr/maps/place/Go+Muscular+Gym+and+Fitness+Centre/data=!4m5!3m4!1s0x3bbf967014c76b21:0x998c7b538250f33d!8m2!3d15.5919371!4d73.9464675?authuser=0&hl=en&rclk=1,15.5919371,73.9464675,Goa
SPEED FITNESS,Gym,"Porba Vaddo, Calangute, Goa 403516, India",https://www.google.co.kr/maps/place/SPEED+FITNESS/data=!4m5!3m4!1s0x3bbfea0b5c4f1acf:0x76d4230ac87cb621!8m2!3d15.5511019!4d73.7700699?authuser=0&hl=en&rclk=1,15.5511019,73.7700699,Goa
Power Line Gym,Gym,"Karaswada, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Power+Line+Gym/data=!4m5!3m4!1s0x3bbfeb3b85e1bd39:0x87bf5397bdfa1b56!8m2!3d15.6106754!4d73.824346?authuser=0&hl=en&rclk=1,15.6106754,73.824346,Goa
Muscle & Fitness,Gym,"FWWM+H23, Carambolim, Corlim, Goa 403110, India",https://www.google.co.kr/maps/place/Muscle+%26+Fitness/data=!4m5!3m4!1s0x3bbfbe9c31a38f2f:0x2720e51fcb340d29!8m2!3d15.4963812!4d73.9325623?authuser=0&hl=en&rclk=1,15.4963812,73.9325623,Goa
Norberts Fitness Studio,Gym,"NH366, above Maruti Suzuki Showroom, Alto Chicalim, Vasco da Gama, Goa 403802, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc7cdf4e2f32f:0x3f967b4e566bb79f!8m2!3d15.3979786!4d73.8381207?authuser=0&hl=en&rclk=1,15.3979786,73.8381207,Goa
Calburn Fitness Solutions Personal Training Studio,Gym,"Majestic Palm, Opp Joecons Beach Resort,, Calvaddo, Benaulim, Goa 403716, India",https://www.google.co.kr/maps/place/Calburn+Fitness+Solutions+Personal+Training+Studio/data=!4m5!3m4!1s0x3bbfb47963d2cf6b:0x638d5e77ec9542e3!8m2!3d15.2473175!4d73.9303333?authuser=0&hl=en&rclk=1,15.2473175,73.9303333,Goa
Fitness Point Gym,Gym,"S2, Hum Twin Tower, Upper Bazar Rd, opposite Union Bank, Ponda, Goa 403401, India",https://www.google.co.kr/maps/place/Fitness+Point+Gym/data=!4m5!3m4!1s0x3bbfbb07865ce4a5:0xd354658bf6b476e5!8m2!3d15.4019274!4d74.0066811?authuser=0&hl=en&rclk=1,15.4019274,74.0066811,Goa
Geeta fitness studio,Gym,"9286+2X6, Borim, Goa 403401, India",https://www.google.co.kr/maps/place/Geeta+fitness+studio/data=!4m5!3m4!1s0x3bbfb14368128e9f:0x37e24176ba85ee25!8m2!3d15.3650456!4d74.0123851?authuser=0&hl=en&rclk=1,15.3650456,74.0123851,Goa
Neulife-Fitness,Gym,"Verem - Nerul Rd, Nerul, Goa 403109, India",https://www.google.co.kr/maps/place/Neulife-Fitness/data=!4m5!3m4!1s0x3bbfc0549b098613:0xb288211d8811d5b5!8m2!3d15.5076736!4d73.7968826?authuser=0&hl=en&rclk=1,15.5076736,73.7968826,Goa
Norbert's Fitness Studio,Gym,"NH366, above Maruti Suzuki Showroom, Alto Chicalim, Vasco da Gama, Goa 403711, India",https://www.google.co.kr/maps/place/Norbert's+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc7971b30e993:0x895a9deb1a046a40!8m2!3d15.397898!4d73.83801?authuser=0&hl=en&rclk=1,15.397898,73.83801,Goa
Fitness Factory,Gym,"Ground Floor, LaxmiLeela Hall, Valshi, near Housing Board, Bicholim, Goa 403504, India",https://www.google.co.kr/maps/place/Fitness+Factory/data=!4m5!3m4!1s0x3bbf956b474aba11:0xba08e1acd4a71e1a!8m2!3d15.6063566!4d73.9337114?authuser=0&hl=en&rclk=1,15.6063566,73.9337114,Goa
Norberts Fitness Studio,Fitness center,"MDR 10, Candolim, Goa 403515, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc194b6024c4f:0x54ccd7f0b61718e7!8m2!3d15.52255!4d73.766775?authuser=0&hl=en&rclk=1,15.52255,73.766775,Goa
Chiranjeev Fitness,Gym,"Ponda – Durbhat, Sadar, Khadpabandh, Ponda, Goa 403401, India",https://www.google.co.kr/maps/place/Chiranjeev+Fitness/data=!4m5!3m4!1s0x3bbfba942a788631:0x791138bb1d5548d0!8m2!3d15.3984703!4d74.0033537?authuser=0&hl=en&rclk=1,15.3984703,74.0033537,Goa
Science Fitness Goa,Gym,"Gaonkar Wado, Bambolim Curca, Panaji, Goa 403108, India",https://www.google.co.kr/maps/place/Science+Fitness+Goa/data=!4m5!3m4!1s0x3bbfb9e9e64479a7:0xffe7cf930a57d1ed!8m2!3d15.4556958!4d73.8698211?authuser=0&hl=en&rclk=1,15.4556958,73.8698211,Goa
Norberts Fitness Studio,Gym,"GRVC+4JQ, Jupiter Colony, Porvorim, Aradi Socorro, Goa 403501, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc16b68e94ca5:0xcc8b762cd84884e!8m2!3d15.5428381!4d73.8216035?authuser=0&hl=en&rclk=1,15.5428381,73.8216035,Goa
Studio 101 Goa,Gym,"101, Sai Plazam, Opposite Gomantak Times Bhavan, St. Inez, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Studio+101+Goa/data=!4m5!3m4!1s0x3bbfc092871c0941:0x20324cf4d1b6513e!8m2!3d15.4924216!4d73.8211512?authuser=0&hl=en&rclk=1,15.4924216,73.8211512,Goa
Pro-Fitness Goa,Gym,"Cavelossim, Goa 403731, India",https://www.google.co.kr/maps/place/Pro-Fitness+Goa/data=!4m5!3m4!1s0x3bbe4cb0014c5281:0x3efb01da4d553b8a!8m2!3d15.1846871!4d73.9480915?authuser=0&hl=en&rclk=1,15.1846871,73.9480915,Goa
No Pain No Gain Gym,Gym,"8W29+HV3, Betalbatim, Goa 403708, India",https://www.google.co.kr/maps/place/No+Pain+No+Gain+Gym/data=!4m5!3m4!1s0x3bbfb6bbe03c0313:0xb761ee1c6da67ade!8m2!3d15.3013982!4d73.919673?authuser=0&hl=en&rclk=1,15.3013982,73.919673,Goa
Norberts Fitness Studio,Gym,"Doctor East Borges Road Ocean Park Residency, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Norberts+Fitness+Studio/data=!4m5!3m4!1s0x3bbfc0cd3a92b5bf:0x84ee1998d5508390!8m2!3d15.4581029!4d73.8092239?authuser=0&hl=en&rclk=1,15.4581029,73.8092239,Goa
