Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Manipal Hospitals Goa,Private hospital,"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004, India",https://www.google.co.kr/maps/place/Manipal+Hospitals+Goa/data=!4m5!3m4!1s0x3bbfc0cb6f59b763:0x5fef15ef316a7759!8m2!3d15.4600059!4d73.813462?authuser=0&hl=en&rclk=1,15.4600059,73.813462,Goa,West 1
Victor Hospital,General hospital,"Old Station Rd, near Carmelite Monastery, Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Victor+Hospital/data=!4m5!3m4!1s0x3bbfb3c6c5c4520d:0xa4045e195fdd67b3!8m2!3d15.2689598!4d73.9663188?authuser=0&hl=en&rclk=1,15.2689598,73.9663188,Goa,West 1
Galaxy Hospital Mapusa Goa,Private hospital,"JR47+86M, Mapusa, Goa 403519, India",https://www.google.co.kr/maps/place/Galaxy+Hospital+Mapusa+Goa/data=!4m5!3m4!1s0x3bbfeb19fda362a9:0xded12d6f905c6f2!8m2!3d15.6058396!4d73.813057?authuser=0&hl=en&rclk=1,15.6058396,73.813057,Goa,West 1
Nagarsenkar's Classic Hospital,Hospital,"Malbhat, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Nagarsenkar's+Classic+Hospital/data=!4m5!3m4!1s0x3bbfb3c6b6f12adb:0xfa0d0e4c8d9e7ff6!8m2!3d15.269592!4d73.965776?authuser=0&hl=en&rclk=1,15.269592,73.965776,Goa,West 1
Sushrutzi Dr Dhulapkar's Hospital,Private hospital,"Ponda - Panaji Rd, behind Indian Overseas Bank, Carambolim, Corlim, Goa 403110, India",https://www.google.co.kr/maps/place/Sushrutzi+Dr+Dhulapkar's+Hospital/data=!4m5!3m4!1s0x3bbfbe9c46957c8f:0x9a3b499da4b42900!8m2!3d15.4972637!4d73.9320968?authuser=0&hl=en&rclk=1,15.4972637,73.9320968,Goa,West 1
Royal Hospital,General hospital,"Aquem ,Margao, Goa( South ), Off Power House Road, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Royal+Hospital/data=!4m5!3m4!1s0x3bbfb3c8b21a84a1:0xbcabb344e6f8eaf9!8m2!3d15.2708414!4d73.9720919?authuser=0&hl=en&rclk=1,15.2708414,73.9720919,Goa,West 1
"North Goa District Hospital, Mapusa",Government hospital,"Mapusa Jamatkhana Road, Peddem, Mapusa, Goa 403507, India","https://www.google.co.kr/maps/place/North+Goa+District+Hospital,+Mapusa/data=!4m5!3m4!1s0x3bbfeb20441cb14f:0x3780637101679c2f!8m2!3d15.5968924!4d73.8201766?authuser=0&hl=en&rclk=1",15.5968924,73.8201766,Goa,West 1
St. Anthony's Hospital,Private hospital,"Petrol Pump, Zorin, near Anjuna, Anjuna, Goa 403509, India",https://www.google.co.kr/maps/place/St.+Anthony's+Hospital/data=!4m5!3m4!1s0x3bbfebd79ccbac43:0xe29458d29f4af85b!8m2!3d15.6004349!4d73.7506254?authuser=0&hl=en&rclk=1,15.6004349,73.7506254,Goa,West 1
Bosio Hospital,Private hospital,"Football Ground, Pintos Waddo, Pilerne - Candolim Rd, opposite Montero, Candolim, Goa 403515, India",https://www.google.co.kr/maps/place/Bosio+Hospital/data=!4m5!3m4!1s0x3bbfeca855555555:0x9728e3374f476a15!8m2!3d15.5199136!4d73.7708411?authuser=0&hl=en&rclk=1,15.5199136,73.7708411,Goa,West 1
Healthway Hospital,Hospital,"Rua Armada Portuguesa, Mala, Fantainhas, Altinho, near People's High School, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Healthway+Hospital/data=!4m5!3m4!1s0x3bbfc0854a4ea0d7:0x6b321ec0897e1f68!8m2!3d15.4941205!4d73.8310719?authuser=0&hl=en&rclk=1,15.4941205,73.8310719,Goa,West 1
Chodankar Hospital,General hospital,"Porvorim,, Penha de França, Goa, India",https://www.google.co.kr/maps/place/Chodankar+Hospital/data=!4m5!3m4!1s0x3bbfc01373a82d23:0x1a647d4fe8b20d3c!8m2!3d15.529723!4d73.825582?authuser=0&hl=en&rclk=1,15.529723,73.825582,Goa,West 1
Mathew Braganza Hospital,General hospital,"Calangute - Anjuna Rd Naikawado Gardez, Calangute, Goa 403516, India",https://www.google.co.kr/maps/place/Mathew+Braganza+Hospital/data=!4m5!3m4!1s0x3bbfc1e26e01cf93:0xda4d066c329e8aaa!8m2!3d15.5446216!4d73.7637473?authuser=0&hl=en&rclk=1,15.5446216,73.7637473,Goa,West 1
Bhagyoday Hospital,General hospital,"Dattawadi, near Ashirwad Hall, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Bhagyoday+Hospital/data=!4m5!3m4!1s0x3bbfeae2fae1f7d9:0xea30b5ccd86207f8!8m2!3d15.5945844!4d73.8115992?authuser=0&hl=en&rclk=1,15.5945844,73.8115992,Goa,West 1
Holy Cross General Remanso Hospital,General hospital,"Rajvaddo, Mapasa Bardeza, near Alankar Theatre, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Holy+Cross+General+Remanso+Hospital/data=!4m5!3m4!1s0x3bbfeae0c649fd57:0x64aa5f51c5e89f8b!8m2!3d15.5899772!4d73.8166973?authuser=0&hl=en&rclk=1,15.5899772,73.8166973,Goa,West 1
Dr. Kolwalkar's Galaxy Hospital,General hospital,"Mapusa - Duler - Camurlim Rd, Near S.P.G. Hall/Severina Gardens, Xelpem, Duler, Mapusa, Goa 403507, India",https://www.google.co.kr/maps/place/Dr.+Kolwalkar's+Galaxy+Hospital/data=!4m5!3m4!1s0x3bbfeaf00b389901:0x2b85b8c4097e287a!8m2!3d15.6059007!4d73.8132884?authuser=0&hl=en&rclk=1,15.6059007,73.8132884,Goa,West 1
A. V. Da Costa Memorial Clinic,General hospital,"Near Nehru Stadium, Fatorda, Goa 403602, India",https://www.google.co.kr/maps/place/A.+V.+Da+Costa+Memorial+Clinic/data=!4m5!3m4!1s0x3bbfb160f4ce1e57:0xd8eab723a7d359c6!8m2!3d15.2905285!4d73.9609912?authuser=0&hl=en&rclk=1,15.2905285,73.9609912,Goa,West 1
Healthway Hospital Old Goa,Hospital,"FWP6+85C, Bainguinim, Goa 403110, India",https://www.google.co.kr/maps/place/Healthway+Hospital+Old+Goa/data=!4m5!3m4!1s0x3bbfbf3ae6d3c6d1:0xe0f6c6e95d47b012!8m2!3d15.4858064!4d73.9103819?authuser=0&hl=en&rclk=1,15.4858064,73.9103819,Goa,West 1
