Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Apollo Clinic,Medical clinic,"Mann Complex, Anand Mahal Rd, Opposite Shree Ram Petrol Pump, Girinagar Society, Muktanand Nagar, Adajan, Surat, Gujarat 395009, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3be04dd34e1206c7:0xef71ae6d6aa24966!8m2!3d21.1959394!4d72.797561?authuser=0&hl=en&rclk=1,21.1959394,72.797561,Gujarat,West 2
"Shalby Hospital, Surat",Hospital,"Nr. Navyug College, Rander Rd, Adajan, Surat, Gujarat 395009, India","https://www.google.co.kr/maps/place/Shalby+Hospital,+Surat/data=!4m5!3m4!1s0x3be04c2bd38b220d:0xfd16cdc3f794f73b!8m2!3d21.2023112!4d72.8009972?authuser=0&hl=en&rclk=1",21.2023112,72.8009972,Gujarat,West 2
Zydus Hospitals,Hospital,"Zydus Hospitals Road, Nr. Sola Bridge, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380054, India",https://www.google.co.kr/maps/place/Zydus+Hospitals/data=!4m5!3m4!1s0x395e9b5e464673c1:0x4aa886904308b889!8m2!3d23.0585079!4d72.517465?authuser=0&hl=en&rclk=1,23.0585079,72.517465,Gujarat,West 2
Gujarat Kidney And Superspeciality Hospital Vadodara,Hospital,"New India Mill Compound Nr Jetalpur Bridge, Jetalpur Rd, Vadodara, Gujarat 390020, India",https://www.google.co.kr/maps/place/Gujarat+Kidney+And+Superspeciality+Hospital+Vadodara/data=!4m5!3m4!1s0x395fc8a5599b023d:0xea25bf1ff850e17a!8m2!3d22.3073146!4d73.1760006?authuser=0&hl=en&rclk=1,22.3073146,73.1760006,Gujarat,West 2
Wellspring IVF & Women's Hospital,Hospital,"440, 4th Floor, Titanium City Center Mall, 100 Ft, 100 Feet Anand Nagar Rd, near Sachin Tower, Anand Nagar, Satellite, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/Wellspring+IVF+%26+Women's+Hospital/data=!4m5!3m4!1s0x395e84d50de8e19f:0x1e71b5ce1cc897dc!8m2!3d23.0126838!4d72.5227348?authuser=0&hl=en&rclk=1,23.0126838,72.5227348,Gujarat,West 2
Apollo Clinic,Medical clinic,"GF-II, Baleshwar Square, Opp Isckon Temple, Near casela towers Off S G Highway, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x395e9b39a9daf811:0xc336bd9eed99a5df!8m2!3d23.0289014!4d72.5088134?authuser=0&hl=en&rclk=1,23.0289014,72.5088134,Gujarat,West 2
Talha Clinic,Medical clinic,"XGV9+JH8, Quresh Nagar Society, Juhapura, Ahmedabad, Gujarat 380051, India",https://www.google.co.kr/maps/place/Talha+Clinic/data=!4m5!3m4!1s0x395e9bdc2254cca5:0x86c8d70923f94866!8m2!3d22.9940496!4d72.5189673?authuser=0&hl=en&rclk=1,22.9940496,72.5189673,Gujarat,West 2
Akanksha Hospital - Best IVF Hospital |Best Infertility Hospital |Best Surrogacy Hospital | Awarded Best IVF and Surrogacy Hospital In India| Best IVF Centre India,Fertility clinic,"Lambhvel Road, Opp.Guruvilla Bungalows, Lambhvel, Anand, Gujarat 387310, India",https://www.google.co.kr/maps/place/Akanksha+Hospital+-+Best+IVF+Hospital+%7CBest+Infertility+Hospital+%7CBest+Surrogacy+Hospital+%7C+Awarded+Best+IVF+and+Surrogacy+Hospital+In+India%7C+Best+IVF+Centre+India/data=!4m5!3m4!1s0x395e4f2da6ff2101:0xb715ed3901342b57!8m2!3d22.5828266!4d72.9425773?authuser=0&hl=en&rclk=1,22.5828266,72.9425773,Gujarat,West 2
Clinic,Medical clinic,"GJ SH 5, Khandivav, Gujarat 389390, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x39606fe7619362d3:0x56a60fa3c00ef1ef!8m2!3d22.2956532!4d73.7247902?authuser=0&hl=en&rclk=1,22.2956532,73.7247902,Gujarat,West 2
Sunflower Hospital,Hospital,"132 Feet Ring Rd, near Manav Mandir, Memnagar, Ahmedabad, Gujarat 380052, India",https://www.google.co.kr/maps/place/Sunflower+Hospital/data=!4m5!3m4!1s0x395e84bce6598cbf:0x5c40d9222a5f38f4!8m2!3d23.0459091!4d72.5413197?authuser=0&hl=en&rclk=1,23.0459091,72.5413197,Gujarat,West 2
SOHAM CLINIC,Medical clinic,"AAVKAR HERITATE, SATELITE CHAWK, OPP SATELITE SCHOOL, MORBI ROAD, Rajkot, Gujarat 360003, India",https://www.google.co.kr/maps/place/SOHAM+CLINIC/data=!4m5!3m4!1s0x3959b6031ff57481:0xe6266704b43f250d!8m2!3d22.330341!4d70.81986?authuser=0&hl=en&rclk=1,22.330341,70.81986,Gujarat,West 2
Clinic,Medical clinic,"Nr. Vivekanand hall Chudasamaplot mainroad, Rajkot, Gujarat 360005, India",https://www.google.co.kr/maps/place/Clinic/data=!4m5!3m4!1s0x3959c98a8873a345:0x727c875604492825!8m2!3d22.2905409!4d70.7934208?authuser=0&hl=en&rclk=1,22.2905409,70.7934208,Gujarat,West 2
Dr Vanzara Clinic,Hospital,"GJ SH 113, Vagadiya, Gujarat 363510, India",https://www.google.co.kr/maps/place/Dr+Vanzara+Clinic/data=!4m5!3m4!1s0x39590c9f771b9f77:0x3f8e12ece4c8e2ff!8m2!3d22.613395!4d71.2906349?authuser=0&hl=en&rclk=1,22.613395,71.2906349,Gujarat,West 2
Pain clinic in ahmedabad | Gujarat | India,Doctor,"Sarkhej - Gandhinagar Hwy, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/Pain+clinic+in+ahmedabad+%7C+Gujarat+%7C+India/data=!4m5!3m4!1s0x395e9b275591ec0d:0xf9289eed055d6322!8m2!3d23.0087273!4d72.502985?authuser=0&hl=en&rclk=1,23.0087273,72.502985,Gujarat,West 2
Apollo Clinic Vadodara,Medical clinic,"1, opposite SBI Bank, Cosmic Enclave Society, Raghuvir Nagar, Anandvan Society, New Sama, Vadodara, Gujarat 390008, India",https://www.google.co.kr/maps/place/Apollo+Clinic+Vadodara/data=!4m5!3m4!1s0x395fcf25625b4f9f:0x922c30bfea47ef2f!8m2!3d22.3367479!4d73.1941173?authuser=0&hl=en&rclk=1,22.3367479,73.1941173,Gujarat,West 2
"Welcare Hospital - Joint, Knee, Hip Replacement, Spine & Orthopaedic Surgery in India",Specialized hospital,"Vadsar Rd, Near Mercedes showroom, Atladara, Vadodara, Gujarat 390012, India","https://www.google.co.kr/maps/place/Welcare+Hospital+-+Joint,+Knee,+Hip+Replacement,+Spine+%26+Orthopaedic+Surgery+in+India/data=!4m5!3m4!1s0x395fc8a4b177b5f1:0xf84cb0632449ae46!8m2!3d22.2755595!4d73.1614369?authuser=0&hl=en&rclk=1",22.2755595,73.1614369,Gujarat,West 2
KOKILABEN AMBANI HOSPITAL OPD,Medical clinic,"Mangla Main Rd, Manhar Plot, Bhakti Nagar, Rajkot, Gujarat 360002, India",https://www.google.co.kr/maps/place/KOKILABEN+AMBANI+HOSPITAL+OPD/data=!4m5!3m4!1s0x3959ca104ebfdd6b:0x5ba68680fe9d768!8m2!3d22.2887613!4d70.7981512?authuser=0&hl=en&rclk=1,22.2887613,70.7981512,Gujarat,West 2
Healthcare Gujarat,Medical clinic,"614/33, Vikram Mills Chali, Saraspur Gate, Rakhial Rd, Saraspur, Ahmedabad, Gujarat, India",https://www.google.co.kr/maps/place/Healthcare+Gujarat/data=!4m5!3m4!1s0x395e867df78aacbf:0x5be22b6f38f4de16!8m2!3d23.0220141!4d72.6217713?authuser=0&hl=en&rclk=1,23.0220141,72.6217713,Gujarat,West 2
Nidhi Multispeciality Hospital,Hospital,"Shree Kunj Building Stadium Commerce College Road, Commerce Six Rd, Nr Azad Sweets, Navrangpura, Ahmedabad, Gujarat 380009, India",https://www.google.co.kr/maps/place/Nidhi+Multispeciality+Hospital/data=!4m5!3m4!1s0x395e848c996426c3:0x915350ab1da7fe78!8m2!3d23.0400995!4d72.5614033?authuser=0&hl=en&rclk=1,23.0400995,72.5614033,Gujarat,West 2
Swasthya Diabetes Care,Hospital,"Opp. Jaymangal BRTS Bus Stop, 132 Feet Ring Road, Naranpura, Ahmedabad, Gujarat 380013, India",https://www.google.co.kr/maps/place/Swasthya+Diabetes+Care/data=!4m5!3m4!1s0x395e849e797e53e7:0x3dc129384c4becfe!8m2!3d23.0577603!4d72.5497069?authuser=0&hl=en&rclk=1,23.0577603,72.5497069,Gujarat,West 2
