Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Prozone Gym & Fitness Point,Fitness center,"New India Colony, Nikol, Ahmedabad, Gujarat 382345, India",https://www.google.co.kr/maps/place/Prozone+Gym+%26+Fitness+Point/data=!4m5!3m4!1s0x395e872576bdc9bf:0x9ae032cadabb4f3c!8m2!3d23.0612589!4d72.6715763?authuser=0&hl=en&rclk=1,23.0612589,72.6715763,Gujarat,West 2
Sky Fitness GYM & Personal Training Center,Gym,"Krishna Apartment, Near, Aradhana School Rd, below State Bank Of India Branch & ATM, Sector 28, Gandhinagar, Gujarat 382028, India",https://www.google.co.kr/maps/place/Sky+Fitness+GYM+%26+Personal+Training+Center/data=!4m5!3m4!1s0x395c2b9ab331abf1:0x4366486b9139d684!8m2!3d23.2443854!4d72.65148?authuser=0&hl=en&rclk=1,23.2443854,72.65148,Gujarat,West 2
Panchani Fitness,Gym,"4th Floor, Plam Arcade, Shukan Cross Road, Nikol - Naroda Rd, Ahmedabad, Gujarat 382350, India",https://www.google.co.kr/maps/place/Panchani+Fitness/data=!4m5!3m4!1s0x395e8720243b1f63:0xd02892a6b2cdd2a7!8m2!3d23.050384!4d72.6645374?authuser=0&hl=en&rclk=1,23.050384,72.6645374,Gujarat,West 2
FITNESS ARCHITECT INDIA.FRANCHISE,Gym,"1st floor, Heritage Square Panchayat, Gulbai Tekra Rd, Ahmedabad, Gujarat 380009, India",https://www.google.co.kr/maps/place/FITNESS+ARCHITECT+INDIA.FRANCHISE/data=!4m5!3m4!1s0x395e85f8b4b3459b:0xb776b4c5c723fb93!8m2!3d23.0265907!4d72.5526936?authuser=0&hl=en&rclk=1,23.0265907,72.5526936,Gujarat,West 2
Brave Lion's Den MMA Fitness Gym,Fitness center,"Plot No-863,2nd Floor, Vishvkarma Shopping Center, Sector 21, Gandhinagar, Gujarat 382021, India",https://www.google.co.kr/maps/place/Brave+Lion's+Den+MMA+Fitness+Gym/data=!4m5!3m4!1s0x395c2b0b5a04ff0f:0x5c7d8e23a4b39093!8m2!3d23.233935!4d72.6678532?authuser=0&hl=en&rclk=1,23.233935,72.6678532,Gujarat,West 2
V4 FITNESS,Gym,"301, 401 UJJAM ENCLAVE, Zadeshwar Rd, opp. CHAMUNDA MATA TEMPLE, Bharuch, Gujarat 392011, India",https://www.google.co.kr/maps/place/V4+FITNESS/data=!4m5!3m4!1s0x3be0218821865133:0x32771b5340a76b8b!8m2!3d21.7168711!4d73.0274207?authuser=0&hl=en&rclk=1,21.7168711,73.0274207,Gujarat,West 2
Fit India Gym,Fitness center,"J 445-446, Siddharth Elegance Besides Roses Nursery, Guru Gobindsinhji Marg, Nizampura, Vadodara, Gujarat 390024, India",https://www.google.co.kr/maps/place/Fit+India+Gym/data=!4m5!3m4!1s0x395fc9c99b38d87b:0xe3c41aad2738bbcc!8m2!3d22.3383638!4d73.1741644?authuser=0&hl=en&rclk=1,22.3383638,73.1741644,Gujarat,West 2
Kiran's Fitness Studio,Fitness center,"B/211,Shantiniketan Business Centre, near Gangotri Circle, Nikol, Ahmedabad, Gujarat 382350, India",https://www.google.co.kr/maps/place/Kiran's+Fitness+Studio/data=!4m5!3m4!1s0x395e8693a6fdf5d5:0x6d4d73205fda1999!8m2!3d23.0454536!4d72.6696263?authuser=0&hl=en&rclk=1,23.0454536,72.6696263,Gujarat,West 2
Fitness Factory,Gym,"Nadiad-Khambhat Highway Rd, Police Quarters, Nagarkuva, Petlad, Gujarat 388450, India",https://www.google.co.kr/maps/place/Fitness+Factory/data=!4m5!3m4!1s0x395e537c161ea6eb:0x317534fb1af392e5!8m2!3d22.4827285!4d72.8087307?authuser=0&hl=en&rclk=1,22.4827285,72.8087307,Gujarat,West 2
Fitness Zone Gym,Gym,"4th Floor,jaymadi shanti smruti complex,Nr.India colony,opp.Litle wing school, Bopal - Ghuma Rd, Bopal, Ahmedabad, Gujarat 380058, India",https://www.google.co.kr/maps/place/Fitness+Zone+Gym/data=!4m5!3m4!1s0x395e9b81536096fd:0xcd96154d6a382172!8m2!3d23.033542!4d72.466158?authuser=0&hl=en&rclk=1,23.033542,72.466158,Gujarat,West 2
Life fitness,Gym,"Paldi Gaam, Paldi, Ahmedabad, Gujarat 380007, India",https://www.google.co.kr/maps/place/Life+fitness/data=!4m5!3m4!1s0x395e850c240824e9:0x7039d111fe03abad!8m2!3d23.011157!4d72.5630675?authuser=0&hl=en&rclk=1,23.011157,72.5630675,Gujarat,West 2
RAJPUTANA GYM & FITNESS ACADEMY,Fitness center,"VALLABH VIDHYA NAGAR, SILVER OAK COMPLEX, Nana Bazaar, Vallabh Vidyanagar, Gujarat 388120, India",https://www.google.co.kr/maps/place/RAJPUTANA+GYM+%26+FITNESS+ACADEMY/data=!4m5!3m4!1s0x395e4e72fdea7681:0xcd434dae0c011c95!8m2!3d22.5571288!4d72.9250348?authuser=0&hl=en&rclk=1,22.5571288,72.9250348,Gujarat,West 2
FITGENE,Fitness center,"309, 3rd floor, Ashirwad Paras Complex, Bh. Sales India Showroom, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/FITGENE/data=!4m5!3m4!1s0x395e9b27bfa94863:0x7a7dc5be614eb9e!8m2!3d23.0107344!4d72.5070154?authuser=0&hl=en&rclk=1,23.0107344,72.5070154,Gujarat,West 2
FITNESS POINT GYM,Gym,"Town Hall Rd, Ketivadi, Vallabh Vidyanagar, Anand, Gujarat 388120, India",https://www.google.co.kr/maps/place/FITNESS+POINT+GYM/data=!4m5!3m4!1s0x395e4fb865f38df1:0x2d3684e987388d0f!8m2!3d22.5499429!4d72.9309218?authuser=0&hl=en&rclk=1,22.5499429,72.9309218,Gujarat,West 2
Kratus Fitness,Gym,"Gujarat State Highway 123, sardar chawk,Amarnagar Road, Jetpur, Gujarat 360370, India",https://www.google.co.kr/maps/place/Kratus+Fitness/data=!4m5!3m4!1s0x395819e4f4f894eb:0x6fcf25f2377eebb2!8m2!3d21.74536!4d70.614014?authuser=0&hl=en&rclk=1,21.74536,70.614014,Gujarat,West 2
SK Fitness Studio,Fitness center,"3rd Floor Chhatrala City Center, Kadodara, Gujarat 394327, India",https://www.google.co.kr/maps/place/SK+Fitness+Studio/data=!4m5!3m4!1s0x3be045b06ecf3339:0x5346732e1a1d2a30!8m2!3d21.1787567!4d72.9624596?authuser=0&hl=en&rclk=1,21.1787567,72.9624596,Gujarat,West 2
THE ROYAL FITNESS GYM Best gym for ahmedabad,Fitness center,"Atul Indian motors 3rd floor.,sakti engg BRTS WORKSHOP, Narol Rd, Ahmedabad, Gujarat 380028, India",https://www.google.co.kr/maps/place/THE+ROYAL+FITNESS+GYM+Best+gym+for+ahmedabad/data=!4m5!3m4!1s0x395e850a137bd2f1:0x326eaf46922f2ca6!8m2!3d22.9822722!4d72.5853576?authuser=0&hl=en&rclk=1,22.9822722,72.5853576,Gujarat,West 2
Akshar Fitness,Gymnasium Cz,"3 rd floor nana bazar, road, Vallabh Vidyanagar, Gujarat 388120, India",https://www.google.co.kr/maps/place/Akshar+Fitness/data=!4m5!3m4!1s0x395e4ff58ab4c7f5:0xc04d0555e432177!8m2!3d22.5533871!4d72.9288809?authuser=0&hl=en&rclk=1,22.5533871,72.9288809,Gujarat,West 2
Lion Fitness Gym,Gym,"Mahalaxmi Street Number 2, Salabatpura, Surat, Gujarat 395003, India",https://www.google.co.kr/maps/place/Lion+Fitness+Gym/data=!4m5!3m4!1s0x3be04f1f6cb245e3:0xc6da5e4d856ef668!8m2!3d21.1890574!4d72.8324294?authuser=0&hl=en&rclk=1,21.1890574,72.8324294,Gujarat,West 2
Ekdant Fitness Centre,Fitness center,"Gangotri Complex, 4th floor Garden Road, opp. Bus Stand, Godhra, Gujarat 389001, India",https://www.google.co.kr/maps/place/Ekdant+Fitness+Centre/data=!4m5!3m4!1s0x39609a460b0b9947:0xbc200cb33d52bbc4!8m2!3d22.7788349!4d73.6196095?authuser=0&hl=en&rclk=1,22.7788349,73.6196095,Gujarat,West 2
O2 Fitness Gym,Gym,"Ganesh Colony, Anand, Gujarat 388001, India",https://www.google.co.kr/maps/place/O2+Fitness+Gym/data=!4m5!3m4!1s0x395e4e81496eb8f5:0x7372803755eed6b8!8m2!3d22.5564956!4d72.9507357?authuser=0&hl=en&rclk=1,22.5564956,72.9507357,Gujarat,West 2
Fit India Gym Surat Branch,Gym,"Near, 406-408, 4th Floor, Platinum Plaza, Kathiyavadi, Un, Gujarat 394210, India",https://www.google.co.kr/maps/place/Fit+India+Gym+Surat+Branch/data=!4m5!3m4!1s0x3be0513b94476357:0x749d1f7fb2a6551b!8m2!3d21.1113547!4d72.8658006?authuser=0&hl=en&rclk=1,21.1113547,72.8658006,Gujarat,West 2
JOLVA FIRST FITNESS,Fitness center,"JOLVA GATE NO 1, Jolva, Gujarat 392130, India",https://www.google.co.kr/maps/place/JOLVA+FIRST+FITNESS/data=!4m5!3m4!1s0x395f7e4975eafa45:0x973c376a49d481e2!8m2!3d21.714738!4d72.655317?authuser=0&hl=en&rclk=1,21.714738,72.655317,Gujarat,West 2
Life Fitness,Gym,"Junagadh Rd, Shikshak Colony, Rayon Factory Area, Veraval, Gujarat 362265, India",https://www.google.co.kr/maps/place/Life+Fitness/data=!4m5!3m4!1s0x3bfd3235c69a20f9:0x6eb18b7a6c71d3a8!8m2!3d20.9192695!4d70.3578991?authuser=0&hl=en&rclk=1,20.9192695,70.3578991,Gujarat,West 2
Plus Fitness 24/7 Memnagar,Gym,"Level 1, Yash Aryan Building, 15, Memnagar Rd, Memnagar, Ahmedabad, Gujarat 380052, India",https://www.google.co.kr/maps/place/Plus+Fitness+24%2F7+Memnagar/data=!4m5!3m4!1s0x395e84a6ec1df4ed:0xc036e08798da709b!8m2!3d23.0521461!4d72.538237?authuser=0&hl=en&rclk=1,23.0521461,72.538237,Gujarat,West 2
FITNESS 2000 UDHNA DARWAJA,Gym,"HIRA BUILDING, NEAR UDHANA DARWAJA POLICE CHOWKI UDHANA DARWAJA, Ring Rd, Surat, Gujarat 395002, India",https://www.google.co.kr/maps/place/FITNESS+2000+UDHNA+DARWAJA/data=!4m5!3m4!1s0x3be04fb525c8d219:0x48f6a22f0ce1a06c!8m2!3d21.1837424!4d72.83024?authuser=0&hl=en&rclk=1,21.1837424,72.83024,Gujarat,West 2
LIFE FITNESS PRO,Gym,"Ghevar Complex, Shree Sindhivinayak Complex, Opp, Rahasya Society, Arihant Nagar, Shahibag, Ahmedabad, Gujarat 380003, India",https://www.google.co.kr/maps/place/LIFE+FITNESS+PRO/data=!4m5!3m4!1s0x395e85edadbc8bed:0xc96b5e7a1ff0540!8m2!3d23.0567164!4d72.5992364?authuser=0&hl=en&rclk=1,23.0567164,72.5992364,Gujarat,West 2
Yuj Complete Fitness Studio,Gym,"339X+CGQ, Ward 5, Adipur, Gandhidham, Gujarat 370205, India",https://www.google.co.kr/maps/place/Yuj+Complete+Fitness+Studio/data=!4m5!3m4!1s0x3950b9b2dad76415:0xffc43addf19c8b99!8m2!3d23.0685775!4d70.0988637?authuser=0&hl=en&rclk=1,23.0685775,70.0988637,Gujarat,West 2
Fitness Quest GYM ( Jarod),Gymnastics center,"Halol - Vadodara Rd, Jarod, Gujarat 391510, India",https://www.google.co.kr/maps/place/Fitness+Quest+GYM+(+Jarod)/data=!4m5!3m4!1s0x395fd3b3f841626d:0x451cbbd55d62fa03!8m2!3d22.4358489!4d73.3289817?authuser=0&hl=en&rclk=1,22.4358489,73.3289817,Gujarat,West 2
Life Fitness Gym - Paldi,Gym,"101, Scarlet business hub, opp. Aankur high school, near Paldi, Bhatta, Paldi, Ahmedabad, Gujarat 380007, India",https://www.google.co.kr/maps/place/Life+Fitness+Gym+-+Paldi/data=!4m5!3m4!1s0x395e850440022b0d:0x1d659d0b7d7649c!8m2!3d23.0080478!4d72.5603754?authuser=0&hl=en&rclk=1,23.0080478,72.5603754,Gujarat,West 2
national gym,Gymnasium Cz,"Jay Prakash Narayan Marg, Vesu, Surat, Gujarat 395007, India",https://www.google.co.kr/maps/place/national+gym/data=!4m5!3m4!1s0x3be0520af7e8b147:0xb1b200346f860665!8m2!3d21.1427998!4d72.7873484?authuser=0&hl=en&rclk=1,21.1427998,72.7873484,Gujarat,West 2
NEW LIFE FITNESS GYM,Gym,"H.P ges Godaun, T2-T3 veon plaza palan pur jakat naka opp shanidev mandir Adajan surat Palanpur Road, Ugat Rd, Surat, Gujarat 395009, India",https://www.google.co.kr/maps/place/NEW+LIFE+FITNESS+GYM/data=!4m5!3m4!1s0x3be04d8d7f35c103:0x362c1d7a4d0bc270!8m2!3d21.210839!4d72.7820555?authuser=0&hl=en&rclk=1,21.210839,72.7820555,Gujarat,West 2
Vraj Fitness Gym,Gym,"Pethapur Village Rd, Pethapur, Gandhinagar, Gujarat 382041, India",https://www.google.co.kr/maps/place/Vraj+Fitness+Gym/data=!4m5!3m4!1s0x395c2c8667358ee9:0xd81adb5e38596f24!8m2!3d23.2667064!4d72.6671302?authuser=0&hl=en&rclk=1,23.2667064,72.6671302,Gujarat,West 2
Evolution Fitness Studio,Gym,"4, Anjar - Adipur - Gandhidham Rd, Chitrakut Society 2, Vir Bhaghat Singh Nagar, Anjar, Gujarat 370110, India",https://www.google.co.kr/maps/place/Evolution+Fitness+Studio/data=!4m5!3m4!1s0x3950c7439895b2cf:0x3922f1802e6dfa59!8m2!3d23.1009391!4d70.0349507?authuser=0&hl=en&rclk=1,23.1009391,70.0349507,Gujarat,West 2
