Company_Name,Category,Address,Url,Latitude,Longitude,State
"Shalby Hospitals, Naroda",Hospital,"Haridarshan Cross Road, Kathwada Rd, Naroda, Ahmedabad, Gujarat 382325, India","https://www.google.co.kr/maps/place/Shalby+Hospitals,+Naroda/data=!4m5!3m4!1s0x395e872df1e4a8e7:0xb71a301f46668b34!8m2!3d23.0693387!4d72.6735728?authuser=0&hl=en&rclk=1",23.0693387,72.6735728,Gujarat
Shalby Multi-Specialty Hospitals,General hospital,"Sarkhej - Gandhinagar Hwy, opposite of Karnavati Club, Ramdev Nagar, Ahmedabad, Gujarat 380015, India",https://www.google.co.kr/maps/place/Shalby+Multi-Specialty+Hospitals/data=!4m5!3m4!1s0x395e9b25101211f5:0x2f374a23db429344!8m2!3d23.019021!4d72.506649?authuser=0&hl=en&rclk=1,23.019021,72.506649,Gujarat
Spandan Multispeciality Hospital,Hospital,"Municipal Corporation, Sindhwai Mata Road Beside Ward Office No: 4, Manjalpur, Vadodara, Gujarat 390011, India",https://www.google.co.kr/maps/place/Spandan+Multispeciality+Hospital/data=!4m5!3m4!1s0x395fc8af92669c35:0x24bd71539c783c1b!8m2!3d22.2773279!4d73.2031338?authuser=0&hl=en&rclk=1,22.2773279,73.2031338,Gujarat
Vijay Shalby Hospital,Hospital,"Fire Station, 6, Rupam Society, 120 Feet Ring Rd, Vijay Cross Rd Near Memnagar, Navrangpura, Ahmedabad, Gujarat 380009, India",https://www.google.co.kr/maps/place/Vijay+Shalby+Hospital/data=!4m5!3m4!1s0x395e84f53fffffff:0x6f2a3fb1ba37f9d1!8m2!3d23.0447606!4d72.5503205?authuser=0&hl=en&rclk=1,23.044760600000004,72.5503205,Gujarat
Zydus Hospitals,Hospital,"Zydus Hospitals Road, Nr. Sola Bridge, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380054, India",https://www.google.co.kr/maps/place/Zydus+Hospitals/data=!4m5!3m4!1s0x395e9b5e464673c1:0x4aa886904308b889!8m2!3d23.0585079!4d72.517465?authuser=0&hl=en&rclk=1,23.0585079,72.517465,Gujarat
"Civil Hospital Campus, Ahmedabad",General hospital,"D Block Asarwa, Haripura, Office of the Medical Superintendent Civil Hospital, Asarwa, Ahmedabad, Gujarat 380016, India","https://www.google.co.kr/maps/place/Civil+Hospital+Campus,+Ahmedabad/data=!4m5!3m4!1s0x395e841a8fb6688b:0x74c28945e5a91979!8m2!3d23.0515024!4d72.6052235?authuser=0&hl=en&rclk=1",23.051502399999997,72.6052235,Gujarat
"Shalby Hospital, Surat",Hospital,"Nr. Navyug College, Rander Rd, Adajan, Surat, Gujarat 395009, India","https://www.google.co.kr/maps/place/Shalby+Hospital,+Surat/data=!4m5!3m4!1s0x3be04c2bd38b220d:0xfd16cdc3f794f73b!8m2!3d21.2023112!4d72.8009972?authuser=0&hl=en&rclk=1",21.2023112,72.80099720000001,Gujarat
Sterling Hospital,Private hospital,"Sterling Hospital Road near Maharaja Agrasen Vidhyalaya, Memnagar, Ahmedabad, Gujarat 380052, India",https://www.google.co.kr/maps/place/Sterling+Hospital/data=!4m5!3m4!1s0x395e84afbc804959:0x1bd6f237ba587f77!8m2!3d23.048672!4d72.5311702?authuser=0&hl=en&rclk=1,23.048672,72.5311702,Gujarat
CIMS Hospital,Hospital,"Science City Rd, Science City, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060, India",https://www.google.co.kr/maps/place/CIMS+Hospital/data=!4m5!3m4!1s0x395e9cb250f37723:0x27de8effab4879ed!8m2!3d23.0701125!4d72.5174376?authuser=0&hl=en&rclk=1,23.0701125,72.5174376,Gujarat
Yashfeen Group Of Hospital,Private hospital,"Opp. Morarji Desai Market, At & Post Viraval, Navsari, Gujarat 396445, India",https://www.google.co.kr/maps/place/Yashfeen+Group+Of+Hospital/data=!4m5!3m4!1s0x3be0f7c6a3410899:0x9646c92bc93308cc!8m2!3d20.9614828!4d72.9294947?authuser=0&hl=en&rclk=1,20.961482800000002,72.9294947,Gujarat
