Company_Name,Category,Address,Url,latitude,longtitude
Clinic In jammu,Dental clinic,"Road, Kacchi Chawni, Ambphalla, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Clinic+In+jammu/data=!4m5!3m4!1s0x391e9cc143045675:0x7125c49f075e58cb!8m2!3d32.7401015!4d74.8658051?authuser=0&hl=en&rclk=1,32.7401015,74.8658051
Family Clinic,Medical clinic,"33 Green Avenue 1/A extension Trikuta Nagar, Jammu, Jammu and Kashmir 180020",https://www.google.co.kr/maps/place/Family+Clinic/data=!4m5!3m4!1s0x391e9ca58a20f3e5:0x9022bb494ac9d5d6!8m2!3d32.682447!4d74.881772?authuser=0&hl=en&rclk=1,32.682447,74.881772
JK Physiotherapy & Rehabilitation Clinic,Physical therapy clinic,"135-A, Near Shiv Mandir, Opp. Govt. Quarters, Gandhi Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/JK+Physiotherapy+%26+Rehabilitation+Clinic/data=!4m5!3m4!1s0x391e84b74dbc22e5:0xdbe29f492d683fe6!8m2!3d32.7006626!4d74.8563738?authuser=0&hl=en&rclk=1,32.7006626,74.8563738
J.K. Dental Clinic,Dental clinic,"Opposite Bus Stop, Nai Basti, Jammu, Jammu and Kashmir",https://www.google.co.kr/maps/place/J.K.+Dental+Clinic/data=!4m5!3m4!1s0x391e84ca1cd8e11d:0xa83712a881579ef8!8m2!3d32.694998!4d74.84992?authuser=0&hl=en&rclk=1,32.694998,74.84992
Jammu Eye Clinic,Eye care center,"opp. Krishna Building, Pakki Dhaki, New Plots, Jammu, Jammu and Kashmir 180001",https://www.google.co.kr/maps/place/Jammu+Eye+Clinic/data=!4m5!3m4!1s0x391e846eb622cdd3:0x88966d69672be5a9!8m2!3d32.7384409!4d74.8653331?authuser=0&hl=en&rclk=1,32.7384409,74.8653331
Badrinath Hospital Jammu,Medical clinic,"Near Indian Oil Petrol Pump, Gangyal Sector -1, Gangayal, Jammu, 180010",https://www.google.co.kr/maps/place/Badrinath+Hospital+Jammu/data=!4m5!3m4!1s0x391e9b4bd1770cdb:0xf49cde2d746fac80!8m2!3d32.6704856!4d74.8628834?authuser=0&hl=en&rclk=1,32.6704856,74.8628834
Imperial polyclinic,Hospital,"Radiocolony, Rajbagh, Srinagar, Jammu and Kashmir 190008",https://www.google.co.kr/maps/place/Imperial+polyclinic/data=!4m5!3m4!1s0x38e18fbb2e4690ed:0x757ece87fb9dbee!8m2!3d34.0652043!4d74.8212759?authuser=0&hl=en&rclk=1,34.0652043,74.8212759
Maximum Clinics,Medical clinic,"Gole Market, 358/A Opp. Peer Baba Apsara Road, Gandhi Nagar, Jammu, Jammu and Kashmir 180004",https://www.google.co.kr/maps/place/Maximum+Clinics/data=!4m5!3m4!1s0x391e84b044abcd43:0xfc3648a9031bd5d8!8m2!3d32.7002309!4d74.860236?authuser=0&hl=en&rclk=1,32.7002309,74.860236
Humane Clinic Pvt. Ltd.,Alternative medicine practitioner,"2-3, Industrial Extension Area, Satwari, Jammu and Kashmir 180003",https://www.google.co.kr/maps/place/Humane+Clinic+Pvt.+Ltd./data=!4m5!3m4!1s0x391e84b5449ec0e1:0xfd2dcdb5450d2297!8m2!3d32.690882!4d74.851552?authuser=0&hl=en&rclk=1,32.690882,74.851552
International Health Clinic,Non-profit organization,"Barzulla Bridge, 38, New Airport Rd, Baghat, Srinagar, Jammu and Kashmir 190015",https://www.google.co.kr/maps/place/International+Health+Clinic/data=!4m5!3m4!1s0x38e191d9bab51dfd:0x2438ea813b4f9dab!8m2!3d34.0433648!4d74.8006893?authuser=0&hl=en&rclk=1,34.0433648,74.8006893
