Company_Name,Category,Address,Url,latitude,longtitude
Himachal Pradesh Village First Gym,Gym,"CJX6+CMP, Poshana, Himachal Pradesh 172001, India",https://www.google.co.kr/maps/place/Himachal+Pradesh+Village+First+Gym/data=!4m5!3m4!1s0x3905c1db92194835:0xab5547e047126ded!8m2!3d31.4485751!4d77.6116908?authuser=0&hl=en&rclk=1,31.4485751,77.6116908
Rudra's Gym | Best Unisex (ladies & Gents) Gym in kangra |,Fitness center,"Jaswal Complex, 4th Floor, opposite Rajput Sabha, Kangra, Himachal Pradesh 176001, India",https://www.google.co.kr/maps/place/Rudra's+Gym+%7C+Best+Unisex+(ladies+%26+Gents)+Gym+in+kangra+%7C/data=!4m5!3m4!1s0x391b4f80ff724b73:0xbe77b5e23e9b39e8!8m2!3d32.1044617!4d76.273651?authuser=0&hl=en&rclk=1,32.1044617,76.273651
Palampur Fitness Club,Fitness center,"1st Floor, Vrinda complex, VPO Ghuggar Palampur, above Sandeep sanjeev bros h/w stores, Palampur, Himachal Pradesh 176061, India",https://www.google.co.kr/maps/place/Palampur+Fitness+Club/data=!4m5!3m4!1s0x3904b3c32484a1d7:0x8ef7b982064d4ba1!8m2!3d32.1134979!4d76.5284071?authuser=0&hl=en&rclk=1,32.1134979,76.5284071
Shiva Fitness Gym,Gym,"NH103, Ghumarwin, Himachal Pradesh 174034, India",https://www.google.co.kr/maps/place/Shiva+Fitness+Gym/data=!4m5!3m4!1s0x39053b1b0902bd6f:0x4abbbdf3b6cd8012!8m2!3d31.4327172!4d76.7135161?authuser=0&hl=en&rclk=1,31.4327172,76.7135161
P2i Gym Fitness,Gym,"NIT, Anu, Hamirpur, Himachal Pradesh 177005, India",https://www.google.co.kr/maps/place/P2i+Gym+Fitness/data=!4m5!3m4!1s0x3904d4410e34ad17:0xfdb3bff6bb190a0f!8m2!3d31.7008861!4d76.5217751?authuser=0&hl=en&rclk=1,31.7008861,76.5217751
Katoch Gym & Spa,Gym,"plot 3/3, near Oriental Bank of Commerce, Palace Colony, Mandi, Himachal Pradesh 175001, India",https://www.google.co.kr/maps/place/Katoch+Gym+%26+Spa/data=!4m5!3m4!1s0x3904e36e89b89c17:0xa332933ded7e87de!8m2!3d31.7074065!4d76.9279701?authuser=0&hl=en&rclk=1,31.7074065,76.9279701
NORTH FITNESS GYM & SPA,Gym,"Baddi, Himachal Pradesh 173205, India",https://www.google.co.kr/maps/place/NORTH+FITNESS+GYM+%26+SPA/data=!4m5!3m4!1s0x390ff59e7936e359:0xac72ff7d868bbd18!8m2!3d30.943941!4d76.802562?authuser=0&hl=en&rclk=1,30.943941,76.802562
City Fitness Gym,Gym,"Gandhi Chowk Street, Chakarwarti, Ghumarwin, Himachal Pradesh 174021, India",https://www.google.co.kr/maps/place/City+Fitness+Gym/data=!4m5!3m4!1s0x39053b72c1dd7307:0x9babece1bb554847!8m2!3d31.4420077!4d76.7109326?authuser=0&hl=en&rclk=1,31.4420077,76.7109326
Gym in Shimla,Fitness center,"Gymnazio health club, Ajay brar Nanta Niwas, near Andhra bank, Sector 1, New Shimla, Shimla, Himachal Pradesh 171009, India",https://www.google.co.kr/maps/place/Gym+in+Shimla/data=!4m5!3m4!1s0x3905794070767e41:0x987c754746964c55!8m2!3d31.0845796!4d77.1699412?authuser=0&hl=en&rclk=1,31.0845796,77.1699412
Ignite (The Fitness Era),Gym,"Mohal Rd, Mohal, Himachal Pradesh 175126, India",https://www.google.co.kr/maps/place/Ignite+(The+Fitness+Era)/data=!4m5!3m4!1s0x3904f722a25618b3:0x5a06471342ab2ec8!8m2!3d31.914842!4d77.1271?authuser=0&hl=en&rclk=1,31.914842,77.1271
