Company_Name,Category,Address,Url,latitude,longtitude
Santokh Klinics,Hospital,"SCO 77, Sector 38C, Market, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Santokh+Klinics/data=!4m5!3m4!1s0x390fed004765f131:0x9b7116c65148d505!8m2!3d30.742974!4d76.7448525?authuser=0&hl=en&rclk=1,30.742974,76.7448525
Healing Hospital- Best Super Speciality Hospital in Chandigarh,Hospital,"SCO 16-17-18-19-20, Sub. City Center, Sector 34A, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Healing+Hospital-+Best+Super+Speciality+Hospital+in+Chandigarh/data=!4m5!3m4!1s0x390fedae06440b71:0x96f0b99e412a2f99!8m2!3d30.7245935!4d76.7688916?authuser=0&hl=en&rclk=1,30.7245935,76.7688916
Eden Critical Care Hospital,General hospital,"Industrial Area Phase 2, Industrial Area Phase I, Chandigarh, 160002, India",https://www.google.co.kr/maps/place/Eden+Critical+Care+Hospital/data=!4m5!3m4!1s0x390fed0560b331ab:0xbb6e23b29a167746!8m2!3d30.7091289!4d76.8026764?authuser=0&hl=en&rclk=1,30.7091289,76.8026764
Landmark Hospital,General hospital,"Site No I-II, opp. Terrace Garden, Sector 33C, Sector 33, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/Landmark+Hospital/data=!4m5!3m4!1s0x390fec518e2ffd49:0x74c6668fb5df82a1!8m2!3d30.7122958!4d76.7701929?authuser=0&hl=en&rclk=1,30.7122958,76.7701929
Mukat Hospital & Heart Institute,General hospital,"47, S.C.O, 49, Dakshin Marg, Sector 34A, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Mukat+Hospital+%26+Heart+Institute/data=!4m5!3m4!1s0x390fedb315555551:0x31a8410f96dd6b9!8m2!3d30.7229206!4d76.7705566?authuser=0&hl=en&rclk=1,30.7229206,76.7705566
"Santokh Hospital - Multi-speciality Hospital Orthopaedic, Gyne, Paediatrics, Dialysis, ICU, Surgery Chandigarh",General hospital,"# 846, Sector 38A, Sector 38, Chandigarh, 160014, India","https://www.google.co.kr/maps/place/Santokh+Hospital+-+Multi-speciality+Hospital+Orthopaedic,+Gyne,+Paediatrics,+Dialysis,+ICU,+Surgery+Chandigarh/data=!4m5!3m4!1s0x390fedee591d7d53:0xcbb4e5fc949ed282!8m2!3d30.7478786!4d76.7489313?authuser=0&hl=en&rclk=1",30.7478786,76.7489313
DHARAM HOSPITAL,Private hospital,"#2040 sector 15 c, Chandigarh 160015, India",https://www.google.co.kr/maps/place/DHARAM+HOSPITAL/data=!4m5!3m4!1s0x390fed9b3fffffff:0xe0e216643c1ac722!8m2!3d30.7492297!4d76.7740115?authuser=0&hl=en&rclk=1,30.7492297,76.7740115
"Max Super Specialty Hospital, Mohali",Hospital,"Chandigarh Rd, near Civil Hospital, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India","https://www.google.co.kr/maps/place/Max+Super+Specialty+Hospital,+Mohali/data=!4m5!3m4!1s0x390fee144e36fcd5:0xa254c2b1f858248a!8m2!3d30.74008!4d76.7142961?authuser=0&hl=en&rclk=1",30.74008,76.7142961
Indus Super Speciality Hospital,General hospital,"opp. Old DC Office, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar, Chandigarh 160055, India",https://www.google.co.kr/maps/place/Indus+Super+Speciality+Hospital/data=!4m5!3m4!1s0x390feda785d2ec5f:0x6301495b4669e0ed!8m2!3d30.7292742!4d76.7219871?authuser=0&hl=en&rclk=1,30.7292742,76.7219871
Government Hospital,General hospital,"Palika Bazar, 19D, Sector 19, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/Government+Hospital/data=!4m5!3m4!1s0x390fed1b15555555:0x243613cf8e302f7e!8m2!3d30.728176!4d76.7927981?authuser=0&hl=en&rclk=1,30.728176,76.7927981
"Dr Atul Malhotra - Orthopedic Doctor in Chandigarh, Punjab, India- Knee Replacement Surgeon In Punjab| Best Trauma Hospital In Chandigarh| Best Knee and Hip Hospital In Chandigarh",Hospital,"2125, Sarovar Path, Sector 21C, Sector 21, Chandigarh, 160022, India","https://www.google.co.kr/maps/place/Dr+Atul+Malhotra+-+Orthopedic+Doctor+in+Chandigarh,+Punjab,+India-+Knee+Replacement+Surgeon+In+Punjab%7C+Best+Trauma+Hospital+In+Chandigarh%7C+Best+Knee+and+Hip+Hospital+In+Chandigarh/data=!4m5!3m4!1s0x390fedabefdf9d6f:0xcc14f30f0bdbba7d!8m2!3d30.724101!4d76.774772?authuser=0&hl=en&rclk=1",30.724101,76.774772
"Chaitanya Hospital Best Gynecologist, Child Specialist, Delivery, NICU, PICU and Vaccination Centre in Chandigarh",Maternity hospital,"Hospital Site 1 And 2, 44C, Chandigarh, 160047, India","https://www.google.co.kr/maps/place/Chaitanya+Hospital+Best+Gynecologist,+Child+Specialist,+Delivery,+NICU,+PICU+and+Vaccination+Centre+in+Chandigarh/data=!4m5!3m4!1s0x390fec346aaaaaab:0x44ed6b196913f7fd!8m2!3d30.7106785!4d76.7542021?authuser=0&hl=en&rclk=1",30.7106785,76.7542021
Indus Hospital,General hospital,"SCF 98-100, Near Chawla Chowk, Phase 3B-2, Sector 60, Sahibzada Ajit Singh Nagar, Punjab 160059, India",https://www.google.co.kr/maps/place/Indus+Hospital/data=!4m5!3m4!1s0x390fee8605689d5d:0xd59b4b3b1af58a09!8m2!3d30.7089058!4d76.7225259?authuser=0&hl=en&rclk=1,30.7089058,76.7225259
Cloudnine Hospital - Chandigarh,Maternity hospital,"48, Phase-2, Industrial Area Phase I, Chandigarh, 160002, India",https://www.google.co.kr/maps/place/Cloudnine+Hospital+-+Chandigarh/data=!4m5!3m4!1s0x390fecf305a2d351:0x46dbd6e5ebd44ac4!8m2!3d30.700183!4d76.787673?authuser=0&hl=en&rclk=1,30.700183,76.787673
"Nehru Hospital, PGI",Government hospital,"PGIMER, Sector 12, Chandigarh, 160012, India","https://www.google.co.kr/maps/place/Nehru+Hospital,+PGI/data=!4m5!3m4!1s0x390f949dc0000001:0xa192aca15c2d8f4a!8m2!3d30.7609287!4d76.7759577?authuser=0&hl=en&rclk=1",30.7609287,76.7759577
Guru Nanak Multispeciality C Hospital,General hospital,"Dr.P.N.Chhuttani Memorial IMA Complex, 35B, Sector 35, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Guru+Nanak+Multispeciality+C+Hospital/data=!4m5!3m4!1s0x390fedb6cd005d07:0xc5c1b85beb0c5301!8m2!3d30.7255701!4d76.7623332?authuser=0&hl=en&rclk=1,30.7255701,76.7623332
Chd City Hospital,Hospital,"SCO 10, 11, Madhya Marg, Sector 8C, Sector 9, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Chd+City+Hospital/data=!4m5!3m4!1s0x390fed959ea1c2a9:0x9cfc8f9780f2ce27!8m2!3d30.7416715!4d76.7943035?authuser=0&hl=en&rclk=1,30.7416715,76.7943035
