Company_Name,Category,Address,Url,latitude,longtitude
Dr.T.L.Vasudevan's ENT Surgical Clinic,Hospital,"216, Bussy Street, AKA Lal Bahadur Sastry Street, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Dr.T.L.Vasudevan's+ENT+Surgical+Clinic/data=!4m5!3m4!1s0x3a536181a474a0bb:0xf1cab3e454ad3b4f!8m2!3d11.9300902!4d79.825839?authuser=0&hl=en&rclk=1,11.9300902,79.825839
Jipmer Hospital,Hospital,"Jipmer Campus Rd, Jipmer Campus, Puducherry, 605006, India",https://www.google.co.kr/maps/place/Jipmer+Hospital/data=!4m5!3m4!1s0x3a5361e45536c1c3:0xe02d3465683f42d0!8m2!3d11.9529719!4d79.7966828?authuser=0&hl=en&rclk=1,11.9529719,79.7966828
Be Well Hospital Puducherry,Private hospital,"15, East Coast Rd, Maduvu Pet, Green Gardens, Kottupalayam, Puducherry, 605008, India",https://www.google.co.kr/maps/place/Be+Well+Hospital+Puducherry/data=!4m5!3m4!1s0x3a5361691bec3449:0x1f5365f45605099e!8m2!3d11.9508098!4d79.8153199?authuser=0&hl=en&rclk=1,11.9508098,79.8153199
St. Joseph's Hospital Cluny,General hospital,"Romain Rolland St, White Town, Puducherry, 605001, India",https://www.google.co.kr/maps/place/St.+Joseph's+Hospital+Cluny/data=!4m5!3m4!1s0x3a53622bb751eb0f:0xebca77aa7d5194da!8m2!3d11.9304444!4d79.8341531?authuser=0&hl=en&rclk=1,11.9304444,79.8341531
AUM HOSPITALS,General hospital,"No. 1,2, 3,4, Solai Nagar Main Rd, Near Water Tank, Muthialpet, Puducherry, 605003, India",https://www.google.co.kr/maps/place/AUM+HOSPITALS/data=!4m5!3m4!1s0x3a5363ddbfb4008b:0x4e371e12684a9c58!8m2!3d11.9531717!4d79.8366684?authuser=0&hl=en&rclk=1,11.9531717,79.8366684
MVR Medical Centre,General hospital,"12 & 13 ECR Main Road Near Sivaji Statue Lawspet, Karuvadikuppam, Puducherry, 605008, India",https://www.google.co.kr/maps/place/MVR+Medical+Centre/data=!4m5!3m4!1s0x3a53615d8a642f0b:0xe7280cc731be1d91!8m2!3d11.9549946!4d79.8225409?authuser=0&hl=en&rclk=1,11.9549946,79.8225409
CERT India Hospital,Hospital,"WRCJ+X92, Vambakeerapalayam, Puducherry, 605004, India",https://www.google.co.kr/maps/place/CERT+India+Hospital/data=!4m5!3m4!1s0x3a5362280e0e55c3:0xedfd50fd0a613ac0!8m2!3d11.9223855!4d79.830892?authuser=0&hl=en&rclk=1,11.9223855,79.830892
JIPMER Women and Children's Hospital,Hospital,"Jipmer Campus Rd, Jipmer Campus, Puducherry, 605006, India",https://www.google.co.kr/maps/place/JIPMER+Women+and+Children's+Hospital/data=!4m5!3m4!1s0x3a536117dfca8c3f:0x171c4ba8dbc84356!8m2!3d11.952942!4d79.7994389?authuser=0&hl=en&rclk=1,11.952942,79.7994389
New Medical Centre - Multispeciality Hospital In Pondicherry,Hospital,"No:470, Mahatma Gandhi Rd, MG Road Area, Puducherry, 605001, India",https://www.google.co.kr/maps/place/New+Medical+Centre+-+Multispeciality+Hospital+In+Pondicherry/data=!4m5!3m4!1s0x3a5361805f1e8eff:0x57f05a1ee197aba2!8m2!3d11.930015!4d79.828274?authuser=0&hl=en&rclk=1,11.930015,79.828274
Clinic Nallam - MULTI SPECIALITY HOSPITAL IN PONDICHERRY,Hospital,"No.86, Eswaran Kovil Street, near MG Road, cutting, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Clinic+Nallam+-+MULTI+SPECIALITY+HOSPITAL+IN+PONDICHERRY/data=!4m5!3m4!1s0x3a5363d6182be3f7:0x4e78cd9a1ceedfc0!8m2!3d11.9395206!4d79.8304048?authuser=0&hl=en&rclk=1,11.9395206,79.8304048
Rani Hospital Pondicherry- A Multi Speciality Hospital,Hospital,"No: 27, Vazhudavoor Rd, near Rajiv Gandhi Statue, Pettaiyanchathiram, Aruthra Nagar, Puducherry, 605009, India",https://www.google.co.kr/maps/place/Rani+Hospital+Pondicherry-+A+Multi+Speciality+Hospital/data=!4m5!3m4!1s0x3a53619afd7ede61:0xbab9764020ecc5e6!8m2!3d11.9412493!4d79.8070789?authuser=0&hl=en&rclk=1,11.9412493,79.8070789
Pondicherry Dispensary Service,Hospital,"Anglo French Textiles, Anglo French Textiles, Cuddalore Road, opposite to INDIAN BANK, Puducherry, 605004, India",https://www.google.co.kr/maps/place/Pondicherry+Dispensary+Service/data=!4m5!3m4!1s0x3a536195339cdbe3:0x9ce2d17d1ea5812f!8m2!3d11.90955!4d79.80906?authuser=0&hl=en&rclk=1,11.90955,79.80906
Rajiv Gandhi Government Women And Children's Hospital,Maternity hospital,"Iyyanar Koil St, Aruthra Nagar, Puducherry, 605005, India",https://www.google.co.kr/maps/place/Rajiv+Gandhi+Government+Women+And+Children's+Hospital/data=!4m5!3m4!1s0x3a53610cab7291f9:0xcd1f16ef29647a65!8m2!3d11.9375646!4d79.8069801?authuser=0&hl=en&rclk=1,11.9375646,79.8069801
Pondicherry City Hospital,Hospital,"WRQF+F5C, Pattinakkadai, Kamaraj Nagar, Puducherry, 605005, India",https://www.google.co.kr/maps/place/Pondicherry+City+Hospital/data=!4m5!3m4!1s0x3a53617be63b2441:0x3c6ed01ba2f13ece!8m2!3d11.9386864!4d79.8228896?authuser=0&hl=en&rclk=1,11.9386864,79.8228896
ESIC Hospital,Hospital,"Victory Research institute,Dhoordarsan, VCRC Rd, Gorimedu, Puducherry, 605006, India",https://www.google.co.kr/maps/place/ESIC+Hospital/data=!4m5!3m4!1s0x3a536118979b98a5:0x53bbaa85bc23af2e!8m2!3d11.9529269!4d79.792119?authuser=0&hl=en&rclk=1,11.9529269,79.792119
SRI SAI KRUPA HOSPITAL - Orthopedic Speciality Hospital in Pondicherry,Orthopedic surgeon,"No.31, Cuddalore Road, next to Daily Thandi Office, Ambedkar Nagar, Orleanpet, Puducherry, 605001, India",https://www.google.co.kr/maps/place/SRI+SAI+KRUPA+HOSPITAL+-+Orthopedic+Speciality+Hospital+in+Pondicherry/data=!4m5!3m4!1s0x3a5361833b8ec687:0x38dfeb532f65791!8m2!3d11.9283565!4d79.8197655?authuser=0&hl=en&rclk=1,11.9283565,79.8197655
East Coast Hospitals & Vaccination Centre,Hospital,"194, Bussy St, MG Road Area, Puducherry, 605001, India",https://www.google.co.kr/maps/place/East+Coast+Hospitals+%26+Vaccination+Centre/data=!4m5!3m4!1s0x3a536181abcfffa7:0x169fd0b0836549a6!8m2!3d11.9299266!4d79.8265964?authuser=0&hl=en&rclk=1,11.9299266,79.8265964
Pondicherry institute of medical sciences - laswpet centre,Hospital,"XR36+6HW, Rajaji Nagar, Avvai Nagar, Lawspet, Puducherry, 605008, India",https://www.google.co.kr/maps/place/Pondicherry+institute+of+medical+sciences+-+laswpet+centre/data=!4m5!3m4!1s0x3a53616a15555555:0x56873fa69760849c!8m2!3d11.9531034!4d79.811464?authuser=0&hl=en&rclk=1,11.9531034,79.811464
East Coast Hospitals,Hospital,"Thiruvalluvar Salai, Naveena Garden, Brindavan Colony, Puducherry, 605005, India",https://www.google.co.kr/maps/place/East+Coast+Hospitals/data=!4m5!3m4!1s0x3a53617747335ddb:0x77d6f87ff4cb4e89!8m2!3d11.9368215!4d79.8171546?authuser=0&hl=en&rclk=1,11.9368215,79.8171546
Government Hospital,Hospital,"Suffren St, White Town, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Government+Hospital/data=!4m5!3m4!1s0x3a53622ba5394007:0x8085b0460c546c61!8m2!3d11.9293101!4d79.8332798?authuser=0&hl=en&rclk=1,11.9293101,79.8332798
Sri Arunachalam Hospital,Hospital,"205, CHINNA SUBBRAYA, Yanam Vengadasalam Pillai St, opposite to KAMBAN KALAI ARANGAM, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Sri+Arunachalam+Hospital/data=!4m5!3m4!1s0x3a5361818e5c1eb5:0xfe6489ba1f7a1722!8m2!3d11.9304401!4d79.8248605?authuser=0&hl=en&rclk=1,11.9304401,79.8248605
Dr.T.L.Vasudevan's ENT Surgical Clinic,Hospital,"216, Bussy Street, AKA Lal Bahadur Sastry Street, Puducherry, 605001, India",https://www.google.co.kr/maps/place/Dr.T.L.Vasudevan's+ENT+Surgical+Clinic/data=!4m5!3m4!1s0x3a536181a474a0bb:0xf1cab3e454ad3b4f!8m2!3d11.9300902!4d79.825839?authuser=0&hl=en&rclk=1,11.9300902,79.825839
Madhavan hospital,Hospital,"No.5, First Floor ChinnaKosapalayam, Natesan Nagar E Rd, Nellithope, Puducherry, 605005, India",https://www.google.co.kr/maps/place/Madhavan+hospital/data=!4m5!3m4!1s0x3a53619e33602437:0x73972cb5326b04fd!8m2!3d11.9304582!4d79.8100826?authuser=0&hl=en&rclk=1,11.9304582,79.8100826
JIPMER Super Speciality Block,Hospital,"Jipmer Campus Rd, Dhanvantari Nagar, Puducherry, 605006, India",https://www.google.co.kr/maps/place/JIPMER+Super+Speciality+Block/data=!4m5!3m4!1s0x3a536117d6498ad9:0x35f2464d921c0db3!8m2!3d11.9535875!4d79.7983652?authuser=0&hl=en&rclk=1,11.9535875,79.7983652
