Company_Name,Category,Address,Url,latitude,longtitude
Dr. S. Bagchi's Memorial Clinic,Medical clinic,"2V22+783, Hojai, Assam 782435, India",https://www.google.co.kr/maps/place/Dr.+S.+Bagchi's+Memorial+Clinic/data=!4m5!3m4!1s0x37456b5a658be2eb:0xb78a2c1fe4bcb880!8m2!3d26.0006345!4d92.8507986?authuser=0&hl=en&rclk=1,26.0006345,92.8507986
Apollo Clinic - Best Diagnostic Center in Guwahati,Diagnostic center,"Meena Bhawani, Kanchan Rd, South Sarania, Ulubari, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Diagnostic+Center+in+Guwahati/data=!4m5!3m4!1s0x375a5979ce01fb41:0xe13107fb0d68e82b!8m2!3d26.1691242!4d91.7630102?authuser=0&hl=en&rclk=1,26.1691242,91.7630102
Apollo Clinic: Dispur,Medical clinic,"GS Rd, opp. Down Town Hospital, Dispur, Rukmini Gaon, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Apollo+Clinic:+Dispur/data=!4m5!3m4!1s0x375a59f4d4f8fa01:0xa0e9d1990396560e!8m2!3d26.1384344!4d91.7989519?authuser=0&hl=en&rclk=1,26.1384344,91.7989519
Assam Healthcare,Hospital,"Maya Ville, House, No. 97, Barthakur Mill Rd, Ulubari, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Assam+Healthcare/data=!4m5!3m4!1s0x375a59ac6425fc23:0xf1752346a56a5a!8m2!3d26.17185!4d91.7592834?authuser=0&hl=en&rclk=1,26.17185,91.7592834
Dr. Madhusudhan Deb Goswami's Clinic,Medical clinic,"Unnamed Road, E Amolapatty, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/Dr.+Madhusudhan+Deb+Goswami's+Clinic/data=!4m5!3m4!1s0x3745272d6b0a6d93:0x3b5f8c547a30095a!8m2!3d26.3605345!4d92.6923112?authuser=0&hl=en&rclk=1,26.3605345,92.6923112
Krsnaa Diagnostics (MANGALDAI CIVIL HOSPITAL),Diagnostic center,"NH 52, Ward No-2, Mangaldoi, Assam 784125, India",https://www.google.co.kr/maps/place/Krsnaa+Diagnostics+(MANGALDAI+CIVIL+HOSPITAL)/data=!4m5!3m4!1s0x375b1da527c467af:0x34ce14d3d55eaf9b!8m2!3d26.4375327!4d92.0364538?authuser=0&hl=en&rclk=1,26.4375327,92.0364538
Chikitsa Clinic,Diagnostic center,"2, Assam Trunk Rd, near V2, Adabari, Guwahati, Assam 781014, India",https://www.google.co.kr/maps/place/Chikitsa+Clinic/data=!4m5!3m4!1s0x375a5b30fbf912fb:0xff417882b181ae78!8m2!3d26.1580372!4d91.6836954?authuser=0&hl=en&rclk=1,26.1580372,91.6836954
Apollo Clinic - Best Diagnostic Center,Diagnostic center,"Siddha Point, Sati Joymati Rd, opposite Marwari Hospital, Athgaon, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/Apollo+Clinic+-+Best+Diagnostic+Center/data=!4m5!3m4!1s0x375a5bcca9212495:0x1b07387d8a44b7d4!8m2!3d26.1722238!4d91.7402751?authuser=0&hl=en&rclk=1,26.1722238,91.7402751
"PRARTHANA PHYSIOTHERAPY CLINIC, Babejia chariali Nagaon Assam",Physical therapy clinic,"Bebejia chariali, NH 37 Opposite United bank of India, babejia branch, near Prantu hardware, Assam 782142, India","https://www.google.co.kr/maps/place/PRARTHANA+PHYSIOTHERAPY+CLINIC,+Babejia+chariali+Nagaon+Assam/data=!4m5!3m4!1s0x3745255677661a61:0x647c2e2dbda1046f!8m2!3d26.3001553!4d92.6228352?authuser=0&hl=en&rclk=1",26.3001553,92.6228352
Physiotherapy and Rehabilitation Centre Nagaon,Physical therapy clinic,"Mercy Hospital, Haiborgaon, Nagaon, Assam 782002, India",https://www.google.co.kr/maps/place/Physiotherapy+and+Rehabilitation+Centre+Nagaon/data=!4m5!3m4!1s0x374526fdf53d273d:0x2ec6ad70fb8bce9c!8m2!3d26.34421!4d92.683072?authuser=0&hl=en&rclk=1,26.34421,92.683072
Medicity Guwahati,Medical clinic,"Hatigaon Main Road, Opposite, Shankar Path, Dispur, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Medicity+Guwahati/data=!4m5!3m4!1s0x375a593aa70fdcdf:0x6727ee5ea32621a9!8m2!3d26.1360554!4d91.7862237?authuser=0&hl=en&rclk=1,26.1360554,91.7862237
Dr.P.K Sarma,Medical clinic,"Itachali Post Office, R.K Road, Ramakrishna Rd, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/Dr.P.K+Sarma/data=!4m5!3m4!1s0x3745272ecb633283:0x287b3089ef7994ec!8m2!3d26.3530513!4d92.6919314?authuser=0&hl=en&rclk=1,26.3530513,92.6919314
Khaklari Clinic,Medical clinic,"P4X3+MJ3, Udalguri, Assam 784509, India",https://www.google.co.kr/maps/place/Khaklari+Clinic/data=!4m5!3m4!1s0x375b14e259bbaae9:0xcfc3025a715f13f0!8m2!3d26.7491304!4d92.1040602?authuser=0&hl=en&rclk=1,26.7491304,92.1040602
Children's Clinic,Medical clinic,"Beltola Bazaar Rd, Beltola Tiniali, Guwahati, Assam 781028, India",https://www.google.co.kr/maps/place/Children's+Clinic/data=!4m5!3m4!1s0x375a5f2d683b3909:0xa4fb9154bf098bfd!8m2!3d26.1232117!4d91.8018754?authuser=0&hl=en&rclk=1,26.1232117,91.8018754
Barthakur Clinic Pvt Ltd,Medical clinic,"Barthakur Clinic Rd, Kharghuli Hills, Guwahati, Assam 781004, India",https://www.google.co.kr/maps/place/Barthakur+Clinic+Pvt+Ltd/data=!4m5!3m4!1s0x375a59ecc48218f5:0xe1257b46295116fd!8m2!3d26.1965313!4d91.7672512?authuser=0&hl=en&rclk=1,26.1965313,91.7672512
"Apollo Clinic , Tinsukia",Medical clinic,"Nilima Apartment, Rangagora Rd, opposite hotel jyoti, Tinsukia, Assam 786125, India","https://www.google.co.kr/maps/place/Apollo+Clinic+,+Tinsukia/data=!4m5!3m4!1s0x373f6a54d7e9be0d:0xb0d9a62a2c6ee1f9!8m2!3d27.4932967!4d95.3493439?authuser=0&hl=en&rclk=1",27.4932967,95.3493439
Swapna Eye Clinic,Ophthalmology clinic,"BM Mahanta Rd, Amolapatty, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/Swapna+Eye+Clinic/data=!4m5!3m4!1s0x37452725bc1a13ab:0xa6a6ba1864958ac2!8m2!3d26.3548812!4d92.6869481?authuser=0&hl=en&rclk=1,26.3548812,92.6869481
Dr Kamal Jain Clinic,Diabetologist,"Choudhury Complex, AK Azad Rd, Rehabari, Guwahati, Assam 781008, India",https://www.google.co.kr/maps/place/Dr+Kamal+Jain+Clinic/data=!4m5!3m4!1s0x375a5bd3144f0e01:0xf9b9e343898dacab!8m2!3d26.1711234!4d91.7478311?authuser=0&hl=en&rclk=1,26.1711234,91.7478311
Apollo Clinic,Medical clinic,"Assam Trunk Rd, near Eidgah, Graham Bazar, Dibrugarh, Assam 786001, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3740983f8eced689:0x820a19c1db242db7!8m2!3d27.4888386!4d94.9174392?authuser=0&hl=en&rclk=1,27.4888386,94.9174392
City Hospital & Research Centre,Hospital,"GNB Rd, Tinsukia, Assam 786125, India",https://www.google.co.kr/maps/place/City+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x373f6a56205bc5fd:0x11d1a9c3edd71892!8m2!3d27.486558!4d95.35194?authuser=0&hl=en&rclk=1,27.486558,95.35194
