Company_Name,Category,Address,Url,latitude,longtitude
BABA FITNESS STUDIO & POWER YOGA,Fitness center,"Hospital Palem, Kalavagadda Colony, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/BABA+FITNESS+STUDIO+%26+POWER+YOGA/data=!4m5!3m4!1s0x3bb41cb1172f4bf1:0x850ca6955841d720!8m2!3d14.9091413!4d78.003444?authuser=0&hl=en&rclk=1,14.9091413,78.003444
Fitness hub,Gym,"Opp:canara bank, old hero showroom upstairs tadipatri upstairs maharaj hotel, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/Fitness+hub/data=!4m5!3m4!1s0x3bb41d9b8f13cccd:0xf922548089777053!8m2!3d14.9099057!4d77.9971573?authuser=0&hl=en&rclk=1,14.9099057,77.9971573
NEHRU PARK,Gym,"W276+977, Sunkulammapalem, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/NEHRU+PARK/data=!4m5!3m4!1s0x3bb41caf83908b45:0x525770a358871451!8m2!3d14.9134053!4d78.0106765?authuser=0&hl=en&rclk=1,14.9134053,78.0106765
Soyas Nutrition Center,Gym,"41, 1st floor, Municipal Complex,, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Soyas+Nutrition+Center/data=!4m5!3m4!1s0x3bb41cae1a5d8f17:0x517c405d5eedb692!8m2!3d14.908978!4d78.0087447?authuser=0&hl=en&rclk=1,14.908978,78.0087447
SRI KRUSHNA OSHO YOGASRAMAM,Gym,"V2R7+F83, Krishna Puram, Tadipatri, Andhra Pradesh 515411, India",https://www.google.co.kr/maps/place/SRI+KRUSHNA+OSHO+YOGASRAMAM/data=!4m5!3m4!1s0x3bb403a040d47299:0xa903a45074442eb!8m2!3d14.8911419!4d78.0133041?authuser=0&hl=en&rclk=1,14.8911419,78.0133041
Tadipatri - 4km,Gym,"Putluru Road, Andhra Pradesh 515414, India",https://www.google.co.kr/maps/place/Tadipatri+-+4km/data=!4m5!3m4!1s0x3bb403356e1f6d35:0xf02da6f247489336!8m2!3d14.878328!4d77.9968733?authuser=0&hl=en&rclk=1,14.878328,77.9968733
Ramula Swami,Gym,"WV7R+8Q6, Somana palli, Andhra Pradesh 515445, India",https://www.google.co.kr/maps/place/Ramula+Swami/data=!4m5!3m4!1s0x3bb6a7565dd8211d:0x762006329bf0d7bf!8m2!3d14.9132973!4d77.891897?authuser=0&hl=en&rclk=1,14.9132973,77.891897
Hazi jack Home,Gym,"M, kolimigundla, Chintalaya Palle, Andhra Pradesh 518123, India",https://www.google.co.kr/maps/place/Hazi+jack+Home/data=!4m5!3m4!1s0x3bb4190e5e7cd3c1:0x9f58a2c20ed32ba4!8m2!3d15.0195656!4d78.1067053?authuser=0&hl=en&rclk=1,15.0195656,78.1067053
Golden Gym,Gym,"Subhash Rd, Near Bank of India, Old Town, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Golden+Gym/data=!4m5!3m4!1s0x3bb14adfab163e5f:0x442e3be94f6a3011!8m2!3d14.6770351!4d77.6050159?authuser=0&hl=en&rclk=1,14.6770351,77.6050159
University Gym,Gym,"MJ24+F62, JNTU College Of Engineering, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/University+Gym/data=!4m5!3m4!1s0x3bb14a557b627345:0x260d2722a4c7a67f!8m2!3d14.6511421!4d77.6055051?authuser=0&hl=en&rclk=1,14.6511421,77.6055051
SWEATOUT HEALTH & FITNESS,Gym,"Anantapur,, Srinagar Colony, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/SWEATOUT+HEALTH+%26+FITNESS/data=!4m5!3m4!1s0x3bb14aed3cb2bfbd:0x2e85882e9107f245!8m2!3d14.6640801!4d77.585991?authuser=0&hl=en&rclk=1,14.6640801,77.585991
Stones Fitness Studio,Gym,"15/777 4th Floor, above Hangouts Cafe, Kamalanagar, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Stones+Fitness+Studio/data=!4m5!3m4!1s0x3bb14adbde096173:0xff73c9b29d82ccb3!8m2!3d14.6814476!4d77.6016883?authuser=0&hl=en&rclk=1,14.6814476,77.6016883
Stayfit Health & Fitness World Pvt Ltd,Gym,"10-322-1, R.R Complex, Subash Rd, Adimurthy Nagar, Gulzarpet, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Stayfit+Health+%26+Fitness+World+Pvt+Ltd/data=!4m5!3m4!1s0x3bb14bfd5186ddc5:0x67801720d2cb1aec!8m2!3d14.6797005!4d77.5980016?authuser=0&hl=en&rclk=1,14.6797005,77.5980016
PULSE FITNESS STUDIO,Gym,"opp. cement godown, Vidyuth Nagar, Housing Board Colony, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/PULSE+FITNESS+STUDIO/data=!4m5!3m4!1s0x3bb14b2d10d16bd3:0xcec507078bdc303c!8m2!3d14.6635883!4d77.5954271?authuser=0&hl=en&rclk=1,14.6635883,77.5954271
GOLDEN GYM,Gym,"Balaji Towers Bus Stop near Iron Bridge, Surya Nagar, Old Town, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/GOLDEN+GYM/data=!4m5!3m4!1s0x3bb14b1fddfe09bf:0x3c1a87c88d434ceb!8m2!3d14.677159!4d77.6048902?authuser=0&hl=en&rclk=1,14.677159,77.6048902
Smart Gym,Gym,"10, Subash Rd, Adimurthy Nagar, Gulzarpet, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Smart+Gym/data=!4m5!3m4!1s0x3bb14bcf480e067f:0x9234df82b9e6cefe!8m2!3d14.6811499!4d77.5954179?authuser=0&hl=en&rclk=1,14.6811499,77.5954179
Ramakrishna Vyayama mandali,Gym,"Nandyal Bus Stand Rd, Arundhi Nagar, Telugu Peta, Nandyala, Andhra Pradesh 518501, India",https://www.google.co.kr/maps/place/Ramakrishna+Vyayama+mandali/data=!4m5!3m4!1s0x3bb5ad57515264c7:0x16a72030b1fbe67d!8m2!3d15.4907548!4d78.4805001?authuser=0&hl=en&rclk=1,15.4907548,78.4805001
GYM & YOGA,Gym,"Bhyravanagar St, Adarsh Nagar, Anantapur, Andhra Pradesh 515002, India",https://www.google.co.kr/maps/place/GYM+%26+YOGA/data=!4m5!3m4!1s0x3bb14b371f0dba55:0xd2c05bbaac5fd3b3!8m2!3d14.6510225!4d77.6048057?authuser=0&hl=en&rclk=1,14.6510225,77.6048057
Arnold Gym For Ladies And Gents,Gym,"PHX4+433, Ward 20, Nadimpalli, Kadapa, Andhra Pradesh 516360, India",https://www.google.co.kr/maps/place/Arnold+Gym+For+Ladies+And+Gents/data=!4m5!3m4!1s0x3bb478a80c3e730b:0x8d640fc00bd76a1f!8m2!3d14.7477587!4d78.5551781?authuser=0&hl=en&rclk=1,14.7477587,78.5551781
Dynamic Gym,Gym,"Lalitanagar,, J V R Nagar, Nandyala, Andhra Pradesh 518502, India",https://www.google.co.kr/maps/place/Dynamic+Gym/data=!4m5!3m4!1s0x3bb452ba3cbfc0b9:0x9309eb34e9ba4dd2!8m2!3d15.466847!4d78.4915021?authuser=0&hl=en&rclk=1,15.466847,78.4915021
Pradeep Taekwondo Class Coching,Gym,"tank, 3rd Cross Rd, Aravinda Nagar, Maruthi Nagar, Anantapur, Andhra Pradesh 515001, India",https://www.google.co.kr/maps/place/Pradeep+Taekwondo+Class+Coching/data=!4m5!3m4!1s0x3bb14aefefc6c49f:0x50b2ff4c072a1f8e!8m2!3d14.6680483!4d77.5929981?authuser=0&hl=en&rclk=1,14.6680483,77.5929981
