Company_Name,Category,Address,Url,latitude,longtitude,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Makunda Christian Leprosy and General Hospital,General hospital,"Bazaricherra, Karimganj, Assam 788727, India",https://www.google.co.kr/maps/place/Makunda+Christian+Leprosy+and+General+Hospital/data=!4m5!3m4!1s0x3751e668f510e06b:0xf378e3fcdef6bcc3!8m2!3d24.4320197!4d92.3306894?authuser=0&hl=en&rclk=1,24.4320197,92.3306894,,,,,,,
Apollo Hospitals,Hospital,"Lotus Tower, International Hospitals, GS Rd, Christian Basti, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Apollo+Hospitals/data=!4m5!3m4!1s0x375a59d33f53f3bf:0xd15d18fec81f6c71!8m2!3d26.1540453!4d91.781269?authuser=0&hl=en&rclk=1,26.1540453,91.781269,,,,,,,
"Narayana Superspeciality Hospital, Guwahati",Hospital,"Civil Hospital Complex Greenland Restaurant Tularam Bafna, Amingaon, Guwahati, Assam 781031, India","https://www.google.co.kr/maps/place/Narayana+Superspeciality+Hospital,+Guwahati/data=!4m5!3m4!1s0x375a5ab28a679979:0xb0b8162cac1a1986!8m2!3d26.2077161!4d91.6776602?authuser=0&hl=en&rclk=1",26.2077161,91.6776602,,,,,,,
Wintrobe Hospital : Multispeciality Hospital /24 Hours Service Medical/Affordable Cost Hospital in Guwahati,General hospital,"GNB Rd, Ambari, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/Wintrobe+Hospital+:+Multispeciality+Hospital+%2F24+Hours+Service+Medical%2FAffordable+Cost+Hospital+in+Guwahati/data=!4m5!3m4!1s0x375a59886ee148c9:0xafb99e2cc640a8a2!8m2!3d26.185424!4d91.7560487?authuser=0&hl=en&rclk=1,26.185424,91.7560487,,,,,,,
UNITED HOSPITAL,General hospital,"Circuit House, Road, Raj Nagar, Nalbari, Assam 781335, India",https://www.google.co.kr/maps/place/UNITED+HOSPITAL/data=!4m5!3m4!1s0x375bcc90f7c384c9:0x5feed51f199bf987!8m2!3d26.4444749!4d91.432136?authuser=0&hl=en&rclk=1,26.4444749,91.432136,,,,,,,
Dispur Hospitals Private Limited,Private hospital,"Ganeshguri Flyover, GMC Ward Number 44, Swaraj Nagar, Ganeshguri, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Dispur+Hospitals+Private+Limited/data=!4m5!3m4!1s0x375a5918bbf15167:0x55cdfb20dff0d0bb!8m2!3d26.149691!4d91.7865839?authuser=0&hl=en&rclk=1,26.149691,91.7865839,,,,,,,
Agile Hospitals Private Limited,Private hospital,"Tripura Rd Beltola, Jayanagar Chariali, Khanapara, Guwahati, Assam 781022, India",https://www.google.co.kr/maps/place/Agile+Hospitals+Private+Limited/data=!4m5!3m4!1s0x375a5f330cf3f517:0xe3e1cdbed2ba600f!8m2!3d26.1222234!4d91.8059635?authuser=0&hl=en&rclk=1,26.1222234,91.8059635,,,,,,,
Hayat Hospital,Hospital,"Kahilipara Main Rd, Odalbakra, Kahilipara, Guwahati, Assam 781034, India",https://www.google.co.kr/maps/place/Hayat+Hospital/data=!4m5!3m4!1s0x375a5be51bf57fbf:0xfdf263c0492a4389!8m2!3d26.1390902!4d91.7462166?authuser=0&hl=en&rclk=1,26.1390902,91.7462166,,,,,,,
Apollo Hospitals and Clinic (GHY),Hospital,"Kanchan Rd, South Sarania, Lachit Nagar, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Apollo+Hospitals+and+Clinic+(GHY)/data=!4m5!3m4!1s0x375a596c3c824f37:0x591fe77230cf668b!8m2!3d26.1691983!4d91.7629948?authuser=0&hl=en&rclk=1,26.1691983,91.7629948,,,,,,,
A.J. Hospital & Research Centre,Private hospital,"MD Rd, Morikolong, Assam 782001, India",https://www.google.co.kr/maps/place/A.J.+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x374526d6124d9939:0x5bd7b5cb6ef2d4c1!8m2!3d26.345669!4d92.692691?authuser=0&hl=en&rclk=1,26.345669,92.692691,,,,,,,
