일,bmi: (인도),muscle: (인도),weight loss: (인도),gym: (인도),body mass: (인도)
2020-10-01,17,31,48,100,7
2020-10-02,15,38,45,95,4
2020-10-03,17,35,54,83,10
2020-10-04,15,31,55,96,11
2020-10-05,18,38,49,80,11
2020-10-06,16,31,48,98,11
2020-10-07,13,36,49,99,14
2020-10-08,18,37,56,92,11
2020-10-09,16,37,49,100,8
2020-10-10,16,24,50,89,10
2020-10-11,9,33,48,95,9
2020-10-12,15,38,48,88,13
2020-10-13,16,37,49,89,24
2020-10-14,18,42,45,90,13
2020-10-15,15,35,45,82,9
2020-10-16,18,37,39,81,8
2020-10-17,13,30,45,84,12
2020-10-18,11,28,42,86,12
2020-10-19,15,33,43,89,13
2020-10-20,15,36,42,86,7
2020-10-21,11,34,39,81,9
2020-10-22,17,31,41,91,8
2020-10-23,13,28,48,75,5
2020-10-24,11,33,33,72,4
2020-10-25,10,28,41,80,5
2020-10-26,14,31,43,99,6
2020-10-27,13,31,46,96,7
2020-10-28,17,32,42,85,9
2020-10-29,11,37,42,91,9
2020-10-30,12,29,43,88,6
2020-10-31,10,31,48,84,9
