Date,IndustryNumeric,TerritoryNumeric,ConvertedRate,DealNum,LeadNum,Net
2017-1,98,42,0.282051282051282,11,28,4381965.61
2017-2,154,41,0.3666666666666666,11,19,3024402.13
2017-3,380,52,0.1239669421487603,15,106,4275189.62
2017-4,851,77,0.0818965517241379,19,213,2650943.38
2017-5,333,64,0.1382113821138211,17,106,1079905.66
2017-6,253,47,0.1568627450980392,16,86,3765873.17
2017-7,596,92,0.0676691729323308,18,248,2906036.16
2017-8,1512,263,0.1047197640117994,71,607,4711779.96
2017-9,3793,947,0.1807479224376731,261,1183,4440804.43
2017-10,681,243,0.2459677419354838,61,187,5717014.98
2017-11,363,128,0.2661290322580645,33,91,6334883.91
2017-12,1415,138,0.0412026726057906,37,861,2976986.61
2018-1,625,145,0.1623931623931624,38,196,5837443.23
2018-2,969,154,0.1563636363636363,43,232,1472600.88
2018-3,678,390,0.3933054393305439,94,145,5015488.49
2018-4,672,95,0.1683168316831683,34,168,5821874.83
2018-5,425,174,0.3404255319148936,48,93,8465911.52
2018-6,840,261,0.2846153846153846,74,186,9939037.74
2018-7,493,239,0.38,57,93,6990772.86
2018-8,334,152,0.3257575757575757,43,89,6479243.55
2018-9,469,100,0.1368421052631579,26,164,4921570.95
2018-10,1191,126,0.0558659217877094,30,507,7914107.53
2018-11,625,118,0.1509433962264151,32,180,6618668.59
2018-12,428,90,0.2,26,104,7622183.4
2019-1,290,115,0.3695652173913043,34,58,3200237.0
2019-2,502,128,0.1608040201005025,32,167,5460018.0
2019-3,319,142,0.304,38,87,8731290.0
2019-4,587,140,0.1552511415525114,34,185,8148845.0
2019-5,815,133,0.0925925925925925,30,294,3566451.0
2019-6,275,98,0.2857142857142857,22,55,11808532.0
2019-7,1185,212,0.1477272727272727,52,300,6075674.0
2019-8,551,148,0.1822916666666666,35,157,6935768.0
2019-9,264,83,0.2592592592592592,21,60,6191946.0
2019-10,2670,146,0.0482093663911845,35,691,11430874.0
2019-11,637,155,0.1434262948207171,36,215,3255903.0
2019-12,804,243,0.1940298507462686,52,216,9987357.0
2020-1,435,208,0.4251968503937008,54,73,3640238.21
2020-2,775,231,0.2845188284518828,68,171,5516599.2
2020-3,1018,243,0.3413461538461538,71,137,2916595.94
2020-4,69,8,0.2666666666666666,4,11,0.0
2020-5,360,19,0.1176470588235294,6,45,1154069.64
2020-6,181,54,0.4,16,24,1676264.26
2020-7,141,24,0.2,8,32,1140181.72
2020-8,146,51,0.4,14,21,3871571.11
2020-9,162,56,0.5277777777777778,19,17,4874997.11
2020-10,320,106,0.5285714285714286,37,33,3512864.29
2020-11,228,104,0.417910447761194,28,39,2461822.46
2020-12,700,181,0.2072072072072072,46,176,4163041.96
2021-1,526,182,0.2352941176470588,44,143,4387187.0
2021-2,729,149,0.1578947368421052,39,208,7165330.0
2021-3,951,258,0.1909090909090909,63,267,8141946.0
2021-4,354,92,0.2242990654205607,24,83,3958381.0
2021-5,371,84,0.1025641025641025,20,175,1894756.0
2021-6,474,51,0.0765306122448979,15,181,3082369.0
2021-7,467,170,0.2272727272727272,40,136,3868979.0
