Member Id,Campaign ID,Customer ID,Member Status
zcrm_1920545000017510955,zcrm_1920545000000738001,zcrm_1920545000000950071,Sent
zcrm_1920545000017510959,zcrm_1920545000000738001,zcrm_1920545000002264114,Sent
zcrm_1920545000017510961,zcrm_1920545000000738001,zcrm_1920545000002264160,Bounced
zcrm_1920545000017510963,zcrm_1920545000000738001,zcrm_1920545000002267029,Sent
zcrm_1920545000017510965,zcrm_1920545000000738001,zcrm_1920545000002267053,Clicked
zcrm_1920545000017510967,zcrm_1920545000000738001,zcrm_1920545000002692348,Clicked
zcrm_1920545000017510969,zcrm_1920545000000738001,zcrm_1920545000003798003,Bounced
zcrm_1920545000017510971,zcrm_1920545000000738001,zcrm_1920545000004182004,Clicked
zcrm_1920545000017510973,zcrm_1920545000000738001,zcrm_1920545000004682051,Sent
zcrm_1920545000017510975,zcrm_1920545000000738001,zcrm_1920545000005476588,Sent
zcrm_1920545000017510977,zcrm_1920545000000738001,zcrm_1920545000005703126,Sent
zcrm_1920545000017510979,zcrm_1920545000000738001,zcrm_1920545000005703188,Bounced
zcrm_1920545000017510981,zcrm_1920545000000738001,zcrm_1920545000005982020,Sent
zcrm_1920545000017510983,zcrm_1920545000000738001,zcrm_1920545000011054020,Sent
zcrm_1920545000017510987,zcrm_1920545000002464039,zcrm_1920545000002570068,Sent
zcrm_1920545000017510989,zcrm_1920545000002464039,zcrm_1920545000002570098,Sent
zcrm_1920545000017510991,zcrm_1920545000002464039,zcrm_1920545000002570158,Sent
zcrm_1920545000017510993,zcrm_1920545000002464039,zcrm_1920545000002692115,Sent
zcrm_1920545000017510995,zcrm_1920545000002464039,zcrm_1920545000002692267,Sent
zcrm_1920545000017510997,zcrm_1920545000002464039,zcrm_1920545000002692370,Sent
zcrm_1920545000017510999,zcrm_1920545000002464039,zcrm_1920545000002827011,Opened
zcrm_1920545000017511001,zcrm_1920545000002464039,zcrm_1920545000003715004,Sent
zcrm_1920545000017511003,zcrm_1920545000002464039,zcrm_1920545000005083006,Sent
zcrm_1920545000017511005,zcrm_1920545000002464039,zcrm_1920545000005153198,Sent
zcrm_1920545000017511007,zcrm_1920545000002464039,zcrm_1920545000005461468,Opened
zcrm_1920545000017511009,zcrm_1920545000002464039,zcrm_1920545000005476647,Sent
zcrm_1920545000017511011,zcrm_1920545000002464039,zcrm_1920545000005476680,Sent
zcrm_1920545000017511013,zcrm_1920545000002464039,zcrm_1920545000005476746,Opened
zcrm_1920545000017511015,zcrm_1920545000011819112,zcrm_1920545000013445005,Planned
zcrm_1920545000018719008,zcrm_1920545000012080061,zcrm_1920545000006868022,Sent
zcrm_1920545000018719026,zcrm_1920545000012080061,zcrm_1920545000018719016,Planned
zcrm_1920545000018719034,zcrm_1920545000012080061,zcrm_1920545000000147007,Planned
zcrm_1920545000018719049,zcrm_1920545000012080061,zcrm_1920545000018719039,Planned
zcrm_1920545000018719087,zcrm_1920545000012080061,zcrm_1920545000018719077,Planned
zcrm_1920545000018719102,zcrm_1920545000012080061,zcrm_1920545000018719092,Planned
zcrm_1920545000018719117,zcrm_1920545000012080061,zcrm_1920545000018719107,Planned
zcrm_1920545000018719132,zcrm_1920545000012080061,zcrm_1920545000018719122,Planned
zcrm_1920545000018719147,zcrm_1920545000012080061,zcrm_1920545000018719137,Planned
zcrm_1920545000018719162,zcrm_1920545000012080061,zcrm_1920545000018719152,Planned
zcrm_1920545000018719177,zcrm_1920545000012080061,zcrm_1920545000018719167,Planned
zcrm_1920545000018719192,zcrm_1920545000012080061,zcrm_1920545000018719182,Planned
zcrm_1920545000018719207,zcrm_1920545000012080061,zcrm_1920545000018719197,Planned
zcrm_1920545000018719222,zcrm_1920545000012080061,zcrm_1920545000018719212,Planned
zcrm_1920545000018719237,zcrm_1920545000012080061,zcrm_1920545000018719227,Planned
zcrm_1920545000018719262,zcrm_1920545000012080061,zcrm_1920545000018719252,Planned
zcrm_1920545000018719277,zcrm_1920545000012080061,zcrm_1920545000018719267,Planned
zcrm_1920545000018719292,zcrm_1920545000012080061,zcrm_1920545000018719282,Planned
zcrm_1920545000018719307,zcrm_1920545000012080061,zcrm_1920545000018719297,Planned
zcrm_1920545000018719322,zcrm_1920545000012080061,zcrm_1920545000018719312,Planned
zcrm_1920545000018719347,zcrm_1920545000012080061,zcrm_1920545000018719337,Planned
zcrm_1920545000018719352,zcrm_1920545000012080061,zcrm_1920545000018719327,Planned
zcrm_1920545000018719367,zcrm_1920545000012080061,zcrm_1920545000018719357,Planned
zcrm_1920545000018719382,zcrm_1920545000012080061,zcrm_1920545000018719372,Planned
zcrm_1920545000018719403,zcrm_1920545000012080061,zcrm_1920545000018719393,Planned
zcrm_1920545000018719418,zcrm_1920545000012080061,zcrm_1920545000018719408,Planned
zcrm_1920545000018719433,zcrm_1920545000012080061,zcrm_1920545000018719423,Planned
zcrm_1920545000018719464,zcrm_1920545000012080061,zcrm_1920545000018719454,Planned
zcrm_1920545000018719479,zcrm_1920545000012080061,zcrm_1920545000018719469,Planned
zcrm_1920545000018719494,zcrm_1920545000012080061,zcrm_1920545000018719484,Planned
zcrm_1920545000018719583,zcrm_1920545000012080061,zcrm_1920545000018719573,Planned
zcrm_1920545000018719588,zcrm_1920545000012080061,zcrm_1920545000018719563,Planned
zcrm_1920545000018719593,zcrm_1920545000012080061,zcrm_1920545000018719553,Planned
zcrm_1920545000018719598,zcrm_1920545000012080061,zcrm_1920545000018719543,Planned
zcrm_1920545000018719603,zcrm_1920545000012080061,zcrm_1920545000018719533,Planned
zcrm_1920545000018719608,zcrm_1920545000012080061,zcrm_1920545000018719523,Planned
zcrm_1920545000018719613,zcrm_1920545000012080061,zcrm_1920545000018719509,Planned
zcrm_1920545000018719618,zcrm_1920545000012080061,zcrm_1920545000018719499,Planned
zcrm_1920545000018719633,zcrm_1920545000012080061,zcrm_1920545000018719623,Planned
zcrm_1920545000018719648,zcrm_1920545000012080061,zcrm_1920545000018719638,Planned
zcrm_1920545000018719669,zcrm_1920545000012080061,zcrm_1920545000018719659,Planned
zcrm_1920545000018719684,zcrm_1920545000012080061,zcrm_1920545000018719674,Planned
zcrm_1920545000018719699,zcrm_1920545000012080061,zcrm_1920545000018719689,Planned
zcrm_1920545000018719730,zcrm_1920545000012080061,zcrm_1920545000018719720,Planned
zcrm_1920545000018719735,zcrm_1920545000012080061,zcrm_1920545000018719704,Planned
zcrm_1920545000018719756,zcrm_1920545000012080061,zcrm_1920545000018719746,Planned
zcrm_1920545000018729017,zcrm_1920545000012080061,zcrm_1920545000018729007,Planned
zcrm_1920545000018729054,zcrm_1920545000012080061,zcrm_1920545000018729044,Planned
zcrm_1920545000018729091,zcrm_1920545000012080061,zcrm_1920545000018729081,Planned
zcrm_1920545000018729112,zcrm_1920545000012080061,zcrm_1920545000018729102,Planned
zcrm_1920545000018729133,zcrm_1920545000012080061,zcrm_1920545000018729123,Planned
zcrm_1920545000018729154,zcrm_1920545000012080061,zcrm_1920545000018729144,Planned
zcrm_1920545000018729175,zcrm_1920545000012080061,zcrm_1920545000018729165,Planned
zcrm_1920545000018729196,zcrm_1920545000012080061,zcrm_1920545000018729186,Planned
zcrm_1920545000018729233,zcrm_1920545000012080061,zcrm_1920545000018729223,Planned
zcrm_1920545000018729254,zcrm_1920545000012080061,zcrm_1920545000018729244,Planned
zcrm_1920545000018729275,zcrm_1920545000012080061,zcrm_1920545000018729265,Planned
zcrm_1920545000018729296,zcrm_1920545000012080061,zcrm_1920545000018729286,Planned
zcrm_1920545000018729317,zcrm_1920545000012080061,zcrm_1920545000018729307,Planned
zcrm_1920545000018729338,zcrm_1920545000012080061,zcrm_1920545000018729328,Planned
zcrm_1920545000018729359,zcrm_1920545000012080061,zcrm_1920545000018729349,Planned
zcrm_1920545000018729380,zcrm_1920545000012080061,zcrm_1920545000018729370,Planned
zcrm_1920545000018729433,zcrm_1920545000012080061,zcrm_1920545000018729423,Planned
zcrm_1920545000018729454,zcrm_1920545000012080061,zcrm_1920545000018729444,Planned
zcrm_1920545000018729469,zcrm_1920545000012080061,zcrm_1920545000018729459,Planned
zcrm_1920545000018729510,zcrm_1920545000012080061,zcrm_1920545000018729500,Planned
zcrm_1920545000018729525,zcrm_1920545000012080061,zcrm_1920545000018729515,Planned
zcrm_1920545000018729540,zcrm_1920545000012080061,zcrm_1920545000018729530,Planned
zcrm_1920545000018729579,zcrm_1920545000012080061,zcrm_1920545000018729571,Planned
zcrm_1920545000018729584,zcrm_1920545000012080061,zcrm_1920545000018729557,Planned
zcrm_1920545000018729603,zcrm_1920545000012080061,zcrm_1920545000018729595,Planned
zcrm_1920545000018729622,zcrm_1920545000012080061,zcrm_1920545000018729614,Planned
zcrm_1920545000018729663,zcrm_1920545000012080061,zcrm_1920545000018729653,Planned
zcrm_1920545000018729694,zcrm_1920545000012080061,zcrm_1920545000018729684,Planned
zcrm_1920545000018729719,zcrm_1920545000012080061,zcrm_1920545000018729709,Planned
zcrm_1920545000018729734,zcrm_1920545000012080061,zcrm_1920545000018729724,Planned
zcrm_1920545000018729749,zcrm_1920545000012080061,zcrm_1920545000018729739,Planned
zcrm_1920545000018729764,zcrm_1920545000012080061,zcrm_1920545000018729754,Planned
