Record Id,Product Owner ID,Product Name,Product Code,Vendor ID,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created by ID,Modified by ID,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler Id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout ID,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
zcrm_1920545000006882661,zcrm_1920545000000097003,P_Shoulder Back R 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,800.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882662,zcrm_1920545000000097003,P_Shoulder Cap 370S,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882663,zcrm_1920545000000097003,P_Shoulder Cap 470/270,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,2500.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882664,zcrm_1920545000000097003,P_Shoulder Front L 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:49,1600.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:49
zcrm_1920545000006882665,zcrm_1920545000000097003,P_Shoulder Front R 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:49,1600.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:49
zcrm_1920545000006882666,zcrm_1920545000000097003,P_Shoulder Joint L 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,700.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882667,zcrm_1920545000000097003,P_Shoulder Joint R 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:20,700.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:20
zcrm_1920545000006882668,zcrm_1920545000000097003,P_Stabilizer Supporter 570,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882669,zcrm_1920545000000097003,P_Stand Front 370S,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882670,zcrm_1920545000000097003,RC Jig,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,0.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
