Translation Id,Language Code Id,Translated Value,Type
zcrm_1920545000000003303,zcrm_en_US,References,1
zcrm_1920545000000003305,zcrm_en_US,Event,1
zcrm_1920545000000003319,zcrm_en_US,Inbound,1
zcrm_1920545000000003323,zcrm_en_US,Outbound,1
zcrm_1920545000000003389,zcrm_en_US,Outbound - cold visit,1
zcrm_1920545000000003415,zcrm_en_US,Private Medical,1
zcrm_1920545000000003421,zcrm_en_US,Sports,1
zcrm_1920545000000003439,zcrm_en_US,Government Medical,1
zcrm_1920545000000006803,zcrm_en_US,2. C- Consideration,1
zcrm_1920545000000006805,zcrm_en_US,3. B- Negotiation,1
zcrm_1920545000000006811,zcrm_en_US,5. Confirmed (Partial Payment),1
zcrm_1920545000000097439,zcrm_en_US,Government Medical,1
zcrm_1920545000000097445,zcrm_en_US,Hospitality,1
zcrm_1920545000000686318,zcrm_en_US,Product,2
zcrm_1920545000000686336,zcrm_en_US,BSM370,1
zcrm_1920545000000686340,zcrm_en_US,Inkids,1
zcrm_1920545000000686352,zcrm_en_US,State-,2
zcrm_1920545000000686430,zcrm_en_US,Billing State-,2
zcrm_1920545000002374055,zcrm_en_US,InBody 170,1
zcrm_1920545000002374057,zcrm_en_US,InBody R20,1
zcrm_1920545000002676172,zcrm_en_US,Academic,1
zcrm_1920545000002703107,zcrm_en_US,InBody 720,1
zcrm_1920545000002899100,zcrm_en_US,Fitness,1
zcrm_1920545000002899104,zcrm_en_US,Defense,1
zcrm_1920545000006748013,zcrm_en_US,GST Registration Number,2
zcrm_1920545000015697221,zcrm_en_US,Sales Route,2
zcrm_1920545000015703606,zcrm_en_US,Zone,2
zcrm_1920545000019022005,zcrm_en_US,4. A- Verbal Approval,1
zcrm_1920545000019117038,zcrm_en_US,Need,2
zcrm_1920545000019117042,zcrm_en_US,Time,2
zcrm_1920545000019117046,zcrm_en_US,Budget,2
zcrm_1920545000019117050,zcrm_en_US,Authority,2
zcrm_1920545000019117105,zcrm_en_US,On the basis of Budget,2
zcrm_1920545000019117109,zcrm_en_US,On the basis of Authority,2
zcrm_1920545000019117113,zcrm_en_US,On the basis of Need,2
zcrm_1920545000019117117,zcrm_en_US,On the basis of Time,2
zcrm_1920545000019117121,zcrm_en_US,Total Score,2
zcrm_1920545000022036003,zcrm_en_US,Inbound,1
zcrm_1920545000022405230,zcrm_en_US,Fitness,1
zcrm_1920545000022747632,zcrm_en_US,1.  D- Qualified Deal,1
zcrm_1920545000022747636,zcrm_en_US,Discount Approval,1
zcrm_1920545000022747640,zcrm_en_US,Discount Rejected,1
zcrm_1920545000022753044,zcrm_en_US,D evaluate,2
zcrm_1920545000022753664,zcrm_en_US,Inbound,1
