x,Others_Others Corporate,Public Association,Others_Aesthetic
2017-1,0.0,0.0,371440.0
2017-2,433962.26,0.0,0.0
2017-3,428301.885,0.0,429245.28
2017-4,0.0,0.0,0.0
2017-5,0.0,0.0,282735.85
2017-6,22789.09,0.0,0.0
2017-7,425000.0,0.0,0.0
2017-8,404017.74,0.0,0.0
2017-9,410718.745,0.0,0.0
2017-10,243464.285,0.0,1118214.92
2017-11,333035.71499999997,0.0,0.0
2017-12,361607.1433333333,0.0,0.0
2018-1,7627.12,0.0,253282.85333333336
2018-2,10714.28,714.28,0.0
2018-3,725443.4299999999,0.0,348228.28500000003
2018-4,0.0,0.0,20535.72
2018-5,400446.43,968750.0,46348.71
2018-6,315474.76333333337,595669.645,212587.5
2018-7,396803.4283333333,0.0,406250.0
2018-8,240897.92400000003,208928.56999999998,0.0
2018-9,441069.83,178568.75,23727.61
2018-10,292420.75875,0.0,374999.995
2018-11,91082.59,0.0,253583.33333333334
2018-12,383248.696,901785.71,0.0
2019-1,17839.0,0.0,0.0
2019-2,133631.14285714287,580357.5,63989.77777777778
2019-3,115683.54545454546,609821.5,72267.6
2019-4,687499.75,0.0,56245.0
2019-5,0.0,0.0,42006.4
2019-6,182924.16666666666,0.0,326377.0
2019-7,66726.0,0.0,8775.0
2019-8,42820.2,0.0,92623.5
2019-9,113684.33333333333,0.0,112589.5
2019-10,140107.33333333334,1145833.3333333333,76594.42857142857
2019-11,19625.0,0.0,120386.66666666667
2019-12,185558.5,0.0,171329.0
2020-1,8928.571429000001,61190.476204766666,151820.312485725
2020-2,102338.98810008331,0.0,118911.9897894
2020-3,30240.273696542856,0.0,52617.532470090904
2020-4,0.0,0.0,0.0
2020-5,558035.7141428501,0.0,0.0
2020-6,73659.04963252443,0.0,40033.214285283335
2020-7,59147.062856666664,0.0,0.0
2020-8,102191.46826095556,133309.52382,250000.0
2020-9,122674.520827025,0.0,180886.71428170003
2020-10,91429.05844141818,0.0,29357.142855
2020-11,82942.8571448,0.0,183630.9523895333
2020-12,44437.723209,0.0,91056.54762595
2021-1,93437.46153846153,0.0,86708.5
2021-2,188946.06666666668,0.0,5357.0
2021-3,117540.91666666667,215319.625,10286.0
2021-4,124219.63636363637,0.0,81357.25
2021-5,219798.2,0.0,0.0
2021-6,61756.875,258000.0,128571.6
2021-7,128717.0,145593.33333333334,0.0
