S. No.,Month,Client,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,Serial No.,Invoice Details,Actual Value,Tax ,Total,Payment Status (Rs) ,Payment Status,Installation Status,Warraty,installation,6month visit
1,January,"Ritu Sikchi, Nutri 2",Aurangabad,Maharashtra,West 1,Diet Clinic,Mayank Talwar,42755,IB 570 + LB 120 + Printer,F91602124,II-INV-000104,950000,50000,1000000,625000,100% received,Complete ,Done ,Done,Pending
2,January,Hammers Fitness Pvt. Ltd,Bangalore,Karnataka,South,Fitness Club,Mayank Talwar,42756,IB 270 + LB 120 + BSM 170B,F91602619,II-INV-000122,428571.43,21428.57,450000,450000,100% payment received,Complete ,Done ,Done,Done
3,January,Aspaventures (Apple Fitness),Bangalore,Karnataka,South,Fitness Club,Karn Sharma,43030,IB 270 + LB 120,F91602695,II-INV-000082,466666.67,23333.33,490000,490000,100% payment received,Complete ,Done ,Done,Done
4,January,Global Hospital,Bangalore,Karnataka,South,Hospital,Karn Sharma,42758,IB 270 + LB 120 + Printer,F91602703,II-INV-000121,423809.52,21190.48,445000,225000,50% payment received,Complete ,Done ,Done,Done
5,January,Arth Diagnostics,Udaipur,Rajasthan,North,Diagnostic Centre,Mayank Talwar,42758,IB 270 + LB 120 + Printer,F91602704,II-INV-000111,438095.24,21904.76,460000,460000,100% payment received,Complete ,Done ,Done,Pending
6,January,Sparta Gym,New Delhi,Delhi,North,Fitness Club,Mayank Talwar,42758,IB 270 + Printer,F91602697,II-INV-000112,428571.43,21428.57,450000,450000,100% received,Complete ,Done ,Done,Done
7,January,VLCC,Bangalore,Karnataka,South,Wellness Centre,Mayank Talwar,42760,IB 270 + LB120,F91602620,II-INV-000101,371440,18572,390000,273000,70% payment received,Complete ,Done ,Done,Done
8,January,Happy Fitness,Nanded,Maharashtra,West 1,Fitness Club,Mayank Talwar,42762,IB 270 + Printer,F91602597,II-INV-000127,419811.32,25188.68,445000,445000,100% payment received,Complete ,Done ,Done,Done
9,January,Burgers To Beasts,Mumbai,Maharashtra,West 1,Diet Clinic,Aditi Vaisaikar,42765,IB 270 + LB 120,F91602168,II-INV-000114,455000,22500,455000,455000,100% payment received,Complete ,Done ,Done,Pending
1,February,Apple Fitness,Bangalore,Karnataka,South,Fitness Club,Karn Sharma,42773,IB 270 + LB 120 ,F91603533, II-INV-000082,462264.15,27735.85,490000,490000,100% received,Complete,Done ,Done,Done
2,February,Dore Fitness,Bangalore,Karnataka,South,Fitness Club,Karn Sharma,42773,IB 270 + LB 120 ,F91603604,II-INV-000135,433962.26,26037.74,460000,230000,50% pending,Complete,Done ,Done,Done
3,February,Chisel,Bangalore,Karnataka,South,Fitness Club,Mayank Talwar,42773,IB 270 + LB 120 ,F91603440,II-INV-000134,424528.3,25471.7,450000,0,,Complete,Done ,Done,Done
4,February,Towin Health Management,Mumbai,Maharashtra,West 1,Fitness Club,Mayank Talwar,42779,IB 270 + LB 120 ,F91602657,II-INV-000138,453000,27180,480180,300000,1.80 lacs pending,Complete,Done ,Done,Pending
5,February,Rajput Enterprise,Raipur,Chhattisgarh,East,Supplement Store,Mayank Talwar,42780,IB 270 + LB 120 ,F91602596,II-INV-000139,392156.86,7843.14,400000,400000,100% received,Pending,Done ,Done,Pending
6,February,Chisel,"Billed Banglore, shipped Meerut",Karnataka,South,Fitness Club,Mayank Talwar,42782,IB 270 + LB 120 ,,II-INV-000142,424528.3,25471.7,450000,450000,100% received,Complete,Done ,Done,Done
7,February,Sunil Rodrigues,Mumbai,Maharashtra,West 1,Others,Varun Vartak,42788,IB 270 + Samsung ML-2161 ,,II-INV-000150,433962.26,26037.74,460000,400000,60000/- pending,Complete,Done ,Done,Done
1,March,Friends Club,Delhi,Delhi,North,Fitness Club,Mayank Talwar,42797,IB 270 + Samsung ML-2161 ,,INV1617-0067,461037.74,27662.26,488700,488700,100% received,Complete,Done ,Done,Done
2,March,Icon Fitness,Pune,Maharashtra,West 1,Fitness Club,Ayan,42808,IB 120+LB 120,,INV1617-0068,245283.02,14716.98,260000,260000,100% received,Complete,Done ,Done,Pending
3,March,Super 4 ,Punjab,Punjab,North,Fitness Club,Mayank Talwar,42809,IB 370 S+ LB 120 ,,INV1617-0069,566037.74,33962.26,600000,300000,50% received,Complete,Done ,Done,Pending
4,March,East Bourne Hotels & Properties India Pvt. Ltd.,Haryana,Haryana,North,Hotel,Mayank Talwar,42811,IB 270 + Samsung ML-2161 ,,INV1617-0070,424528.3,25471.7,450000,450000,100% received,Complete,Done ,Done,Pending
5,March,Sunshine Hospitals,Hyderabad,Telangana,South,Hospital,Mayank Talwar,42816,IB 270 S+ LB 120 ,,INV1617-0071,424529.25,25471.75,450001,450001,100% received,Complete,Done ,Done,Pending
6,March,Shivay Fitness Pvt. Ltd.,Secundearabad,Hyderabad,South,Fitness Club,Mayank Talwar,42818,IB 270 S+ LB 120 ,,INV1617-0072,433962.26,26037.74,460000,460000,100% received,Complete,Done ,Done,Pending
