,S. No.,Month,InBody/service/Dial,Client,Postal code,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,LB,BSM,Home health,Accesory,Invoice Details,Actual Value,Ta,Total,PaymenReceive(Rs,BalancAmount,Installation Status,Warraty,Incentive date,6month visit,12month visit,18month visit
0,1,January,I,Body Line,393002.0,Ankaleshwar,Gujarat,West 2,Fitness ,Mahesh,2.1.18,IB 270,LB,,,ACCS,INV1718-0134,374999.95,45000.05,420000.0,290000.0,130000.0,,,,,,
1,2,January,I,Bodyline A Unisex Fitness Hub,500049.0,Hyderabad,Telangana,South,Fitness ,Karn ,2.1.18,IB 270,LB,,,ACCS,INV1718-0135,241071.43,28928.57,270000.0,202500.0,67500.0,,,,,,
2,3,January,I,Healthqor Fitness Center,560007.0,Bangalore,Karnataka,South,Fitness ,Karn ,2.1.18,IB 270,LB,,,,INV1718-0137,437500.0,52500.0,490000.0,250000.0,240000.0,,,,,,
3,4,January,I,Jogeshwari Education Trust,400102.0,Mumbai,Maharashtra,West 1,Education,Ayesha,9.1.18,IB270,,,,,INV1718-0139,419510.0,50490.0,470000.0,470000.0,0.0,,,,,,
4,5,January,S,Vinayak Solitaire Allahabad,211001.0,Allahabad,Uttar Pradesh,North,Corporate,Hitesh,9.1.18,Unit calibration,,,,ACCS,INV1718-0140,7627.12,1372.88,9000.0,9000.0,9000.0,,,,,,
5,6,January,B,Mr.Yogendra Patel,380061.0,Ahmedabad,Gujarat,West 2,Home Health,Dawson,9.1.18,IB Band,,,HH,,INV1718-0141,0.0,0.0,0.0,0.0,0.0,,,,,,
6,7,January,S,Talwalkars Better Value Fitness,380015.0,Ahmedabad,Gujarat,West 2,Fitness ,Hitesh,9.1.18,Spare Parts,,,,ACCS,INV1718-0142,17408.32,2436.68,19845.0,19845.0,0.0,,,,,,
7,8,January,I,Inspire Gym,440009.0,Nagpur,Maharashtra,West 1,Fitness ,Varun,12.1.18,IB370S,,,,,INV1718-0143,625625.0,75075.0,700700.0,700700.0,0.0,,,,,,
8,9,January,I,D Arc Fitness,682030.0,Kochi,Kerala,South,Fitness ,Karn ,12.1.18,IB 370S,LB,,,,INV1718-0144,609375.0,73125.0,682500.0,204750.0,477750.0,,,,,,
9,10,January,I,Vibes Healthcare Limited,411006.0,Pune,Maharashtra,West 1,Wellness,Chanu,15.1.18,IB270,,,,,INV1718-0145,348214.28,41785.72,390000.0,390000.0,0.0,,,,,,
10,11,January,D,Self- Dietian,412105.0,Pune,Maharashtra,West 1,Nutrition,Ayan,15.1.18,InBody Dial,,,HH,,INV1718-0147,16964.28,2035.72,19000.0,19000.0,0.0,,,,,,
11,12,January,I,FITNOHOLIC,572101.0,Tumkur,Karnataka,South,Fitness ,Karn ,18.1.18,Ib 270,LB,,,,INV1718-0148,448500.0,53820.0,502320.0,500000.0,2320.0,,,,,,
12,13,January,I,UMB FITNESS PVT. LTD.,522006.0,Guntur,Andhra Pradesh,South,Fitness ,Karn ,19.1.18,IB 270,LB,,,ACCS,INV1718-0149,406250.0,48750.0,455000.0,350000.0,105000.0,,,,,,
