,Year,Month,Client,Region,Category,Net,Industry Fin
0,2017,January,"Ritu Sikchi, Nutri 2",West 1,Diet Clinic,950000.0,Clinic
1,2017,January,Hammers Fitness Pvt. Ltd,South,Fitness Club,428571.43,Fitness
2,2017,January,Aspaventures (Apple Fitness),South,Fitness Club,466666.67,Fitness
3,2017,January,Global Hospital,South,Hospital,423809.52,Hospital
4,2017,January,Arth Diagnostics,North,Diagnostic Centre,438095.24,Clinic
5,2017,January,Sparta Gym,North,Fitness Club,428571.43,Fitness
6,2017,January,VLCC,South,Wellness Centre,371440.0,Others_Aesthetic
7,2017,January,Happy Fitness,West 1,Fitness Club,419811.32,Fitness
8,2017,January,Burgers To Beasts,West 1,Diet Clinic,455000.0,Hospital
9,2017,February,Apple Fitness,South,Fitness Club,462264.15,Fitness
10,2017,February,Dore Fitness,South,Fitness Club,433962.26,Fitness
11,2017,February,Chisel,South,Fitness Club,424528.3,Fitness
12,2017,February,Towin Health Management,West 1,Fitness Club,453000.0,Fitness
13,2017,February,Rajput Enterprise,East,Supplement Store,392156.86,Private Enterprise
14,2017,February,Chisel,South,Fitness Club,424528.3,Fitness
15,2017,February,Sunil Rodrigues,West 1,Others,433962.26,Others_Others Corporate
16,2017,March,Friends Club,North,Fitness Club,461037.74,Fitness
17,2017,March,Icon Fitness,West 1,Fitness Club,245283.02,Fitness
18,2017,March,Super 4 ,North,Fitness Club,566037.74,Fitness
19,2017,March,East Bourne Hotels & Properties India Pvt. Ltd.,North,Hotel,424528.3,Hotel
20,2017,March,Sunshine Hospitals,South,Hospital,424529.25,Hospital
21,2017,March,Shivay Fitness Pvt. Ltd.,South,Fitness Club,433962.26,Fitness
22,2017,March,Springbay Bath Water Pvt. Ltd.,North,Others,429245.28,Others_Others Corporate
23,2017,March,Montecarlo Limited,West 2,Others,427358.49,Others_Others Corporate
24,2017,March,Sonal Vaidya,West 1,Wellness Centre,429245.28,Others_Aesthetic
25,2017,March,Crown Fitness Pvt.Ltd. ,North,Fitness Club,433962.26,Fitness
26,2017,April,Ravindranath GE MEDICAL ASSOCIATES PVT.LTD.,South,HealthCare Centre,627358.49,Hospital
27,2017,April,Fitness Plus,West 1,Fitness Club,433962.26,Fitness
28,2017,April,Evolve Fitness,East,Fitness Club,254716.98,Fitness
